time,Brooklyn,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. T. Zeller (S. Dinwiddie gains possession),,,,Jump ball: M. Turner vs. T. Zeller (S. Dinwiddie gains possession)
11:40.0,T. Zeller makes 2-pt shot from 1 ft (assist by D. Carroll),2,2-0,,
11:23.0,,,2-3,3,M. Turner makes 3-pt shot from 26 ft (assist by V. Oladipo)
10:59.0,S. Dinwiddie makes 3-pt shot from 28 ft (assist by R. Hollis-Jefferson),3,5-3,,
10:42.0,,,5-3,,Turnover by M. Turner (traveling)
10:29.0,T. Zeller makes 2-pt shot at rim (assist by A. Crabbe),2,7-3,,
10:10.0,,,7-3,,Turnover by T. Young (bad pass; steal by R. Hollis-Jefferson)
10:05.0,,,7-3,,Personal foul by M. Turner (drawn by R. Hollis-Jefferson)
9:53.0,,,7-3,,Personal foul by T. Young (drawn by R. Hollis-Jefferson)
9:46.0,A. Crabbe makes 2-pt shot from 18 ft (assist by T. Zeller),2,9-3,,
9:19.0,,,9-5,2,V. Oladipo makes 2-pt shot from 12 ft
8:58.0,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by D. Carroll),2,11-5,,
8:42.0,,,11-7,2,M. Turner makes 2-pt shot from 21 ft (assist by V. Oladipo)
8:23.0,R. Hollis-Jefferson misses 2-pt shot from 15 ft,,11-7,,
8:21.0,Offensive rebound by Team,,11-7,,
8:16.0,A. Crabbe misses 2-pt shot from 20 ft,,11-7,,
8:11.0,Offensive rebound by T. Zeller,,11-7,,
8:07.0,,,11-7,,Personal foul by T. Young (drawn by R. Hollis-Jefferson)
8:07.0,,,11-7,,D. Sabonis enters the game for T. Young
7:55.0,T. Zeller makes 2-pt shot from 4 ft (assist by S. Dinwiddie),2,13-7,,
7:43.0,,,13-7,,B. Bogdanovic misses 2-pt shot from 12 ft
7:40.0,Defensive rebound by D. Carroll,,13-7,,
7:30.0,S. Dinwiddie makes 3-pt shot from 25 ft (assist by T. Zeller),3,16-7,,
7:29.0,,,16-7,,Indiana full timeout
7:19.0,,,16-7,,V. Oladipo misses 2-pt shot from 21 ft
7:16.0,,,16-7,,Offensive rebound by M. Turner
7:08.0,,,16-7,,D. Collison misses 2-pt shot from 20 ft
7:04.0,Defensive rebound by T. Zeller,,16-7,,
6:55.0,R. Hollis-Jefferson misses 2-pt shot from 8 ft,,16-7,,
6:52.0,,,16-7,,Defensive rebound by D. Sabonis
6:48.0,,,16-9,2,V. Oladipo makes 2-pt shot at rim (assist by D. Collison)
6:32.0,R. Hollis-Jefferson misses 2-pt shot from 10 ft,,16-9,,
6:30.0,,,16-9,,Defensive rebound by M. Turner
6:19.0,,,16-9,,D. Sabonis misses 2-pt shot from 6 ft
6:17.0,Defensive rebound by D. Carroll,,16-9,,
