time,Cleveland,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. T. Thompson ( gains possession),,,,Jump ball: D. Howard vs. T. Thompson ( gains possession)
11:39.0,,,0-0,,Shooting foul by T. Thompson (drawn by D. Howard)
11:39.0,,,0-1,1,D. Howard makes free throw 1 of 2
11:39.0,,,0-2,1,D. Howard makes free throw 2 of 2
11:22.0,J. Green misses 2-pt shot from 3 ft (block by D. Howard),,0-2,,
11:22.0,Offensive rebound by Team,,0-2,,
11:17.0,G. Hill makes 2-pt shot from 16 ft,2,2-2,,
11:02.0,,,2-2,,M. Williams misses 3-pt shot from 24 ft
11:00.0,,,2-2,,Offensive rebound by Team
10:55.0,,,2-5,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
10:39.0,R. Hood misses 2-pt shot from 17 ft,,2-5,,
10:36.0,,,2-5,,Defensive rebound by M. Kidd-Gilchrist
10:25.0,,,2-5,,K. Walker misses 3-pt shot from 26 ft
10:22.0,Defensive rebound by R. Hood,,2-5,,
10:15.0,J. Green misses 2-pt shot from 1 ft,,2-5,,
10:11.0,Offensive rebound by J. Green,,2-5,,
10:11.0,J. Green makes 2-pt shot at rim,2,4-5,,
10:03.0,,,4-5,,D. Howard misses 2-pt shot from 2 ft
10:01.0,Defensive rebound by L. James,,4-5,,
9:58.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. James),,4-5,,
9:58.0,L. James makes free throw 1 of 2,1,5-5,,
9:58.0,L. James makes free throw 2 of 2,1,6-5,,
9:48.0,,,6-7,2,N. Batum makes 2-pt shot from 16 ft (assist by K. Walker)
9:36.0,G. Hill misses 2-pt shot from 17 ft,,6-7,,
9:33.0,,,6-7,,Defensive rebound by M. Williams
9:23.0,,,6-7,,Turnover by K. Walker (bad pass; steal by J. Green)
9:22.0,,,6-7,,Personal foul by M. Kidd-Gilchrist (drawn by L. James)
9:10.0,L. James misses 2-pt shot from 12 ft,,6-7,,
9:08.0,,,6-7,,Defensive rebound by D. Howard
8:58.0,,,6-7,,Shooting foul by T. Thompson (drawn by D. Howard)
8:58.0,,,6-8,1,D. Howard makes free throw 1 of 2
8:58.0,,,6-9,1,D. Howard makes free throw 2 of 2
8:52.0,R. Hood misses 3-pt shot from 28 ft,,6-9,,
8:48.0,Offensive rebound by R. Hood,,6-9,,
8:45.0,G. Hill misses 3-pt shot from 25 ft,,6-9,,
8:43.0,,,6-9,,Defensive rebound by N. Batum
8:38.0,,,6-11,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by N. Batum)
8:19.0,Shooting foul by D. Howard (drawn by R. Hood),,6-11,,
8:19.0,R. Hood makes free throw 1 of 2,1,7-11,,
8:19.0,L. Nance enters the game for T. Thompson,,7-11,,
8:19.0,R. Hood misses free throw 2 of 2,,7-11,,
8:16.0,,,7-11,,Defensive rebound by N. Batum
8:06.0,,,7-11,,M. Williams misses 3-pt shot from 22 ft
8:02.0,Defensive rebound by L. Nance,,7-11,,
7:54.0,L. Nance makes 2-pt shot from 16 ft (assist by G. Hill),2,9-11,,
7:37.0,,,9-11,,Turnover by K. Walker (bad pass; steal by L. Nance)
7:32.0,R. Hood makes 2-pt shot from 1 ft (assist by L. James),2,11-11,,
7:14.0,,,11-11,,Turnover by M. Kidd-Gilchrist (traveling)
7:01.0,,,11-11,,Def 3 sec tech foul by D. Howard
7:01.0,J. Green makes technical free throw,1,12-11,,
6:51.0,L. Nance makes 2-pt shot from 19 ft (assist by L. James),2,14-11,,
6:40.0,Personal foul by L. Nance (drawn by D. Howard),,14-11,,
6:40.0,,,14-11,,Charlotte full timeout
6:29.0,,,14-11,,K. Walker misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by L. James,,14-11,,
6:22.0,L. James misses 2-pt shot from 16 ft,,14-11,,
6:19.0,,,14-11,,Defensive rebound by D. Howard
6:07.0,,,14-11,,N. Batum misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by L. James,,14-11,,
5:59.0,R. Hood misses 3-pt shot from 22 ft,,14-11,,
5:55.0,,,14-11,,Defensive rebound by K. Walker
5:52.0,,,14-13,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
5:32.0,G. Hill misses 2-pt shot from 9 ft,,14-13,,
5:29.0,,,14-13,,Defensive rebound by M. Kidd-Gilchrist
5:25.0,,,14-13,,Shooting foul by R. Hood (drawn by M. Kidd-Gilchrist)
5:25.0,,,14-13,,M. Kidd-Gilchrist misses free throw 1 of 2
5:25.0,,,14-13,,Offensive rebound by Team
5:25.0,J. Clarkson enters the game for J. Green,,14-13,,
5:25.0,,,14-14,1,M. Kidd-Gilchrist makes free throw 2 of 2
5:12.0,L. James makes 2-pt shot from 1 ft (assist by G. Hill),2,16-14,,
4:55.0,,,16-14,,N. Batum misses 2-pt shot from 6 ft
4:55.0,Defensive rebound by Team,,16-14,,
4:55.0,,,16-14,,Loose ball foul by D. Howard (drawn by L. Nance)
4:55.0,,,16-14,,D. Bacon enters the game for M. Kidd-Gilchrist
4:36.0,G. Hill misses 3-pt shot from 23 ft,,16-14,,
4:34.0,,,16-14,,Defensive rebound by M. Williams
4:32.0,Personal foul by J. Clarkson (drawn by N. Batum),,16-14,,
4:32.0,,,16-15,1,N. Batum makes free throw 1 of 2
4:32.0,,,16-16,1,N. Batum makes free throw 2 of 2
4:22.0,,,16-16,,Personal foul by D. Bacon (drawn by L. James)
4:22.0,L. James makes free throw 1 of 2,1,17-16,,
4:22.0,L. James makes free throw 2 of 2,1,18-16,,
3:58.0,,,18-16,,K. Walker misses 2-pt shot from 18 ft
3:56.0,Defensive rebound by L. Nance,,18-16,,
3:52.0,R. Hood misses 2-pt shot from 6 ft,,18-16,,
3:49.0,,,18-16,,Defensive rebound by D. Howard
