time,Indiana,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. M. Turner (D. Collison gains possession),,,,Jump ball: D. Howard vs. M. Turner (D. Collison gains possession)
11:42.0,M. Turner misses 2-pt shot from 17 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Walker
11:36.0,Personal foul by M. Turner (drawn by D. Howard),,0-0,,
11:34.0,,,0-0,,Turnover by M. Williams (bad pass)
11:18.0,M. Turner misses 2-pt shot from 19 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by Team
10:59.0,,,0-3,3,M. Williams makes 3-pt shot from 23 ft (assist by N. Batum)
10:45.0,V. Oladipo makes 3-pt shot from 24 ft (assist by D. Collison),3,3-3,,
10:33.0,Personal foul by M. Turner (drawn by K. Walker),,3-3,,
10:33.0,D. Sabonis enters the game for M. Turner,,3-3,,
10:20.0,,,3-3,,M. Williams misses 2-pt shot from 3 ft
10:20.0,Defensive rebound by Team,,3-3,,
10:20.0,,,3-3,,Loose ball foul by D. Howard (drawn by V. Oladipo)
10:02.0,B. Bogdanovic misses 2-pt shot from 3 ft (block by N. Batum),,3-3,,
9:59.0,,,3-3,,Defensive rebound by M. Williams
9:53.0,,,3-5,2,D. Howard makes 2-pt shot from 3 ft (assist by M. Kidd-Gilchrist)
9:43.0,V. Oladipo misses 2-pt shot from 1 ft,,3-5,,
9:43.0,,,3-5,,Defensive rebound by Team
9:40.0,Jump ball: M. Kidd-Gilchrist vs. V. Oladipo (K. Walker gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. V. Oladipo (K. Walker gains possession)
9:37.0,,,3-5,,Shooting foul by V. Oladipo (drawn by M. Kidd-Gilchrist)
9:37.0,,,3-6,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:37.0,,,3-7,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:24.0,D. Sabonis makes 2-pt shot from 19 ft (assist by D. Collison),2,5-7,,
9:01.0,,,5-7,,Turnover by M. Williams (bad pass; steal by V. Oladipo)
8:57.0,D. Sabonis makes 2-pt shot from 1 ft (assist by V. Oladipo),2,7-7,,
8:41.0,,,7-10,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
8:25.0,D. Sabonis misses 2-pt shot from 7 ft (block by M. Williams),,7-10,,
8:22.0,T. Young misses 2-pt shot from 4 ft,,7-10,,
8:22.0,Offensive rebound by T. Young,,7-10,,
8:21.0,Offensive rebound by D. Sabonis,,7-10,,
8:20.0,D. Sabonis makes 2-pt shot at rim,2,9-10,,
8:08.0,,,9-10,,K. Walker misses 3-pt shot from 26 ft
8:04.0,Defensive rebound by V. Oladipo,,9-10,,
7:57.0,,,9-10,,Personal foul by D. Howard (drawn by V. Oladipo)
7:51.0,V. Oladipo makes 3-pt shot from 25 ft (assist by D. Collison),3,12-10,,
7:36.0,,,12-10,,Shooting foul by D. Sabonis (drawn by M. Williams)
7:36.0,,,12-11,1,M. Williams makes free throw 1 of 2
7:36.0,,,12-12,1,M. Williams makes free throw 2 of 2
7:22.0,D. Sabonis misses 2-pt shot from 7 ft,,12-12,,
7:19.0,,,12-12,,Defensive rebound by D. Howard
7:14.0,,,12-12,,Turnover by K. Walker (out of bounds lost ball)
7:01.0,B. Bogdanovic makes 2-pt shot from 14 ft,2,14-12,,
6:46.0,,,14-12,,Turnover by M. Kidd-Gilchrist (lost ball; steal by T. Young)
6:46.0,,,14-12,,Personal foul by M. Kidd-Gilchrist (drawn by V. Oladipo)
6:46.0,,,14-12,,Charlotte full timeout
6:26.0,Turnover by D. Sabonis (turnover),,14-12,,
6:15.0,,,14-12,,Turnover by N. Batum (bad pass; steal by T. Young)
5:55.0,D. Collison misses 3-pt shot from 24 ft,,14-12,,
5:52.0,,,14-12,,Defensive rebound by D. Howard
5:40.0,,,14-12,,Turnover by M. Williams (traveling)
5:29.0,D. Sabonis makes 2-pt shot from 11 ft (assist by V. Oladipo),2,16-12,,
5:13.0,,,16-12,,Turnover by N. Batum (bad pass; steal by T. Young)
5:08.0,T. Young makes 2-pt shot from 1 ft,2,18-12,,
4:46.0,,,18-12,,N. Batum misses 2-pt shot from 12 ft
4:39.0,,,18-12,,Offensive rebound by D. Howard
4:39.0,,,18-14,2,D. Howard makes 2-pt shot at rim
4:32.0,D. Collison misses 2-pt shot from 16 ft,,18-14,,
4:29.0,,,18-14,,Defensive rebound by D. Howard
4:22.0,G. Robinson enters the game for B. Bogdanovic,,18-14,,
4:16.0,,,18-17,3,M. Williams makes 3-pt shot from 26 ft (assist by K. Walker)
3:59.0,D. Collison misses 2-pt shot from 20 ft,,18-17,,
3:56.0,,,18-17,,Defensive rebound by M. Williams
3:47.0,,,18-17,,N. Batum misses 2-pt shot from 9 ft
3:45.0,Defensive rebound by T. Young,,18-17,,
3:37.0,V. Oladipo makes 3-pt shot from 25 ft,3,21-17,,
3:20.0,,,21-17,,Offensive foul by D. Howard (drawn by D. Sabonis)
3:20.0,,,21-17,,Turnover by D. Howard (offensive foul)
3:20.0,,,21-17,,J. Lamb enters the game for M. Williams
3:20.0,,,21-17,,W. Hernangomez enters the game for N. Batum
3:20.0,,,21-17,,F. Kaminsky enters the game for D. Howard
3:20.0,C. Joseph enters the game for D. Collison,,21-17,,
3:20.0,T. Booker enters the game for T. Young,,21-17,,
3:06.0,D. Sabonis makes 2-pt shot from 7 ft (assist by V. Oladipo),2,23-17,,
2:54.0,,,23-19,2,F. Kaminsky makes 2-pt shot from 18 ft (assist by K. Walker)
2:34.0,V. Oladipo makes 2-pt shot from 1 ft,2,25-19,,
2:28.0,,,25-19,,Charlotte full timeout
2:28.0,,,25-19,,J. Stone enters the game for M. Kidd-Gilchrist
2:28.0,,,25-19,,M. Monk enters the game for K. Walker
2:28.0,L. Stephenson enters the game for V. Oladipo,,25-19,,
2:20.0,,,25-21,2,F. Kaminsky makes 2-pt shot from 13 ft (assist by M. Monk)
2:02.0,C. Joseph makes 2-pt shot from 11 ft (assist by D. Sabonis),2,27-21,,
1:45.0,,,27-23,2,M. Monk makes 2-pt shot from 19 ft (assist by F. Kaminsky)
1:30.0,D. Sabonis makes 2-pt shot from 17 ft (assist by L. Stephenson),2,29-23,,
1:08.0,,,29-25,2,W. Hernangomez makes 2-pt shot from 4 ft
0:53.0,T. Booker misses 2-pt shot from 7 ft,,29-25,,
0:51.0,,,29-25,,Defensive rebound by W. Hernangomez
0:31.0,,,29-25,,F. Kaminsky misses 2-pt shot from 3 ft
0:29.0,Defensive rebound by D. Sabonis,,29-25,,
0:22.0,D. Sabonis makes 2-pt shot from 15 ft (assist by L. Stephenson),2,31-25,,
0:00.0,,,31-25,,M. Monk misses 3-pt shot from 28 ft
0:00.0,,,31-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Violation by T. Booker (kicked ball),,31-25,,
11:46.0,,,31-25,,F. Kaminsky misses 2-pt shot from 2 ft
11:42.0,Defensive rebound by D. Sabonis,,31-25,,
11:38.0,L. Stephenson misses 3-pt shot from 25 ft,,31-25,,
11:38.0,,,31-25,,Defensive rebound by Team
11:38.0,Loose ball foul by T. Booker (drawn by J. Stone),,31-25,,
11:27.0,,,31-28,3,M. Monk makes 3-pt shot from 25 ft (assist by F. Kaminsky)
11:14.0,G. Robinson makes 2-pt shot from 19 ft (assist by L. Stephenson),2,33-28,,
11:00.0,,,33-28,,J. Lamb misses 2-pt shot from 13 ft
10:57.0,Defensive rebound by L. Stephenson,,33-28,,
10:51.0,Turnover by G. Robinson (bad pass),,33-28,,
10:34.0,,,33-30,2,J. Lamb makes 2-pt shot from 1 ft (assist by W. Hernangomez)
10:15.0,D. Sabonis misses 2-pt shot from 1 ft,,33-30,,
10:13.0,,,33-30,,Defensive rebound by J. Stone
10:08.0,,,33-30,,J. Lamb misses 2-pt shot from 15 ft
10:04.0,Defensive rebound by T. Booker,,33-30,,
9:54.0,G. Robinson makes 3-pt shot from 23 ft (assist by C. Joseph),3,36-30,,
9:36.0,,,36-30,,Shooting foul by D. Sabonis (drawn by W. Hernangomez)
9:36.0,,,36-31,1,W. Hernangomez makes free throw 1 of 2
9:36.0,,,36-32,1,W. Hernangomez makes free throw 2 of 2
9:18.0,T. Booker makes 2-pt shot from 1 ft (assist by G. Robinson),2,38-32,,
9:05.0,,,38-34,2,M. Monk makes 2-pt shot from 5 ft
8:50.0,G. Robinson makes 3-pt shot from 23 ft (assist by D. Sabonis),3,41-34,,
8:34.0,,,41-34,,J. Stone misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by T. Booker,,41-34,,
8:23.0,G. Robinson makes 3-pt shot from 25 ft (assist by L. Stephenson),3,44-34,,
8:23.0,,,44-34,,Charlotte full timeout
8:11.0,,,44-34,,F. Kaminsky misses 3-pt shot from 26 ft
8:09.0,Defensive rebound by L. Stephenson,,44-34,,
7:58.0,,,44-34,,Violation by F. Kaminsky (kicked ball)
7:52.0,Turnover by G. Robinson (bad pass),,44-34,,
7:38.0,,,44-37,3,M. Monk makes 3-pt shot from 24 ft (assist by W. Hernangomez)
7:21.0,D. Sabonis misses 2-pt shot from 18 ft,,44-37,,
7:14.0,Offensive rebound by T. Booker,,44-37,,
7:14.0,T. Booker makes 2-pt shot at rim,2,46-37,,
7:07.0,,,46-37,,M. Monk misses 3-pt shot from 26 ft
7:04.0,Defensive rebound by G. Robinson,,46-37,,
6:49.0,D. Sabonis makes 2-pt shot from 11 ft (assist by T. Booker),2,48-37,,
6:33.0,,,48-37,,Shooting foul by D. Sabonis (drawn by J. Lamb)
6:33.0,,,48-38,1,J. Lamb makes free throw 1 of 2
6:33.0,,,48-38,,K. Walker enters the game for J. Stone
6:33.0,V. Oladipo enters the game for D. Sabonis,,48-38,,
6:33.0,B. Bogdanovic enters the game for G. Robinson,,48-38,,
6:33.0,,,48-39,1,J. Lamb makes free throw 2 of 2
6:18.0,C. Joseph makes 2-pt shot from 18 ft,2,50-39,,
6:00.0,,,50-39,,M. Monk misses 3-pt shot from 27 ft
5:57.0,Defensive rebound by L. Stephenson,,50-39,,
5:51.0,T. Booker makes 2-pt shot from 2 ft (assist by L. Stephenson),2,52-39,,
5:35.0,,,52-39,,F. Kaminsky misses 2-pt shot from 6 ft
5:32.0,Defensive rebound by L. Stephenson,,52-39,,
5:26.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by L. Stephenson),2,54-39,,
5:12.0,,,54-39,,K. Walker misses 2-pt shot from 1 ft
5:10.0,Defensive rebound by V. Oladipo,,54-39,,
5:06.0,Turnover by C. Joseph (bad pass),,54-39,,
5:06.0,,,54-39,,N. Batum enters the game for M. Monk
5:06.0,,,54-39,,D. Howard enters the game for J. Lamb
5:06.0,,,54-39,,M. Kidd-Gilchrist enters the game for W. Hernangomez
5:06.0,M. Turner enters the game for T. Booker,,54-39,,
4:55.0,,,54-41,2,K. Walker makes 2-pt shot from 2 ft
4:55.0,,,54-41,,Shooting foul by L. Stephenson (drawn by K. Walker)
4:55.0,,,54-41,,M. Williams enters the game for F. Kaminsky
4:55.0,,,54-42,1,K. Walker makes free throw 1 of 1
4:38.0,V. Oladipo makes 2-pt shot from 1 ft,2,56-42,,
4:25.0,,,56-44,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft (assist by K. Walker)
4:09.0,C. Joseph misses 2-pt shot from 20 ft,,56-44,,
4:05.0,,,56-44,,Defensive rebound by M. Williams
3:59.0,,,56-46,2,K. Walker makes 2-pt shot from 1 ft
3:52.0,V. Oladipo makes 2-pt shot from 2 ft,2,58-46,,
3:37.0,,,58-48,2,K. Walker makes 2-pt shot from 1 ft
3:28.0,L. Stephenson misses 2-pt shot from 17 ft,,58-48,,
3:22.0,,,58-48,,Defensive rebound by N. Batum
3:13.0,,,58-48,,K. Walker misses 3-pt shot from 25 ft
3:10.0,Defensive rebound by V. Oladipo,,58-48,,
3:10.0,Indiana full timeout,,58-48,,
3:10.0,D. Collison enters the game for C. Joseph,,58-48,,
3:03.0,V. Oladipo misses 2-pt shot from 1 ft,,58-48,,
3:01.0,,,58-48,,Defensive rebound by D. Howard
2:53.0,,,58-50,2,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum)
2:43.0,B. Bogdanovic makes 2-pt shot at rim (assist by V. Oladipo),2,60-50,,
2:36.0,,,60-50,,M. Williams misses 3-pt shot from 25 ft
2:34.0,Defensive rebound by L. Stephenson,,60-50,,
2:32.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by L. Stephenson),2,62-50,,
2:32.0,,,62-50,,Violation by N. Batum (def goaltending)
2:21.0,,,62-50,,M. Williams misses 3-pt shot from 27 ft
2:21.0,Defensive rebound by Team,,62-50,,
2:05.0,V. Oladipo makes 2-pt shot from 16 ft,2,64-50,,
