time,LA Clippers,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. D. Jordan (P. Beverley gains possession),,,,Jump ball: P. Gasol vs. D. Jordan (P. Beverley gains possession)
11:36.0,Turnover by A. Rivers (bad pass; steal by P. Mills),,0-0,,
11:32.0,,,0-2,2,D. Green makes 2-pt shot from 1 ft (assist by P. Mills)
11:18.0,P. Beverley makes 2-pt shot from 8 ft,2,2-2,,
10:57.0,,,2-2,,Turnover by P. Gasol (lost ball; steal by A. Rivers)
10:52.0,P. Beverley makes 2-pt shot from 1 ft,2,4-2,,
10:32.0,,,4-4,2,K. Anderson makes 2-pt shot from 6 ft
10:16.0,W. Johnson makes 2-pt shot from 9 ft,2,6-4,,
9:59.0,,,6-4,,P. Gasol misses 3-pt shot from 22 ft
9:57.0,,,6-4,,Offensive rebound by K. Anderson
9:53.0,,,6-7,3,D. Green makes 3-pt shot from 25 ft (assist by K. Anderson)
9:43.0,B. Griffin makes 3-pt shot from 24 ft (assist by P. Beverley),3,9-7,,
9:27.0,,,9-7,,P. Mills misses 3-pt shot from 26 ft
9:23.0,Defensive rebound by D. Jordan,,9-7,,
9:16.0,P. Beverley misses 2-pt shot from 10 ft,,9-7,,
9:11.0,,,9-7,,Defensive rebound by P. Mills
8:52.0,,,9-9,2,P. Mills makes 2-pt shot from 20 ft (assist by P. Gasol)
8:36.0,W. Johnson misses 3-pt shot from 24 ft,,9-9,,
8:33.0,,,9-9,,Defensive rebound by P. Mills
8:24.0,,,9-9,,P. Mills misses 2-pt shot from 21 ft
8:22.0,Defensive rebound by D. Jordan,,9-9,,
8:10.0,W. Johnson makes 2-pt shot at rim (assist by B. Griffin),2,11-9,,
7:57.0,,,11-12,3,P. Gasol makes 3-pt shot from 23 ft (assist by K. Anderson)
7:34.0,Turnover by D. Jordan (turnover),,11-12,,
7:19.0,,,11-15,3,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Green)
7:10.0,B. Griffin misses 3-pt shot from 25 ft,,11-15,,
7:06.0,,,11-15,,Defensive rebound by P. Gasol
6:55.0,,,11-15,,L. Aldridge misses 2-pt shot from 9 ft
6:53.0,Defensive rebound by W. Johnson,,11-15,,
6:51.0,Shooting foul by P. Gasol (drawn by B. Griffin),,11-15,,
6:51.0,,,11-15,,San Antonio full timeout
6:51.0,B. Griffin makes free throw 2 of 2,1,12-15,,
6:51.0,B. Griffin makes free throw 1 of 2,1,13-15,,
6:40.0,,,13-17,2,L. Aldridge makes 2-pt shot from 19 ft (assist by P. Mills)
6:15.0,D. Jordan makes 2-pt shot from 2 ft (assist by A. Rivers),2,15-17,,
6:07.0,Personal foul by P. Beverley (drawn by P. Mills),,15-17,,
6:04.0,,,15-19,2,D. Green makes 2-pt shot from 1 ft (assist by K. Anderson)
5:45.0,A. Rivers makes 3-pt shot from 24 ft,3,18-19,,
5:29.0,,,18-19,,P. Mills misses 3-pt shot from 24 ft
5:26.0,Defensive rebound by B. Griffin,,18-19,,
5:18.0,W. Johnson makes 3-pt shot from 22 ft (assist by B. Griffin),3,21-19,,
5:00.0,,,21-19,,L. Aldridge misses 2-pt shot from 12 ft
4:56.0,Defensive rebound by D. Jordan,,21-19,,
4:38.0,A. Rivers misses 3-pt shot from 26 ft,,21-19,,
4:33.0,,,21-19,,Defensive rebound by P. Gasol
4:24.0,,,21-19,,L. Aldridge misses 2-pt shot from 22 ft
4:21.0,Defensive rebound by P. Beverley,,21-19,,
4:12.0,Turnover by D. Jordan (turnover),,21-19,,
4:12.0,,,21-19,,D. Murray enters the game for K. Anderson
4:12.0,,,21-19,,M. Ginobili enters the game for P. Mills
3:56.0,,,21-22,3,D. Green makes 3-pt shot from 25 ft (assist by P. Gasol)
3:44.0,A. Rivers misses 2-pt shot from 10 ft,,21-22,,
3:41.0,,,21-22,,Defensive rebound by D. Murray
3:36.0,,,21-24,2,M. Ginobili makes 2-pt shot from 1 ft (assist by D. Murray)
3:36.0,LA Clippers full timeout,,21-24,,
3:36.0,,,21-24,,R. Gay enters the game for P. Gasol
3:36.0,S. Thornwell enters the game for A. Rivers,,21-24,,
3:36.0,S. Dekker enters the game for W. Johnson,,21-24,,
3:17.0,B. Griffin misses 2-pt shot from 1 ft (block by L. Aldridge),,21-24,,
3:13.0,,,21-24,,Defensive rebound by R. Gay
3:02.0,,,21-26,2,R. Gay makes 2-pt shot from 17 ft (assist by M. Ginobili)
2:48.0,B. Griffin misses 3-pt shot from 24 ft,,21-26,,
2:44.0,,,21-26,,Defensive rebound by D. Murray
2:37.0,,,21-26,,D. Green misses 2-pt shot from 20 ft
2:35.0,Defensive rebound by Team,,21-26,,
2:35.0,,,21-26,,B. Paul enters the game for D. Green
2:35.0,W. Reed enters the game for D. Jordan,,21-26,,
2:14.0,P. Beverley misses 2-pt shot from 10 ft,,21-26,,
2:14.0,Offensive rebound by Team,,21-26,,
2:14.0,,,21-26,,Personal foul by R. Gay (drawn by W. Reed)
2:14.0,L. Williams enters the game for P. Beverley,,21-26,,
2:00.0,B. Griffin makes 2-pt shot from 12 ft,2,23-26,,
1:39.0,,,23-26,,M. Ginobili misses 3-pt shot from 22 ft
1:36.0,Defensive rebound by S. Dekker,,23-26,,
1:31.0,Turnover by L. Williams (bad pass; steal by D. Murray),,23-26,,
1:21.0,,,23-28,2,L. Aldridge makes 2-pt shot from 21 ft (assist by B. Paul)
1:05.0,L. Williams misses 2-pt shot from 15 ft,,23-28,,
1:01.0,,,23-28,,Defensive rebound by R. Gay
0:58.0,,,23-28,,R. Gay misses 2-pt shot from 2 ft (block by W. Reed)
0:58.0,Defensive rebound by S. Dekker,,23-28,,
0:49.0,S. Dekker misses 3-pt shot from 22 ft,,23-28,,
0:49.0,,,23-28,,Defensive rebound by R. Gay
0:41.0,Personal foul by S. Dekker (drawn by D. Murray),,23-28,,
0:41.0,,,23-28,,P. Gasol enters the game for L. Aldridge
0:41.0,W. Johnson enters the game for B. Griffin,,23-28,,
0:35.0,,,23-30,2,R. Gay makes 2-pt shot from 1 ft (assist by P. Gasol)
0:15.0,L. Williams makes 3-pt shot from 24 ft,3,26-30,,
0:06.0,Personal foul by S. Thornwell (drawn by D. Murray),,26-30,,
0:06.0,,,26-31,1,D. Murray makes free throw 2 of 2
0:06.0,,,26-32,1,D. Murray makes free throw 1 of 2
0:06.0,A. Rivers enters the game for S. Dekker,,26-32,,
0:01.0,,,26-32,,Personal foul by D. Murray (drawn by A. Rivers)
0:00.0,L. Williams misses 3-pt shot from 22 ft,,26-32,,
0:00.0,Offensive rebound by Team,,26-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,26-32,,Offensive foul by P. Gasol (drawn by W. Johnson)
11:45.0,,,26-32,,Turnover by P. Gasol (offensive foul)
11:26.0,W. Johnson makes 3-pt shot from 22 ft (assist by A. Rivers),3,29-32,,
11:03.0,,,29-34,2,P. Gasol makes 2-pt shot from 10 ft
10:50.0,A. Rivers makes 2-pt shot from 1 ft (assist by W. Johnson),2,31-34,,
10:32.0,,,31-34,,D. Murray misses 2-pt shot from 3 ft (block by W. Johnson)
10:28.0,,,31-34,,Offensive rebound by D. Murray
10:27.0,,,31-34,,B. Paul misses 3-pt shot from 23 ft
10:23.0,,,31-34,,Offensive rebound by P. Gasol
10:19.0,,,31-37,3,R. Gay makes 3-pt shot from 26 ft (assist by D. Murray)
10:01.0,A. Rivers makes 3-pt shot from 26 ft (assist by W. Johnson),3,34-37,,
9:45.0,,,34-39,2,P. Gasol makes 2-pt shot from 11 ft (assist by B. Paul)
9:19.0,W. Reed makes 2-pt shot from 9 ft (assist by S. Thornwell),2,36-39,,
8:58.0,,,36-41,2,R. Gay makes 2-pt shot from 1 ft (assist by P. Gasol)
8:51.0,,,36-41,,Personal foul by B. Paul (drawn by L. Williams)
8:51.0,,,36-41,,D. Green enters the game for M. Ginobili
8:42.0,,,36-41,,Personal foul by R. Gay (drawn by L. Williams)
8:41.0,Turnover by L. Williams (bad pass; steal by D. Green),,36-41,,
8:31.0,,,36-41,,D. Green misses 2-pt shot from 1 ft
8:28.0,Defensive rebound by S. Thornwell,,36-41,,
8:24.0,S. Thornwell makes 2-pt shot from 2 ft,2,38-41,,
8:13.0,Personal foul by W. Reed (drawn by P. Gasol),,38-41,,
8:13.0,,,38-41,,San Antonio full timeout
8:13.0,,,38-41,,K. Anderson enters the game for D. Murray
8:13.0,,,38-41,,P. Mills enters the game for R. Gay
8:05.0,,,38-41,,Turnover by B. Paul (bad pass; steal by L. Williams)
8:00.0,S. Thornwell misses 2-pt shot from 2 ft,,38-41,,
7:57.0,,,38-41,,Defensive rebound by K. Anderson
7:52.0,,,38-41,,Turnover by K. Anderson (traveling)
7:41.0,A. Rivers makes 2-pt shot from 1 ft (assist by L. Williams),2,40-41,,
7:28.0,,,40-41,,Turnover by P. Gasol (bad pass; steal by S. Thornwell)
7:19.0,Turnover by A. Rivers (bad pass; steal by B. Paul),,40-41,,
7:03.0,,,40-43,2,P. Gasol makes 2-pt shot from 3 ft
6:41.0,A. Rivers makes 2-pt shot from 3 ft,2,42-43,,
6:25.0,,,42-43,,D. Green misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by A. Rivers,,42-43,,
6:16.0,A. Rivers misses 2-pt shot from 9 ft,,42-43,,
6:13.0,,,42-43,,Defensive rebound by B. Paul
6:13.0,Personal foul by W. Johnson (drawn by B. Paul),,42-43,,
6:13.0,,,42-43,,B. Forbes enters the game for B. Paul
6:13.0,,,42-43,,L. Aldridge enters the game for P. Gasol
6:13.0,B. Griffin enters the game for S. Thornwell,,42-43,,
6:13.0,D. Jordan enters the game for A. Rivers,,42-43,,
6:13.0,P. Beverley enters the game for W. Reed,,42-43,,
6:08.0,,,42-43,,P. Mills misses 2-pt shot from 19 ft
6:06.0,Defensive rebound by L. Williams,,42-43,,
6:06.0,,,42-43,,Personal foul by D. Green (drawn by L. Williams)
5:47.0,W. Johnson makes 2-pt shot from 21 ft (assist by P. Beverley),2,44-43,,
5:30.0,,,44-43,,Turnover by P. Mills (bad pass; steal by W. Johnson)
5:24.0,Turnover by W. Johnson (bad pass; steal by P. Mills),,44-43,,
5:19.0,,,44-43,,D. Green misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by B. Griffin,,44-43,,
5:06.0,L. Williams misses 3-pt shot from 25 ft,,44-43,,
5:02.0,Offensive rebound by D. Jordan,,44-43,,
5:00.0,D. Jordan misses 2-pt shot from 1 ft,,44-43,,
5:00.0,,,44-43,,Defensive rebound by L. Aldridge
4:52.0,,,44-43,,Shooting foul by L. Williams (drawn by D. Green)
4:52.0,,,44-44,1,D. Green makes free throw 1 of 3
4:52.0,,,44-45,1,D. Green makes free throw 2 of 3
4:52.0,,,44-46,1,D. Green makes free throw 3 of 3
4:42.0,D. Jordan makes 2-pt shot at rim (assist by P. Beverley),2,46-46,,
4:21.0,,,46-48,2,K. Anderson makes 2-pt shot from 15 ft
4:04.0,L. Williams misses 2-pt shot from 15 ft,,46-48,,
4:01.0,,,46-48,,Defensive rebound by L. Aldridge
3:54.0,Personal foul by D. Jordan (drawn by K. Anderson),,46-48,,
3:54.0,LA Clippers full timeout,,46-48,,
3:54.0,,,46-48,,R. Gay enters the game for D. Green
3:54.0,,,46-48,,M. Ginobili enters the game for B. Forbes
3:54.0,A. Rivers enters the game for L. Williams,,46-48,,
3:44.0,,,46-48,,K. Anderson misses 2-pt shot from 4 ft
3:41.0,Defensive rebound by B. Griffin,,46-48,,
3:39.0,,,46-48,,Personal foul by K. Anderson (drawn by D. Jordan)
3:23.0,Turnover by P. Beverley (lost ball; steal by M. Ginobili),,46-48,,
3:04.0,Jump ball: R. Gay vs. W. Johnson (L. Aldridge gains possession),,,,Jump ball: R. Gay vs. W. Johnson (L. Aldridge gains possession)
2:59.0,,,46-48,,L. Aldridge misses 2-pt shot from 19 ft
2:57.0,Defensive rebound by B. Griffin,,46-48,,
2:38.0,B. Griffin misses 2-pt shot from 2 ft (block by L. Aldridge),,46-48,,
2:30.0,Offensive rebound by A. Rivers,,46-48,,
2:30.0,A. Rivers makes 2-pt shot at rim,2,48-48,,
2:19.0,,,48-48,,Shooting foul by A. Rivers (drawn by R. Gay)
2:19.0,,,48-49,1,R. Gay makes free throw 1 of 2
2:19.0,,,48-50,1,R. Gay makes free throw 2 of 2
2:13.0,,,48-50,,Personal foul by P. Mills (drawn by P. Beverley)
2:13.0,P. Beverley makes free throw 1 of 2,1,49-50,,
2:13.0,P. Beverley makes free throw 2 of 2,1,50-50,,
1:49.0,,,50-50,,R. Gay misses 2-pt shot from 14 ft
1:46.0,Defensive rebound by P. Beverley,,50-50,,
1:33.0,Turnover by D. Jordan (bad pass),,50-50,,
1:33.0,L. Williams enters the game for W. Johnson,,50-50,,
1:08.0,,,50-52,2,L. Aldridge makes 2-pt shot from 21 ft (assist by R. Gay)
0:56.0,L. Williams makes 2-pt shot from 1 ft (assist by D. Jordan),2,52-52,,
0:33.0,,,52-52,,M. Ginobili misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by B. Griffin,,52-52,,
0:14.0,B. Griffin makes 3-pt shot from 25 ft (assist by L. Williams),3,55-52,,
0:03.0,,,55-52,,L. Aldridge misses 2-pt shot from 2 ft
0:00.0,Defensive rebound by B. Griffin,,55-52,,
0:00.0,B. Griffin misses 3-pt shot from 31 ft,,55-52,,
0:00.0,Offensive rebound by Team,,55-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,55-52,,Turnover by D. Green (out of bounds lost ball)
11:32.0,Turnover by P. Beverley (bad pass),,55-52,,
11:09.0,,,55-52,,L. Aldridge misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by W. Johnson,,55-52,,
11:01.0,P. Beverley misses 2-pt shot from 2 ft (block by D. Green),,55-52,,
10:59.0,B. Griffin misses 3-pt shot from 22 ft,,55-52,,
10:57.0,Offensive rebound by W. Johnson,,55-52,,
10:55.0,,,55-52,,Defensive rebound by P. Gasol
10:49.0,,,55-54,2,D. Green makes 2-pt shot at rim (assist by P. Mills)
10:23.0,P. Beverley misses 3-pt shot from 23 ft,,55-54,,
10:23.0,,,55-54,,Defensive rebound by L. Aldridge
10:11.0,,,55-54,,Shooting foul by W. Johnson (drawn by L. Aldridge)
10:11.0,,,55-55,1,L. Aldridge makes free throw 1 of 2
10:11.0,,,55-56,1,L. Aldridge makes free throw 2 of 2
9:46.0,Shooting foul by L. Aldridge (drawn by D. Jordan),,55-56,,
9:46.0,D. Jordan misses free throw 1 of 2,,55-56,,
9:46.0,Offensive rebound by Team,,55-56,,
9:46.0,D. Jordan makes free throw 2 of 2,1,56-56,,
9:31.0,,,56-58,2,L. Aldridge makes 2-pt shot from 9 ft
9:16.0,A. Rivers makes 3-pt shot from 25 ft,3,59-58,,
8:56.0,,,59-61,3,D. Green makes 3-pt shot from 25 ft (assist by L. Aldridge)
8:43.0,B. Griffin misses 3-pt shot from 25 ft,,59-61,,
8:38.0,,,59-61,,Defensive rebound by K. Anderson
8:30.0,,,59-61,,P. Mills misses 3-pt shot from 23 ft
8:30.0,Defensive rebound by W. Johnson,,59-61,,
8:08.0,Shooting foul by K. Anderson (drawn by D. Jordan),,59-61,,
8:08.0,D. Jordan makes free throw 1 of 2,1,60-61,,
8:08.0,D. Jordan makes free throw 2 of 2,1,61-61,,
7:49.0,,,61-61,,L. Aldridge misses 2-pt shot from 11 ft
7:43.0,,,61-61,,Offensive rebound by D. Green
7:42.0,,,61-61,,D. Green misses 2-pt shot from 1 ft
7:42.0,Defensive rebound by D. Jordan,,61-61,,
7:24.0,Turnover by Team (shot clock),,61-61,,
7:23.0,P. Beverley misses 3-pt shot from 23 ft,,61-61,,
7:23.0,Offensive rebound by Team,,61-61,,
7:14.0,,,61-63,2,L. Aldridge makes 2-pt shot at rim (assist by P. Gasol)
6:56.0,Turnover by W. Johnson (lost ball; steal by K. Anderson),,61-63,,
6:53.0,,,61-63,,D. Green misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by Team,,61-63,,
6:53.0,,,61-63,,Personal foul by P. Gasol (drawn by B. Griffin)
6:53.0,,,61-63,,San Antonio full timeout
6:53.0,,,61-63,,R. Gay enters the game for P. Gasol
6:38.0,P. Beverley misses 3-pt shot from 26 ft,,61-63,,
6:34.0,,,61-63,,Defensive rebound by R. Gay
6:22.0,,,61-66,3,D. Green makes 3-pt shot from 23 ft (assist by P. Mills)
6:06.0,A. Rivers makes 2-pt shot from 14 ft,2,63-66,,
5:50.0,,,63-68,2,K. Anderson makes 2-pt shot from 1 ft
5:50.0,,,63-68,,Shooting foul by W. Johnson (drawn by K. Anderson)
5:50.0,,,63-68,,D. Murray enters the game for P. Mills
5:50.0,,,63-68,,K. Anderson misses free throw 1 of 1
5:47.0,Defensive rebound by P. Beverley,,63-68,,
5:44.0,Turnover by P. Beverley (bad pass; steal by R. Gay),,63-68,,
5:41.0,,,63-71,3,R. Gay makes 3-pt shot from 25 ft
5:41.0,LA Clippers full timeout,,63-71,,
5:30.0,A. Rivers makes 3-pt shot from 25 ft (assist by B. Griffin),3,66-71,,
5:17.0,Personal foul by P. Beverley (drawn by D. Murray),,66-71,,
5:17.0,L. Williams enters the game for W. Johnson,,66-71,,
5:07.0,,,66-73,2,R. Gay makes 2-pt shot from 17 ft
4:48.0,P. Beverley misses 3-pt shot from 24 ft,,66-73,,
4:44.0,,,66-73,,Defensive rebound by L. Aldridge
4:36.0,,,66-75,2,L. Aldridge makes 2-pt shot from 18 ft (assist by D. Murray)
4:17.0,A. Rivers makes 2-pt shot from 11 ft,2,68-75,,
3:52.0,,,68-78,3,R. Gay makes 3-pt shot from 25 ft (assist by L. Aldridge)
3:33.0,Turnover by B. Griffin (bad pass; steal by L. Aldridge),,68-78,,
3:30.0,,,68-78,,Shooting foul by A. Rivers (drawn by D. Murray)
3:30.0,,,68-79,1,D. Murray makes free throw 1 of 2
3:30.0,,,68-79,,M. Ginobili enters the game for K. Anderson
3:30.0,,,68-79,,B. Forbes enters the game for D. Green
3:30.0,W. Reed enters the game for D. Jordan,,68-79,,
3:30.0,,,68-79,,D. Murray misses free throw 2 of 2
3:28.0,Defensive rebound by B. Griffin,,68-79,,
3:16.0,A. Rivers misses 3-pt shot from 25 ft,,68-79,,
3:14.0,,,68-79,,Defensive rebound by R. Gay
3:03.0,,,68-79,,L. Aldridge misses 2-pt shot from 14 ft
2:59.0,Defensive rebound by B. Griffin,,68-79,,
2:50.0,B. Griffin misses 2-pt shot from 2 ft,,68-79,,
2:45.0,,,68-79,,Defensive rebound by D. Murray
2:45.0,Personal foul by P. Beverley (drawn by D. Murray),,68-79,,
2:45.0,,,68-80,1,D. Murray makes free throw 1 of 2
2:45.0,S. Thornwell enters the game for A. Rivers,,68-80,,
2:45.0,,,68-80,,D. Murray misses free throw 2 of 2
2:45.0,Defensive rebound by W. Reed,,68-80,,
2:34.0,P. Beverley misses 3-pt shot from 25 ft,,68-80,,
2:31.0,,,68-80,,Defensive rebound by L. Aldridge
2:29.0,,,68-80,,Shooting foul by P. Beverley (drawn by D. Murray)
2:29.0,,,68-81,1,D. Murray makes free throw 1 of 2
2:29.0,Violation by P. Beverley (lane),,68-81,,
2:29.0,W. Johnson enters the game for P. Beverley,,68-81,,
2:29.0,J. Evans enters the game for B. Griffin,,68-81,,
