time,Toronto,pts.away,score,pts.home,Denver
5:02.0,,,87-118,,M. Beasley misses 2-pt shot from 6 ft (block by A. McKinnie)
5:02.0,,,87-118,,Offensive rebound by Team
4:56.0,,,87-118,,W. Barton misses 2-pt shot from 5 ft
4:56.0,,,87-118,,Offensive rebound by Team
4:56.0,,,87-118,,Shooting foul by A. McKinnie (drawn by W. Barton)
4:56.0,,,87-118,,W. Barton misses free throw 1 of 2
4:56.0,,,87-118,,Offensive rebound by Team
4:56.0,,,87-119,1,W. Barton makes free throw 2 of 2
4:46.0,Offensive charge foul by A. McKinnie (drawn by K. Faried),,87-119,,
4:46.0,Turnover by A. McKinnie (offensive foul),,87-119,,
4:46.0,,,87-119,,R. Jefferson enters the game for W. Barton
4:27.0,,,87-121,2,K. Faried makes 2-pt shot from 4 ft
4:18.0,F. VanVleet misses 3-pt shot from 25 ft,,87-121,,
4:14.0,,,87-121,,Defensive rebound by M. Beasley
3:56.0,,,87-121,,E. Mudiay misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by F. VanVleet,,87-121,,
3:44.0,Shooting foul by T. Lyles (drawn by P. Siakam),,87-121,,
3:44.0,P. Siakam misses free throw 1 of 2,,87-121,,
3:44.0,Offensive rebound by Team,,87-121,,
3:44.0,P. Siakam makes free throw 2 of 2,1,88-121,,
3:24.0,,,88-121,,E. Mudiay misses 2-pt shot from 6 ft
3:21.0,Defensive rebound by P. Siakam,,88-121,,
3:19.0,A. McKinnie makes 2-pt shot from 6 ft (assist by D. Wright),2,90-121,,
3:19.0,Shooting foul by K. Faried (drawn by A. McKinnie),,90-121,,
3:19.0,A. McKinnie misses free throw 1 of 1,,90-121,,
3:16.0,Offensive rebound by P. Siakam,,90-121,,
3:15.0,P. Siakam makes 2-pt shot from 2 ft,2,92-121,,
3:06.0,,,92-121,,Shooting foul by A. McKinnie (drawn by E. Mudiay)
3:06.0,,,92-121,,E. Mudiay misses free throw 1 of 2
3:06.0,,,92-121,,Offensive rebound by Team
3:06.0,,,92-122,1,E. Mudiay makes free throw 2 of 2
2:58.0,F. VanVleet makes 2-pt shot from 5 ft,2,94-122,,
2:52.0,,,94-122,,Turnover by T. Lyles (bad pass; steal by O. Anunoby)
2:52.0,O. Anunoby makes 3-pt shot from 26 ft,3,97-122,,
2:52.0,Toronto full timeout,,97-122,,
2:35.0,,,97-124,2,M. Beasley makes 2-pt shot from 3 ft (assist by E. Mudiay)
2:25.0,F. VanVleet misses 2-pt shot from 8 ft,,97-124,,
2:23.0,,,97-124,,Defensive rebound by T. Lyles
2:00.0,,,97-124,,T. Lyles misses 2-pt shot from 22 ft
1:58.0,Defensive rebound by D. Wright,,97-124,,
1:52.0,F. VanVleet makes 3-pt shot from 25 ft,3,100-124,,
1:38.0,,,100-124,,Turnover by T. Lyles (bad pass; steal by F. VanVleet)
1:33.0,D. Wright makes 3-pt shot from 26 ft (assist by F. VanVleet),3,103-124,,
1:12.0,,,103-124,,T. Lyles misses 2-pt shot from 2 ft
1:09.0,,,103-124,,Offensive rebound by K. Faried
1:08.0,,,103-126,2,M. Beasley makes 2-pt shot from 4 ft (assist by K. Faried)
1:01.0,P. Siakam makes 3-pt shot from 23 ft (assist by D. Wright),3,106-126,,
0:49.0,,,106-128,2,E. Mudiay makes 2-pt shot from 2 ft (assist by T. Lyles)
0:40.0,A. McKinnie makes 3-pt shot from 23 ft (assist by D. Wright),3,109-128,,
0:17.0,,,109-128,,Shooting foul by P. Siakam (drawn by R. Jefferson)
0:17.0,,,109-128,,R. Jefferson misses free throw 1 of 2
0:17.0,,,109-128,,Offensive rebound by Team
0:17.0,,,109-129,1,R. Jefferson makes free throw 2 of 2
0:06.0,,,109-129,,Personal foul by M. Beasley (drawn by F. VanVleet)
0:06.0,F. VanVleet makes free throw 1 of 2,1,110-129,,
0:06.0,F. VanVleet makes free throw 2 of 2,1,111-129,,
