time,Toronto,pts.away,score,pts.home,Denver
4:45.0,Personal foul by P. Siakam (drawn by P. Millsap),,12-24,,
4:45.0,C. Miles enters the game for N. Powell,,12-24,,
4:38.0,,,12-24,,P. Millsap misses 2-pt shot from 8 ft (block by L. Nogueira)
4:38.0,,,12-24,,Offensive rebound by Team
4:30.0,,,12-24,,M. Plumlee misses 2-pt shot from 17 ft
4:26.0,Defensive rebound by K. Lowry,,12-24,,
4:18.0,K. Lowry makes 2-pt shot from 2 ft,2,14-24,,
3:54.0,,,14-24,,Turnover by E. Mudiay (lost ball; steal by C. Miles)
3:48.0,Turnover by P. Siakam (traveling),,14-24,,
3:28.0,,,14-24,,G. Harris misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by P. Siakam,,14-24,,
3:04.0,C. Miles makes 2-pt shot from 3 ft,2,16-24,,
2:58.0,,,16-24,,Denver full timeout
2:58.0,,,16-24,,N. Jokic enters the game for P. Millsap
2:58.0,,,16-24,,W. Chandler enters the game for G. Harris
2:58.0,F. VanVleet enters the game for K. Lowry,,16-24,,
2:58.0,D. Wright enters the game for D. DeRozan,,16-24,,
2:44.0,Personal foul by P. Siakam (drawn by W. Chandler),,16-24,,
2:36.0,,,16-24,,E. Mudiay misses 2-pt shot from 17 ft
2:35.0,,,16-24,,Offensive rebound by Team
2:35.0,O. Anunoby enters the game for P. Siakam,,16-24,,
2:27.0,,,16-26,2,M. Plumlee makes 2-pt shot from 5 ft (assist by N. Jokic)
2:09.0,Turnover by F. VanVleet (bad pass; steal by M. Plumlee),,16-26,,
2:03.0,,,16-28,2,W. Chandler makes 2-pt shot from 3 ft (assist by N. Jokic)
1:38.0,L. Nogueira misses 2-pt shot from 3 ft (block by N. Jokic),,16-28,,
1:34.0,,,16-28,,Defensive rebound by N. Jokic
1:28.0,,,16-30,2,N. Jokic makes 2-pt shot from 7 ft (assist by E. Mudiay)
1:01.0,F. VanVleet misses 2-pt shot from 17 ft,,16-30,,
0:57.0,,,16-30,,Defensive rebound by N. Jokic
0:50.0,,,16-33,3,E. Mudiay makes 3-pt shot from 22 ft (assist by W. Chandler)
0:46.0,Toronto full timeout,,16-33,,
0:46.0,J. Poeltl enters the game for L. Nogueira,,16-33,,
0:34.0,C. Miles makes 3-pt shot from 25 ft (assist by D. Wright),3,19-33,,
0:26.0,Personal foul by F. VanVleet (drawn by E. Mudiay),,19-33,,
0:26.0,,,19-34,1,E. Mudiay makes free throw 1 of 2
0:26.0,,,19-34,,G. Harris enters the game for N. Jokic
0:26.0,,,19-34,,E. Mudiay misses free throw 2 of 2
0:22.0,Defensive rebound by J. Poeltl,,19-34,,
0:00.0,O. Anunoby misses 2-pt shot from 3 ft,,19-34,,
0:00.0,,,19-34,,Defensive rebound by W. Barton
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by J. Poeltl (drawn by N. Jokic),,19-34,,
11:39.0,,,19-36,2,E. Mudiay makes 2-pt shot from 16 ft (assist by W. Barton)
11:24.0,Shooting foul by K. Faried (drawn by J. Poeltl),,19-36,,
11:24.0,J. Poeltl misses free throw 1 of 2,,19-36,,
11:24.0,Offensive rebound by Team,,19-36,,
11:24.0,J. Poeltl makes free throw 2 of 2,1,20-36,,
11:12.0,,,20-36,,W. Barton misses 2-pt shot from 3 ft
11:09.0,,,20-36,,Offensive rebound by N. Jokic
11:07.0,,,20-36,,E. Mudiay misses 3-pt shot from 26 ft
11:05.0,Defensive rebound by J. Poeltl,,20-36,,
10:55.0,O. Anunoby misses 3-pt shot from 25 ft,,20-36,,
10:51.0,,,20-36,,Defensive rebound by N. Jokic
10:41.0,,,20-38,2,K. Faried makes 2-pt shot from 4 ft (assist by E. Mudiay)
10:21.0,O. Anunoby misses 2-pt shot from 2 ft,,20-38,,
10:18.0,,,20-38,,Defensive rebound by E. Mudiay
10:17.0,,,20-38,,Turnover by W. Barton (bad pass)
10:07.0,K. Lowry makes 3-pt shot from 26 ft,3,23-38,,
9:51.0,,,23-40,2,E. Mudiay makes 2-pt shot from 3 ft (assist by N. Jokic)
9:39.0,K. Lowry misses 2-pt shot from 3 ft (block by N. Jokic),,23-40,,
9:38.0,,,23-40,,Defensive rebound by N. Jokic
