time,Golden State,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. Z. Pachulia (D. Green gains possession),,,,Jump ball: A. Len vs. Z. Pachulia (D. Green gains possession)
11:35.0,N. Young makes 3-pt shot from 25 ft (assist by D. Green),3,3-0,,
11:13.0,,,3-0,,Turnover by E. Payton (lost ball; steal by D. Green)
11:06.0,D. Green makes 3-pt shot from 24 ft (assist by N. Young),3,6-0,,
10:48.0,,,6-3,3,D. Bender makes 3-pt shot from 24 ft (assist by E. Payton)
10:28.0,A. Iguodala misses 2-pt shot from 18 ft,,6-3,,
10:27.0,,,6-3,,Defensive rebound by T. Warren
10:21.0,,,6-6,3,T. Daniels makes 3-pt shot from 25 ft (assist by T. Warren)
9:59.0,N. Young misses 2-pt shot from 20 ft,,6-6,,
9:56.0,,,6-6,,Defensive rebound by T. Daniels
9:48.0,,,6-6,,D. Bender misses 2-pt shot at rim
9:48.0,,,6-6,,Offensive rebound by A. Len
9:48.0,,,6-6,,A. Len misses 2-pt shot at rim
9:48.0,,,6-6,,Offensive rebound by A. Len
9:48.0,,,6-6,,Shooting foul by D. Green (drawn by A. Len)
9:48.0,,,6-7,1,A. Len makes free throw 1 of 2
9:48.0,,,6-7,,A. Len misses free throw 2 of 2
9:46.0,Defensive rebound by A. Iguodala,,6-7,,
9:23.0,N. Young misses 3-pt shot from 32 ft,,6-7,,
9:22.0,Offensive rebound by Team,,6-7,,
9:22.0,Turnover by Team (shot clock),,6-7,,
9:15.0,,,6-10,3,T. Daniels makes 3-pt shot from 24 ft (assist by E. Payton)
9:02.0,D. Green misses 3-pt shot from 25 ft,,6-10,,
9:01.0,,,6-10,,Defensive rebound by Team
8:46.0,,,6-10,,T. Daniels misses 3-pt shot from 23 ft
8:44.0,Defensive rebound by D. Green,,6-10,,
8:31.0,Q. Cook misses 2-pt shot from 20 ft,,6-10,,
8:27.0,,,6-10,,Defensive rebound by A. Len
8:17.0,,,6-12,2,T. Daniels makes 2-pt shot at rim (assist by E. Payton)
8:10.0,Golden State full timeout,,6-12,,
7:55.0,N. Young makes 2-pt shot from 17 ft,2,8-12,,
7:32.0,,,8-12,,T. Warren misses 2-pt shot from 1 ft
7:30.0,Defensive rebound by N. Young,,8-12,,
7:22.0,Q. Cook makes 3-pt shot from 23 ft (assist by Z. Pachulia),3,11-12,,
7:05.0,,,11-12,,D. Bender misses 2-pt shot from 9 ft
7:02.0,,,11-12,,Offensive rebound by A. Len
7:01.0,,,11-12,,T. Warren misses 2-pt shot from 18 ft
6:59.0,Defensive rebound by Team,,11-12,,
6:54.0,N. Young makes 2-pt shot at rim (assist by D. Green),2,13-12,,
6:54.0,Shooting foul by D. Bender (drawn by N. Young),,13-12,,
6:54.0,,,13-12,,J. Jackson enters the game for T. Warren
6:54.0,N. Young makes free throw 1 of 1,1,14-12,,
6:46.0,,,14-15,3,T. Daniels makes 3-pt shot from 25 ft (assist by E. Payton)
6:46.0,Away from play foul by N. Young (drawn by A. Len),,14-15,,
6:46.0,Turnover by N. Young (turnover),,14-15,,
6:46.0,,,14-15,,A. Len misses free throw 1 of 1
6:44.0,Defensive rebound by Z. Pachulia,,14-15,,
6:31.0,N. Young misses 3-pt shot from 24 ft,,14-15,,
6:28.0,,,14-15,,Defensive rebound by A. Len
6:22.0,,,14-15,,Turnover by E. Payton (lost ball; steal by N. Young)
6:15.0,Q. Cook makes 2-pt shot from 16 ft (assist by D. Green),2,16-15,,
5:56.0,,,16-15,,Turnover by J. Jackson (out of bounds lost ball)
5:56.0,K. Looney enters the game for A. Iguodala,,16-15,,
5:44.0,K. Looney makes 2-pt shot at rim (assist by Q. Cook),2,18-15,,
5:44.0,Shooting foul by J. Jackson (drawn by K. Looney),,18-15,,
5:44.0,,,18-15,,M. Chriss enters the game for A. Len
5:44.0,K. Looney misses free throw 1 of 1,,18-15,,
5:43.0,,,18-15,,Defensive rebound by Team
5:43.0,Loose ball foul by Z. Pachulia (drawn by M. Chriss),,18-15,,
5:33.0,,,18-17,2,J. Jackson makes 2-pt shot from 5 ft (assist by E. Payton)
5:23.0,,,18-17,,Personal block foul by M. Chriss (drawn by N. Young)
5:09.0,Z. Pachulia misses 2-pt shot from 4 ft,,18-17,,
5:07.0,,,18-17,,Defensive rebound by D. Bender
4:59.0,,,18-20,3,D. Bender makes 3-pt shot from 25 ft (assist by T. Daniels)
4:48.0,K. Looney makes 2-pt shot from 1 ft,2,20-20,,
4:43.0,,,20-20,,Turnover by M. Chriss (bad pass; steal by Z. Pachulia)
4:21.0,N. Young makes 3-pt shot from 24 ft (assist by D. Green),3,23-20,,
4:10.0,,,23-20,,T. Daniels misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by Team,,23-20,,
4:09.0,,,23-20,,S. Harrison enters the game for E. Payton
4:09.0,J. Bell enters the game for Z. Pachulia,,23-20,,
3:50.0,Q. Cook makes 3-pt shot from 25 ft (assist by D. Green),3,26-20,,
3:43.0,,,26-20,,Phoenix full timeout
3:43.0,,,26-20,,T. Warren enters the game for T. Daniels
3:43.0,,,26-20,,J. Dudley enters the game for D. Bender
3:43.0,S. Livingston enters the game for N. Young,,26-20,,
3:30.0,,,26-20,,J. Jackson misses 2-pt shot from 19 ft
3:26.0,Defensive rebound by Q. Cook,,26-20,,
3:09.0,K. Looney misses 2-pt shot from 22 ft,,26-20,,
3:06.0,,,26-20,,Defensive rebound by M. Chriss
2:50.0,,,26-23,3,J. Jackson makes 3-pt shot from 24 ft (assist by J. Dudley)
2:29.0,Turnover by K. Looney (lost ball; steal by T. Warren),,26-23,,
2:24.0,,,26-23,,Turnover by T. Warren (lost ball; steal by S. Livingston)
2:08.0,S. Livingston misses 2-pt shot from 15 ft (block by J. Dudley),,26-23,,
2:08.0,,,26-23,,Defensive rebound by J. Dudley
2:02.0,,,26-25,2,J. Jackson makes 2-pt shot from 1 ft (assist by J. Dudley)
1:41.0,Q. Cook misses 2-pt shot from 20 ft,,26-25,,
1:38.0,,,26-25,,Defensive rebound by M. Chriss
1:35.0,,,26-27,2,J. Jackson makes 2-pt shot from 1 ft
1:35.0,,,26-27,,Shooting foul by S. Livingston (drawn by J. Jackson)
1:35.0,,,26-28,1,J. Jackson makes free throw 1 of 1
1:15.0,S. Livingston misses 2-pt shot from 16 ft,,26-28,,
1:11.0,,,26-28,,Defensive rebound by J. Jackson
1:08.0,,,26-28,,Shooting foul by J. Bell (drawn by S. Harrison)
1:08.0,,,26-29,1,S. Harrison makes free throw 1 of 2
1:08.0,,,26-29,,S. Harrison misses free throw 2 of 2
1:07.0,,,26-29,,Offensive rebound by M. Chriss
1:07.0,,,26-31,2,M. Chriss makes 2-pt shot at rim
1:03.0,Golden State full timeout,,26-31,,
1:03.0,N. Young enters the game for D. Green,,26-31,,
0:45.0,K. Looney makes 2-pt shot from 1 ft (assist by S. Livingston),2,28-31,,
0:34.0,,,28-31,,J. Jackson misses 2-pt shot from 4 ft (block by J. Bell)
0:32.0,,,28-31,,Offensive rebound by J. Jackson
0:31.0,,,28-31,,J. Jackson misses 2-pt shot from 3 ft (block by K. Looney)
0:31.0,Defensive rebound by N. Young,,28-31,,
0:11.0,J. Bell makes 2-pt shot from 5 ft (assist by S. Livingston),2,30-31,,
0:02.0,,,30-34,3,J. Jackson makes 3-pt shot from 27 ft
0:00.0,K. Looney misses 3-pt shot from 47 ft,,30-34,,
0:00.0,Offensive rebound by Team,,30-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,30-36,2,T. Warren makes 2-pt shot from 18 ft (assist by M. Chriss)
11:29.0,D. West misses 2-pt shot from 21 ft,,30-36,,
11:28.0,,,30-36,,Defensive rebound by S. Harrison
11:15.0,,,30-36,,S. Harrison misses 2-pt shot at rim
11:11.0,Defensive rebound by D. West,,30-36,,
11:01.0,S. Livingston makes 2-pt shot from 12 ft,2,32-36,,
10:40.0,,,32-36,,M. Chriss misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by Team,,32-36,,
10:24.0,,,32-36,,Personal foul by M. Chriss (drawn by D. West)
10:24.0,,,32-36,,D. Bender enters the game for M. Chriss
10:12.0,Turnover by D. West (lost ball; steal by J. Jackson),,32-36,,
10:12.0,Personal foul by S. Livingston (drawn by J. Jackson),,32-36,,
10:02.0,,,32-38,2,J. Jackson makes 2-pt shot from 20 ft
9:34.0,D. West misses 2-pt shot from 2 ft (block by J. Dudley),,32-38,,
9:33.0,Offensive rebound by D. West,,32-38,,
9:33.0,Turnover by Team (shot clock),,32-38,,
9:18.0,,,32-41,3,S. Harrison makes 3-pt shot from 22 ft (assist by D. Bender)
9:04.0,A. Iguodala misses 3-pt shot from 25 ft,,32-41,,
9:01.0,,,32-41,,Defensive rebound by S. Harrison
8:59.0,,,32-43,2,T. Warren makes 2-pt shot at rim (assist by S. Harrison)
8:59.0,Golden State full timeout,,32-43,,
8:59.0,K. Looney enters the game for J. Bell,,32-43,,
