time,Portland,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. J. Nurkic ( gains possession),,,,Jump ball: D. Jordan vs. J. Nurkic ( gains possession)
11:44.0,,,0-0,,A. Rivers misses 2-pt shot from 7 ft
11:41.0,,,0-0,,Offensive rebound by S. Thornwell
11:30.0,,,0-2,2,T. Harris makes 2-pt shot from 19 ft
11:07.0,M. Harkless makes 2-pt shot from 1 ft (assist by J. Nurkic),2,2-2,,
10:55.0,,,2-4,2,T. Harris makes 2-pt shot from 13 ft (assist by M. Teodosic)
10:40.0,Turnover by J. Nurkic (lost ball; steal by T. Harris),,2-4,,
10:35.0,,,2-4,,Turnover by S. Thornwell (lost ball; steal by M. Harkless)
10:26.0,A. Aminu misses 2-pt shot from 2 ft,,2-4,,
10:25.0,Offensive rebound by Team,,2-4,,
10:13.0,M. Harkless makes 3-pt shot from 24 ft (assist by A. Aminu),3,5-4,,
10:02.0,,,5-4,,M. Teodosic misses 2-pt shot from 1 ft
10:00.0,,,5-4,,Offensive rebound by D. Jordan
9:49.0,,,5-4,,Turnover by S. Thornwell (bad pass; steal by D. Lillard)
9:32.0,J. Nurkic misses 2-pt shot from 1 ft,,5-4,,
9:30.0,,,5-4,,Defensive rebound by T. Harris
9:23.0,,,5-4,,T. Harris misses 2-pt shot from 13 ft
9:20.0,Defensive rebound by J. Nurkic,,5-4,,
9:14.0,C. McCollum misses 2-pt shot from 1 ft,,5-4,,
9:11.0,,,5-4,,Defensive rebound by D. Jordan
9:02.0,,,5-4,,T. Harris misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by J. Nurkic,,5-4,,
8:54.0,,,5-4,,Personal foul by M. Teodosic (drawn by M. Harkless)
8:43.0,D. Lillard makes 2-pt shot from 13 ft (assist by A. Aminu),2,7-4,,
8:27.0,,,7-4,,T. Harris misses 2-pt shot from 11 ft
8:24.0,Defensive rebound by M. Harkless,,7-4,,
8:18.0,D. Lillard misses 3-pt shot from 25 ft,,7-4,,
8:15.0,,,7-4,,Defensive rebound by D. Jordan
8:02.0,,,7-4,,M. Teodosic misses 2-pt shot from 1 ft
8:00.0,Defensive rebound by J. Nurkic,,7-4,,
7:47.0,Shooting foul by A. Rivers (drawn by D. Lillard),,7-4,,
7:47.0,D. Lillard makes free throw 1 of 3,1,8-4,,
7:47.0,D. Lillard makes free throw 2 of 3,1,9-4,,
7:47.0,D. Lillard makes free throw 3 of 3,1,10-4,,
7:38.0,,,10-4,,M. Teodosic misses 3-pt shot from 25 ft
7:36.0,Defensive rebound by Team,,10-4,,
7:36.0,,,10-4,,Loose ball foul by D. Jordan (drawn by J. Nurkic)
7:20.0,M. Harkless misses 3-pt shot from 27 ft,,10-4,,
7:18.0,,,10-4,,Defensive rebound by D. Jordan
7:11.0,,,10-4,,Turnover by A. Rivers (bad pass; steal by A. Aminu)
7:04.0,M. Harkless misses 2-pt shot from 2 ft,,10-4,,
7:02.0,Offensive rebound by J. Nurkic,,10-4,,
7:01.0,J. Nurkic misses 2-pt shot from 1 ft,,10-4,,
7:00.0,,,10-4,,Defensive rebound by D. Jordan
6:49.0,,,10-7,3,A. Rivers makes 3-pt shot from 26 ft
6:32.0,C. McCollum misses 3-pt shot from 26 ft,,10-7,,
6:30.0,Offensive rebound by M. Harkless,,10-7,,
6:15.0,A. Aminu makes 3-pt shot from 26 ft (assist by M. Harkless),3,13-7,,
5:50.0,,,13-7,,Turnover by T. Harris (bad pass; steal by C. McCollum)
5:47.0,C. McCollum makes 2-pt shot from 1 ft,2,15-7,,
5:47.0,,,15-7,,LA Clippers full timeout
5:24.0,,,15-7,,A. Rivers misses 2-pt shot from 2 ft
5:21.0,Defensive rebound by J. Nurkic,,15-7,,
5:17.0,C. McCollum misses 2-pt shot from 19 ft,,15-7,,
5:15.0,Offensive rebound by Team,,15-7,,
5:15.0,,,15-7,,Loose ball foul by T. Harris (drawn by A. Aminu)
5:15.0,,,15-7,,L. Williams enters the game for M. Teodosic
