time,Indiana,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Turner (T. Young gains possession),,,,Jump ball: J. Valanciunas vs. M. Turner (T. Young gains possession)
11:44.0,Turnover by D. Collison (bad pass; steal by D. DeRozan),,0-0,,
11:36.0,,,0-0,,Shooting foul by B. Bogdanovic (drawn by D. DeRozan)
11:36.0,,,0-1,1,D. DeRozan makes free throw 1 of 2
11:36.0,,,0-2,1,D. DeRozan makes free throw 2 of 2
11:22.0,M. Turner makes 2-pt shot from 19 ft (assist by V. Oladipo),2,2-2,,
11:02.0,,,2-4,2,D. DeRozan makes 2-pt shot from 12 ft
10:41.0,M. Turner makes 3-pt shot from 23 ft (assist by T. Young),3,5-4,,
10:28.0,,,5-7,3,S. Ibaka makes 3-pt shot from 25 ft (assist by O. Anunoby)
10:17.0,V. Oladipo makes 3-pt shot from 26 ft (assist by D. Collison),3,8-7,,
10:03.0,,,8-7,,J. Valanciunas misses 2-pt shot from 1 ft (block by V. Oladipo)
9:59.0,Defensive rebound by M. Turner,,8-7,,
9:54.0,B. Bogdanovic misses 2-pt shot from 1 ft,,8-7,,
9:52.0,,,8-7,,Defensive rebound by O. Anunoby
9:45.0,,,8-9,2,O. Anunoby makes 2-pt shot at rim (assist by K. Lowry)
9:34.0,D. Collison misses 2-pt shot from 1 ft,,8-9,,
9:34.0,,,8-9,,Defensive rebound by S. Ibaka
9:24.0,,,8-12,3,K. Lowry makes 3-pt shot from 22 ft (assist by D. DeRozan)
9:01.0,B. Bogdanovic misses 2-pt shot from 4 ft,,8-12,,
8:58.0,,,8-12,,Defensive rebound by K. Lowry
8:46.0,,,8-12,,D. DeRozan misses 3-pt shot from 23 ft
8:43.0,Defensive rebound by B. Bogdanovic,,8-12,,
8:37.0,B. Bogdanovic misses 3-pt shot from 25 ft,,8-12,,
8:35.0,,,8-12,,Defensive rebound by S. Ibaka
8:20.0,,,8-14,2,J. Valanciunas makes 2-pt shot from 3 ft
8:16.0,Indiana full timeout,,8-14,,
8:08.0,T. Young makes 2-pt shot from 14 ft (assist by D. Collison),2,10-14,,
7:56.0,,,10-14,,D. DeRozan misses 2-pt shot from 12 ft
7:54.0,,,10-14,,Offensive rebound by D. DeRozan
7:52.0,,,10-16,2,D. DeRozan makes 2-pt shot from 2 ft
7:44.0,V. Oladipo makes 2-pt shot from 2 ft,2,12-16,,
7:36.0,,,12-16,,Offensive charge foul by J. Valanciunas (drawn by T. Young)
7:36.0,,,12-16,,Turnover by J. Valanciunas (offensive foul)
7:27.0,D. Collison misses 2-pt shot from 19 ft,,12-16,,
7:25.0,,,12-16,,Defensive rebound by K. Lowry
7:16.0,,,12-18,2,S. Ibaka makes 2-pt shot from 3 ft (assist by K. Lowry)
6:53.0,M. Turner misses 2-pt shot from 1 ft,,12-18,,
6:49.0,Offensive rebound by T. Young,,12-18,,
6:49.0,T. Young misses 2-pt shot at rim,,12-18,,
6:49.0,,,12-18,,Defensive rebound by D. DeRozan
6:47.0,,,12-18,,O. Anunoby misses 3-pt shot from 23 ft
6:47.0,Defensive rebound by D. Collison,,12-18,,
6:40.0,Shooting foul by O. Anunoby (drawn by D. Collison),,12-18,,
6:40.0,D. Collison makes free throw 1 of 2,1,13-18,,
6:40.0,D. Collison makes free throw 2 of 2,1,14-18,,
6:28.0,,,14-18,,K. Lowry misses 3-pt shot from 26 ft
6:26.0,Defensive rebound by B. Bogdanovic,,14-18,,
6:18.0,T. Young misses 2-pt shot from 2 ft,,14-18,,
6:16.0,,,14-18,,Defensive rebound by S. Ibaka
6:10.0,,,14-18,,S. Ibaka misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by V. Oladipo,,14-18,,
5:45.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,16-18,,
5:22.0,,,16-18,,Turnover by D. DeRozan (bad pass; steal by D. Collison)
5:16.0,B. Bogdanovic misses 3-pt shot from 26 ft,,16-18,,
5:14.0,Offensive rebound by Team,,16-18,,
5:06.0,V. Oladipo makes 2-pt shot from 19 ft (assist by B. Bogdanovic),2,18-18,,
4:44.0,,,18-18,,Turnover by K. Lowry (lost ball; steal by D. Collison)
4:34.0,B. Bogdanovic misses 2-pt shot at rim (block by S. Ibaka),,18-18,,
4:34.0,Offensive rebound by Team,,18-18,,
4:34.0,,,18-18,,J. Poeltl enters the game for J. Valanciunas
4:28.0,Shooting foul by J. Poeltl (drawn by D. Collison),,18-18,,
4:28.0,D. Collison makes free throw 1 of 2,1,19-18,,
4:28.0,,,19-18,,C. Miles enters the game for O. Anunoby
