time,Indiana,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. M. Turner (T. Harris gains possession),,,,Jump ball: A. Drummond vs. M. Turner (T. Harris gains possession)
11:43.0,,,0-0,,T. Harris misses 2-pt shot from 6 ft
11:41.0,Defensive rebound by D. Collison,,0-0,,
11:29.0,M. Turner makes 2-pt shot from 15 ft (assist by T. Young),2,2-0,,
11:16.0,,,2-0,,Turnover by A. Drummond (bad pass; steal by M. Turner)
10:59.0,T. Young makes 2-pt shot from 8 ft,2,4-0,,
10:41.0,,,4-0,,R. Jackson misses 3-pt shot from 25 ft
10:38.0,Defensive rebound by M. Turner,,4-0,,
10:34.0,Shooting foul by A. Bradley (drawn by V. Oladipo),,4-0,,
10:34.0,V. Oladipo misses free throw 1 of 2,,4-0,,
10:34.0,Offensive rebound by Team,,4-0,,
10:34.0,V. Oladipo makes free throw 2 of 2,1,5-0,,
10:26.0,Personal foul by B. Bogdanovic (drawn by R. Bullock),,5-0,,
10:16.0,,,5-0,,T. Harris misses 2-pt shot from 10 ft
10:09.0,T. Young misses 2-pt shot from 9 ft,,5-0,,
10:08.0,,,5-0,,Defensive rebound by A. Drummond
10:08.0,,,5-0,,A. Drummond misses 2-pt shot at rim
10:08.0,Defensive rebound by M. Turner,,5-0,,
10:02.0,,,5-0,,Defensive rebound by T. Harris
10:01.0,,,5-2,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
9:48.0,,,5-2,,Personal foul by A. Drummond (drawn by B. Bogdanovic)
9:37.0,B. Bogdanovic misses 2-pt shot from 2 ft,,5-2,,
9:35.0,,,5-2,,Defensive rebound by A. Drummond
9:29.0,,,5-4,2,R. Jackson makes 2-pt shot from 3 ft
9:29.0,Violation by M. Turner (def goaltending),,5-4,,
9:16.0,,,5-4,,Personal foul by A. Bradley (drawn by V. Oladipo)
9:16.0,,,5-4,,L. Kennard enters the game for A. Bradley
9:04.0,M. Turner makes 2-pt shot from 21 ft (assist by V. Oladipo),2,7-4,,
8:57.0,,,7-4,,Detroit full timeout
8:47.0,,,7-6,2,T. Harris makes 2-pt shot at rim (assist by A. Drummond)
8:28.0,T. Young misses 3-pt shot from 25 ft,,7-6,,
8:24.0,,,7-6,,Defensive rebound by T. Harris
8:16.0,,,7-9,3,T. Harris makes 3-pt shot from 25 ft
7:57.0,T. Young makes 2-pt shot from 18 ft,2,9-9,,
7:42.0,,,9-11,2,R. Bullock makes 2-pt shot from 3 ft (assist by R. Jackson)
7:20.0,Turnover by T. Young (traveling),,9-11,,
7:08.0,,,9-13,2,L. Kennard makes 2-pt shot from 10 ft
6:48.0,B. Bogdanovic misses 3-pt shot from 25 ft,,9-13,,
6:48.0,T. Young misses 2-pt shot from 1 ft,,9-13,,
6:48.0,,,9-13,,Defensive rebound by A. Drummond
6:44.0,Defensive rebound by T. Young,,9-13,,
6:37.0,,,9-13,,Turnover by R. Jackson (lost ball; steal by D. Collison)
6:29.0,,,9-13,,Personal foul by A. Drummond (drawn by D. Collison)
6:29.0,,,9-13,,E. Moreland enters the game for A. Drummond
6:21.0,V. Oladipo makes 2-pt shot from 19 ft (assist by M. Turner),2,11-13,,
5:52.0,,,11-13,,Turnover by Team (shot clock)
5:51.0,,,11-13,,E. Moreland misses 2-pt shot at rim (block by M. Turner)
5:51.0,,,11-13,,Offensive rebound by Team
5:43.0,V. Oladipo misses 2-pt shot from 3 ft (block by E. Moreland),,11-13,,
5:40.0,Offensive rebound by T. Young,,11-13,,
5:38.0,B. Bogdanovic makes 3-pt shot from 23 ft (assist by T. Young),3,14-13,,
5:20.0,,,14-13,,L. Kennard misses 2-pt shot from 2 ft
5:18.0,,,14-13,,Offensive rebound by E. Moreland
5:15.0,,,14-15,2,R. Bullock makes 2-pt shot from 1 ft (assist by E. Moreland)
4:53.0,Turnover by V. Oladipo (lost ball; steal by T. Harris),,14-15,,
4:45.0,,,14-15,,R. Jackson misses 2-pt shot from 14 ft
4:41.0,Defensive rebound by B. Bogdanovic,,14-15,,
4:41.0,A. Jefferson enters the game for M. Turner,,14-15,,
4:41.0,L. Stephenson enters the game for B. Bogdanovic,,14-15,,
4:32.0,Personal foul by A. Jefferson (drawn by E. Moreland),,14-15,,
4:32.0,Turnover by A. Jefferson (turnover),,14-15,,
4:32.0,,,14-15,,I. Smith enters the game for R. Jackson
4:19.0,,,14-15,,T. Harris misses 2-pt shot from 8 ft
4:17.0,Defensive rebound by A. Jefferson,,14-15,,
4:08.0,D. Collison misses 2-pt shot from 18 ft,,14-15,,
4:03.0,Offensive rebound by V. Oladipo,,14-15,,
3:54.0,Shooting foul by L. Kennard (drawn by L. Stephenson),,14-15,,
3:54.0,L. Stephenson makes free throw 1 of 2,1,15-15,,
3:54.0,C. Joseph enters the game for D. Collison,,15-15,,
3:54.0,L. Stephenson misses free throw 2 of 2,,15-15,,
3:52.0,,,15-15,,Defensive rebound by T. Harris
3:41.0,,,15-17,2,I. Smith makes 2-pt shot from 5 ft
3:24.0,V. Oladipo misses 2-pt shot from 13 ft,,15-17,,
3:18.0,Offensive rebound by A. Jefferson,,15-17,,
3:13.0,V. Oladipo makes 3-pt shot from 25 ft (assist by C. Joseph),3,18-17,,
3:02.0,,,18-19,2,E. Moreland makes 2-pt shot from 1 ft (assist by R. Bullock)
2:38.0,A. Jefferson makes 2-pt shot from 8 ft,2,20-19,,
2:25.0,,,20-19,,L. Kennard misses 2-pt shot from 16 ft
2:22.0,Defensive rebound by A. Jefferson,,20-19,,
2:13.0,A. Jefferson makes 2-pt shot from 7 ft (assist by L. Stephenson),2,22-19,,
2:13.0,Shooting foul by E. Moreland (drawn by A. Jefferson),,22-19,,
2:13.0,Indiana full timeout,,22-19,,
2:13.0,A. Jefferson makes free throw 1 of 1,1,23-19,,
2:00.0,,,23-19,,R. Bullock misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by T. Young,,23-19,,
1:42.0,A. Jefferson makes 2-pt shot from 2 ft,2,25-19,,
1:25.0,,,25-22,3,T. Harris makes 3-pt shot from 26 ft (assist by R. Bullock)
1:07.0,V. Oladipo misses 2-pt shot from 16 ft,,25-22,,
1:03.0,,,25-22,,Defensive rebound by E. Moreland
0:56.0,,,25-22,,R. Bullock misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by Team,,25-22,,
0:55.0,,,25-22,,B. Marjanovic enters the game for E. Moreland
0:55.0,,,25-22,,L. Galloway enters the game for R. Bullock
0:55.0,D. Collison enters the game for V. Oladipo,,25-22,,
0:45.0,T. Young makes 2-pt shot from 17 ft (assist by C. Joseph),2,27-22,,
0:31.0,,,27-22,,Offensive foul by B. Marjanovic (drawn by T. Young)
0:31.0,,,27-22,,Turnover by B. Marjanovic (offensive foul)
0:11.0,T. Young makes 3-pt shot from 24 ft (assist by C. Joseph),3,30-22,,
0:04.0,Personal foul by C. Joseph (drawn by I. Smith),,30-22,,
0:00.0,,,30-22,,I. Smith misses 3-pt shot from 25 ft
0:00.0,,,30-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,C. Joseph makes 3-pt shot from 23 ft (assist by A. Jefferson),3,33-22,,
11:32.0,,,33-24,2,B. Marjanovic makes 2-pt shot from 4 ft
11:32.0,,,33-24,,Shooting foul by A. Jefferson (drawn by B. Marjanovic)
11:32.0,,,33-25,1,B. Marjanovic makes free throw 1 of 1
11:16.0,D. Collison makes 2-pt shot from 16 ft (assist by L. Stephenson),2,35-25,,
10:54.0,,,35-25,,B. Marjanovic misses 2-pt shot from 4 ft
10:51.0,,,35-25,,Offensive rebound by I. Smith
10:50.0,,,35-27,2,I. Smith makes 2-pt shot from 2 ft
10:37.0,D. Collison misses 2-pt shot from 14 ft (block by I. Smith),,35-27,,
10:37.0,Offensive rebound by Team,,35-27,,
10:33.0,,,35-27,,Personal foul by L. Galloway (drawn by C. Joseph)
10:25.0,A. Jefferson misses 2-pt shot from 5 ft (block by B. Marjanovic),,35-27,,
10:22.0,,,35-27,,Defensive rebound by B. Marjanovic
10:12.0,,,35-29,2,I. Smith makes 2-pt shot from 1 ft (assist by A. Tolliver)
9:58.0,Shooting foul by A. Tolliver (drawn by A. Jefferson),,35-29,,
9:58.0,A. Jefferson makes free throw 1 of 2,1,36-29,,
9:58.0,A. Jefferson makes free throw 2 of 2,1,37-29,,
9:50.0,,,37-32,3,L. Galloway makes 3-pt shot from 27 ft (assist by A. Tolliver)
9:40.0,A. Jefferson makes 2-pt shot from 14 ft (assist by D. Collison),2,39-32,,
9:27.0,,,39-34,2,L. Galloway makes 2-pt shot from 17 ft (assist by B. Marjanovic)
9:15.0,A. Jefferson misses 2-pt shot from 17 ft,,39-34,,
9:13.0,,,39-34,,Defensive rebound by L. Galloway
9:06.0,,,39-36,2,B. Marjanovic makes 2-pt shot from 2 ft (assist by I. Smith)
9:00.0,Indiana full timeout,,39-36,,
9:00.0,,,39-36,,A. Bradley enters the game for L. Kennard
9:00.0,,,39-36,,A. Drummond enters the game for B. Marjanovic
9:00.0,M. Turner enters the game for A. Jefferson,,39-36,,
8:44.0,M. Turner makes 2-pt shot from 8 ft,2,41-36,,
8:26.0,,,41-36,,Shooting foul by M. Turner (drawn by A. Drummond)
8:26.0,,,41-36,,A. Drummond misses free throw 1 of 2
8:26.0,,,41-36,,Offensive rebound by Team
8:26.0,,,41-36,,A. Drummond misses free throw 2 of 2
8:23.0,Defensive rebound by L. Stephenson,,41-36,,
8:11.0,D. Collison misses 2-pt shot from 16 ft,,41-36,,
8:09.0,Offensive rebound by Team,,41-36,,
8:07.0,Turnover by L. Stephenson (offensive goaltending),,41-36,,
7:59.0,,,41-36,,Turnover by A. Bradley (lost ball; steal by L. Stephenson)
7:42.0,L. Stephenson makes 2-pt shot from 15 ft,2,43-36,,
7:25.0,,,43-38,2,A. Bradley makes 2-pt shot from 2 ft (assist by A. Drummond)
7:12.0,Turnover by T. Leaf (out of bounds lost ball),,43-38,,
7:00.0,,,43-41,3,A. Bradley makes 3-pt shot from 26 ft (assist by A. Tolliver)
6:47.0,L. Stephenson misses 3-pt shot from 27 ft,,43-41,,
6:43.0,,,43-41,,Defensive rebound by A. Drummond
6:38.0,,,43-43,2,I. Smith makes 2-pt shot from 15 ft
6:18.0,T. Leaf misses 3-pt shot from 22 ft,,43-43,,
6:15.0,,,43-43,,Defensive rebound by I. Smith
6:12.0,,,43-43,,Turnover by I. Smith (bad pass; steal by M. Turner)
6:02.0,C. Joseph misses 2-pt shot from 8 ft,,43-43,,
5:59.0,,,43-43,,Defensive rebound by A. Drummond
5:52.0,,,43-43,,A. Bradley misses 2-pt shot from 1 ft
5:50.0,Defensive rebound by T. Leaf,,43-43,,
5:47.0,Turnover by C. Joseph (bad pass),,43-43,,
5:47.0,V. Oladipo enters the game for L. Stephenson,,43-43,,
5:47.0,B. Bogdanovic enters the game for C. Joseph,,43-43,,
5:34.0,,,43-43,,Shooting foul by M. Turner (drawn by A. Drummond)
5:34.0,,,43-43,,A. Drummond misses free throw 1 of 2
5:34.0,,,43-43,,Offensive rebound by Team
5:34.0,,,43-43,,R. Jackson enters the game for I. Smith
5:34.0,,,43-43,,A. Drummond misses free throw 2 of 2
5:31.0,Defensive rebound by B. Bogdanovic,,43-43,,
5:09.0,B. Bogdanovic makes 2-pt shot from 6 ft (assist by D. Collison),2,45-43,,
4:56.0,,,45-43,,Shooting foul by M. Turner (drawn by A. Bradley)
4:56.0,,,45-44,1,A. Bradley makes free throw 1 of 2
4:56.0,T. Young enters the game for T. Leaf,,45-44,,
4:56.0,A. Jefferson enters the game for M. Turner,,45-44,,
4:56.0,,,45-44,,T. Harris enters the game for A. Tolliver
4:56.0,,,45-45,1,A. Bradley makes free throw 2 of 2
4:45.0,V. Oladipo misses 2-pt shot from 6 ft (block by A. Bradley),,45-45,,
4:45.0,Offensive rebound by Team,,45-45,,
4:44.0,Turnover by V. Oladipo (turnover),,45-45,,
4:31.0,,,45-47,2,L. Galloway makes 2-pt shot from 8 ft
4:11.0,V. Oladipo misses 2-pt shot from 1 ft,,45-47,,
4:09.0,,,45-47,,Defensive rebound by A. Drummond
4:04.0,,,45-47,,A. Bradley misses 2-pt shot from 1 ft (block by V. Oladipo)
4:04.0,Defensive rebound by B. Bogdanovic,,45-47,,
4:04.0,,,45-47,,Personal foul by T. Harris (drawn by B. Bogdanovic)
4:04.0,C. Joseph enters the game for D. Collison,,45-47,,
3:54.0,V. Oladipo misses 2-pt shot from 15 ft,,45-47,,
3:51.0,,,45-47,,Defensive rebound by A. Bradley
3:42.0,,,45-49,2,L. Galloway makes 2-pt shot from 8 ft (assist by T. Harris)
3:42.0,,,45-49,,Shooting foul by T. Young (drawn by L. Galloway)
3:42.0,,,45-49,,L. Galloway misses free throw 1 of 1
3:39.0,Defensive rebound by T. Young,,45-49,,
3:31.0,B. Bogdanovic misses 3-pt shot from 25 ft,,45-49,,
3:29.0,,,45-49,,Defensive rebound by A. Drummond
3:21.0,,,45-51,2,A. Drummond makes 2-pt shot at rim (assist by R. Jackson)
3:05.0,T. Young makes 2-pt shot from 1 ft (assist by C. Joseph),2,47-51,,
2:45.0,,,47-53,2,R. Jackson makes 2-pt shot from 4 ft (assist by A. Drummond)
2:39.0,Turnover by B. Bogdanovic (turnover),,47-53,,
2:39.0,,,47-53,,Detroit full timeout
2:39.0,,,47-53,,B. Marjanovic enters the game for A. Drummond
2:39.0,,,47-53,,R. Bullock enters the game for A. Bradley
2:20.0,,,47-53,,Turnover by B. Marjanovic (bad pass)
2:02.0,T. Young makes 3-pt shot from 25 ft,3,50-53,,
1:49.0,,,50-53,,Shooting foul by C. Joseph (drawn by R. Jackson)
1:49.0,,,50-54,1,R. Jackson makes free throw 1 of 2
1:49.0,,,50-55,1,R. Jackson makes free throw 2 of 2
1:36.0,V. Oladipo misses 2-pt shot from 15 ft,,50-55,,
1:33.0,,,50-55,,Defensive rebound by B. Marjanovic
1:27.0,,,50-55,,R. Jackson misses 2-pt shot from 4 ft
1:27.0,,,50-55,,Offensive rebound by B. Marjanovic
1:27.0,,,50-55,,Shooting foul by T. Young (drawn by B. Marjanovic)
1:27.0,,,50-56,1,B. Marjanovic makes free throw 1 of 2
1:27.0,,,50-57,1,B. Marjanovic makes free throw 2 of 2
1:11.0,C. Joseph misses 2-pt shot from 11 ft,,50-57,,
1:08.0,,,50-57,,Defensive rebound by R. Jackson
0:46.0,,,50-57,,T. Harris misses 2-pt shot from 17 ft
0:44.0,,,50-57,,Offensive rebound by B. Marjanovic
0:44.0,,,50-59,2,B. Marjanovic makes 2-pt shot from 1 ft
0:35.0,,,50-59,,Personal foul by B. Marjanovic (drawn by C. Joseph)
0:30.0,T. Young misses 3-pt shot from 25 ft,,50-59,,
0:28.0,,,50-59,,Defensive rebound by R. Jackson
0:05.0,Jump ball: R. Jackson vs. T. Young (B. Bogdanovic gains possession),,,,Jump ball: R. Jackson vs. T. Young (B. Bogdanovic gains possession)
0:05.0,,,50-59,,Turnover by R. Jackson (turnover; steal by T. Young)
0:00.0,B. Bogdanovic makes 2-pt shot from 1 ft,2,52-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by T. Young),2,54-59,,
11:24.0,,,54-59,,T. Harris misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by B. Bogdanovic,,54-59,,
11:07.0,M. Turner misses 2-pt shot from 18 ft,,54-59,,
11:03.0,Offensive rebound by T. Young,,54-59,,
11:00.0,T. Young misses 2-pt shot from 2 ft,,54-59,,
10:58.0,,,54-59,,Defensive rebound by T. Harris
10:53.0,,,54-62,3,T. Harris makes 3-pt shot from 25 ft (assist by R. Jackson)
