time,Sacramento,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. W. Cauley-Stein (J. Jackson gains possession),,,,Jump ball: P. Millsap vs. W. Cauley-Stein (J. Jackson gains possession)
11:39.0,Z. Randolph misses 3-pt shot from 23 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by W. Chandler
11:22.0,,,0-0,,W. Chandler misses 2-pt shot from 13 ft
11:19.0,,,0-0,,Offensive rebound by W. Chandler
11:16.0,,,0-0,,G. Harris misses 3-pt shot from 26 ft
11:14.0,,,0-0,,Offensive rebound by W. Chandler
11:12.0,,,0-0,,J. Murray misses 3-pt shot from 26 ft
11:10.0,Defensive rebound by Z. Randolph,,0-0,,
10:51.0,J. Jackson makes 3-pt shot from 23 ft (assist by B. Hield),3,3-0,,
10:37.0,,,3-2,2,G. Harris makes 2-pt shot from 3 ft (assist by N. Jokic)
10:09.0,G. Hill misses 3-pt shot from 25 ft,,3-2,,
10:07.0,,,3-2,,Defensive rebound by N. Jokic
10:00.0,Personal foul by Z. Randolph (drawn by P. Millsap),,3-2,,
9:57.0,,,3-2,,G. Harris misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by Z. Randolph,,3-2,,
9:37.0,Turnover by G. Hill (turnover),,3-2,,
9:25.0,,,3-4,2,W. Chandler makes 2-pt shot from 5 ft (assist by P. Millsap)
9:03.0,Turnover by J. Jackson (traveling),,3-4,,
8:55.0,,,3-6,2,G. Harris makes 2-pt shot from 3 ft (assist by N. Jokic)
8:33.0,Z. Randolph misses 2-pt shot from 4 ft,,3-6,,
8:30.0,,,3-6,,Defensive rebound by P. Millsap
8:28.0,,,3-6,,Turnover by P. Millsap (bad pass)
8:15.0,,,3-6,,Personal foul by W. Chandler (drawn by B. Hield)
8:01.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,3-6,,
7:58.0,,,3-6,,Defensive rebound by N. Jokic
7:56.0,,,3-8,2,P. Millsap makes 2-pt shot from 7 ft (assist by N. Jokic)
7:56.0,,,3-8,,Shooting foul by W. Cauley-Stein (drawn by P. Millsap)
7:56.0,,,3-9,1,P. Millsap makes free throw 1 of 1
7:36.0,G. Hill misses 2-pt shot from 15 ft,,3-9,,
7:34.0,,,3-9,,Defensive rebound by W. Chandler
7:24.0,,,3-9,,J. Murray misses 2-pt shot from 14 ft
7:21.0,Defensive rebound by J. Jackson,,3-9,,
7:19.0,B. Hield misses 3-pt shot from 26 ft,,3-9,,
7:17.0,,,3-9,,Defensive rebound by Team
7:17.0,Sacramento full timeout,,3-9,,
7:17.0,S. Labissiere enters the game for G. Hill,,3-9,,
7:17.0,D. Fox enters the game for Z. Randolph,,3-9,,
7:01.0,,,3-11,2,P. Millsap makes 2-pt shot from 3 ft
6:42.0,W. Cauley-Stein makes 2-pt shot from 21 ft (assist by S. Labissiere),2,5-11,,
6:22.0,,,5-11,,P. Millsap misses 2-pt shot from 19 ft
6:20.0,Defensive rebound by B. Hield,,5-11,,
6:11.0,J. Jackson misses 3-pt shot from 25 ft,,5-11,,
6:07.0,,,5-11,,Defensive rebound by N. Jokic
6:05.0,,,5-11,,W. Barton enters the game for N. Jokic
6:05.0,,,5-11,,M. Plumlee enters the game for W. Chandler
6:05.0,G. Temple enters the game for B. Hield,,5-11,,
6:05.0,,,5-11,,Turnover by J. Murray (bad pass)
6:05.0,Violation by W. Cauley-Stein (kicked ball),,5-11,,
5:39.0,,,5-11,,Denver full timeout
5:39.0,B. Hield enters the game for J. Jackson,,5-11,,
5:38.0,D. Fox makes 2-pt shot from 3 ft,2,7-11,,
5:18.0,,,7-11,,J. Murray misses 3-pt shot from 25 ft
5:13.0,,,7-11,,Offensive rebound by M. Plumlee
5:08.0,,,7-13,2,W. Barton makes 2-pt shot from 3 ft (assist by M. Plumlee)
4:50.0,S. Labissiere makes 3-pt shot from 26 ft (assist by B. Hield),3,10-13,,
4:36.0,Personal block foul by W. Cauley-Stein (drawn by M. Plumlee),,10-13,,
4:36.0,,,10-13,,E. Mudiay enters the game for J. Murray
4:36.0,,,10-14,1,M. Plumlee makes free throw 1 of 2
4:36.0,,,10-15,1,M. Plumlee makes free throw 2 of 2
4:26.0,B. Hield misses 2-pt shot from 11 ft,,10-15,,
4:26.0,,,10-15,,Defensive rebound by Team
4:26.0,Loose ball foul by S. Labissiere (drawn by M. Plumlee),,10-15,,
4:26.0,K. Koufos enters the game for W. Cauley-Stein,,10-15,,
4:18.0,,,10-15,,Turnover by E. Mudiay (traveling)
4:02.0,S. Labissiere misses 3-pt shot from 25 ft,,10-15,,
4:00.0,Offensive rebound by K. Koufos,,10-15,,
3:56.0,B. Hield misses 2-pt shot from 12 ft,,10-15,,
3:54.0,,,10-15,,Defensive rebound by E. Mudiay
3:54.0,Personal foul by B. Hield (drawn by E. Mudiay),,10-15,,
3:54.0,,,10-15,,E. Mudiay misses free throw 1 of 2
3:54.0,,,10-15,,Offensive rebound by Team
3:54.0,V. Carter enters the game for B. Hield,,10-15,,
3:54.0,,,10-15,,E. Mudiay misses free throw 2 of 2
