time,Memphis,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Gasol (B. Griffin gains possession),,,,Jump ball: D. Jordan vs. M. Gasol (B. Griffin gains possession)
11:37.0,,,0-0,,M. Teodosic misses 3-pt shot from 26 ft
11:32.0,Defensive rebound by J. Green,,0-0,,
11:14.0,Turnover by M. Gasol (bad pass; steal by C. Williams),,0-0,,
11:10.0,,,0-2,2,C. Williams makes 2-pt shot from 1 ft
10:48.0,J. Green misses 2-pt shot from 21 ft,,0-2,,
10:45.0,,,0-2,,Defensive rebound by W. Johnson
10:36.0,Personal foul by D. Brooks (drawn by C. Williams),,0-2,,
10:25.0,,,0-4,2,C. Williams makes 2-pt shot from 1 ft (assist by B. Griffin)
10:14.0,J. Green makes 2-pt shot from 1 ft (assist by T. Evans),2,2-4,,
10:01.0,,,2-4,,Shooting foul by M. Gasol (drawn by D. Jordan)
10:01.0,,,2-4,,D. Jordan misses free throw 1 of 2
10:01.0,,,2-4,,Offensive rebound by Team
10:01.0,,,2-5,1,D. Jordan makes free throw 2 of 2
9:39.0,D. Brooks makes 3-pt shot from 25 ft (assist by J. Green),3,5-5,,
9:19.0,,,5-5,,C. Williams misses 2-pt shot from 8 ft
9:18.0,Defensive rebound by T. Evans,,5-5,,
9:02.0,Turnover by M. Gasol (traveling),,5-5,,
8:55.0,,,5-5,,B. Griffin misses 3-pt shot from 27 ft
8:55.0,Defensive rebound by M. Gasol,,5-5,,
8:44.0,A. Harrison makes 2-pt shot from 17 ft,2,7-5,,
8:19.0,,,7-8,3,C. Williams makes 3-pt shot from 23 ft (assist by B. Griffin)
8:03.0,J. Green misses 2-pt shot from 15 ft,,7-8,,
8:01.0,,,7-8,,Defensive rebound by W. Johnson
7:51.0,,,7-10,2,B. Griffin makes 2-pt shot from 2 ft (assist by M. Teodosic)
7:34.0,T. Evans makes 3-pt shot from 25 ft,3,10-10,,
7:22.0,,,10-10,,Turnover by M. Teodosic (traveling)
7:22.0,W. Selden enters the game for A. Harrison,,10-10,,
7:12.0,T. Evans misses 2-pt shot from 18 ft,,10-10,,
7:09.0,,,10-10,,Defensive rebound by C. Williams
7:00.0,Personal foul by D. Brooks (drawn by M. Teodosic),,10-10,,
7:00.0,J. Martin enters the game for J. Green,,10-10,,
7:00.0,J. Ennis enters the game for D. Brooks,,10-10,,
6:53.0,,,10-12,2,B. Griffin makes 2-pt shot from 1 ft
6:53.0,,,10-12,,Shooting foul by J. Martin (drawn by B. Griffin)
6:53.0,,,10-12,,LA Clippers full timeout
6:53.0,,,10-12,,B. Griffin misses free throw 1 of 1
6:49.0,Defensive rebound by J. Martin,,10-12,,
6:40.0,Shooting foul by W. Johnson (drawn by T. Evans),,10-12,,
6:40.0,T. Evans makes free throw 1 of 2,1,11-12,,
6:40.0,T. Evans misses free throw 2 of 2,,11-12,,
6:38.0,,,11-12,,Defensive rebound by D. Jordan
6:20.0,,,11-12,,D. Jordan misses 2-pt shot from 6 ft
6:18.0,Defensive rebound by M. Gasol,,11-12,,
6:07.0,J. Ennis misses 2-pt shot from 1 ft,,11-12,,
6:03.0,,,11-12,,Defensive rebound by M. Teodosic
5:54.0,,,11-12,,M. Teodosic misses 3-pt shot from 26 ft
5:50.0,Defensive rebound by J. Martin,,11-12,,
5:30.0,W. Selden makes 3-pt shot from 25 ft (assist by M. Gasol),3,14-12,,
5:05.0,,,14-14,2,B. Griffin makes 2-pt shot from 2 ft (assist by M. Teodosic)
4:54.0,W. Selden makes 3-pt shot from 26 ft (assist by J. Martin),3,17-14,,
4:41.0,,,17-16,2,C. Williams makes 2-pt shot from 14 ft (assist by M. Teodosic)
4:32.0,Shooting foul by W. Johnson (drawn by T. Evans),,17-16,,
4:32.0,T. Evans makes free throw 1 of 2,1,18-16,,
4:32.0,,,18-16,,L. Williams enters the game for W. Johnson
4:32.0,T. Evans makes free throw 2 of 2,1,19-16,,
4:24.0,,,19-19,3,M. Teodosic makes 3-pt shot from 24 ft
4:06.0,Shooting foul by C. Williams (drawn by T. Evans),,19-19,,
4:06.0,T. Evans makes free throw 1 of 3,1,20-19,,
4:06.0,T. Evans makes free throw 2 of 3,1,21-19,,
4:06.0,M. Chalmers enters the game for W. Selden,,21-19,,
4:06.0,D. Davis enters the game for M. Gasol,,21-19,,
4:06.0,T. Evans misses free throw 3 of 3,,21-19,,
4:04.0,,,21-19,,Defensive rebound by D. Jordan
3:47.0,,,21-19,,C. Williams misses 3-pt shot from 23 ft
3:45.0,,,21-19,,Offensive rebound by D. Jordan
3:41.0,,,21-19,,Turnover by D. Jordan (bad pass; steal by T. Evans)
3:32.0,M. Chalmers makes 2-pt shot from 8 ft,2,23-19,,
3:13.0,,,23-19,,B. Griffin misses 2-pt shot from 6 ft
3:11.0,Defensive rebound by M. Chalmers,,23-19,,
3:06.0,J. Martin makes 2-pt shot from 20 ft (assist by T. Evans),2,25-19,,
2:52.0,,,25-21,2,D. Jordan makes 2-pt shot from 2 ft (assist by L. Williams)
2:40.0,D. Davis makes 2-pt shot at rim (assist by T. Evans),2,27-21,,
2:30.0,,,27-23,2,B. Griffin makes 2-pt shot from 1 ft (assist by M. Teodosic)
2:30.0,,,27-23,,Shooting foul by D. Davis (drawn by B. Griffin)
2:30.0,Memphis full timeout,,27-23,,
2:30.0,,,27-23,,J. Evans enters the game for M. Teodosic
2:30.0,K. Simmons enters the game for T. Evans,,27-23,,
2:30.0,,,27-24,1,B. Griffin makes free throw 1 of 1
2:17.0,Offensive foul by J. Martin (drawn by J. Evans),,27-24,,
2:17.0,Turnover by J. Martin (offensive foul),,27-24,,
2:06.0,,,27-26,2,L. Williams makes 2-pt shot from 11 ft (assist by B. Griffin)
1:47.0,D. Davis makes 2-pt shot from 15 ft,2,29-26,,
1:34.0,,,29-28,2,D. Jordan makes 2-pt shot from 1 ft (assist by B. Griffin)
1:09.0,D. Davis misses 2-pt shot from 2 ft,,29-28,,
1:07.0,Offensive rebound by J. Martin,,29-28,,
1:07.0,J. Martin makes 2-pt shot at rim,2,31-28,,
0:55.0,,,31-28,,S. Dekker enters the game for D. Jordan
0:55.0,,,31-28,,M. Harrell enters the game for B. Griffin
0:55.0,J. Green enters the game for J. Martin,,31-28,,
0:45.0,,,31-31,3,C. Williams makes 3-pt shot from 27 ft
0:32.0,K. Simmons misses 3-pt shot from 25 ft,,31-31,,
0:30.0,,,31-31,,Defensive rebound by S. Dekker
0:15.0,,,31-34,3,L. Williams makes 3-pt shot from 24 ft
0:03.0,M. Chalmers misses 2-pt shot from 17 ft,,31-34,,
0:01.0,,,31-34,,Defensive rebound by J. Evans
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Chalmers makes 2-pt shot from 9 ft,2,33-34,,
11:32.0,,,33-34,,S. Dekker misses 2-pt shot from 3 ft
11:29.0,Defensive rebound by J. Ennis,,33-34,,
11:26.0,J. Ennis makes 2-pt shot from 1 ft,2,35-34,,
11:17.0,,,35-34,,W. Johnson misses 2-pt shot from 16 ft
11:17.0,,,35-34,,Offensive rebound by Team
11:17.0,Loose ball foul by M. Gasol (drawn by M. Harrell),,35-34,,
11:13.0,,,35-34,,L. Williams misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by J. Ennis,,35-34,,
11:00.0,M. Chalmers makes 2-pt shot from 1 ft,2,37-34,,
10:56.0,,,37-34,,LA Clippers full timeout
10:42.0,,,37-34,,Turnover by M. Harrell (lost ball; steal by J. Green)
10:31.0,,,37-34,,Personal foul by J. Evans (drawn by M. Gasol)
10:31.0,,,37-34,,W. Reed enters the game for W. Johnson
10:25.0,,,37-34,,Personal foul by J. Evans (drawn by A. Harrison)
10:15.0,J. Ennis makes 2-pt shot from 18 ft (assist by M. Gasol),2,39-34,,
10:07.0,Personal foul by J. Ennis (drawn by L. Williams),,39-34,,
9:58.0,,,39-34,,Turnover by J. Evans (bad pass; steal by J. Green)
9:57.0,Turnover by M. Chalmers (bad pass),,39-34,,
9:46.0,,,39-36,2,L. Williams makes 2-pt shot from 4 ft
9:28.0,A. Harrison makes 3-pt shot from 26 ft (assist by M. Gasol),3,42-36,,
9:09.0,,,42-38,2,W. Reed makes 2-pt shot from 1 ft (assist by L. Williams)
9:01.0,M. Chalmers makes 2-pt shot from 1 ft,2,44-38,,
9:01.0,Shooting foul by J. Evans (drawn by M. Chalmers),,44-38,,
9:01.0,,,44-38,,M. Teodosic enters the game for J. Evans
9:01.0,M. Chalmers makes free throw 1 of 1,1,45-38,,
8:47.0,,,45-41,3,M. Teodosic makes 3-pt shot from 24 ft (assist by L. Williams)
8:24.0,Turnover by M. Chalmers (bad pass; steal by W. Reed),,45-41,,
8:15.0,,,45-41,,M. Harrell misses 2-pt shot from 1 ft
8:12.0,Defensive rebound by M. Gasol,,45-41,,
7:57.0,Shooting foul by S. Dekker (drawn by J. Green),,45-41,,
7:57.0,J. Green misses free throw 1 of 2,,45-41,,
7:57.0,Offensive rebound by Team,,45-41,,
7:57.0,W. Selden enters the game for A. Harrison,,45-41,,
7:57.0,T. Evans enters the game for M. Chalmers,,45-41,,
7:57.0,J. Green misses free throw 2 of 2,,45-41,,
7:54.0,,,45-41,,Defensive rebound by S. Dekker
7:46.0,,,45-41,,Turnover by M. Teodosic (bad pass; steal by J. Green)
7:45.0,,,45-41,,Personal foul by L. Williams (drawn by J. Green)
7:45.0,J. Green makes free throw 1 of 2,1,46-41,,
7:45.0,,,46-41,,B. Griffin enters the game for M. Harrell
7:45.0,D. Brooks enters the game for J. Ennis,,46-41,,
7:45.0,J. Green makes free throw 2 of 2,1,47-41,,
7:28.0,,,47-43,2,S. Dekker makes 2-pt shot from 9 ft (assist by B. Griffin)
7:21.0,,,47-43,,C. Williams enters the game for S. Dekker
7:21.0,,,47-43,,D. Jordan enters the game for W. Reed
7:05.0,M. Gasol makes 2-pt shot from 17 ft (assist by J. Green),2,49-43,,
6:56.0,,,49-45,2,B. Griffin makes 2-pt shot from 20 ft
6:35.0,Shooting foul by D. Jordan (drawn by J. Green),,49-45,,
6:35.0,J. Green misses free throw 1 of 2,,49-45,,
6:35.0,Offensive rebound by Team,,49-45,,
6:35.0,D. Davis enters the game for M. Gasol,,49-45,,
6:35.0,J. Green misses free throw 2 of 2,,49-45,,
6:33.0,,,49-45,,Defensive rebound by B. Griffin
6:25.0,,,49-45,,Shooting foul by D. Davis (drawn by D. Jordan)
6:25.0,,,49-46,1,D. Jordan makes free throw 1 of 2
