time,Indiana,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Jefferson (M. Morris gains possession),,,,Jump ball: M. Gortat vs. A. Jefferson (M. Morris gains possession)
11:43.0,,,0-0,,O. Porter misses 2-pt shot from 7 ft
11:41.0,Defensive rebound by A. Jefferson,,0-0,,
11:21.0,A. Jefferson makes 2-pt shot at rim,2,2-0,,
11:05.0,,,2-2,2,T. Satoransky makes 2-pt shot from 4 ft (assist by M. Morris)
10:48.0,A. Jefferson makes 2-pt shot from 12 ft (assist by C. Joseph),2,4-2,,
10:34.0,,,4-2,,M. Morris misses 2-pt shot from 12 ft
10:31.0,Defensive rebound by A. Jefferson,,4-2,,
10:20.0,V. Oladipo makes 2-pt shot from 2 ft,2,6-2,,
9:56.0,,,6-2,,Turnover by T. Satoransky (lost ball; steal by V. Oladipo)
9:50.0,B. Bogdanovic misses 2-pt shot from 2 ft,,6-2,,
9:50.0,,,6-2,,Defensive rebound by Team
9:30.0,,,6-5,3,T. Satoransky makes 3-pt shot from 23 ft (assist by M. Gortat)
9:07.0,B. Bogdanovic misses 2-pt shot from 12 ft (block by M. Gortat),,6-5,,
9:04.0,Offensive rebound by V. Oladipo,,6-5,,
9:04.0,V. Oladipo misses 2-pt shot from 9 ft (block by O. Porter),,6-5,,
9:00.0,,,6-5,,Defensive rebound by B. Beal
8:54.0,,,6-5,,M. Gortat misses 2-pt shot from 11 ft
8:51.0,Defensive rebound by Team,,6-5,,
8:36.0,V. Oladipo makes 2-pt shot from 16 ft,2,8-5,,
8:22.0,,,8-5,,B. Beal misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by A. Jefferson,,8-5,,
8:15.0,Turnover by V. Oladipo (out of bounds lost ball),,8-5,,
8:04.0,,,8-7,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
7:45.0,A. Jefferson misses 2-pt shot from 16 ft,,8-7,,
7:40.0,,,8-7,,Defensive rebound by T. Satoransky
7:25.0,,,8-7,,B. Beal misses 2-pt shot from 11 ft
7:23.0,Defensive rebound by A. Jefferson,,8-7,,
7:01.0,V. Oladipo misses 3-pt shot from 25 ft,,8-7,,
6:59.0,,,8-7,,Defensive rebound by M. Gortat
6:50.0,,,8-7,,M. Morris misses 3-pt shot from 26 ft
6:49.0,Defensive rebound by B. Bogdanovic,,8-7,,
6:48.0,Turnover by B. Bogdanovic (lost ball; steal by O. Porter),,8-7,,
6:33.0,,,8-9,2,B. Beal makes 2-pt shot at rim
6:21.0,V. Oladipo makes 2-pt shot from 18 ft (assist by T. Young),2,10-9,,
6:04.0,,,10-9,,B. Beal misses 2-pt shot at rim
6:04.0,Defensive rebound by A. Jefferson,,10-9,,
6:04.0,,,10-9,,Personal foul by B. Beal (drawn by A. Jefferson)
6:04.0,,,10-9,,Washington full timeout
6:04.0,T. Booker enters the game for A. Jefferson,,10-9,,
5:39.0,T. Young misses 2-pt shot from 3 ft,,10-9,,
5:33.0,Offensive rebound by V. Oladipo,,10-9,,
5:33.0,V. Oladipo misses 2-pt shot at rim,,10-9,,
5:33.0,,,10-9,,Defensive rebound by M. Gortat
5:24.0,,,10-9,,M. Morris misses 2-pt shot from 18 ft
5:20.0,Defensive rebound by T. Booker,,10-9,,
5:13.0,Turnover by V. Oladipo (bad pass; steal by M. Gortat),,10-9,,
5:08.0,,,10-9,,O. Porter misses 2-pt shot from 1 ft
5:03.0,,,10-9,,Offensive rebound by T. Satoransky
5:03.0,,,10-11,2,T. Satoransky makes 2-pt shot at rim
4:52.0,Shooting foul by M. Morris (drawn by T. Young),,10-11,,
