time,Houston,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Capela (P. Tucker gains possession),,,,Jump ball: K. Towns vs. C. Capela (P. Tucker gains possession)
11:45.0,T. Ariza makes 3-pt shot from 24 ft (assist by C. Paul),3,3-0,,
11:21.0,,,3-0,,J. Teague misses 3-pt shot from 25 ft
11:20.0,Defensive rebound by C. Paul,,3-0,,
11:08.0,P. Tucker misses 3-pt shot from 22 ft,,3-0,,
11:05.0,,,3-0,,Defensive rebound by J. Butler
10:57.0,,,3-2,2,J. Butler makes 2-pt shot from 4 ft
10:41.0,P. Tucker misses 3-pt shot from 24 ft,,3-2,,
10:39.0,,,3-2,,Defensive rebound by K. Towns
10:32.0,,,3-2,,Turnover by J. Teague (bad pass; steal by T. Ariza)
10:22.0,C. Paul makes 2-pt shot from 10 ft,2,5-2,,
10:04.0,,,5-5,3,A. Wiggins makes 3-pt shot from 23 ft (assist by J. Butler)
9:42.0,P. Tucker misses 2-pt shot from 3 ft,,5-5,,
9:41.0,,,5-5,,Defensive rebound by K. Towns
9:35.0,,,5-8,3,J. Butler makes 3-pt shot from 23 ft (assist by J. Teague)
9:12.0,C. Capela misses 2-pt shot from 7 ft,,5-8,,
9:12.0,,,5-8,,Defensive rebound by J. Butler
9:02.0,,,5-8,,J. Butler misses 2-pt shot from 3 ft (block by C. Capela)
9:02.0,Defensive rebound by J. Harden,,5-8,,
8:49.0,C. Capela misses 2-pt shot from 3 ft,,5-8,,
8:47.0,Offensive rebound by C. Capela,,5-8,,
8:47.0,Shooting foul by K. Towns (drawn by C. Capela),,5-8,,
8:47.0,C. Capela makes free throw 1 of 2,1,6-8,,
8:47.0,C. Capela misses free throw 2 of 2,,6-8,,
8:45.0,,,6-8,,Defensive rebound by T. Gibson
8:39.0,,,6-10,2,A. Wiggins makes 2-pt shot from 9 ft (assist by J. Teague)
8:21.0,C. Paul misses 3-pt shot from 24 ft,,6-10,,
8:18.0,,,6-10,,Defensive rebound by J. Butler
8:06.0,,,6-13,3,J. Teague makes 3-pt shot from 24 ft (assist by A. Wiggins)
7:39.0,J. Harden makes 3-pt shot from 23 ft,3,9-13,,
7:23.0,,,9-13,,Turnover by K. Towns (traveling)
7:09.0,Shooting foul by T. Gibson (drawn by C. Capela),,9-13,,
7:09.0,C. Capela misses free throw 1 of 2,,9-13,,
7:09.0,Offensive rebound by Team,,9-13,,
7:09.0,C. Capela misses free throw 2 of 2,,9-13,,
7:06.0,,,9-13,,Defensive rebound by K. Towns
7:03.0,Personal foul by C. Paul (drawn by A. Wiggins),,9-13,,
7:03.0,N. Hilario enters the game for C. Paul,,9-13,,
7:03.0,E. Gordon enters the game for C. Capela,,9-13,,
7:01.0,,,9-13,,Shooting foul by E. Gordon (drawn by J. Teague)
7:01.0,,,9-14,1,J. Teague makes free throw 1 of 2
7:01.0,,,9-14,,J. Teague misses free throw 2 of 2
6:59.0,Defensive rebound by P. Tucker,,9-14,,
6:41.0,J. Harden misses 3-pt shot from 24 ft,,9-14,,
6:38.0,,,9-14,,Defensive rebound by A. Wiggins
6:29.0,,,9-14,,J. Butler misses 2-pt shot from 10 ft
6:26.0,Defensive rebound by P. Tucker,,9-14,,
6:21.0,Shooting foul by J. Butler (drawn by P. Tucker),,9-14,,
6:21.0,,,9-14,,Minnesota full timeout
6:21.0,,,9-14,,T. Jones enters the game for J. Teague
6:21.0,P. Tucker makes free throw 1 of 2,1,10-14,,
6:21.0,P. Tucker makes free throw 2 of 2,1,11-14,,
6:07.0,Def 3 sec tech foul by J. Harden,,11-14,,
6:07.0,,,11-14,,J. Butler misses technical free throw
6:07.0,,,11-14,,Offensive rebound by Team
5:56.0,,,11-14,,A. Wiggins misses 2-pt shot from 18 ft
5:52.0,Defensive rebound by J. Harden,,11-14,,
5:38.0,E. Gordon makes 3-pt shot from 26 ft (assist by P. Tucker),3,14-14,,
5:25.0,,,14-16,2,T. Gibson makes 2-pt shot from 8 ft (assist by A. Wiggins)
5:10.0,E. Gordon makes 2-pt shot at rim,2,16-16,,
5:00.0,,,16-16,,J. Butler misses 3-pt shot from 25 ft
4:57.0,,,16-16,,Offensive rebound by T. Gibson
4:53.0,,,16-16,,T. Gibson misses 2-pt shot from 1 ft (block by P. Tucker)
4:49.0,,,16-16,,Offensive rebound by K. Towns
4:49.0,,,16-16,,Turnover by K. Towns (bad pass; steal by J. Harden)
4:42.0,J. Harden misses 3-pt shot from 25 ft,,16-16,,
4:38.0,,,16-16,,Defensive rebound by K. Towns
4:20.0,,,16-16,,Turnover by A. Wiggins (bad pass)
4:20.0,,,16-16,,G. Dieng enters the game for K. Towns
