time,Denver,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs.,,,,Jump ball: N. Jokic vs.
11:47.0,,,0-0,,J. Harden misses 2-pt shot from 6 ft
11:45.0,Defensive rebound by J. Murray,,0-0,,
11:41.0,W. Barton misses 2-pt shot from 6 ft (block by T. Ariza),,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Harden
11:21.0,Personal foul by W. Chandler (drawn by T. Ariza),,0-0,,
11:16.0,,,0-0,,Shooting foul by N. Jokic (drawn by C. Capela)
11:16.0,,,0-0,,C. Capela misses free throw 1 of 2
11:16.0,,,0-0,,Offensive rebound by Team
11:16.0,,,0-0,,C. Capela misses free throw 2 of 2
11:14.0,Defensive rebound by N. Jokic,,0-0,,
11:07.0,N. Jokic misses 2-pt shot from 17 ft,,0-0,,
11:04.0,,,0-0,,Defensive rebound by J. Harden
10:58.0,,,0-0,,C. Capela misses 2-pt shot from 5 ft
10:56.0,Defensive rebound by W. Chandler,,0-0,,
10:34.0,N. Jokic misses 2-pt shot from 18 ft,,0-0,,
10:31.0,,,0-0,,Defensive rebound by C. Capela
10:18.0,,,0-0,,C. Capela misses 2-pt shot from 3 ft (block by N. Jokic)
10:16.0,,,0-0,,Offensive rebound by C. Capela
10:14.0,,,0-0,,Turnover by C. Capela (lost ball; steal by G. Harris)
10:06.0,W. Chandler misses 3-pt shot from 25 ft,,0-0,,
10:04.0,,,0-0,,Defensive rebound by P. Tucker
9:56.0,,,0-0,,C. Paul misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by N. Jokic,,0-0,,
9:31.0,N. Jokic makes 2-pt shot from 19 ft (assist by W. Barton),2,2-0,,
9:10.0,,,2-0,,T. Ariza misses 3-pt shot from 24 ft
9:06.0,Defensive rebound by N. Jokic,,2-0,,
8:57.0,W. Barton misses 3-pt shot from 23 ft,,2-0,,
8:54.0,,,2-0,,Defensive rebound by J. Harden
8:46.0,,,2-0,,J. Harden misses 2-pt shot from 4 ft
8:41.0,Defensive rebound by J. Murray,,2-0,,
8:38.0,W. Barton misses 3-pt shot from 25 ft,,2-0,,
8:38.0,,,2-0,,Defensive rebound by P. Tucker
8:23.0,,,2-2,2,C. Paul makes 2-pt shot from 9 ft
8:08.0,G. Harris misses 2-pt shot from 1 ft,,2-2,,
8:06.0,,,2-2,,Defensive rebound by C. Capela
8:04.0,,,2-4,2,C. Paul makes 2-pt shot from 7 ft
8:04.0,,,2-4,,Shooting foul by J. Murray (drawn by C. Paul)
8:04.0,,,2-4,,C. Paul misses free throw 1 of 1
8:01.0,Defensive rebound by W. Barton,,2-4,,
7:51.0,G. Harris makes 2-pt shot at rim (assist by N. Jokic),2,4-4,,
