time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Gortat (T. Frazier gains possession),,,,Jump ball: J. Valanciunas vs. M. Gortat (T. Frazier gains possession)
11:38.0,O. Porter misses 3-pt shot from 28 ft,,0-0,,
11:34.0,Offensive rebound by M. Morris,,0-0,,
11:29.0,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter),3,3-0,,
11:06.0,,,3-0,,Turnover by N. Powell (bad pass; steal by O. Porter)
11:02.0,O. Porter makes 2-pt shot from 1 ft,2,5-0,,
10:46.0,Personal foul by M. Morris (drawn by S. Ibaka),,5-0,,
10:37.0,,,5-0,,S. Ibaka misses 2-pt shot from 13 ft
10:35.0,Defensive rebound by M. Gortat,,5-0,,
10:22.0,M. Gortat misses 2-pt shot from 10 ft,,5-0,,
10:20.0,,,5-0,,Defensive rebound by S. Ibaka
10:14.0,,,5-0,,D. DeRozan misses 3-pt shot from 54 ft
10:14.0,Defensive rebound by Team,,5-0,,
10:03.0,Shooting foul by D. DeRozan (drawn by M. Gortat),,5-0,,
10:03.0,M. Gortat makes free throw 1 of 2,1,6-0,,
10:03.0,M. Gortat makes free throw 2 of 2,1,7-0,,
9:48.0,,,7-2,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
9:33.0,M. Morris misses 2-pt shot from 14 ft,,7-2,,
9:31.0,,,7-2,,Defensive rebound by K. Lowry
9:18.0,,,7-2,,D. DeRozan misses 3-pt shot from 22 ft
9:17.0,,,7-2,,Offensive rebound by J. Valanciunas
9:13.0,,,7-2,,N. Powell misses 2-pt shot from 1 ft
9:13.0,Defensive rebound by M. Morris,,7-2,,
9:08.0,B. Beal misses 3-pt shot from 23 ft,,7-2,,
9:04.0,,,7-2,,Defensive rebound by S. Ibaka
9:00.0,Personal foul by T. Frazier (drawn by K. Lowry),,7-2,,
