time,LA Lakers,pts.away,score,pts.home,Denver
1:14.0,,,26-30,,M. Plumlee misses 2-pt shot from 2 ft (block by I. Zubac)
1:11.0,,,26-30,,Offensive rebound by M. Plumlee
1:08.0,,,26-33,3,W. Barton makes 3-pt shot from 24 ft (assist by M. Plumlee)
0:47.0,I. Zubac misses 2-pt shot from 3 ft (block by M. Plumlee),,26-33,,
0:44.0,Offensive rebound by I. Zubac,,26-33,,
0:43.0,I. Zubac misses 2-pt shot from 2 ft (block by M. Plumlee),,26-33,,
0:41.0,,,26-33,,Defensive rebound by M. Plumlee
0:39.0,,,26-35,2,J. Hernangomez makes 2-pt shot from 1 ft (assist by D. Harris)
0:34.0,,,26-35,,Personal foul by D. Harris (drawn by I. Thomas)
0:34.0,T. Ennis enters the game for L. Ball,,26-35,,
0:17.0,T. Ennis makes 2-pt shot from 12 ft,2,28-35,,
0:02.0,,,28-35,,D. Harris misses 3-pt shot from 24 ft
0:00.0,,,28-35,,Offensive rebound by J. Hernangomez
0:00.0,,,28-37,2,J. Hernangomez makes 2-pt shot from 9 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,28-37,,J. Hernangomez misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by I. Zubac,,28-37,,
11:37.0,I. Thomas misses 2-pt shot from 5 ft,,28-37,,
11:35.0,,,28-37,,Defensive rebound by M. Plumlee
11:29.0,,,28-40,3,D. Harris makes 3-pt shot from 25 ft
11:10.0,T. Wear misses 2-pt shot from 16 ft,,28-40,,
11:08.0,,,28-40,,Defensive rebound by M. Plumlee
10:58.0,,,28-40,,Turnover by W. Barton (lost ball; steal by T. Ennis)
10:53.0,T. Wear makes 2-pt shot from 1 ft (assist by T. Ennis),2,30-40,,
10:38.0,Personal foul by T. Ennis (drawn by M. Plumlee),,30-40,,
10:26.0,,,30-40,,J. Hernangomez misses 3-pt shot from 22 ft
10:24.0,Defensive rebound by I. Zubac,,30-40,,
10:06.0,I. Zubac misses 2-pt shot from 4 ft,,30-40,,
10:04.0,,,30-40,,Defensive rebound by T. Lyles
10:02.0,,,30-42,2,D. Harris makes 2-pt shot from 2 ft
10:02.0,,,30-42,,Shooting foul by I. Thomas (drawn by D. Harris)
10:02.0,,,30-43,1,D. Harris makes free throw 1 of 1
9:45.0,T. Ennis makes 3-pt shot from 24 ft,3,33-43,,
9:23.0,,,33-43,,J. Hernangomez misses 3-pt shot from 22 ft
9:21.0,,,33-43,,Offensive rebound by M. Plumlee
9:17.0,Personal foul by I. Zubac (drawn by M. Plumlee),,33-43,,
9:17.0,J. Randle enters the game for I. Zubac,,33-43,,
9:13.0,,,33-45,2,J. Hernangomez makes 2-pt shot from 1 ft (assist by T. Lyles)
9:13.0,,,33-45,,Shooting foul by I. Thomas (drawn by J. Hernangomez)
9:13.0,,,33-46,1,J. Hernangomez makes free throw 1 of 1
9:01.0,Shooting foul by T. Lyles (drawn by J. Randle),,33-46,,
9:01.0,J. Randle makes free throw 1 of 2,1,34-46,,
9:01.0,J. Randle makes free throw 2 of 2,1,35-46,,
8:46.0,,,35-46,,D. Harris misses 2-pt shot from 3 ft
8:43.0,Defensive rebound by J. Randle,,35-46,,
8:40.0,J. Randle makes 2-pt shot from 2 ft,2,37-46,,
8:40.0,Shooting foul by T. Lyles (drawn by J. Randle),,37-46,,
8:40.0,,,37-46,,Denver full timeout
8:40.0,,,37-46,,G. Harris enters the game for J. Hernangomez
8:40.0,J. Randle makes free throw 1 of 1,1,38-46,,
8:24.0,,,38-46,,T. Lyles misses 2-pt shot from 6 ft (block by T. Wear)
8:24.0,,,38-46,,Offensive rebound by Team
8:23.0,Personal foul by T. Wear (drawn by M. Plumlee),,38-46,,
8:23.0,,,38-46,,M. Plumlee misses free throw 1 of 2
8:23.0,,,38-46,,Offensive rebound by Team
8:23.0,,,38-47,1,M. Plumlee makes free throw 2 of 2
8:09.0,I. Thomas makes 2-pt shot from 1 ft (assist by T. Ennis),2,40-47,,
8:00.0,,,40-47,,T. Lyles misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by Team,,40-47,,
7:58.0,,,40-47,,J. Murray enters the game for W. Barton
7:58.0,,,40-47,,P. Millsap enters the game for T. Lyles
7:44.0,T. Wear misses 3-pt shot from 24 ft,,40-47,,
7:42.0,,,40-47,,Defensive rebound by J. Murray
7:34.0,,,40-47,,Turnover by P. Millsap (bad pass)
7:26.0,T. Ennis makes 3-pt shot from 24 ft (assist by I. Thomas),3,43-47,,
6:59.0,,,43-47,,M. Plumlee misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by T. Wear,,43-47,,
6:45.0,T. Wear makes 3-pt shot from 24 ft (assist by I. Thomas),3,46-47,,
6:44.0,,,46-47,,Denver full timeout
6:44.0,,,46-47,,N. Jokic enters the game for M. Plumlee
6:44.0,,,46-47,,W. Barton enters the game for D. Harris
6:44.0,K. Caldwell-Pope enters the game for K. Kuzma,,46-47,,
6:44.0,B. Lopez enters the game for T. Ennis,,46-47,,
6:44.0,L. Ball enters the game for T. Wear,,46-47,,
6:22.0,,,46-47,,N. Jokic misses 2-pt shot from 4 ft
6:20.0,Defensive rebound by B. Lopez,,46-47,,
5:59.0,Turnover by Team (shot clock),,46-47,,
5:50.0,,,46-49,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
5:30.0,B. Lopez misses 2-pt shot from 6 ft,,46-49,,
5:26.0,,,46-49,,Defensive rebound by P. Millsap
5:23.0,,,46-49,,Shooting foul by J. Randle (drawn by P. Millsap)
5:23.0,,,46-50,1,P. Millsap makes free throw 1 of 2
5:23.0,,,46-51,1,P. Millsap makes free throw 2 of 2
5:09.0,Shooting foul by P. Millsap (drawn by J. Randle),,46-51,,
5:09.0,J. Randle misses free throw 1 of 2,,46-51,,
5:09.0,Offensive rebound by Team,,46-51,,
5:09.0,J. Randle makes free throw 2 of 2,1,47-51,,
4:58.0,,,47-51,,N. Jokic misses 3-pt shot from 24 ft
4:54.0,Defensive rebound by K. Caldwell-Pope,,47-51,,
4:46.0,J. Randle misses 2-pt shot from 3 ft,,47-51,,
4:44.0,,,47-51,,Defensive rebound by N. Jokic
4:40.0,,,47-54,3,G. Harris makes 3-pt shot from 24 ft (assist by N. Jokic)
4:10.0,J. Randle misses 2-pt shot from 4 ft,,47-54,,
4:07.0,,,47-54,,Defensive rebound by W. Barton
4:00.0,,,47-57,3,G. Harris makes 3-pt shot from 24 ft (assist by P. Millsap)
3:59.0,LA Lakers full timeout,,47-57,,
3:59.0,K. Kuzma enters the game for I. Thomas,,47-57,,
3:59.0,T. Ennis enters the game for J. Randle,,47-57,,
3:39.0,K. Kuzma makes 3-pt shot from 24 ft,3,50-57,,
3:20.0,,,50-57,,G. Harris misses 3-pt shot from 25 ft
3:17.0,Defensive rebound by K. Kuzma,,50-57,,
3:07.0,Shooting foul by G. Harris (drawn by K. Kuzma),,50-57,,
3:07.0,K. Kuzma makes free throw 1 of 2,1,51-57,,
3:07.0,K. Kuzma makes free throw 2 of 2,1,52-57,,
2:59.0,,,52-57,,Turnover by J. Murray (out of bounds lost ball)
2:45.0,Turnover by T. Ennis (bad pass; steal by G. Harris),,52-57,,
2:40.0,,,52-60,3,J. Murray makes 3-pt shot from 26 ft (assist by G. Harris)
2:17.0,B. Lopez misses 2-pt shot from 11 ft,,52-60,,
2:11.0,Offensive rebound by L. Ball,,52-60,,
2:11.0,L. Ball makes 2-pt shot at rim,2,54-60,,
1:58.0,,,54-63,3,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton)
1:47.0,L. Ball misses 2-pt shot from 7 ft,,54-63,,
1:43.0,,,54-63,,Defensive rebound by G. Harris
1:25.0,,,54-63,,J. Murray misses 3-pt shot from 24 ft
1:21.0,Defensive rebound by K. Caldwell-Pope,,54-63,,
1:21.0,,,54-63,,Personal foul by N. Jokic (drawn by K. Caldwell-Pope)
1:21.0,K. Caldwell-Pope makes free throw 1 of 2,1,55-63,,
1:21.0,K. Caldwell-Pope makes free throw 2 of 2,1,56-63,,
1:06.0,,,56-63,,Turnover by J. Murray (bad pass; steal by K. Caldwell-Pope)
0:58.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by L. Ball),3,59-63,,
0:50.0,Personal foul by B. Lopez (drawn by N. Jokic),,59-63,,
0:50.0,,,59-64,1,N. Jokic makes free throw 1 of 2
0:50.0,,,59-64,,J. Hernangomez enters the game for P. Millsap
0:50.0,,,59-65,1,N. Jokic makes free throw 2 of 2
0:39.0,B. Lopez makes 3-pt shot from 22 ft (assist by T. Ennis),3,62-65,,
0:14.0,,,62-65,,W. Barton misses 2-pt shot from 11 ft
0:11.0,Defensive rebound by B. Lopez,,62-65,,
0:04.0,B. Lopez misses 3-pt shot from 25 ft,,62-65,,
0:01.0,,,62-65,,Defensive rebound by J. Hernangomez
0:00.0,,,62-65,,Turnover by J. Hernangomez (bad pass; steal by L. Ball)
0:00.0,L. Ball misses 3-pt shot from 26 ft,,62-65,,
0:00.0,Offensive rebound by Team,,62-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,62-67,2,P. Millsap makes 2-pt shot from 5 ft (assist by J. Murray)
11:20.0,Turnover by J. Randle (lost ball; steal by J. Murray),,62-67,,
11:14.0,,,62-67,,Shooting foul by B. Lopez (drawn by G. Harris)
11:14.0,,,62-68,1,G. Harris makes free throw 1 of 2
11:14.0,,,62-69,1,G. Harris makes free throw 2 of 2
11:02.0,K. Caldwell-Pope makes 3-pt shot from 25 ft (assist by L. Ball),3,65-69,,
10:38.0,,,65-71,2,J. Murray makes 2-pt shot from 2 ft
10:38.0,,,65-71,,Shooting foul by B. Lopez (drawn by J. Murray)
10:38.0,,,65-72,1,J. Murray makes free throw 1 of 1
10:28.0,Shooting foul by P. Millsap (drawn by J. Randle),,65-72,,
10:28.0,J. Randle makes free throw 1 of 2,1,66-72,,
10:28.0,J. Randle misses free throw 2 of 2,,66-72,,
10:26.0,,,66-72,,Defensive rebound by P. Millsap
10:13.0,,,66-72,,Turnover by J. Murray (bad pass; steal by L. Ball)
9:54.0,B. Lopez makes 3-pt shot from 23 ft (assist by K. Kuzma),3,69-72,,
9:40.0,,,69-75,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
9:22.0,K. Kuzma makes 3-pt shot from 24 ft (assist by J. Randle),3,72-75,,
9:07.0,,,72-77,2,P. Millsap makes 2-pt shot from 6 ft
8:54.0,B. Lopez makes 2-pt shot from 13 ft,2,74-77,,
8:33.0,,,74-77,,Shooting foul by J. Randle (drawn by J. Murray)
8:33.0,,,74-78,1,J. Murray makes free throw 1 of 2
8:33.0,,,74-79,1,J. Murray makes free throw 2 of 2
