time,Denver,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Jokic (C. Anthony gains possession),,,,Jump ball: S. Adams vs. N. Jokic (C. Anthony gains possession)
11:41.0,,,0-2,2,C. Anthony makes 2-pt shot from 9 ft
11:26.0,J. Murray misses 2-pt shot from 4 ft (block by R. Westbrook),,0-2,,
11:24.0,,,0-2,,Defensive rebound by R. Westbrook
11:12.0,,,0-2,,S. Adams misses 2-pt shot from 1 ft (block by N. Jokic)
11:10.0,,,0-2,,Offensive rebound by S. Adams
11:10.0,,,0-2,,S. Adams misses 2-pt shot from 1 ft
11:10.0,Defensive rebound by N. Jokic,,0-2,,
11:02.0,Turnover by N. Jokic (bad pass; steal by P. George),,0-2,,
10:58.0,,,0-4,2,P. George makes 2-pt shot from 1 ft
10:32.0,N. Jokic misses 2-pt shot at rim,,0-4,,
10:28.0,,,0-4,,Defensive rebound by R. Westbrook
10:21.0,,,0-6,2,S. Adams makes 2-pt shot at rim (assist by C. Brewer)
10:06.0,W. Chandler misses 2-pt shot from 4 ft,,0-6,,
10:03.0,,,0-6,,Defensive rebound by C. Anthony
9:57.0,,,0-9,3,C. Anthony makes 3-pt shot from 25 ft
9:40.0,W. Chandler misses 2-pt shot at rim,,0-9,,
9:38.0,Offensive rebound by W. Chandler,,0-9,,
9:38.0,W. Chandler makes 2-pt shot at rim,2,2-9,,
9:29.0,,,2-9,,P. George misses 2-pt shot from 1 ft
9:26.0,Defensive rebound by N. Jokic,,2-9,,
9:23.0,W. Barton makes 2-pt shot from 1 ft,2,4-9,,
9:13.0,,,4-12,3,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook)
8:50.0,W. Chandler misses 2-pt shot from 12 ft,,4-12,,
8:47.0,Offensive rebound by P. Millsap,,4-12,,
8:46.0,P. Millsap makes 2-pt shot from 5 ft,2,6-12,,
8:38.0,,,6-12,,Shooting foul by N. Jokic (drawn by S. Adams)
8:38.0,,,6-12,,S. Adams misses free throw 1 of 2
8:38.0,,,6-12,,Offensive rebound by Team
8:38.0,,,6-12,,S. Adams misses free throw 2 of 2
8:35.0,Defensive rebound by P. Millsap,,6-12,,
8:19.0,P. Millsap makes 3-pt shot from 25 ft (assist by N. Jokic),3,9-12,,
7:57.0,,,9-12,,S. Adams misses 2-pt shot from 6 ft
7:55.0,Defensive rebound by W. Barton,,9-12,,
7:46.0,W. Barton misses 3-pt shot from 27 ft,,9-12,,
7:42.0,,,9-12,,Defensive rebound by S. Adams
7:38.0,,,9-14,2,C. Brewer makes 2-pt shot at rim (assist by R. Westbrook)
7:25.0,P. Millsap makes 2-pt shot from 8 ft,2,11-14,,
7:12.0,,,11-14,,S. Adams misses 2-pt shot from 1 ft (block by N. Jokic)
7:09.0,Defensive rebound by N. Jokic,,11-14,,
7:03.0,J. Murray makes 3-pt shot from 23 ft (assist by W. Chandler),3,14-14,,
7:01.0,,,14-14,,Oklahoma City full timeout
