time,Sacramento,pts.away,score,pts.home,Miami
7:40.0,Offensive rebound by Team,,4-8,,
7:40.0,W. Cauley-Stein misses free throw 2 of 2,,4-8,,
7:37.0,,,4-8,,Defensive rebound by J. Johnson
7:24.0,,,4-8,,J. Johnson misses 2-pt shot from 3 ft
7:22.0,,,4-8,,Offensive rebound by D. Jones
7:18.0,,,4-8,,J. Richardson misses 3-pt shot from 26 ft
7:13.0,,,4-8,,Offensive rebound by J. Johnson
6:56.0,,,4-8,,G. Dragic misses 2-pt shot from 3 ft
6:53.0,Defensive rebound by B. Bogdanovic,,4-8,,
6:48.0,B. Bogdanovic makes 3-pt shot from 28 ft (assist by D. Fox),3,7-8,,
6:32.0,,,7-8,,G. Dragic misses 3-pt shot from 24 ft
6:29.0,Defensive rebound by Z. Randolph,,7-8,,
6:26.0,,,7-8,,Personal foul by G. Dragic (drawn by D. Fox)
6:26.0,,,7-8,,Miami full timeout
6:26.0,K. Koufos enters the game for W. Cauley-Stein,,7-8,,
6:15.0,Z. Randolph misses 2-pt shot from 5 ft,,7-8,,
6:11.0,,,7-8,,Defensive rebound by J. Richardson
6:04.0,,,7-8,,Offensive foul by J. Johnson (drawn by D. Fox)
6:04.0,,,7-8,,Turnover by J. Johnson (offensive foul)
6:04.0,,,7-8,,W. Ellington enters the game for J. Richardson
5:52.0,J. Jackson makes 2-pt shot from 20 ft,2,9-8,,
5:37.0,Personal foul by J. Jackson (drawn by H. Whiteside),,9-8,,
5:23.0,,,9-11,3,G. Dragic makes 3-pt shot from 26 ft (assist by J. Johnson)
5:07.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,11-11,,
4:49.0,,,11-14,3,W. Ellington makes 3-pt shot from 25 ft (assist by G. Dragic)
4:38.0,J. Jackson misses 2-pt shot from 9 ft,,11-14,,
4:35.0,Offensive rebound by J. Jackson,,11-14,,
4:31.0,J. Jackson makes 2-pt shot from 22 ft,2,13-14,,
4:10.0,,,13-14,,J. Johnson misses 3-pt shot from 26 ft
4:07.0,Defensive rebound by K. Koufos,,13-14,,
3:55.0,Z. Randolph misses 2-pt shot from 6 ft,,13-14,,
3:51.0,,,13-14,,Defensive rebound by W. Ellington
3:47.0,,,13-14,,Turnover by H. Whiteside (traveling)
3:47.0,,,13-14,,K. Olynyk enters the game for J. Johnson
3:36.0,Z. Randolph makes 2-pt shot from 20 ft (assist by D. Fox),2,15-14,,
3:18.0,,,15-14,,K. Olynyk misses 2-pt shot from 15 ft
3:16.0,Defensive rebound by D. Fox,,15-14,,
3:12.0,D. Fox misses 2-pt shot from 4 ft,,15-14,,
3:11.0,,,15-14,,Defensive rebound by H. Whiteside
3:00.0,,,15-14,,W. Ellington misses 2-pt shot from 18 ft (block by J. Jackson)
3:00.0,,,15-14,,Offensive rebound by Team
3:00.0,,,15-14,,B. Adebayo enters the game for D. Jones
3:00.0,,,15-14,,J. Winslow enters the game for H. Whiteside
3:00.0,M. Richardson enters the game for J. Jackson,,15-14,,
3:00.0,S. Labissiere enters the game for Z. Randolph,,15-14,,
2:51.0,Sacramento full timeout,,15-14,,
2:51.0,,,15-14,,Turnover by G. Dragic (bad pass)
2:51.0,G. Temple enters the game for D. Fox,,15-14,,
2:31.0,,,15-14,,Personal foul by K. Olynyk (drawn by S. Labissiere)
2:23.0,G. Temple makes 2-pt shot from 18 ft (assist by K. Koufos),2,17-14,,
2:07.0,,,17-14,,Shooting foul by S. Labissiere (drawn by K. Olynyk)
2:07.0,,,17-14,,J. Richardson enters the game for G. Dragic
2:07.0,B. Hield enters the game for B. Bogdanovic,,17-14,,
2:07.0,,,17-14,,K. Olynyk misses free throw 1 of 2
2:07.0,,,17-14,,Offensive rebound by Team
2:07.0,,,17-14,,K. Olynyk misses free throw 2 of 2
1:50.0,Defensive rebound by S. Labissiere,,17-14,,
1:46.0,G. Temple misses 2-pt shot from 8 ft,,17-14,,
1:42.0,,,17-14,,Defensive rebound by W. Ellington
1:31.0,,,17-14,,J. Richardson misses 2-pt shot from 16 ft
1:31.0,Defensive rebound by B. Hield,,17-14,,
1:17.0,B. Hield misses 2-pt shot from 17 ft,,17-14,,
1:17.0,,,17-14,,Defensive rebound by K. Olynyk
1:10.0,,,17-17,3,W. Ellington makes 3-pt shot from 27 ft (assist by K. Olynyk)
0:41.0,B. Hield makes 2-pt shot from 21 ft,2,19-17,,
0:22.0,,,19-17,,B. Adebayo misses 2-pt shot from 5 ft
0:19.0,Defensive rebound by K. Koufos,,19-17,,
0:01.0,M. Richardson misses 2-pt shot from 22 ft,,19-17,,
0:01.0,,,19-17,,Defensive rebound by K. Olynyk
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,Turnover by G. Temple (bad pass; steal by J. Richardson),,19-17,,
11:34.0,,,19-19,2,W. Ellington makes 2-pt shot from 3 ft (assist by J. Richardson)
11:28.0,K. Koufos makes 2-pt shot from 2 ft (assist by B. Hield),2,21-19,,
11:04.0,,,21-22,2,W. Ellington makes 3-pt shot from 23 ft (assist by K. Olynyk)
10:56.0,,,21-22,,Personal foul by J. Winslow (drawn by G. Temple)
10:45.0,M. Richardson makes 2-pt shot from 19 ft (assist by S. Labissiere),2,23-22,,
10:31.0,,,23-22,,Turnover by J. Winslow (bad pass)
10:23.0,B. Hield makes 3-pt shot from 25 ft (assist by G. Temple),3,26-22,,
10:07.0,,,26-22,,J. Winslow misses 2-pt shot from 6 ft
10:07.0,,,26-22,,Offensive rebound by Team
10:07.0,Loose ball foul by G. Temple (drawn by K. Olynyk),,26-22,,
10:05.0,,,26-22,,Shooting foul by K. Koufos (drawn by B. Adebayo)
10:05.0,,,26-23,1,B. Adebayo makes free throw 1 of 2
10:05.0,,,26-24,1,B. Adebayo makes free throw 2 of 2
9:50.0,K. Koufos makes 2-pt shot from 11 ft (assist by G. Temple),2,28-24,,
9:35.0,,,28-24,,K. Olynyk misses 3-pt shot from 26 ft
9:31.0,Defensive rebound by K. Koufos,,28-24,,
9:28.0,Turnover by G. Temple (bad pass; steal by J. Richardson),,28-24,,
9:22.0,,,28-26,2,J. Richardson makes 2-pt shot from 2 ft
9:02.0,G. Temple misses 2-pt shot from 9 ft,,28-26,,
8:57.0,,,28-26,,Defensive rebound by K. Olynyk
8:52.0,,,28-26,,Shooting foul by S. Labissiere (drawn by J. Richardson)
8:52.0,,,28-26,,J. Richardson misses free throw 1 of 2
8:52.0,,,28-26,,Offensive rebound by Team
8:52.0,,,28-27,1,J. Richardson makes free throw 2 of 2
8:32.0,Turnover by M. Richardson (bad pass),,28-27,,
8:14.0,,,28-27,,W. Ellington misses 3-pt shot from 26 ft
8:11.0,Defensive rebound by K. Koufos,,28-27,,
8:02.0,G. Temple misses 3-pt shot from 27 ft,,28-27,,
7:59.0,,,28-27,,Defensive rebound by K. Olynyk
7:56.0,Personal foul by K. Koufos (drawn by K. Olynyk),,28-27,,
7:52.0,,,28-27,,K. Olynyk misses 3-pt shot from 25 ft
7:50.0,,,28-27,,Offensive rebound by J. Richardson
7:50.0,,,28-27,,J. Richardson misses 2-pt shot from 6 ft
7:50.0,Defensive rebound by Team,,28-27,,
7:37.0,B. Hield misses 2-pt shot from 18 ft,,28-27,,
7:34.0,,,28-27,,Defensive rebound by J. Richardson
7:22.0,,,28-29,2,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Richardson)
7:19.0,Sacramento full timeout,,28-29,,
7:19.0,W. Cauley-Stein enters the game for M. Richardson,,28-29,,
7:19.0,B. Bogdanovic enters the game for K. Koufos,,28-29,,
7:03.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by G. Temple),2,30-29,,
6:47.0,,,30-31,2,B. Adebayo makes 2-pt shot from 2 ft (assist by J. Winslow)
6:39.0,,,30-31,,Personal foul by K. Olynyk (drawn by S. Labissiere)
6:25.0,W. Cauley-Stein makes 2-pt shot from 8 ft (assist by B. Bogdanovic),2,32-31,,
6:02.0,,,32-31,,B. Adebayo misses 2-pt shot from 2 ft
5:59.0,Defensive rebound by S. Labissiere,,32-31,,
5:49.0,Turnover by S. Labissiere (bad pass; steal by B. Adebayo),,32-31,,
5:39.0,,,32-31,,K. Olynyk misses 3-pt shot from 23 ft
5:36.0,,,32-31,,Offensive rebound by J. Winslow
5:15.0,,,32-34,3,J. Winslow makes 3-pt shot from 22 ft (assist by K. Olynyk)
5:07.0,,,32-34,,Personal foul by K. Olynyk (drawn by S. Labissiere)
5:07.0,,,32-34,,H. Whiteside enters the game for J. Richardson
5:07.0,,,32-34,,G. Dragic enters the game for K. Olynyk
5:07.0,,,32-34,,J. Johnson enters the game for B. Adebayo
5:07.0,Z. Randolph enters the game for S. Labissiere,,32-34,,
5:07.0,D. Fox enters the game for G. Temple,,32-34,,
4:58.0,B. Hield makes 3-pt shot from 26 ft (assist by W. Cauley-Stein),3,35-34,,
4:42.0,,,35-36,2,J. Johnson makes 2-pt shot from 1 ft
4:32.0,D. Fox misses 2-pt shot from 7 ft,,35-36,,
4:28.0,,,35-36,,Defensive rebound by H. Whiteside
4:23.0,,,35-36,,Shooting foul by B. Bogdanovic (drawn by J. Winslow)
4:23.0,,,35-37,1,J. Winslow makes free throw 1 of 2
4:23.0,,,35-38,1,J. Winslow makes free throw 2 of 2
4:11.0,Turnover by D. Fox (bad pass; steal by W. Ellington),,35-38,,
4:06.0,,,35-38,,W. Ellington misses 2-pt shot from 2 ft
4:03.0,Defensive rebound by Z. Randolph,,35-38,,
4:00.0,B. Hield makes 2-pt shot from 16 ft (assist by D. Fox),2,37-38,,
3:51.0,,,37-38,,Miami full timeout
3:43.0,Personal foul by D. Fox (drawn by G. Dragic),,37-38,,
3:43.0,,,37-39,1,G. Dragic makes free throw 1 of 2
3:43.0,,,37-40,1,G. Dragic makes free throw 2 of 2
3:29.0,D. Fox makes 2-pt shot from 4 ft,2,39-40,,
3:04.0,,,39-40,,H. Whiteside misses 2-pt shot from 16 ft
3:01.0,Defensive rebound by Z. Randolph,,39-40,,
2:56.0,B. Hield makes 2-pt shot from 2 ft,2,41-40,,
2:42.0,,,41-43,3,G. Dragic makes 3-pt shot from 25 ft (assist by J. Johnson)
2:31.0,Shooting foul by H. Whiteside (drawn by W. Cauley-Stein),,41-43,,
2:31.0,W. Cauley-Stein makes free throw 1 of 2,1,42-43,,
2:31.0,,,42-43,,D. Jones enters the game for J. Winslow
2:31.0,W. Cauley-Stein makes free throw 2 of 2,1,43-43,,
2:22.0,Personal foul by Z. Randolph (drawn by H. Whiteside),,43-43,,
2:22.0,,,43-44,1,H. Whiteside makes free throw 1 of 2
2:22.0,,,43-45,1,H. Whiteside makes free throw 2 of 2
2:02.0,B. Hield makes 3-pt shot from 26 ft,3,46-45,,
1:48.0,,,46-47,2,G. Dragic makes 2-pt shot from 3 ft
1:41.0,,,46-47,,Personal foul by G. Dragic (drawn by D. Fox)
1:41.0,D. Fox misses free throw 1 of 2,,46-47,,
1:41.0,Offensive rebound by Team,,46-47,,
1:41.0,,,46-47,,J. Richardson enters the game for G. Dragic
1:41.0,,,46-47,,B. Adebayo enters the game for H. Whiteside
1:41.0,D. Fox makes free throw 2 of 2,1,47-47,,
1:19.0,,,47-47,,J. Richardson misses 3-pt shot from 26 ft
1:17.0,Defensive rebound by Team,,47-47,,
1:01.0,B. Hield misses 3-pt shot from 26 ft,,47-47,,
0:57.0,,,47-47,,Defensive rebound by J. Johnson
0:53.0,,,47-47,,D. Jones misses 2-pt shot from 1 ft
0:52.0,,,47-47,,Offensive rebound by Team
0:40.0,,,47-47,,Turnover by W. Ellington (bad pass; steal by W. Cauley-Stein)
0:34.0,Z. Randolph misses 2-pt shot from 2 ft,,47-47,,
0:32.0,Offensive rebound by Z. Randolph,,47-47,,
0:32.0,Z. Randolph misses 2-pt shot at rim,,47-47,,
0:32.0,Offensive rebound by Team,,47-47,,
0:15.0,D. Fox misses 2-pt shot from 18 ft,,47-47,,
0:12.0,,,47-47,,Defensive rebound by J. Johnson
0:08.0,,,47-47,,Turnover by J. Johnson (out of bounds lost ball)
0:00.0,B. Hield misses 3-pt shot from 23 ft,,47-47,,
0:00.0,Offensive rebound by Team,,47-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,B. Bogdanovic makes 2-pt shot from 14 ft (assist by Z. Randolph),2,49-47,,
11:15.0,,,49-47,,H. Whiteside misses 2-pt shot from 5 ft
11:12.0,,,49-47,,Offensive rebound by G. Dragic
11:08.0,,,49-47,,D. Jones misses 2-pt shot from 4 ft (block by B. Bogdanovic)
11:05.0,Defensive rebound by Z. Randolph,,49-47,,
10:54.0,Z. Randolph misses 2-pt shot from 10 ft,,49-47,,
10:51.0,,,49-47,,Defensive rebound by H. Whiteside
10:47.0,Personal foul by Z. Randolph (drawn by H. Whiteside),,49-47,,
10:35.0,,,49-47,,J. Richardson misses 2-pt shot from 6 ft
10:32.0,Defensive rebound by B. Bogdanovic,,49-47,,
10:28.0,D. Fox makes 2-pt shot from 4 ft,2,51-47,,
10:10.0,,,51-50,3,G. Dragic makes 3-pt shot from 27 ft (assist by J. Johnson)
9:58.0,Z. Randolph misses 2-pt shot from 4 ft,,51-50,,
9:55.0,,,51-50,,Defensive rebound by J. Johnson
9:49.0,,,51-50,,J. Richardson misses 2-pt shot from 3 ft (block by W. Cauley-Stein)
9:46.0,,,51-50,,Offensive rebound by H. Whiteside
9:44.0,,,51-50,,H. Whiteside misses 2-pt shot from 11 ft
9:43.0,Defensive rebound by Z. Randolph,,51-50,,
9:43.0,D. Fox makes 2-pt shot from 6 ft,2,53-50,,
9:43.0,Shooting foul by J. Johnson (drawn by D. Fox),,53-50,,
9:43.0,D. Fox makes free throw 1 of 1,1,54-50,,
9:21.0,,,54-50,,G. Dragic misses 2-pt shot from 19 ft
9:19.0,,,54-50,,Offensive rebound by Team
9:19.0,,,54-50,,Turnover by Team (shot clock)
8:56.0,Z. Randolph makes 2-pt shot from 2 ft (assist by W. Cauley-Stein),2,56-50,,
8:43.0,,,56-50,,G. Dragic misses 2-pt shot from 11 ft
8:41.0,Defensive rebound by Z. Randolph,,56-50,,
8:40.0,D. Fox makes 2-pt shot from 2 ft,2,58-50,,
8:40.0,,,58-50,,Miami full timeout
8:40.0,,,58-50,,K. Olynyk enters the game for D. Jones
8:40.0,,,58-50,,W. Ellington enters the game for J. Johnson
8:40.0,,,58-50,,J. Winslow enters the game for H. Whiteside
8:40.0,,,58-50,,B. Adebayo enters the game for G. Dragic
8:19.0,,,58-53,3,K. Olynyk makes 3-pt shot from 25 ft (assist by B. Adebayo)
8:00.0,D. Fox misses 2-pt shot from 6 ft,,58-53,,
7:55.0,,,58-53,,Defensive rebound by J. Richardson
7:54.0,Shooting block foul by B. Bogdanovic (drawn by J. Winslow),,58-53,,
7:54.0,,,58-54,1,J. Winslow makes free throw 1 of 2
7:54.0,,,58-55,1,J. Winslow makes free throw 2 of 2
7:36.0,B. Bogdanovic makes 2-pt shot from 10 ft,2,60-55,,
7:18.0,,,60-57,2,B. Adebayo makes 2-pt shot from 3 ft (assist by J. Richardson)
7:07.0,J. Jackson makes 2-pt shot from 4 ft (assist by W. Cauley-Stein),2,62-57,,
6:57.0,,,62-57,,W. Ellington misses 3-pt shot from 26 ft
6:54.0,Defensive rebound by J. Jackson,,62-57,,
6:49.0,,,62-57,,Personal foul by B. Adebayo (drawn by Z. Randolph)
6:37.0,B. Bogdanovic misses 2-pt shot from 15 ft,,62-57,,
6:32.0,,,62-57,,Defensive rebound by J. Winslow
6:31.0,,,62-57,,J. Winslow misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by W. Cauley-Stein,,62-57,,
6:23.0,Offensive foul by Z. Randolph (drawn by K. Olynyk),,62-57,,
6:23.0,Turnover by Z. Randolph (offensive foul),,62-57,,
6:08.0,,,62-57,,J. Winslow misses 3-pt shot from 24 ft
6:08.0,Defensive rebound by Team,,62-57,,
5:50.0,Z. Randolph makes 2-pt shot from 13 ft,2,64-57,,
5:37.0,,,64-60,3,K. Olynyk makes 3-pt shot from 27 ft
5:23.0,Z. Randolph misses 2-pt shot from 10 ft (block by B. Adebayo),,64-60,,
5:21.0,,,64-60,,Defensive rebound by W. Ellington
5:18.0,,,64-60,,W. Ellington misses 3-pt shot from 30 ft
5:15.0,Defensive rebound by W. Cauley-Stein,,64-60,,
5:15.0,,,64-60,,Personal foul by B. Adebayo (drawn by W. Cauley-Stein)
5:02.0,W. Cauley-Stein misses 2-pt shot from 17 ft,,64-60,,
4:59.0,,,64-60,,Defensive rebound by W. Ellington
4:47.0,Personal foul by B. Bogdanovic (drawn by K. Olynyk),,64-60,,
4:35.0,,,64-60,,K. Olynyk misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by D. Fox,,64-60,,
4:27.0,D. Fox misses 3-pt shot from 26 ft,,64-60,,
4:24.0,,,64-60,,Defensive rebound by B. Adebayo
4:19.0,,,64-62,2,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Winslow)
4:19.0,Sacramento full timeout,,64-62,,
4:19.0,S. Labissiere enters the game for D. Fox,,64-62,,
4:19.0,G. Temple enters the game for Z. Randolph,,64-62,,
3:58.0,B. Bogdanovic misses 3-pt shot from 22 ft,,64-62,,
3:58.0,Offensive rebound by Team,,64-62,,
3:51.0,B. Bogdanovic misses 2-pt shot from 19 ft,,64-62,,
3:51.0,,,64-62,,Defensive rebound by J. Winslow
3:37.0,,,64-64,2,J. Richardson makes 2-pt shot from 3 ft
3:23.0,Turnover by B. Bogdanovic (bad pass),,64-64,,
3:12.0,,,64-64,,Turnover by J. Winslow (bad pass)
2:58.0,W. Cauley-Stein misses 2-pt shot from 3 ft (block by K. Olynyk),,64-64,,
2:53.0,,,64-64,,Defensive rebound by J. Richardson
2:50.0,,,64-64,,W. Ellington misses 3-pt shot from 25 ft
2:45.0,,,64-64,,G. Dragic enters the game for J. Richardson
2:45.0,,,64-64,,Offensive rebound by Team
2:42.0,Jump ball: B. Adebayo vs. S. Labissiere (G. Dragic gains possession),,,,Jump ball: B. Adebayo vs. S. Labissiere (G. Dragic gains possession)
2:31.0,,,64-64,,K. Olynyk misses 3-pt shot from 27 ft
2:29.0,Defensive rebound by Team,,64-64,,
2:29.0,K. Koufos enters the game for W. Cauley-Stein,,64-64,,
2:29.0,B. Hield enters the game for B. Bogdanovic,,64-64,,
2:11.0,G. Temple misses 2-pt shot from 2 ft (block by K. Olynyk),,64-64,,
2:09.0,Offensive rebound by K. Koufos,,64-64,,
2:05.0,K. Koufos makes 2-pt shot at rim,2,66-64,,
1:57.0,,,66-64,,W. Ellington misses 3-pt shot from 27 ft
1:54.0,Defensive rebound by S. Labissiere,,66-64,,
1:51.0,Shooting foul by B. Adebayo (drawn by G. Temple),,66-64,,
1:51.0,G. Temple makes free throw 1 of 2,1,67-64,,
1:51.0,G. Temple makes free throw 2 of 2,1,68-64,,
1:44.0,Personal foul by S. Labissiere (drawn by K. Olynyk),,68-64,,
1:44.0,M. Richardson enters the game for J. Jackson,,68-64,,
1:39.0,,,68-67,3,W. Ellington makes 3-pt shot from 26 ft (assist by K. Olynyk)
1:22.0,,,68-67,,Personal foul by G. Dragic (drawn by G. Temple)
1:22.0,G. Temple makes free throw 1 of 2,1,69-67,,
1:22.0,G. Temple misses free throw 2 of 2,,69-67,,
1:19.0,,,69-67,,Defensive rebound by J. Winslow
1:06.0,,,69-70,3,W. Ellington makes 3-pt shot from 25 ft (assist by B. Adebayo)
0:50.0,S. Labissiere misses 2-pt shot from 3 ft,,69-70,,
0:47.0,,,69-70,,Defensive rebound by J. Winslow
0:25.0,,,69-72,2,G. Dragic makes 2-pt shot from 8 ft
0:04.0,B. Hield makes 2-pt shot from 5 ft,2,71-72,,
0:00.0,,,71-72,,J. Winslow misses 2-pt shot from 7 ft (block by S. Labissiere)
0:00.0,,,71-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,71-75,3,W. Ellington makes 3-pt shot from 25 ft (assist by H. Whiteside)
11:27.0,S. Labissiere misses 2-pt shot from 4 ft,,71-75,,
11:25.0,,,71-75,,Defensive rebound by H. Whiteside
11:04.0,,,71-75,,Turnover by Team (shot clock)
10:49.0,G. Temple misses 2-pt shot from 19 ft,,71-75,,
10:46.0,,,71-75,,Defensive rebound by H. Whiteside
10:33.0,,,71-75,,W. Ellington misses 3-pt shot from 30 ft
10:26.0,Defensive rebound by G. Temple,,71-75,,
10:16.0,Turnover by G. Temple (lost ball; steal by G. Dragic),,71-75,,
10:12.0,,,71-75,,Turnover by W. Ellington (traveling)
9:55.0,Turnover by B. Hield (bad pass; steal by J. Johnson),,71-75,,
9:55.0,Personal foul by S. Labissiere (drawn by J. Johnson),,71-75,,
9:55.0,,,71-75,,J. Richardson enters the game for W. Ellington
9:34.0,,,71-77,2,H. Whiteside makes 2-pt shot from 3 ft (assist by J. Johnson)
9:29.0,Sacramento full timeout,,71-77,,
9:16.0,G. Temple misses 3-pt shot from 23 ft,,71-77,,
9:13.0,,,71-77,,Defensive rebound by H. Whiteside
9:02.0,,,71-79,2,H. Whiteside makes 2-pt shot from 2 ft (assist by J. Richardson)
8:51.0,Turnover by G. Temple (bad pass),,71-79,,
8:39.0,W. Cauley-Stein enters the game for S. Labissiere,,71-79,,
8:39.0,B. Bogdanovic enters the game for M. Richardson,,71-79,,
8:31.0,,,71-79,,Turnover by G. Dragic (bad pass)
8:18.0,K. Koufos misses 2-pt shot from 4 ft,,71-79,,
8:15.0,,,71-79,,Defensive rebound by H. Whiteside
7:58.0,,,71-81,2,J. Winslow makes 2-pt shot from 5 ft
7:44.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,71-81,,
7:43.0,,,71-81,,Defensive rebound by J. Johnson
7:34.0,Personal block foul by W. Cauley-Stein (drawn by H. Whiteside),,71-81,,
7:34.0,D. Fox enters the game for G. Temple,,71-81,,
7:23.0,,,71-81,,H. Whiteside misses 2-pt shot from 16 ft
7:18.0,Defensive rebound by B. Hield,,71-81,,
7:11.0,Turnover by W. Cauley-Stein (lost ball; steal by J. Richardson),,71-81,,
7:09.0,,,71-83,2,J. Winslow makes 2-pt shot from 4 ft (assist by J. Richardson)
7:09.0,,,71-83,,Shooting foul by D. Fox (drawn by J. Winslow)
7:09.0,,,71-83,,J. Winslow misses free throw 1 of 1
7:06.0,Defensive rebound by K. Koufos,,71-83,,
6:57.0,,,71-83,,Personal foul by J. Johnson (drawn by W. Cauley-Stein)
6:50.0,Shooting foul by H. Whiteside (drawn by W. Cauley-Stein),,71-83,,
6:50.0,W. Cauley-Stein makes free throw 1 of 2,1,72-83,,
6:50.0,W. Cauley-Stein misses free throw 2 of 2,,72-83,,
6:47.0,,,72-83,,Defensive rebound by H. Whiteside
6:33.0,Def 3 sec tech foul by W. Cauley-Stein,,72-83,,
6:33.0,,,72-84,1,J. Richardson makes technical free throw
6:33.0,Z. Randolph enters the game for K. Koufos,,72-84,,
6:17.0,,,72-84,,H. Whiteside misses 2-pt shot from 6 ft (block by W. Cauley-Stein)
6:17.0,,,72-84,,Offensive rebound by Team
6:15.0,,,72-84,,Turnover by Team (shot clock)
6:09.0,W. Cauley-Stein misses 2-pt shot from 12 ft (block by H. Whiteside),,72-84,,
6:06.0,,,72-84,,Defensive rebound by J. Richardson
5:54.0,,,72-84,,J. Richardson misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by Z. Randolph,,72-84,,
5:46.0,B. Hield makes 2-pt shot from 17 ft (assist by B. Bogdanovic),2,74-84,,
5:40.0,,,74-84,,Miami full timeout
5:40.0,,,74-84,,W. Ellington enters the game for J. Winslow
5:26.0,,,74-84,,J. Richardson misses 2-pt shot from 17 ft
5:24.0,Defensive rebound by B. Hield,,74-84,,
5:08.0,B. Bogdanovic makes 2-pt shot from 5 ft,2,76-84,,
4:57.0,Personal foul by W. Cauley-Stein (drawn by J. Johnson),,76-84,,
4:44.0,,,76-84,,Turnover by J. Richardson (bad pass; steal by W. Cauley-Stein)
4:36.0,,,76-84,,Personal foul by H. Whiteside (drawn by B. Bogdanovic)
4:28.0,B. Hield makes 3-pt shot from 26 ft (assist by B. Bogdanovic),3,79-84,,
4:02.0,,,79-84,,J. Richardson misses 3-pt shot from 23 ft
4:00.0,Defensive rebound by B. Hield,,79-84,,
3:55.0,B. Hield misses 3-pt shot from 25 ft,,79-84,,
3:53.0,,,79-84,,Defensive rebound by J. Richardson
3:49.0,,,79-84,,Miami full timeout
3:34.0,,,79-84,,H. Whiteside misses 2-pt shot from 4 ft (block by Z. Randolph)
3:33.0,,,79-84,,Offensive rebound by Team
3:32.0,,,79-84,,Turnover by Team (shot clock)
3:14.0,D. Fox misses 2-pt shot from 11 ft,,79-84,,
3:14.0,,,79-84,,Defensive rebound by J. Johnson
2:55.0,,,79-84,,Turnover by J. Johnson (bad pass)
2:43.0,W. Cauley-Stein makes 2-pt shot from 3 ft (assist by D. Fox),2,81-84,,
2:43.0,Shooting foul by H. Whiteside (drawn by W. Cauley-Stein),,81-84,,
2:43.0,W. Cauley-Stein misses free throw 1 of 1,,81-84,,
2:40.0,,,81-84,,Defensive rebound by H. Whiteside
2:28.0,,,81-84,,G. Dragic misses 3-pt shot from 25 ft
2:25.0,Defensive rebound by B. Bogdanovic,,81-84,,
2:15.0,Turnover by B. Hield (bad pass),,81-84,,
1:52.0,,,81-84,,W. Ellington misses 3-pt shot from 26 ft
1:49.0,,,81-84,,Offensive rebound by H. Whiteside
