time,Indiana,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Turner (T. Harris gains possession),,,,Jump ball: D. Jordan vs. M. Turner (T. Harris gains possession)
11:35.0,,,0-0,,D. Jordan misses 2-pt shot from 1 ft
11:34.0,,,0-0,,Offensive rebound by D. Jordan
11:34.0,,,0-0,,Shooting foul by M. Turner (drawn by D. Jordan)
11:34.0,,,0-0,,D. Jordan misses free throw 1 of 2
11:34.0,,,0-0,,Offensive rebound by Team
11:34.0,,,0-0,,D. Jordan misses free throw 2 of 2
11:31.0,Defensive rebound by B. Bogdanovic,,0-0,,
11:11.0,M. Turner misses 3-pt shot from 23 ft,,0-0,,
11:08.0,,,0-0,,Defensive rebound by T. Harris
10:57.0,,,0-3,3,T. Harris makes 3-pt shot from 26 ft (assist by A. Rivers)
10:42.0,,,0-3,,Personal foul by T. Harris (drawn by B. Bogdanovic)
10:34.0,Turnover by D. Collison (bad pass),,0-3,,
10:12.0,,,0-3,,D. Gallinari misses 2-pt shot from 8 ft
10:07.0,,,0-3,,Offensive rebound by D. Jordan
10:07.0,,,0-5,2,D. Jordan makes 2-pt shot at rim
9:58.0,D. Collison makes 3-pt shot from 25 ft (assist by T. Young),3,3-5,,
9:40.0,,,3-5,,Turnover by T. Wallace (lost ball; steal by V. Oladipo)
9:35.0,V. Oladipo misses 2-pt shot at rim,,3-5,,
9:33.0,,,3-5,,Defensive rebound by A. Rivers
9:31.0,,,3-7,2,D. Jordan makes 2-pt shot at rim (assist by T. Harris)
9:12.0,T. Young misses 2-pt shot from 5 ft (block by T. Wallace),,3-7,,
9:12.0,Offensive rebound by Team,,3-7,,
9:10.0,B. Bogdanovic makes 2-pt shot from 13 ft (assist by V. Oladipo),2,5-7,,
8:59.0,,,5-7,,Turnover by T. Harris (out of bounds lost ball)
8:40.0,T. Young makes 2-pt shot from 1 ft,2,7-7,,
8:24.0,,,7-9,2,T. Wallace makes 2-pt shot at rim (assist by A. Rivers)
8:04.0,V. Oladipo misses 3-pt shot from 25 ft,,7-9,,
8:01.0,,,7-9,,Defensive rebound by D. Jordan
7:55.0,,,7-9,,Shooting foul by B. Bogdanovic (drawn by A. Rivers)
7:55.0,,,7-9,,A. Rivers misses free throw 1 of 2
7:55.0,,,7-9,,Offensive rebound by Team
7:55.0,,,7-10,1,A. Rivers makes free throw 2 of 2
7:42.0,T. Young misses 2-pt shot from 6 ft,,7-10,,
7:36.0,Offensive rebound by T. Young,,7-10,,
7:36.0,T. Young makes 2-pt shot at rim,2,9-10,,
7:29.0,,,9-10,,Turnover by A. Rivers (bad pass; steal by V. Oladipo)
7:22.0,B. Bogdanovic misses 3-pt shot from 24 ft,,9-10,,
7:19.0,,,9-10,,Defensive rebound by D. Gallinari
7:13.0,,,9-10,,D. Gallinari misses 3-pt shot from 25 ft
7:10.0,Defensive rebound by B. Bogdanovic,,9-10,,
6:54.0,T. Young misses 2-pt shot from 3 ft (block by D. Gallinari),,9-10,,
6:51.0,,,9-10,,Defensive rebound by D. Jordan
6:38.0,,,9-12,2,T. Harris makes 2-pt shot from 8 ft (assist by A. Rivers)
6:22.0,Turnover by B. Bogdanovic (bad pass; steal by A. Rivers),,9-12,,
6:16.0,,,9-14,2,A. Rivers makes 2-pt shot at rim (assist by T. Harris)
6:09.0,Indiana full timeout,,9-14,,
6:01.0,M. Turner makes 2-pt shot from 18 ft (assist by D. Collison),2,11-14,,
5:40.0,,,11-14,,Turnover by A. Rivers (lost ball; steal by D. Collison)
5:28.0,B. Bogdanovic misses 3-pt shot from 25 ft,,11-14,,
5:25.0,,,11-14,,Defensive rebound by D. Jordan
5:22.0,,,11-14,,L. Williams enters the game for D. Gallinari
5:08.0,,,11-14,,L. Williams misses 2-pt shot from 15 ft
5:06.0,Defensive rebound by M. Turner,,11-14,,
4:54.0,M. Turner misses 2-pt shot from 13 ft,,11-14,,
4:51.0,,,11-14,,Defensive rebound by D. Jordan
4:44.0,,,11-14,,T. Harris misses 2-pt shot from 9 ft
4:41.0,Defensive rebound by M. Turner,,11-14,,
