time,Charlotte,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. D. Howard (J. Murray gains possession),,,,Jump ball: N. Jokic vs. D. Howard (J. Murray gains possession)
11:40.0,,,0-3,3,G. Harris makes 3-pt shot from 26 ft (assist by W. Barton)
11:22.0,Turnover by D. Howard (bad pass; steal by W. Barton),,0-3,,
11:18.0,,,0-5,2,W. Barton makes 2-pt shot from 1 ft (assist by J. Murray)
11:00.0,K. Walker misses 3-pt shot from 25 ft,,0-5,,
10:58.0,,,0-5,,Defensive rebound by N. Jokic
10:45.0,,,0-7,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
10:32.0,D. Howard makes 2-pt shot from 1 ft (assist by K. Walker),2,2-7,,
10:08.0,,,2-9,2,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic)
9:45.0,F. Kaminsky makes 2-pt shot from 11 ft,2,4-9,,
9:35.0,,,4-12,3,W. Barton makes 3-pt shot from 25 ft
9:16.0,F. Kaminsky makes 3-pt shot from 24 ft (assist by N. Batum),3,7-12,,
9:00.0,,,7-12,,G. Harris misses 3-pt shot from 22 ft
8:58.0,Defensive rebound by M. Kidd-Gilchrist,,7-12,,
8:48.0,D. Howard makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist),2,9-12,,
8:29.0,,,9-14,2,W. Barton makes 2-pt shot from 1 ft
8:07.0,D. Howard makes 2-pt shot from 3 ft (assist by F. Kaminsky),2,11-14,,
7:53.0,,,11-14,,N. Jokic misses 2-pt shot from 3 ft (block by D. Howard)
7:49.0,Defensive rebound by K. Walker,,11-14,,
7:44.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,13-14,,
7:33.0,,,13-14,,W. Barton misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by D. Howard,,13-14,,
7:25.0,K. Walker makes 2-pt shot from 1 ft (assist by D. Howard),2,15-14,,
7:24.0,,,15-14,,Denver full timeout
7:05.0,,,15-17,3,G. Harris makes 3-pt shot from 22 ft (assist by J. Murray)
6:49.0,Turnover by K. Walker (bad pass; steal by J. Murray),,15-17,,
6:32.0,,,15-17,,J. Murray misses 3-pt shot from 24 ft
6:30.0,,,15-17,,Offensive rebound by N. Jokic
6:29.0,,,15-20,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
6:09.0,D. Howard makes 2-pt shot from 2 ft (assist by N. Batum),2,17-20,,
5:58.0,,,17-20,,W. Chandler misses 3-pt shot from 25 ft
5:57.0,,,17-20,,Offensive rebound by N. Jokic
5:55.0,,,17-23,3,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic)
5:30.0,K. Walker misses 2-pt shot from 2 ft,,17-23,,
5:28.0,,,17-23,,Defensive rebound by N. Jokic
5:20.0,,,17-23,,T. Craig enters the game for W. Chandler
5:20.0,T. Graham enters the game for F. Kaminsky,,17-23,,
5:09.0,,,17-23,,J. Murray misses 2-pt shot from 7 ft
5:04.0,Defensive rebound by N. Batum,,17-23,,
4:59.0,Shooting foul by W. Barton (drawn by N. Batum),,17-23,,
4:59.0,N. Batum makes free throw 1 of 2,1,18-23,,
4:59.0,N. Batum misses free throw 2 of 2,,18-23,,
4:57.0,,,18-23,,Defensive rebound by T. Craig
4:41.0,,,18-23,,Turnover by N. Jokic (turnover)
4:30.0,N. Batum misses 3-pt shot from 24 ft,,18-23,,
4:27.0,,,18-23,,Defensive rebound by J. Murray
4:20.0,,,18-25,2,W. Barton makes 2-pt shot from 1 ft
3:53.0,D. Howard makes 2-pt shot from 3 ft (assist by T. Graham),2,20-25,,
3:36.0,,,20-28,3,G. Harris makes 3-pt shot from 26 ft (assist by T. Craig)
3:28.0,Charlotte full timeout,,20-28,,
3:28.0,,,20-28,,T. Lyles enters the game for W. Barton
3:28.0,J. Lamb enters the game for M. Kidd-Gilchrist,,20-28,,
3:08.0,J. Lamb misses 2-pt shot from 16 ft,,20-28,,
3:05.0,,,20-28,,Defensive rebound by T. Lyles
2:47.0,Personal block foul by D. Howard (drawn by N. Jokic),,20-28,,
2:47.0,M. Carter-Williams enters the game for K. Walker,,20-28,,
2:40.0,,,20-28,,Turnover by G. Harris (step out of bounds)
2:23.0,D. Howard makes 2-pt shot from 3 ft,2,22-28,,
2:23.0,Shooting foul by N. Jokic (drawn by D. Howard),,22-28,,
2:23.0,,,22-28,,E. Mudiay enters the game for J. Murray
2:23.0,D. Howard misses free throw 1 of 1,,22-28,,
2:20.0,,,22-28,,Defensive rebound by N. Jokic
2:09.0,,,22-31,3,T. Lyles makes 3-pt shot from 22 ft (assist by T. Craig)
1:50.0,M. Carter-Williams misses 2-pt shot from 8 ft,,22-31,,
1:48.0,,,22-31,,Defensive rebound by N. Jokic
1:42.0,,,22-33,2,T. Craig makes 2-pt shot from 1 ft (assist by E. Mudiay)
1:32.0,Charlotte full timeout,,22-33,,
1:32.0,,,22-33,,D. Arthur enters the game for G. Harris
1:32.0,,,22-33,,W. Barton enters the game for N. Jokic
1:32.0,C. Zeller enters the game for D. Howard,,22-33,,
1:22.0,Shooting foul by D. Arthur (drawn by C. Zeller),,22-33,,
1:22.0,C. Zeller makes free throw 1 of 2,1,23-33,,
1:22.0,C. Zeller makes free throw 2 of 2,1,24-33,,
0:58.0,,,24-33,,D. Arthur misses 3-pt shot from 26 ft
0:56.0,Defensive rebound by J. Lamb,,24-33,,
0:49.0,J. Lamb misses 2-pt shot from 11 ft,,24-33,,
0:46.0,,,24-33,,Defensive rebound by T. Craig
0:40.0,,,24-35,2,E. Mudiay makes 2-pt shot from 1 ft (assist by D. Arthur)
0:40.0,,,24-35,,Shooting foul by J. Lamb (drawn by E. Mudiay)
0:40.0,,,24-36,1,E. Mudiay makes free throw 1 of 1
0:32.0,,,24-36,,Personal foul by T. Craig (drawn by N. Batum)
0:32.0,N. Batum misses free throw 1 of 2,,24-36,,
0:32.0,Offensive rebound by Team,,24-36,,
0:32.0,N. Batum makes free throw 2 of 2,1,25-36,,
0:17.0,,,25-36,,E. Mudiay misses 2-pt shot from 8 ft
0:15.0,Defensive rebound by C. Zeller,,25-36,,
0:01.0,J. Lamb misses 3-pt shot from 24 ft,,25-36,,
0:00.0,,,25-36,,Defensive rebound by T. Craig
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,C. Zeller misses 2-pt shot from 3 ft (block by T. Lyles),,25-36,,
11:46.0,,,25-36,,Defensive rebound by T. Lyles
11:37.0,,,25-36,,W. Chandler misses 2-pt shot from 5 ft
11:33.0,Defensive rebound by J. Lamb,,25-36,,
11:25.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,27-36,,
11:08.0,,,27-38,2,W. Chandler makes 2-pt shot from 4 ft
10:49.0,F. Kaminsky misses 2-pt shot from 8 ft,,27-38,,
10:47.0,,,27-38,,Defensive rebound by T. Lyles
10:30.0,,,27-41,3,D. Arthur makes 3-pt shot from 25 ft (assist by W. Barton)
10:03.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by W. Chandler),,27-41,,
9:53.0,,,27-41,,T. Lyles misses 3-pt shot from 22 ft
9:49.0,Defensive rebound by C. Zeller,,27-41,,
9:35.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,29-41,,
9:19.0,,,29-41,,T. Lyles misses 2-pt shot from 5 ft
9:16.0,Defensive rebound by C. Zeller,,29-41,,
9:00.0,F. Kaminsky makes 2-pt shot from 3 ft,2,31-41,,
8:37.0,,,31-41,,Shooting foul by M. Carter-Williams (drawn by W. Barton)
8:37.0,,,31-42,1,W. Barton makes free throw 1 of 2
8:37.0,,,31-43,1,W. Barton makes free throw 2 of 2
8:25.0,J. Lamb makes 2-pt shot from 1 ft,2,33-43,,
8:25.0,Shooting foul by W. Barton (drawn by J. Lamb),,33-43,,
8:25.0,J. Lamb makes free throw 1 of 1,1,34-43,,
8:20.0,Personal foul by J. Lamb (drawn by E. Mudiay),,34-43,,
8:12.0,,,34-43,,E. Mudiay misses 2-pt shot from 6 ft
8:10.0,Defensive rebound by J. Lamb,,34-43,,
7:51.0,M. Carter-Williams misses 3-pt shot from 25 ft,,34-43,,
7:49.0,,,34-43,,Defensive rebound by Team
7:38.0,,,34-43,,Turnover by D. Arthur (bad pass; steal by J. Lamb)
7:33.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by W. Barton),,34-43,,
7:29.0,Offensive rebound by M. Carter-Williams,,34-43,,
7:28.0,M. Carter-Williams makes 2-pt shot at rim,2,36-43,,
7:24.0,,,36-43,,Turnover by E. Mudiay (bad pass)
7:24.0,,,36-43,,Denver full timeout
7:24.0,,,36-43,,N. Jokic enters the game for D. Arthur
7:24.0,,,36-43,,J. Murray enters the game for E. Mudiay
7:24.0,,,36-43,,G. Harris enters the game for W. Barton
7:24.0,,,36-43,,T. Craig enters the game for W. Chandler
7:24.0,K. Walker enters the game for M. Kidd-Gilchrist,,36-43,,
7:16.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,38-43,,
7:03.0,Personal foul by C. Zeller (drawn by N. Jokic),,38-43,,
6:54.0,,,38-43,,N. Jokic misses 3-pt shot from 25 ft
6:51.0,,,38-43,,Offensive rebound by J. Murray
6:50.0,,,38-46,3,T. Lyles makes 3-pt shot from 24 ft (assist by J. Murray)
6:29.0,J. Lamb misses 3-pt shot from 24 ft,,38-46,,
6:27.0,Offensive rebound by C. Zeller,,38-46,,
6:23.0,J. Lamb makes 2-pt shot from 1 ft (assist by C. Zeller),2,40-46,,
6:02.0,,,40-48,2,N. Jokic makes 2-pt shot from 2 ft
5:43.0,F. Kaminsky misses 2-pt shot from 4 ft,,40-48,,
5:39.0,Offensive rebound by C. Zeller,,40-48,,
5:39.0,C. Zeller makes 2-pt shot at rim,2,42-48,,
5:25.0,,,42-48,,T. Lyles misses 3-pt shot from 25 ft
5:22.0,Defensive rebound by K. Walker,,42-48,,
5:07.0,K. Walker makes 2-pt shot from 1 ft,2,44-48,,
4:50.0,,,44-48,,G. Harris misses 2-pt shot from 13 ft
4:48.0,Defensive rebound by F. Kaminsky,,44-48,,
4:36.0,J. Lamb makes 2-pt shot from 1 ft,2,46-48,,
4:35.0,,,46-48,,Denver full timeout
4:35.0,,,46-48,,W. Barton enters the game for T. Lyles
4:35.0,,,46-48,,W. Chandler enters the game for T. Craig
4:35.0,N. Batum enters the game for M. Carter-Williams,,46-48,,
4:35.0,D. Howard enters the game for C. Zeller,,46-48,,
4:35.0,T. Graham enters the game for F. Kaminsky,,46-48,,
4:19.0,,,46-48,,J. Murray misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by D. Howard,,46-48,,
4:07.0,K. Walker makes 3-pt shot from 24 ft (assist by J. Lamb),3,49-48,,
3:43.0,,,49-48,,G. Harris misses 3-pt shot from 23 ft
3:41.0,Defensive rebound by T. Graham,,49-48,,
3:32.0,N. Batum makes 2-pt shot from 12 ft,2,51-48,,
3:21.0,Personal foul by J. Lamb (drawn by J. Murray),,51-48,,
3:21.0,M. Kidd-Gilchrist enters the game for J. Lamb,,51-48,,
3:11.0,,,51-48,,Turnover by G. Harris (lost ball; steal by T. Graham)
2:57.0,K. Walker makes 3-pt shot from 22 ft (assist by M. Kidd-Gilchrist),3,54-48,,
2:39.0,,,54-50,2,N. Jokic makes 2-pt shot from 7 ft
2:39.0,,,54-50,,Shooting foul by D. Howard (drawn by N. Jokic)
2:39.0,,,54-51,1,N. Jokic makes free throw 1 of 1
2:28.0,K. Walker misses 3-pt shot from 25 ft,,54-51,,
2:24.0,,,54-51,,Defensive rebound by G. Harris
2:19.0,,,54-54,3,J. Murray makes 3-pt shot from 22 ft (assist by W. Barton)
1:55.0,D. Howard makes 2-pt shot from 1 ft,2,56-54,,
1:41.0,,,56-56,2,W. Barton makes 2-pt shot from 2 ft (assist by N. Jokic)
1:25.0,T. Graham makes 3-pt shot from 24 ft (assist by N. Batum),3,59-56,,
1:06.0,,,59-58,2,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton)
0:43.0,Shooting foul by N. Jokic (drawn by D. Howard),,59-58,,
0:43.0,D. Howard makes free throw 1 of 2,1,60-58,,
0:43.0,D. Howard misses free throw 2 of 2,,60-58,,
0:42.0,,,60-58,,Defensive rebound by N. Jokic
0:35.0,,,60-60,2,J. Murray makes 2-pt shot from 2 ft
0:28.0,,,60-60,,Personal foul by N. Jokic (drawn by K. Walker)
0:28.0,C. Zeller enters the game for D. Howard,,60-60,,
0:28.0,K. Walker makes free throw 1 of 2,1,61-60,,
0:28.0,K. Walker makes free throw 2 of 2,1,62-60,,
0:11.0,,,62-60,,J. Murray misses 2-pt shot from 15 ft
0:08.0,Defensive rebound by C. Zeller,,62-60,,
0:07.0,Turnover by C. Zeller (bad pass; steal by G. Harris),,62-60,,
0:05.0,,,62-63,3,J. Murray makes 3-pt shot from 25 ft (assist by G. Harris)
0:00.0,N. Batum misses 3-pt shot from 24 ft,,62-63,,
0:00.0,Offensive rebound by Team,,62-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,K. Walker misses 2-pt shot from 18 ft,,62-63,,
11:33.0,,,62-63,,Defensive rebound by N. Jokic
11:17.0,,,62-63,,N. Jokic misses 3-pt shot from 22 ft
11:14.0,Defensive rebound by D. Howard,,62-63,,
10:52.0,D. Howard misses 2-pt shot from 7 ft,,62-63,,
10:50.0,,,62-63,,Defensive rebound by N. Jokic
10:43.0,,,62-63,,Turnover by W. Barton (lost ball; steal by F. Kaminsky)
10:36.0,F. Kaminsky misses 3-pt shot from 26 ft,,62-63,,
10:33.0,,,62-63,,Defensive rebound by J. Murray
10:19.0,,,62-66,3,N. Jokic makes 3-pt shot from 25 ft
9:58.0,Shooting foul by J. Murray (drawn by F. Kaminsky),,62-66,,
9:58.0,F. Kaminsky misses free throw 1 of 2,,62-66,,
9:58.0,Offensive rebound by Team,,62-66,,
9:58.0,F. Kaminsky misses free throw 2 of 2,,62-66,,
9:56.0,,,62-66,,Defensive rebound by N. Jokic
9:39.0,,,62-68,2,G. Harris makes 2-pt shot from 1 ft
9:12.0,K. Walker misses 3-pt shot from 25 ft,,62-68,,
9:08.0,,,62-68,,Defensive rebound by N. Jokic
8:54.0,,,62-68,,W. Chandler misses 2-pt shot from 7 ft
8:52.0,Defensive rebound by F. Kaminsky,,62-68,,
8:44.0,K. Walker misses 2-pt shot from 5 ft,,62-68,,
8:43.0,,,62-68,,Defensive rebound by N. Jokic
8:38.0,,,62-68,,J. Murray misses 2-pt shot from 23 ft
