time,Toronto,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Johnson vs. J. Valanciunas (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (B. Simmons gains possession)
11:41.0,,,0-0,,J. Bayless misses 3-pt shot from 22 ft
11:39.0,,,0-0,,Offensive rebound by Team
11:37.0,,,0-2,2,J. Bayless makes 2-pt shot from 1 ft (assist by R. Covington)
11:23.0,,,0-2,,Personal foul by A. Johnson (drawn by J. Valanciunas)
11:21.0,D. DeRozan makes 3-pt shot from 22 ft (assist by K. Lowry),3,3-2,,
11:08.0,,,3-4,2,J. Bayless makes 2-pt shot at rim (assist by A. Johnson)
10:47.0,S. Ibaka makes 2-pt shot from 7 ft,2,5-4,,
10:33.0,,,5-4,,A. Johnson misses 2-pt shot at rim
10:33.0,Defensive rebound by J. Valanciunas,,5-4,,
10:23.0,K. Lowry misses 3-pt shot from 25 ft,,5-4,,
10:19.0,,,5-4,,Defensive rebound by D. Saric
10:14.0,,,5-4,,Turnover by B. Simmons (bad pass; steal by O. Anunoby)
10:09.0,Turnover by O. Anunoby (lost ball; steal by R. Covington),,5-4,,
10:02.0,,,5-6,2,B. Simmons makes 2-pt shot from 1 ft
9:41.0,D. DeRozan makes 3-pt shot from 24 ft (assist by J. Valanciunas),3,8-6,,
9:41.0,Shooting foul by R. Covington (drawn by D. DeRozan),,8-6,,
9:41.0,D. DeRozan makes free throw 1 of 1,1,9-6,,
9:22.0,,,9-8,2,B. Simmons makes 2-pt shot from 12 ft (assist by D. Saric)
9:11.0,S. Ibaka misses 3-pt shot from 25 ft,,9-8,,
9:09.0,Offensive rebound by J. Valanciunas,,9-8,,
9:07.0,J. Valanciunas misses 2-pt shot from 2 ft (block by A. Johnson),,9-8,,
9:07.0,Offensive rebound by Team,,9-8,,
9:02.0,K. Lowry misses 3-pt shot from 26 ft,,9-8,,
8:58.0,,,9-8,,Defensive rebound by A. Johnson
8:54.0,,,9-11,3,J. Bayless makes 3-pt shot from 25 ft (assist by B. Simmons)
8:41.0,K. Lowry makes 3-pt shot from 27 ft (assist by D. DeRozan),3,12-11,,
8:25.0,,,12-13,2,D. Saric makes 2-pt shot from 1 ft (assist by A. Johnson)
8:14.0,D. DeRozan makes 3-pt shot from 23 ft,3,15-13,,
7:56.0,Personal foul by D. DeRozan (drawn by R. Covington),,15-13,,
7:56.0,,,15-13,,T. Booker enters the game for R. Covington
7:50.0,,,15-13,,Turnover by B. Simmons (bad pass; steal by O. Anunoby)
7:46.0,O. Anunoby makes 2-pt shot from 1 ft,2,17-13,,
7:46.0,,,17-13,,Philadelphia full timeout
7:28.0,,,17-13,,D. Saric misses 3-pt shot from 27 ft
7:24.0,Defensive rebound by J. Valanciunas,,17-13,,
7:15.0,S. Ibaka misses 2-pt shot from 6 ft,,17-13,,
7:13.0,,,17-13,,Defensive rebound by D. Saric
7:05.0,,,17-13,,B. Simmons misses 2-pt shot from 13 ft
7:03.0,,,17-13,,Offensive rebound by D. Saric
7:01.0,,,17-13,,J. Bayless misses 3-pt shot from 24 ft
6:58.0,Defensive rebound by J. Valanciunas,,17-13,,
6:50.0,O. Anunoby misses 3-pt shot from 22 ft,,17-13,,
6:46.0,,,17-13,,Defensive rebound by B. Simmons
6:39.0,,,17-15,2,B. Simmons makes 2-pt shot from 4 ft
6:12.0,J. Valanciunas makes 2-pt shot from 9 ft,2,19-15,,
5:55.0,,,19-17,2,A. Johnson makes 2-pt shot at rim (assist by D. Saric)
5:43.0,S. Ibaka misses 2-pt shot from 2 ft,,19-17,,
5:40.0,Offensive rebound by D. DeRozan,,19-17,,
5:32.0,Turnover by O. Anunoby (lost ball; steal by A. Johnson),,19-17,,
5:26.0,Jump ball: A. Johnson vs. J. Valanciunas (B. Simmons gains possession),,,,Jump ball: A. Johnson vs. J. Valanciunas (B. Simmons gains possession)
5:22.0,,,19-17,,B. Simmons misses 2-pt shot from 7 ft
5:20.0,Defensive rebound by D. DeRozan,,19-17,,
5:12.0,Shooting foul by B. Simmons (drawn by D. DeRozan),,19-17,,
5:12.0,D. DeRozan makes free throw 1 of 2,1,20-17,,
5:12.0,,,20-17,,R. Holmes enters the game for J. Bayless
5:12.0,,,20-17,,T. McConnell enters the game for A. Johnson
5:12.0,,,20-17,,R. Covington enters the game for D. Saric
5:12.0,N. Powell enters the game for O. Anunoby,,20-17,,
5:12.0,J. Poeltl enters the game for J. Valanciunas,,20-17,,
5:12.0,D. DeRozan makes free throw 2 of 2,1,21-17,,
5:01.0,,,21-17,,R. Covington misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by N. Powell,,21-17,,
4:42.0,S. Ibaka misses 2-pt shot from 1 ft,,21-17,,
4:40.0,,,21-17,,Defensive rebound by R. Covington
4:32.0,,,21-17,,Turnover by T. Booker (turnover)
4:25.0,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry),2,23-17,,
4:00.0,,,23-20,3,R. Covington makes 3-pt shot from 25 ft (assist by T. McConnell)
3:46.0,Offensive foul by J. Poeltl (drawn by T. McConnell),,23-20,,
3:46.0,Turnover by J. Poeltl (offensive foul),,23-20,,
3:46.0,,,23-20,,T. Luwawu-Cabarrot enters the game for B. Simmons
3:46.0,P. Siakam enters the game for S. Ibaka,,23-20,,
3:21.0,,,23-20,,T. McConnell misses 3-pt shot from 29 ft
3:17.0,Defensive rebound by P. Siakam,,23-20,,
3:12.0,K. Lowry misses 3-pt shot from 27 ft,,23-20,,
3:09.0,Offensive rebound by J. Poeltl,,23-20,,
