time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. M. Gortat (J. Wall gains possession),,,,Jump ball: J. Valanciunas vs. M. Gortat (J. Wall gains possession)
11:51.0,Offensive foul by B. Beal (drawn by K. Lowry),,0-0,,
11:51.0,Turnover by B. Beal (offensive foul),,0-0,,
11:38.0,,,0-0,,D. DeRozan misses 2-pt shot from 9 ft
11:36.0,,,0-0,,Offensive rebound by J. Valanciunas
11:34.0,,,0-0,,J. Valanciunas misses 2-pt shot from 1 ft
11:29.0,Defensive rebound by B. Beal,,0-0,,
11:25.0,J. Wall misses 2-pt shot from 3 ft,,0-0,,
11:22.0,Offensive rebound by M. Gortat,,0-0,,
11:18.0,M. Morris makes 2-pt shot from 5 ft (assist by B. Beal),2,2-0,,
10:59.0,,,2-0,,J. Valanciunas misses 2-pt shot from 10 ft
10:58.0,Defensive rebound by B. Beal,,2-0,,
10:42.0,O. Porter makes 2-pt shot from 14 ft (assist by M. Gortat),2,4-0,,
10:26.0,,,4-2,2,D. DeRozan makes 2-pt shot at rim (assist by K. Lowry)
10:05.0,Turnover by M. Gortat (bad pass; steal by O. Anunoby),,4-2,,
10:00.0,,,4-2,,O. Anunoby misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by J. Wall,,4-2,,
9:51.0,,,4-2,,Personal foul by O. Anunoby (drawn by J. Wall)
9:35.0,J. Wall misses 2-pt shot from 21 ft,,4-2,,
9:32.0,,,4-2,,Defensive rebound by J. Valanciunas
9:20.0,,,4-4,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
9:03.0,M. Gortat misses 2-pt shot from 14 ft,,4-4,,
9:01.0,,,4-4,,Defensive rebound by S. Ibaka
8:47.0,,,4-6,2,K. Lowry makes 2-pt shot from 1 ft (assist by D. DeRozan)
8:29.0,O. Porter makes 2-pt shot from 1 ft (assist by M. Gortat),2,6-6,,
8:04.0,,,6-6,,Turnover by O. Anunoby (lost ball; steal by J. Wall)
8:01.0,J. Wall makes 2-pt shot from 1 ft,2,8-6,,
7:47.0,,,8-8,2,K. Lowry makes 2-pt shot from 9 ft
7:39.0,B. Beal misses 2-pt shot from 3 ft (block by O. Anunoby),,8-8,,
7:39.0,Offensive rebound by Team,,8-8,,
7:31.0,M. Gortat misses 2-pt shot from 5 ft (block by J. Valanciunas),,8-8,,
7:31.0,Offensive rebound by Team,,8-8,,
7:29.0,M. Morris misses 2-pt shot from 14 ft,,8-8,,
7:26.0,,,8-8,,Defensive rebound by O. Anunoby
7:19.0,,,8-10,2,D. DeRozan makes 2-pt shot from 2 ft
7:11.0,O. Porter misses 2-pt shot from 18 ft,,8-10,,
7:09.0,,,8-10,,Defensive rebound by K. Lowry
7:03.0,,,8-13,3,D. DeRozan makes 3-pt shot from 25 ft (assist by K. Lowry)
7:02.0,Washington full timeout,,8-13,,
6:50.0,J. Wall makes 2-pt shot from 12 ft,2,10-13,,
6:37.0,,,10-13,,D. DeRozan misses 2-pt shot from 15 ft
6:34.0,Defensive rebound by M. Gortat,,10-13,,
6:17.0,Washington full timeout,,10-13,,
6:13.0,M. Morris misses 2-pt shot from 2 ft,,10-13,,
6:12.0,Offensive rebound by Team,,10-13,,
6:12.0,Turnover by Team (shot clock),,10-13,,
5:59.0,,,10-13,,K. Lowry misses 3-pt shot from 26 ft
5:59.0,Defensive rebound by M. Gortat,,10-13,,
5:35.0,J. Wall misses 2-pt shot from 6 ft,,10-13,,
5:30.0,Offensive rebound by M. Gortat,,10-13,,
5:30.0,M. Gortat misses 2-pt shot from 1 ft,,10-13,,
5:27.0,,,10-13,,Defensive rebound by K. Lowry
5:23.0,,,10-13,,K. Lowry misses 2-pt shot from 1 ft
5:21.0,Defensive rebound by M. Gortat,,10-13,,
5:18.0,J. Wall makes 2-pt shot from 1 ft,2,12-13,,
5:18.0,Shooting foul by K. Lowry (drawn by J. Wall),,12-13,,
5:18.0,J. Wall makes free throw 1 of 1,1,13-13,,
4:58.0,,,13-13,,Shooting foul by J. Wall (drawn by D. DeRozan)
4:58.0,,,13-14,1,D. DeRozan makes free throw 1 of 2
4:58.0,,,13-15,1,D. DeRozan makes free throw 2 of 2
4:40.0,B. Beal misses 3-pt shot from 26 ft,,13-15,,
4:37.0,,,13-15,,Defensive rebound by J. Valanciunas
4:28.0,,,13-15,,Shooting foul by O. Porter (drawn by D. DeRozan)
4:28.0,,,13-16,1,D. DeRozan makes free throw 1 of 2
4:28.0,K. Oubre enters the game for O. Porter,,13-16,,
4:28.0,,,13-17,1,D. DeRozan makes free throw 2 of 2
4:06.0,B. Beal misses 2-pt shot from 16 ft,,13-17,,
4:03.0,Offensive rebound by M. Gortat,,13-17,,
4:01.0,B. Beal misses 3-pt shot from 24 ft,,13-17,,
3:59.0,,,13-17,,Defensive rebound by J. Valanciunas
3:51.0,,,13-17,,O. Anunoby misses 3-pt shot from 23 ft
3:48.0,Defensive rebound by J. Wall,,13-17,,
3:40.0,J. Wall misses 3-pt shot from 25 ft,,13-17,,
3:39.0,,,13-17,,Defensive rebound by Team
3:39.0,M. Scott enters the game for M. Morris,,13-17,,
3:26.0,,,13-19,2,D. DeRozan makes 2-pt shot from 2 ft
2:59.0,B. Beal makes 2-pt shot from 18 ft,2,15-19,,
2:47.0,,,15-21,2,J. Valanciunas makes 2-pt shot at rim (assist by K. Lowry)
2:26.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,17-21,,
2:19.0,,,17-21,,Toronto full timeout
2:19.0,,,17-21,,D. Wright enters the game for O. Anunoby
2:19.0,,,17-21,,J. Poeltl enters the game for K. Lowry
2:19.0,,,17-21,,C. Miles enters the game for J. Valanciunas
2:19.0,T. Lawson enters the game for B. Beal,,17-21,,
2:13.0,,,17-21,,D. DeRozan misses 2-pt shot from 10 ft
2:10.0,Defensive rebound by M. Scott,,17-21,,
2:02.0,M. Gortat makes 2-pt shot from 6 ft (assist by J. Wall),2,19-21,,
1:44.0,,,19-23,2,S. Ibaka makes 2-pt shot from 8 ft
1:23.0,M. Gortat misses 2-pt shot from 12 ft,,19-23,,
1:22.0,,,19-23,,Defensive rebound by Team
1:22.0,,,19-23,,P. Siakam enters the game for S. Ibaka
1:22.0,I. Mahinmi enters the game for M. Gortat,,19-23,,
0:59.0,,,19-23,,J. Poeltl misses 2-pt shot from 1 ft
0:57.0,Defensive rebound by J. Wall,,19-23,,
0:53.0,M. Scott makes 3-pt shot from 25 ft (assist by J. Wall),3,22-23,,
0:33.0,,,22-23,,D. DeRozan misses 2-pt shot from 23 ft
0:31.0,Defensive rebound by I. Mahinmi,,22-23,,
0:11.0,K. Oubre misses 3-pt shot from 25 ft,,22-23,,
0:08.0,Offensive rebound by I. Mahinmi,,22-23,,
0:00.0,J. Wall makes 2-pt shot from 20 ft,2,24-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,24-23,,C. Miles misses 3-pt shot from 27 ft
11:40.0,Defensive rebound by T. Lawson,,24-23,,
11:18.0,I. Mahinmi makes 2-pt shot at rim (assist by T. Lawson),2,26-23,,
11:05.0,,,26-25,2,D. Wright makes 2-pt shot from 8 ft (assist by J. Poeltl)
10:50.0,M. Scott makes 2-pt shot from 12 ft (assist by T. Satoransky),2,28-25,,
10:33.0,,,28-25,,N. Powell misses 3-pt shot from 22 ft
10:29.0,Defensive rebound by I. Mahinmi,,28-25,,
10:25.0,T. Lawson makes 2-pt shot from 11 ft,2,30-25,,
10:11.0,,,30-27,2,D. Wright makes 2-pt shot from 1 ft
9:56.0,M. Scott misses 2-pt shot from 12 ft,,30-27,,
9:53.0,,,30-27,,Defensive rebound by P. Siakam
9:50.0,,,30-27,,Shooting foul by T. Satoransky (drawn by P. Siakam)
9:50.0,,,30-28,1,P. Siakam makes free throw 1 of 2
9:50.0,,,30-29,1,P. Siakam makes free throw 2 of 2
9:39.0,T. Lawson misses 3-pt shot from 25 ft,,30-29,,
9:37.0,Offensive rebound by T. Satoransky,,30-29,,
9:35.0,Turnover by T. Satoransky (bad pass; steal by J. Poeltl),,30-29,,
9:28.0,,,30-31,2,P. Siakam makes 2-pt shot from 1 ft (assist by N. Powell)
9:09.0,K. Oubre misses 2-pt shot from 2 ft,,30-31,,
9:09.0,Offensive rebound by Team,,30-31,,
9:09.0,,,30-31,,Loose ball foul by N. Powell (drawn by M. Scott)
9:02.0,K. Oubre makes 3-pt shot from 24 ft (assist by T. Lawson),3,33-31,,
8:49.0,,,33-34,3,D. Wright makes 3-pt shot from 25 ft (assist by P. Siakam)
8:30.0,T. Satoransky misses 2-pt shot from 16 ft,,33-34,,
8:27.0,Offensive rebound by M. Scott,,33-34,,
8:26.0,K. Oubre misses 3-pt shot from 24 ft,,33-34,,
