time,Golden State,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. J. McGee (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. J. McGee (R. Jackson gains possession)
11:44.0,,,0-0,,Shooting foul by J. McGee (drawn by A. Drummond)
11:44.0,,,0-0,,A. Drummond misses free throw 1 of 2
11:44.0,,,0-0,,Offensive rebound by Team
11:44.0,,,0-1,1,A. Drummond makes free throw 2 of 2
11:31.0,D. Green makes 2-pt shot from 1 ft (assist by K. Durant),2,2-1,,
11:31.0,,,2-1,,Violation by A. Drummond (def goaltending)
11:10.0,,,2-3,2,A. Bradley makes 2-pt shot from 14 ft
10:54.0,K. Durant makes 2-pt shot from 13 ft (assist by D. Green),2,4-3,,
10:32.0,,,4-6,3,R. Jackson makes 3-pt shot from 25 ft (assist by S. Johnson)
10:05.0,S. Livingston misses 2-pt shot from 10 ft,,4-6,,
10:02.0,,,4-6,,Defensive rebound by A. Drummond
9:56.0,,,4-8,2,R. Jackson makes 2-pt shot from 14 ft
9:41.0,K. Durant misses 2-pt shot from 12 ft,,4-8,,
9:39.0,,,4-8,,Defensive rebound by A. Drummond
9:34.0,,,4-10,2,R. Jackson makes 2-pt shot from 1 ft
9:25.0,K. Thompson misses 2-pt shot from 18 ft,,4-10,,
9:24.0,,,4-10,,Defensive rebound by Team
9:18.0,,,4-10,,S. Johnson misses 3-pt shot from 26 ft
9:13.0,Defensive rebound by J. McGee,,4-10,,
9:03.0,K. Thompson makes 2-pt shot from 3 ft (assist by K. Durant),2,6-10,,
8:52.0,,,6-10,,A. Bradley misses 2-pt shot from 3 ft (block by S. Livingston)
8:51.0,,,6-10,,Offensive rebound by A. Bradley
8:50.0,,,6-10,,A. Bradley misses 2-pt shot from 4 ft (block by J. McGee)
8:49.0,Defensive rebound by J. McGee,,6-10,,
8:44.0,K. Durant makes 2-pt shot from 1 ft,2,8-10,,
8:44.0,Shooting foul by S. Johnson (drawn by K. Durant),,8-10,,
8:44.0,K. Durant makes free throw 1 of 1,1,9-10,,
8:29.0,,,9-10,,Turnover by R. Jackson (bad pass; steal by K. Thompson)
8:26.0,K. Durant misses 2-pt shot from 3 ft (block by T. Harris),,9-10,,
8:26.0,,,9-10,,Defensive rebound by Team
8:23.0,J. McGee misses 2-pt shot from 8 ft (block by A. Drummond),,9-10,,
8:20.0,Offensive rebound by J. McGee,,9-10,,
8:17.0,J. McGee misses 2-pt shot from 3 ft,,9-10,,
8:14.0,,,9-10,,Defensive rebound by A. Drummond
8:10.0,,,9-10,,R. Jackson misses 2-pt shot from 3 ft (block by D. Green)
8:10.0,,,9-10,,Offensive rebound by R. Jackson
8:01.0,,,9-13,3,T. Harris makes 3-pt shot from 22 ft
7:53.0,K. Thompson makes 2-pt shot from 1 ft (assist by D. Green),2,11-13,,
7:46.0,,,11-13,,Detroit full timeout
7:37.0,,,11-16,3,A. Bradley makes 3-pt shot from 26 ft (assist by T. Harris)
7:18.0,S. Livingston makes 2-pt shot from 9 ft,2,13-16,,
6:59.0,,,13-16,,S. Johnson misses 2-pt shot from 7 ft
6:57.0,Defensive rebound by D. Green,,13-16,,
6:51.0,S. Livingston makes 2-pt shot from 13 ft (assist by K. Thompson),2,15-16,,
6:35.0,Personal foul by J. McGee (drawn by R. Jackson),,15-16,,
6:28.0,,,15-16,,A. Bradley misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by K. Durant,,15-16,,
6:12.0,Turnover by K. Durant (bad pass; steal by S. Johnson),,15-16,,
6:03.0,,,15-16,,R. Jackson misses 2-pt shot from 3 ft
6:02.0,,,15-16,,Offensive rebound by A. Drummond
6:00.0,,,15-18,2,A. Drummond makes 2-pt shot at rim
5:34.0,K. Thompson misses 3-pt shot from 25 ft,,15-18,,
5:32.0,,,15-18,,Defensive rebound by T. Harris
5:29.0,,,15-18,,T. Harris misses 2-pt shot from 2 ft
5:27.0,Defensive rebound by K. Thompson,,15-18,,
5:25.0,K. Thompson misses 3-pt shot from 25 ft,,15-18,,
5:25.0,Offensive rebound by S. Livingston,,15-18,,
5:12.0,J. McGee makes 2-pt shot at rim (assist by D. Green),2,17-18,,
4:55.0,,,17-18,,A. Drummond misses 2-pt shot from 6 ft (block by K. Durant)
4:53.0,Defensive rebound by K. Durant,,17-18,,
4:49.0,K. Thompson misses 3-pt shot from 26 ft,,17-18,,
4:44.0,,,17-18,,Defensive rebound by S. Johnson
4:40.0,Personal foul by K. Durant (drawn by R. Jackson),,17-18,,
4:40.0,J. Bell enters the game for J. McGee,,17-18,,
