time,San Antonio,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. L. Aldridge (T. Ulis gains possession),,,,Jump ball: M. Chriss vs. L. Aldridge (T. Ulis gains possession)
11:36.0,,,0-0,,J. Jackson misses 2-pt shot from 12 ft
11:34.0,Defensive rebound by K. Anderson,,0-0,,
11:20.0,Turnover by D. Bertans (bad pass),,0-0,,
11:01.0,,,0-0,,M. Chriss misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by Team,,0-0,,
10:51.0,D. Murray misses 2-pt shot from 6 ft (block by T. Ulis),,0-0,,
10:48.0,Offensive rebound by D. Murray,,0-0,,
10:42.0,D. Green misses 2-pt shot from 20 ft,,0-0,,
10:38.0,,,0-0,,Defensive rebound by D. Bender
10:24.0,,,0-0,,T. Ulis misses 2-pt shot from 18 ft
10:22.0,Defensive rebound by L. Aldridge,,0-0,,
10:03.0,L. Aldridge makes 2-pt shot from 5 ft,2,2-0,,
9:43.0,,,2-0,,M. Chriss misses 2-pt shot from 5 ft (block by L. Aldridge)
9:40.0,Defensive rebound by D. Green,,2-0,,
9:36.0,D. Murray makes 2-pt shot from 8 ft,2,4-0,,
9:17.0,,,4-0,,M. Chriss misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by D. Bertans,,4-0,,
9:04.0,L. Aldridge misses 2-pt shot from 20 ft,,4-0,,
9:01.0,Offensive rebound by D. Murray,,4-0,,
8:59.0,D. Green makes 3-pt shot from 23 ft (assist by D. Murray),3,7-0,,
8:45.0,,,7-0,,Offensive foul by D. Bender (drawn by D. Bertans)
8:45.0,,,7-0,,Turnover by D. Bender (offensive foul)
8:22.0,D. Green misses 3-pt shot from 25 ft,,7-0,,
8:21.0,,,7-0,,Defensive rebound by T. Warren
8:15.0,,,7-0,,J. Jackson misses 2-pt shot from 5 ft
8:14.0,Defensive rebound by D. Bertans,,7-0,,
8:07.0,L. Aldridge makes 2-pt shot at rim (assist by K. Anderson),2,9-0,,
8:04.0,,,9-0,,Phoenix full timeout
7:43.0,,,9-0,,J. Jackson misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by L. Aldridge,,9-0,,
7:26.0,,,9-0,,Personal foul by M. Chriss (drawn by L. Aldridge)
7:17.0,D. Murray makes 2-pt shot at rim (assist by L. Aldridge),2,11-0,,
7:02.0,,,11-0,,T. Warren misses 2-pt shot from 11 ft
7:00.0,Defensive rebound by D. Murray,,11-0,,
6:56.0,D. Murray misses 2-pt shot from 19 ft,,11-0,,
6:52.0,Offensive rebound by D. Bertans,,11-0,,
6:38.0,D. Bertans misses 3-pt shot from 26 ft,,11-0,,
6:35.0,,,11-0,,Defensive rebound by J. Jackson
6:32.0,,,11-2,2,J. Jackson makes 2-pt shot from 18 ft
6:21.0,D. Murray misses 2-pt shot from 10 ft,,11-2,,
6:18.0,,,11-2,,Defensive rebound by M. Chriss
6:11.0,,,11-2,,T. Warren misses 2-pt shot from 1 ft
6:10.0,Defensive rebound by D. Murray,,11-2,,
6:05.0,D. Green makes 3-pt shot from 25 ft (assist by D. Murray),3,14-2,,
5:49.0,,,14-2,,J. Jackson misses 2-pt shot at rim (block by L. Aldridge)
5:48.0,Defensive rebound by K. Anderson,,14-2,,
5:44.0,D. Murray misses 2-pt shot at rim,,14-2,,
5:42.0,Offensive rebound by D. Bertans,,14-2,,
5:42.0,D. Bertans makes 2-pt shot at rim,2,16-2,,
5:22.0,,,16-2,,Shooting foul by D. Green (drawn by M. Chriss)
5:22.0,,,16-3,1,M. Chriss makes free throw 1 of 2
5:22.0,,,16-3,,J. Gray enters the game for D. Bender
5:22.0,,,16-3,,T. Daniels enters the game for J. Jackson
