time,Brooklyn,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. T. Zeller (T. Parker gains possession),,,,Jump ball: P. Gasol vs. T. Zeller (T. Parker gains possession)
11:43.0,,,0-0,,L. Aldridge misses 3-pt shot from 24 ft
11:40.0,Defensive rebound by A. Crabbe,,0-0,,
11:24.0,R. Hollis-Jefferson makes 2-pt shot from 10 ft (assist by A. Crabbe),2,2-0,,
11:08.0,,,2-2,2,K. Leonard makes 2-pt shot from 15 ft
10:50.0,D. Carroll misses 3-pt shot from 24 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by P. Gasol
10:30.0,,,2-2,,K. Leonard misses 2-pt shot from 1 ft
10:27.0,Defensive rebound by D. Carroll,,2-2,,
10:22.0,A. Crabbe misses 3-pt shot from 23 ft,,2-2,,
10:19.0,,,2-2,,Defensive rebound by L. Aldridge
10:09.0,,,2-4,2,T. Parker makes 2-pt shot from 7 ft
9:53.0,R. Hollis-Jefferson misses 2-pt shot from 1 ft,,2-4,,
9:50.0,,,2-4,,Defensive rebound by P. Gasol
9:33.0,,,2-6,2,D. Green makes 2-pt shot from 9 ft
9:26.0,T. Zeller misses 2-pt shot from 7 ft,,2-6,,
9:26.0,,,2-6,,Defensive rebound by L. Aldridge
9:16.0,,,2-6,,P. Gasol misses 2-pt shot from 16 ft
9:16.0,Defensive rebound by R. Hollis-Jefferson,,2-6,,
9:09.0,Shooting foul by D. Green (drawn by R. Hollis-Jefferson),,2-6,,
9:09.0,R. Hollis-Jefferson makes free throw 1 of 2,1,3-6,,
9:09.0,R. Hollis-Jefferson makes free throw 2 of 2,1,4-6,,
8:57.0,,,4-6,,Turnover by P. Gasol (bad pass; steal by D. Carroll)
8:50.0,A. Crabbe misses 2-pt shot from 18 ft,,4-6,,
8:47.0,,,4-6,,Defensive rebound by K. Leonard
8:38.0,,,4-8,2,P. Gasol makes 2-pt shot from 5 ft
8:29.0,R. Hollis-Jefferson misses 2-pt shot from 15 ft,,4-8,,
8:26.0,,,4-8,,Defensive rebound by T. Parker
8:21.0,,,4-8,,T. Parker misses 2-pt shot from 18 ft
8:21.0,Defensive rebound by R. Hollis-Jefferson,,4-8,,
8:13.0,Turnover by R. Hollis-Jefferson (bad pass),,4-8,,
7:55.0,,,4-10,2,K. Leonard makes 2-pt shot at rim
7:43.0,T. Zeller makes 2-pt shot from 1 ft (assist by D. Carroll),2,6-10,,
7:29.0,,,6-10,,Turnover by T. Parker (bad pass; steal by R. Hollis-Jefferson)
7:21.0,D. Carroll misses 2-pt shot from 9 ft,,6-10,,
7:17.0,,,6-10,,Defensive rebound by L. Aldridge
7:04.0,,,6-13,3,K. Leonard makes 3-pt shot from 25 ft (assist by L. Aldridge)
7:03.0,Brooklyn full timeout,,6-13,,
6:46.0,D. Carroll misses 3-pt shot from 23 ft,,6-13,,
6:43.0,,,6-13,,Defensive rebound by P. Gasol
6:28.0,Personal foul by T. Zeller (drawn by P. Gasol),,6-13,,
6:23.0,,,6-13,,P. Gasol misses 2-pt shot from 15 ft
6:17.0,Defensive rebound by R. Hollis-Jefferson,,6-13,,
6:12.0,A. Crabbe makes 2-pt shot from 21 ft (assist by R. Hollis-Jefferson),2,8-13,,
5:58.0,,,8-13,,T. Parker misses 2-pt shot from 11 ft
5:55.0,Defensive rebound by R. Hollis-Jefferson,,8-13,,
5:44.0,R. Hollis-Jefferson makes 2-pt shot from 15 ft,2,10-13,,
5:29.0,,,10-13,,K. Leonard misses 3-pt shot from 24 ft
5:24.0,Defensive rebound by T. Zeller,,10-13,,
5:08.0,R. Hollis-Jefferson misses 2-pt shot from 4 ft,,10-13,,
5:08.0,Offensive rebound by Team,,10-13,,
5:08.0,,,10-13,,Personal foul by D. Green (drawn by T. Zeller)
5:08.0,,,10-13,,M. Ginobili enters the game for K. Leonard
5:08.0,,,10-13,,R. Gay enters the game for T. Parker
5:08.0,,,10-13,,K. Anderson enters the game for D. Green
5:08.0,,,10-13,,P. Mills enters the game for P. Gasol
5:08.0,J. Harris enters the game for A. Crabbe,,10-13,,
5:08.0,J. Allen enters the game for T. Zeller,,10-13,,
5:04.0,R. Hollis-Jefferson misses 2-pt shot from 12 ft,,10-13,,
5:01.0,,,10-13,,Defensive rebound by K. Anderson
4:57.0,,,10-13,,M. Ginobili misses 2-pt shot from 3 ft
