time,Minnesota,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. K. Towns (J. Butler gains possession),,,,Jump ball: A. Horford vs. K. Towns (J. Butler gains possession)
11:37.0,A. Wiggins misses 3-pt shot from 26 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by K. Irving
11:16.0,,,0-0,,J. Brown misses 2-pt shot from 19 ft
11:15.0,,,0-0,,Offensive rebound by A. Baynes
11:15.0,,,0-0,,A. Baynes misses 2-pt shot at rim
11:14.0,Defensive rebound by K. Towns,,0-0,,
10:50.0,J. Butler misses 2-pt shot from 13 ft,,0-0,,
10:50.0,,,0-0,,Defensive rebound by A. Baynes
10:39.0,,,0-0,,K. Irving misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by K. Towns,,0-0,,
10:33.0,T. Jones makes 2-pt shot from 7 ft,2,2-0,,
10:17.0,,,2-0,,A. Baynes misses 2-pt shot from 13 ft
10:14.0,Defensive rebound by K. Towns,,2-0,,
10:05.0,,,2-0,,Violation by A. Horford (kicked ball)
9:57.0,K. Towns misses 3-pt shot from 25 ft,,2-0,,
9:55.0,,,2-0,,Defensive rebound by J. Brown
9:48.0,,,2-2,2,K. Irving makes 2-pt shot from 1 ft (assist by A. Horford)
9:36.0,K. Towns makes 2-pt shot from 14 ft (assist by J. Butler),2,4-2,,
9:18.0,,,4-2,,J. Tatum misses 3-pt shot from 25 ft
9:17.0,Defensive rebound by Team,,4-2,,
8:56.0,T. Gibson misses 2-pt shot from 11 ft,,4-2,,
8:53.0,,,4-2,,Defensive rebound by A. Baynes
8:48.0,,,4-2,,J. Brown misses 2-pt shot from 6 ft
8:45.0,Defensive rebound by K. Towns,,4-2,,
8:40.0,A. Wiggins misses 2-pt shot from 5 ft,,4-2,,
8:38.0,,,4-2,,Defensive rebound by K. Irving
8:32.0,,,4-4,2,A. Baynes makes 2-pt shot at rim (assist by J. Brown)
8:08.0,A. Wiggins misses 3-pt shot from 23 ft,,4-4,,
8:04.0,,,4-4,,Defensive rebound by K. Irving
7:54.0,,,4-4,,Turnover by A. Horford (step out of bounds)
7:34.0,T. Gibson misses 2-pt shot from 19 ft,,4-4,,
7:32.0,,,4-4,,Defensive rebound by J. Tatum
7:12.0,,,4-6,2,A. Horford makes 2-pt shot from 18 ft (assist by K. Irving)
6:55.0,,,4-6,,Personal foul by K. Irving (drawn by J. Butler)
6:55.0,,,4-6,,Boston full timeout
6:40.0,J. Butler misses 2-pt shot from 19 ft,,4-6,,
6:38.0,,,4-6,,Defensive rebound by A. Baynes
6:27.0,,,4-6,,A. Baynes misses 2-pt shot from 4 ft (block by A. Wiggins)
6:27.0,,,4-6,,Offensive rebound by Team
6:23.0,,,4-9,3,K. Irving makes 3-pt shot from 27 ft (assist by A. Baynes)
6:00.0,A. Wiggins misses 2-pt shot from 16 ft,,4-9,,
5:59.0,Offensive rebound by Team,,4-9,,
