time,Charlotte,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. D. Howard (G. Dragic gains possession),,,,Jump ball: H. Whiteside vs. D. Howard (G. Dragic gains possession)
11:41.0,,,0-0,,J. Richardson misses 2-pt shot from 10 ft
11:38.0,,,0-0,,Offensive rebound by H. Whiteside
11:38.0,,,0-0,,H. Whiteside misses 2-pt shot from 1 ft
11:38.0,,,0-0,,Offensive rebound by H. Whiteside
11:38.0,,,0-0,,Shooting foul by D. Howard (drawn by H. Whiteside)
11:28.0,,,0-0,,T. Johnson misses 2-pt shot from 1 ft (block by D. Howard)
11:28.0,,,0-0,,Offensive rebound by Team
11:20.0,,,0-2,2,J. Richardson makes 2-pt shot from 11 ft
11:02.0,K. Walker misses 2-pt shot from 11 ft,,0-2,,
11:00.0,,,0-2,,Defensive rebound by J. Johnson
10:51.0,,,0-2,,Turnover by H. Whiteside (bad pass)
10:38.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,3-2,,
10:28.0,,,3-2,,Turnover by G. Dragic (step out of bounds)
10:10.0,D. Howard makes 2-pt shot from 12 ft (assist by K. Walker),2,5-2,,
9:52.0,,,5-2,,Turnover by H. Whiteside (bad pass; steal by M. Williams)
9:43.0,Turnover by K. Walker (bad pass; steal by T. Johnson),,5-2,,
9:33.0,,,5-5,3,J. Richardson makes 3-pt shot from 23 ft (assist by J. Johnson)
9:15.0,N. Batum makes 2-pt shot from 10 ft,2,7-5,,
8:56.0,,,7-5,,G. Dragic misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by M. Williams,,7-5,,
8:43.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,9-5,,
8:26.0,,,9-5,,J. Richardson misses 2-pt shot from 5 ft
8:23.0,,,9-5,,Offensive rebound by H. Whiteside
8:15.0,,,9-5,,Shooting foul by M. Williams (drawn by T. Johnson)
8:15.0,,,9-5,,T. Johnson misses free throw 1 of 2
8:15.0,,,9-5,,Offensive rebound by Team
8:15.0,,,9-6,1,T. Johnson makes free throw 2 of 2
7:55.0,D. Howard makes 2-pt shot from 1 ft (assist by N. Batum),2,11-6,,
7:35.0,,,11-6,,G. Dragic misses 2-pt shot from 1 ft
7:30.0,,,11-6,,Offensive rebound by H. Whiteside
7:30.0,,,11-8,2,H. Whiteside makes 2-pt shot at rim
7:14.0,Shooting foul by G. Dragic (drawn by K. Walker),,11-8,,
7:14.0,K. Walker makes free throw 1 of 2,1,12-8,,
7:14.0,K. Walker misses free throw 2 of 2,,12-8,,
7:11.0,,,12-8,,Defensive rebound by H. Whiteside
6:58.0,Violation by M. Williams (kicked ball),,12-8,,
6:50.0,,,12-8,,H. Whiteside misses 2-pt shot from 8 ft
6:47.0,Defensive rebound by D. Howard,,12-8,,
6:39.0,D. Howard misses 2-pt shot from 2 ft,,12-8,,
6:39.0,,,12-8,,Defensive rebound by T. Johnson
6:31.0,,,12-8,,Turnover by J. Johnson (bad pass; steal by D. Howard)
6:24.0,K. Walker makes 3-pt shot from 25 ft (assist by D. Howard),3,15-8,,
6:15.0,,,15-8,,Miami full timeout
6:03.0,,,15-10,2,T. Johnson makes 2-pt shot from 1 ft (assist by G. Dragic)
5:40.0,N. Batum makes 2-pt shot from 14 ft,2,17-10,,
5:27.0,,,17-10,,J. Johnson misses 3-pt shot from 25 ft
5:27.0,,,17-10,,Offensive rebound by H. Whiteside
5:23.0,,,17-12,2,H. Whiteside makes 2-pt shot from 7 ft
5:10.0,N. Batum misses 3-pt shot from 25 ft,,17-12,,
5:07.0,Offensive rebound by D. Howard,,17-12,,
4:57.0,D. Howard misses 2-pt shot from 13 ft,,17-12,,
4:54.0,,,17-12,,Defensive rebound by J. Johnson
4:48.0,,,17-14,2,J. Johnson makes 2-pt shot from 1 ft (assist by T. Johnson)
4:27.0,Shooting foul by T. Johnson (drawn by M. Williams),,17-14,,
4:27.0,M. Williams makes free throw 1 of 2,1,18-14,,
4:27.0,,,18-14,,W. Ellington enters the game for J. Richardson
4:27.0,M. Williams makes free throw 2 of 2,1,19-14,,
4:20.0,,,19-14,,Shooting foul by K. Walker (drawn by G. Dragic)
4:20.0,,,19-14,,G. Dragic misses free throw 1 of 2
4:20.0,,,19-14,,Offensive rebound by Team
