time,Golden State,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. McGee (D. Lillard gains possession),,,,Jump ball: J. Nurkic vs. J. McGee (D. Lillard gains possession)
11:35.0,,,0-2,2,D. Lillard makes 2-pt shot from 15 ft
11:16.0,J. McGee misses 2-pt shot from 1 ft,,0-2,,
11:14.0,,,0-2,,Defensive rebound by J. Nurkic
11:09.0,,,0-4,2,J. Nurkic makes 2-pt shot from 1 ft (assist by D. Lillard)
11:03.0,Turnover by K. Thompson (step out of bounds),,0-4,,
10:52.0,,,0-4,,Turnover by D. Lillard (bad pass)
10:36.0,Shooting foul by M. Harkless (drawn by K. Durant),,0-4,,
10:36.0,K. Durant makes free throw 1 of 2,1,1-4,,
10:36.0,K. Durant makes free throw 2 of 2,1,2-4,,
10:22.0,,,2-4,,Turnover by A. Aminu (traveling)
10:13.0,Q. Cook makes 2-pt shot from 16 ft,2,4-4,,
9:54.0,,,4-7,3,M. Harkless makes 3-pt shot from 24 ft
9:42.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,7-7,,
9:27.0,,,7-7,,Shooting foul by Q. Cook (drawn by C. McCollum)
9:27.0,,,7-7,,C. McCollum misses free throw 1 of 2
9:27.0,,,7-7,,Offensive rebound by Team
9:27.0,,,7-8,1,C. McCollum makes free throw 2 of 2
9:19.0,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant),3,10-8,,
9:08.0,,,10-10,2,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard)
8:53.0,J. McGee misses 2-pt shot from 2 ft,,10-10,,
8:51.0,,,10-10,,Defensive rebound by A. Aminu
8:47.0,,,10-13,3,D. Lillard makes 3-pt shot from 30 ft
8:26.0,K. Thompson misses 2-pt shot from 12 ft,,10-13,,
8:24.0,,,10-13,,Defensive rebound by A. Aminu
8:17.0,,,10-13,,Turnover by D. Lillard (bad pass; steal by D. Green)
7:55.0,K. Thompson misses 3-pt shot from 23 ft,,10-13,,
7:54.0,,,10-13,,Defensive rebound by D. Lillard
7:46.0,,,10-13,,Turnover by D. Lillard (bad pass; steal by J. McGee)
7:42.0,Q. Cook makes 2-pt shot from 20 ft,2,12-13,,
7:21.0,,,12-15,2,C. McCollum makes 2-pt shot from 11 ft
7:05.0,K. Thompson misses 3-pt shot from 24 ft,,12-15,,
7:04.0,,,12-15,,Defensive rebound by J. Nurkic
6:45.0,,,12-15,,J. Nurkic misses 2-pt shot from 1 ft
6:42.0,,,12-15,,Offensive rebound by J. Nurkic
6:41.0,,,12-15,,Portland full timeout
6:38.0,Jump ball: J. Nurkic vs. D. Green (J. McGee gains possession),,,,Jump ball: J. Nurkic vs. D. Green (J. McGee gains possession)
6:38.0,,,12-15,,Turnover by J. Nurkic (turnover; steal by D. Green)
6:21.0,K. Thompson misses 2-pt shot from 3 ft,,12-15,,
6:19.0,,,12-15,,Defensive rebound by A. Aminu
6:09.0,Personal foul by K. Thompson (drawn by A. Aminu),,12-15,,
6:03.0,,,12-15,,D. Lillard misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by K. Durant,,12-15,,
5:49.0,Turnover by K. Durant (lost ball; steal by M. Harkless),,12-15,,
5:42.0,,,12-18,3,C. McCollum makes 3-pt shot from 24 ft
5:26.0,Shooting foul by M. Harkless (drawn by K. Durant),,12-18,,
5:26.0,K. Durant makes free throw 1 of 2,1,13-18,,
5:26.0,,,13-18,,E. Turner enters the game for M. Harkless
5:26.0,K. Durant makes free throw 2 of 2,1,14-18,,
5:10.0,,,14-18,,E. Turner misses 3-pt shot from 22 ft
5:05.0,,,14-18,,Offensive rebound by D. Lillard
5:02.0,,,14-21,3,E. Turner makes 3-pt shot from 24 ft (assist by D. Lillard)
4:43.0,J. McGee makes 2-pt shot from 2 ft,2,16-21,,
4:27.0,,,16-21,,C. McCollum misses 3-pt shot from 24 ft
4:25.0,Defensive rebound by D. Green,,16-21,,
4:19.0,Q. Cook misses 3-pt shot from 22 ft,,16-21,,
4:16.0,,,16-21,,Defensive rebound by J. Nurkic
4:02.0,,,16-21,,A. Aminu misses 2-pt shot from 1 ft
3:59.0,,,16-21,,Offensive rebound by J. Nurkic
3:59.0,,,16-21,,J. Nurkic misses 2-pt shot at rim
3:59.0,,,16-21,,Offensive rebound by A. Aminu
3:57.0,,,16-23,2,A. Aminu makes 2-pt shot from 3 ft
3:56.0,Golden State full timeout,,16-23,,
3:56.0,,,16-23,,Z. Collins enters the game for A. Aminu
3:56.0,,,16-23,,E. Davis enters the game for J. Nurkic
3:56.0,O. Casspi enters the game for J. McGee,,16-23,,
3:56.0,K. Looney enters the game for K. Thompson,,16-23,,
3:56.0,N. Young enters the game for D. Green,,16-23,,
3:38.0,K. Durant misses 2-pt shot from 4 ft,,16-23,,
3:37.0,,,16-23,,Defensive rebound by E. Davis
3:30.0,,,16-23,,C. McCollum misses 2-pt shot from 16 ft
3:26.0,,,16-23,,Offensive rebound by E. Davis
3:12.0,,,16-23,,Z. Collins misses 3-pt shot from 24 ft
3:10.0,Defensive rebound by Team,,16-23,,
3:10.0,,,16-23,,P. Connaughton enters the game for C. McCollum
3:01.0,Shooting foul by E. Davis (drawn by K. Durant),,16-23,,
3:01.0,K. Durant makes free throw 1 of 2,1,17-23,,
3:01.0,K. Durant makes free throw 2 of 2,1,18-23,,
2:45.0,,,18-25,2,Z. Collins makes 2-pt shot at rim (assist by D. Lillard)
2:33.0,K. Durant makes 3-pt shot from 25 ft,3,21-25,,
2:22.0,Personal foul by Q. Cook (drawn by D. Lillard),,21-25,,
2:15.0,,,21-28,3,D. Lillard makes 3-pt shot from 27 ft
2:11.0,Golden State full timeout,,21-28,,
2:11.0,S. Livingston enters the game for Q. Cook,,21-28,,
1:58.0,,,21-28,,Personal foul by Z. Collins (drawn by O. Casspi)
1:44.0,K. Durant makes 2-pt shot from 8 ft (assist by O. Casspi),2,23-28,,
1:29.0,,,23-28,,E. Turner misses 3-pt shot from 24 ft
1:27.0,,,23-28,,Offensive rebound by E. Davis
1:26.0,,,23-30,2,E. Davis makes 2-pt shot from 1 ft
1:26.0,,,23-30,,Shooting foul by K. Looney (drawn by E. Davis)
1:26.0,,,23-31,1,E. Davis makes free throw 1 of 1
1:16.0,Shooting foul by Z. Collins (drawn by O. Casspi),,23-31,,
1:16.0,O. Casspi makes free throw 1 of 2,1,24-31,,
1:16.0,O. Casspi misses free throw 2 of 2,,24-31,,
1:13.0,,,24-31,,Defensive rebound by E. Davis
0:59.0,,,24-33,2,Z. Collins makes 2-pt shot from 7 ft
0:50.0,K. Durant misses 2-pt shot from 2 ft,,24-33,,
0:49.0,Offensive rebound by K. Looney,,24-33,,
0:48.0,K. Looney makes 2-pt shot from 2 ft,2,26-33,,
0:36.0,Violation by S. Livingston (kicked ball),,26-33,,
0:36.0,,,26-33,,C. McCollum enters the game for Z. Collins
0:36.0,D. Green enters the game for K. Looney,,26-33,,
0:27.0,,,26-33,,P. Connaughton misses 3-pt shot from 26 ft
0:23.0,Defensive rebound by Team,,26-33,,
0:23.0,,,26-33,,Z. Collins enters the game for C. McCollum
0:23.0,K. Thompson enters the game for O. Casspi,,26-33,,
0:04.0,Shooting foul by D. Lillard (drawn by K. Thompson),,26-33,,
0:04.0,K. Thompson makes free throw 1 of 2,1,27-33,,
0:04.0,,,27-33,,C. McCollum enters the game for E. Turner
0:04.0,K. Looney enters the game for K. Durant,,27-33,,
0:04.0,K. Thompson misses free throw 2 of 2,,27-33,,
0:02.0,,,27-33,,Defensive rebound by E. Davis
0:00.0,,,27-33,,Turnover by C. McCollum (lost ball; steal by K. Thompson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,D. Green misses 2-pt shot from 16 ft,,27-33,,
11:41.0,,,27-33,,Defensive rebound by C. McCollum
11:25.0,,,27-35,2,Z. Collins makes 2-pt shot from 2 ft (assist by E. Turner)
11:25.0,,,27-35,,Shooting foul by Z. Pachulia (drawn by Z. Collins)
11:25.0,,,27-36,1,Z. Collins makes free throw 1 of 1
11:11.0,D. Green misses 3-pt shot from 24 ft,,27-36,,
11:09.0,,,27-36,,Defensive rebound by E. Davis
10:53.0,,,27-39,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner)
10:30.0,S. Livingston misses 2-pt shot from 6 ft,,27-39,,
10:24.0,,,27-39,,Defensive rebound by E. Davis
10:16.0,,,27-39,,E. Turner misses 2-pt shot at rim
10:16.0,,,27-39,,Offensive rebound by Team
10:12.0,,,27-41,2,E. Davis makes 2-pt shot from 4 ft (assist by E. Turner)
9:55.0,Z. Pachulia misses 2-pt shot from 17 ft,,27-41,,
9:52.0,Offensive rebound by Z. Pachulia,,27-41,,
9:50.0,Z. Pachulia misses 2-pt shot from 2 ft,,27-41,,
9:48.0,,,27-41,,Defensive rebound by E. Davis
9:27.0,Jump ball: Z. Collins vs. D. Green (S. Livingston gains possession),,,,Jump ball: Z. Collins vs. D. Green (S. Livingston gains possession)
9:27.0,,,27-41,,Turnover by Z. Collins (turnover; steal by D. Green)
9:24.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green),3,30-41,,
9:05.0,,,30-43,2,C. McCollum makes 2-pt shot from 16 ft
8:46.0,Turnover by K. Thompson (out of bounds lost ball),,30-43,,
8:37.0,,,30-43,,S. Napier misses 2-pt shot from 20 ft
