time,Portland,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Nurkic (D. Murray gains possession),,,,Jump ball: P. Gasol vs. J. Nurkic (D. Murray gains possession)
11:44.0,,,0-0,,P. Gasol misses 2-pt shot from 17 ft
11:39.0,Defensive rebound by A. Aminu,,0-0,,
11:20.0,C. McCollum makes 2-pt shot from 17 ft,2,2-0,,
11:05.0,,,2-0,,Shooting foul by J. Nurkic (drawn by D. Murray)
11:05.0,,,2-1,1,D. Murray makes free throw 1 of 2
11:05.0,,,2-2,1,D. Murray makes free throw 2 of 2
10:53.0,D. Lillard makes 3-pt shot from 25 ft (assist by E. Turner),3,5-2,,
10:25.0,,,5-2,,D. Murray misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by C. McCollum,,5-2,,
10:05.0,Turnover by D. Lillard (bad pass; steal by P. Mills),,5-2,,
10:00.0,,,5-4,2,D. Murray makes 2-pt shot from 1 ft (assist by K. Anderson)
9:38.0,D. Lillard makes 3-pt shot from 29 ft,3,8-4,,
9:17.0,,,8-6,2,L. Aldridge makes 2-pt shot from 8 ft (assist by P. Mills)
9:04.0,D. Lillard misses 2-pt shot from 8 ft,,8-6,,
9:00.0,Offensive rebound by J. Nurkic,,8-6,,
9:00.0,J. Nurkic makes 2-pt shot at rim,2,10-6,,
8:50.0,,,10-8,2,P. Mills makes 2-pt shot from 15 ft (assist by P. Gasol)
8:34.0,C. McCollum makes 2-pt shot from 20 ft (assist by D. Lillard),2,12-8,,
8:16.0,,,12-10,2,L. Aldridge makes 2-pt shot from 4 ft (assist by D. Murray)
8:00.0,D. Lillard misses 3-pt shot from 25 ft,,12-10,,
7:56.0,,,12-10,,Defensive rebound by K. Anderson
7:48.0,,,12-13,3,P. Gasol makes 3-pt shot from 25 ft (assist by K. Anderson)
7:21.0,Shooting foul by D. Murray (drawn by C. McCollum),,12-13,,
7:21.0,C. McCollum makes free throw 1 of 3,1,13-13,,
7:21.0,C. McCollum makes free throw 2 of 3,1,14-13,,
7:21.0,C. McCollum makes free throw 3 of 3,1,15-13,,
6:59.0,,,15-13,,Turnover by L. Aldridge (lost ball; steal by E. Turner)
6:55.0,C. McCollum misses 2-pt shot at rim,,15-13,,
6:53.0,,,15-13,,Defensive rebound by L. Aldridge
6:42.0,,,15-15,2,L. Aldridge makes 2-pt shot from 11 ft (assist by K. Anderson)
6:20.0,J. Nurkic makes 2-pt shot at rim (assist by C. McCollum),2,17-15,,
6:20.0,,,17-15,,San Antonio full timeout
6:20.0,,,17-15,,R. Gay enters the game for K. Anderson
6:20.0,,,17-15,,D. Green enters the game for P. Gasol
6:09.0,,,17-15,,P. Mills misses 3-pt shot from 26 ft
6:04.0,Defensive rebound by A. Aminu,,17-15,,
5:54.0,E. Turner makes 2-pt shot from 10 ft,2,19-15,,
5:29.0,,,19-18,3,P. Mills makes 3-pt shot from 25 ft
5:05.0,E. Turner makes 2-pt shot from 5 ft,2,21-18,,
4:52.0,,,21-20,2,P. Mills makes 2-pt shot from 21 ft
4:37.0,Personal foul by E. Turner (drawn by P. Mills),,21-20,,
4:37.0,Turnover by E. Turner (turnover),,21-20,,
4:37.0,,,21-20,,T. Parker enters the game for D. Murray
4:37.0,Z. Collins enters the game for C. McCollum,,21-20,,
4:37.0,P. Connaughton enters the game for J. Nurkic,,21-20,,
4:19.0,,,21-20,,R. Gay misses 3-pt shot from 23 ft
4:16.0,Defensive rebound by Z. Collins,,21-20,,
4:09.0,E. Turner makes 2-pt shot from 1 ft,2,23-20,,
3:52.0,,,23-22,2,D. Green makes 2-pt shot from 1 ft
3:43.0,D. Lillard misses 3-pt shot from 25 ft,,23-22,,
3:41.0,,,23-22,,Defensive rebound by D. Green
3:30.0,,,23-24,2,L. Aldridge makes 2-pt shot from 16 ft
3:11.0,D. Lillard makes 3-pt shot from 25 ft (assist by E. Turner),3,26-24,,
2:49.0,,,26-26,2,L. Aldridge makes 2-pt shot from 12 ft
2:48.0,Portland full timeout,,26-26,,
2:48.0,,,26-26,,P. Gasol enters the game for P. Mills
2:48.0,,,26-26,,M. Ginobili enters the game for L. Aldridge
2:48.0,S. Napier enters the game for E. Turner,,26-26,,
2:48.0,M. Leonard enters the game for A. Aminu,,26-26,,
2:32.0,,,26-26,,Personal foul by P. Gasol (drawn by M. Leonard)
2:24.0,Z. Collins misses 3-pt shot from 23 ft,,26-26,,
2:20.0,Offensive rebound by D. Lillard,,26-26,,
2:19.0,Z. Collins makes 2-pt shot at rim (assist by D. Lillard),2,28-26,,
2:03.0,,,28-28,2,R. Gay makes 2-pt shot from 11 ft
1:46.0,D. Lillard makes 2-pt shot from 10 ft,2,30-28,,
1:25.0,,,30-28,,R. Gay misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by Team,,30-28,,
1:07.0,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard),3,33-28,,
0:45.0,,,33-30,2,D. Green makes 2-pt shot from 17 ft
0:31.0,D. Lillard misses 2-pt shot from 20 ft,,33-30,,
0:27.0,,,33-30,,Defensive rebound by D. Green
0:12.0,,,33-32,2,P. Gasol makes 2-pt shot at rim (assist by R. Gay)
0:04.0,Turnover by D. Lillard (lost ball; steal by D. Green),,33-32,,
0:00.0,,,33-32,,R. Gay misses 2-pt shot at rim
0:00.0,Defensive rebound by M. Leonard,,33-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Leonard misses 2-pt shot from 9 ft,,33-32,,
11:42.0,,,33-32,,Defensive rebound by D. Green
11:37.0,,,33-32,,Turnover by T. Parker (turnover)
11:18.0,Turnover by Z. Collins (bad pass; steal by P. Gasol),,33-32,,
11:13.0,,,33-32,,Shooting foul by M. Leonard (drawn by T. Parker)
11:13.0,,,33-33,1,T. Parker makes free throw 1 of 2
11:13.0,,,33-34,1,T. Parker makes free throw 2 of 2
10:52.0,C. McCollum misses 3-pt shot from 24 ft,,33-34,,
10:49.0,,,33-34,,Defensive rebound by T. Parker
