time,Phoenix,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Chandler (D. Bender gains possession),,,,Jump ball: S. Adams vs. T. Chandler (D. Bender gains possession)
11:45.0,D. Booker makes 3-pt shot from 25 ft (assist by E. Payton),3,3-0,,
11:31.0,,,3-0,,C. Anthony misses 2-pt shot from 15 ft
11:28.0,Defensive rebound by E. Payton,,3-0,,
11:09.0,J. Jackson misses 2-pt shot from 19 ft,,3-0,,
11:06.0,,,3-0,,Defensive rebound by C. Anthony
10:59.0,,,3-0,,C. Brewer misses 3-pt shot from 23 ft
10:56.0,Defensive rebound by D. Bender,,3-0,,
10:51.0,D. Booker misses 3-pt shot from 26 ft,,3-0,,
10:49.0,,,3-0,,Defensive rebound by R. Westbrook
10:45.0,,,3-2,2,R. Westbrook makes 2-pt shot from 19 ft
10:22.0,E. Payton misses 3-pt shot from 25 ft (block by P. George),,3-2,,
10:19.0,,,3-2,,Defensive rebound by R. Westbrook
10:16.0,,,3-2,,Turnover by P. George (bad pass; steal by D. Booker)
10:12.0,Shooting foul by C. Anthony (drawn by J. Jackson),,3-2,,
10:12.0,J. Jackson makes free throw 1 of 2,1,4-2,,
10:12.0,J. Jackson makes free throw 2 of 2,1,5-2,,
10:02.0,,,5-4,2,P. George makes 2-pt shot at rim
9:50.0,J. Jackson misses 3-pt shot from 23 ft,,5-4,,
9:48.0,,,5-4,,Defensive rebound by C. Anthony
9:34.0,,,5-4,,P. George misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by J. Jackson,,5-4,,
9:24.0,D. Bender makes 3-pt shot from 23 ft (assist by J. Jackson),3,8-4,,
9:08.0,,,8-4,,P. George misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by D. Booker,,8-4,,
8:57.0,D. Booker makes 2-pt shot from 23 ft,2,10-4,,
8:40.0,,,10-6,2,S. Adams makes 2-pt shot from 1 ft
8:33.0,Offensive foul by T. Chandler (drawn by P. George),,10-6,,
8:33.0,Turnover by T. Chandler (offensive foul),,10-6,,
8:23.0,,,10-6,,C. Brewer misses 2-pt shot from 1 ft
8:21.0,Defensive rebound by D. Booker,,10-6,,
8:15.0,Turnover by D. Booker (bad pass; steal by C. Brewer),,10-6,,
8:00.0,,,10-6,,C. Brewer misses 2-pt shot from 1 ft
7:58.0,,,10-6,,Offensive rebound by S. Adams
7:55.0,,,10-8,2,S. Adams makes 2-pt shot at rim
7:45.0,E. Payton makes 2-pt shot from 16 ft,2,12-8,,
7:33.0,,,12-8,,Turnover by C. Anthony (out of bounds lost ball)
7:18.0,J. Jackson makes 2-pt shot from 16 ft,2,14-8,,
6:57.0,,,14-8,,R. Westbrook misses 2-pt shot from 10 ft
6:56.0,,,14-8,,Offensive rebound by S. Adams
6:54.0,,,14-8,,Oklahoma City full timeout
6:47.0,,,14-10,2,R. Westbrook makes 2-pt shot from 20 ft (assist by P. George)
6:31.0,D. Booker makes 3-pt shot from 24 ft (assist by E. Payton),3,17-10,,
6:21.0,,,17-10,,Offensive foul by P. George (drawn by J. Jackson)
6:21.0,,,17-10,,Turnover by P. George (offensive foul)
6:12.0,E. Payton misses 2-pt shot at rim,,17-10,,
6:08.0,Offensive rebound by J. Jackson,,17-10,,
6:08.0,J. Jackson misses 2-pt shot at rim,,17-10,,
6:07.0,,,17-10,,Defensive rebound by P. George
6:03.0,,,17-13,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
5:42.0,Turnover by E. Payton (bad pass; steal by C. Anthony),,17-13,,
5:32.0,,,17-15,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
5:14.0,D. Booker misses 3-pt shot from 24 ft,,17-15,,
5:12.0,,,17-15,,Defensive rebound by S. Adams
4:56.0,Personal foul by E. Payton (drawn by P. George),,17-15,,
4:56.0,A. Len enters the game for T. Chandler,,17-15,,
4:56.0,T. Daniels enters the game for D. Booker,,17-15,,
