time,Philadelphia,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Nurkic vs. J. Embiid (S. Napier gains possession),,,,Jump ball: J. Nurkic vs. J. Embiid (S. Napier gains possession)
11:38.0,,,0-0,,Turnover by S. Napier (bad pass; steal by D. Saric)
11:36.0,Turnover by D. Saric (traveling),,0-0,,
11:29.0,,,0-0,,J. Nurkic misses 2-pt shot from 22 ft
11:26.0,Defensive rebound by J. Embiid,,0-0,,
11:14.0,B. Simmons misses 2-pt shot from 14 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by A. Aminu
10:59.0,,,0-0,,E. Turner misses 2-pt shot from 12 ft
10:57.0,Defensive rebound by J. Embiid,,0-0,,
10:47.0,J. Embiid makes 3-pt shot from 24 ft (assist by R. Covington),3,3-0,,
10:28.0,,,3-2,2,C. McCollum makes 2-pt shot from 17 ft (assist by E. Turner)
10:16.0,D. Saric makes 3-pt shot from 25 ft (assist by B. Simmons),3,6-2,,
9:58.0,Jump ball: J. Nurkic vs. R. Covington (S. Napier gains possession),,,,Jump ball: J. Nurkic vs. R. Covington (S. Napier gains possession)
9:53.0,,,6-2,,C. McCollum misses 2-pt shot from 7 ft
9:47.0,,,6-2,,Offensive rebound by J. Nurkic
9:47.0,,,6-2,,J. Nurkic misses 2-pt shot at rim
9:46.0,Defensive rebound by D. Saric,,6-2,,
9:39.0,J. Redick makes 2-pt shot from 21 ft,2,8-2,,
9:27.0,,,8-2,,Shooting foul by J. Embiid (drawn by J. Nurkic)
9:27.0,,,8-3,1,J. Nurkic makes free throw 1 of 2
9:27.0,,,8-4,1,J. Nurkic makes free throw 2 of 2
9:12.0,B. Simmons misses 2-pt shot from 3 ft,,8-4,,
9:10.0,Offensive rebound by B. Simmons,,8-4,,
9:02.0,J. Embiid misses 3-pt shot from 24 ft,,8-4,,
9:01.0,,,8-4,,Defensive rebound by J. Nurkic
8:52.0,,,8-4,,J. Nurkic misses 2-pt shot from 2 ft (block by J. Embiid)
8:50.0,Defensive rebound by B. Simmons,,8-4,,
8:46.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,10-4,,
8:26.0,,,10-6,2,J. Nurkic makes 2-pt shot from 1 ft (assist by S. Napier)
8:09.0,J. Embiid makes 3-pt shot from 24 ft (assist by B. Simmons),3,13-6,,
7:52.0,,,13-8,2,C. McCollum makes 2-pt shot from 22 ft
7:45.0,B. Simmons misses 2-pt shot at rim,,13-8,,
7:43.0,,,13-8,,Defensive rebound by A. Aminu
7:29.0,,,13-8,,Shooting foul by R. Covington (drawn by C. McCollum)
7:29.0,,,13-9,1,C. McCollum makes free throw 1 of 2
7:29.0,T. McConnell enters the game for J. Redick,,13-9,,
7:29.0,,,13-10,1,C. McCollum makes free throw 2 of 2
7:17.0,R. Covington misses 2-pt shot from 20 ft,,13-10,,
7:14.0,,,13-10,,Defensive rebound by C. McCollum
7:07.0,,,13-10,,S. Napier misses 3-pt shot from 24 ft
7:04.0,Defensive rebound by T. McConnell,,13-10,,
6:58.0,B. Simmons makes 2-pt shot at rim (assist by T. McConnell),2,15-10,,
6:57.0,,,15-10,,Portland full timeout
6:57.0,,,15-10,,P. Connaughton enters the game for S. Napier
6:57.0,A. Johnson enters the game for J. Embiid,,15-10,,
6:37.0,,,15-10,,J. Nurkic misses 2-pt shot from 1 ft
6:36.0,Defensive rebound by D. Saric,,15-10,,
6:14.0,A. Johnson makes 2-pt shot from 4 ft (assist by B. Simmons),2,17-10,,
5:58.0,,,17-12,2,E. Turner makes 2-pt shot from 15 ft (assist by C. McCollum)
5:42.0,D. Saric makes 2-pt shot from 19 ft (assist by T. McConnell),2,19-12,,
5:23.0,,,19-12,,J. Nurkic misses 2-pt shot from 2 ft
5:21.0,,,19-12,,Offensive rebound by J. Nurkic
5:17.0,,,19-15,3,P. Connaughton makes 3-pt shot from 24 ft (assist by J. Nurkic)
4:57.0,Turnover by D. Saric (lost ball; steal by A. Aminu),,19-15,,
4:48.0,,,19-15,,A. Aminu misses 2-pt shot from 2 ft (block by A. Johnson)
4:48.0,,,19-15,,Offensive rebound by Team
4:48.0,,,19-15,,Z. Collins enters the game for A. Aminu
4:48.0,,,19-15,,E. Davis enters the game for J. Nurkic
4:37.0,,,19-18,3,C. McCollum makes 3-pt shot from 25 ft
4:37.0,Philadelphia full timeout,,19-18,,
4:37.0,J. Embiid enters the game for A. Johnson,,19-18,,
4:27.0,,,19-18,,Personal foul by E. Davis (drawn by J. Embiid)
4:27.0,T. Booker enters the game for D. Saric,,19-18,,
4:27.0,J. Bayless enters the game for B. Simmons,,19-18,,
4:27.0,J. Redick enters the game for R. Covington,,19-18,,
4:27.0,,,19-18,,M. Harkless enters the game for E. Turner
4:16.0,T. Booker makes 2-pt shot from 3 ft (assist by J. Embiid),2,21-18,,
3:48.0,,,21-18,,Z. Collins misses 2-pt shot from 21 ft
3:46.0,,,21-18,,Offensive rebound by C. McCollum
3:44.0,,,21-18,,C. McCollum misses 2-pt shot from 17 ft
3:40.0,Defensive rebound by T. Booker,,21-18,,
3:34.0,J. Redick misses 3-pt shot from 28 ft,,21-18,,
3:33.0,,,21-18,,Defensive rebound by P. Connaughton
3:25.0,,,21-20,2,E. Davis makes 2-pt shot from 3 ft (assist by M. Harkless)
3:02.0,,,21-20,,Personal foul by M. Harkless (drawn by J. Embiid)
2:49.0,Turnover by J. Embiid (out of bounds lost ball),,21-20,,
2:29.0,,,21-22,2,C. McCollum makes 2-pt shot from 19 ft
2:10.0,Shooting foul by E. Davis (drawn by J. Embiid),,21-22,,
2:10.0,J. Embiid makes free throw 1 of 2,1,22-22,,
2:10.0,J. Embiid makes free throw 2 of 2,1,23-22,,
