time,Chicago,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. R. Lopez (O. White gains possession),,,,Jump ball: H. Whiteside vs. R. Lopez (O. White gains possession)
11:40.0,,,0-0,,Turnover by J. Richardson (bad pass; steal by L. Markkanen)
11:26.0,J. Holiday misses 2-pt shot from 10 ft,,0-0,,
11:22.0,Offensive rebound by R. Lopez,,0-0,,
11:20.0,R. Lopez makes 2-pt shot from 1 ft,2,2-0,,
11:02.0,,,2-0,,H. Whiteside misses 2-pt shot from 6 ft
10:58.0,Defensive rebound by R. Lopez,,2-0,,
10:52.0,R. Lopez misses 2-pt shot from 19 ft,,2-0,,
10:49.0,,,2-0,,Defensive rebound by H. Whiteside
10:43.0,,,2-0,,G. Dragic misses 3-pt shot from 25 ft
10:41.0,Defensive rebound by L. Markkanen,,2-0,,
10:28.0,L. Markkanen misses 2-pt shot from 13 ft,,2-0,,
10:26.0,,,2-0,,Defensive rebound by H. Whiteside
10:16.0,,,2-0,,J. Richardson misses 3-pt shot from 23 ft
10:13.0,,,2-0,,Offensive rebound by H. Whiteside
10:11.0,,,2-2,2,H. Whiteside makes 2-pt shot from 1 ft
9:57.0,R. Lopez misses 2-pt shot from 19 ft,,2-2,,
9:53.0,,,2-2,,Defensive rebound by H. Whiteside
9:46.0,,,2-2,,G. Dragic misses 2-pt shot from 1 ft
9:42.0,Defensive rebound by J. Grant,,2-2,,
9:31.0,,,2-2,,Personal foul by G. Dragic (drawn by J. Grant)
9:15.0,J. Holiday misses 3-pt shot from 25 ft,,2-2,,
9:13.0,,,2-2,,Defensive rebound by O. White
9:06.0,,,2-2,,H. Whiteside misses 2-pt shot from 18 ft
9:00.0,Defensive rebound by D. Nwaba,,2-2,,
8:43.0,Shooting foul by O. White (drawn by L. Markkanen),,2-2,,
8:43.0,L. Markkanen makes free throw 1 of 3,1,3-2,,
8:43.0,L. Markkanen misses free throw 2 of 3,,3-2,,
8:43.0,Offensive rebound by Team,,3-2,,
8:43.0,L. Markkanen makes free throw 3 of 3,1,4-2,,
8:25.0,,,4-5,3,J. Richardson makes 3-pt shot from 25 ft (assist by D. Waiters)
8:13.0,J. Holiday misses 2-pt shot from 22 ft,,4-5,,
8:11.0,,,4-5,,Defensive rebound by H. Whiteside
8:03.0,,,4-5,,D. Waiters misses 2-pt shot from 9 ft
8:00.0,Defensive rebound by L. Markkanen,,4-5,,
7:54.0,J. Holiday misses 3-pt shot from 23 ft,,4-5,,
7:50.0,,,4-5,,Defensive rebound by H. Whiteside
7:44.0,,,4-5,,Turnover by D. Waiters (lost ball; steal by D. Nwaba)
7:29.0,R. Lopez misses 2-pt shot from 6 ft,,4-5,,
7:27.0,,,4-5,,Defensive rebound by H. Whiteside
7:22.0,Personal foul by J. Grant (drawn by H. Whiteside),,4-5,,
7:15.0,,,4-7,2,D. Waiters makes 2-pt shot from 14 ft (assist by G. Dragic)
6:56.0,D. Nwaba misses 2-pt shot from 1 ft,,4-7,,
6:54.0,,,4-7,,Defensive rebound by H. Whiteside
6:51.0,Personal foul by D. Nwaba (drawn by G. Dragic),,4-7,,
6:51.0,,,4-7,,Miami full timeout
6:44.0,,,4-9,2,G. Dragic makes 2-pt shot from 1 ft (assist by H. Whiteside)
6:28.0,R. Lopez makes 2-pt shot from 4 ft (assist by J. Grant),2,6-9,,
6:05.0,,,6-12,3,G. Dragic makes 3-pt shot from 23 ft (assist by D. Waiters)
5:48.0,J. Grant misses 2-pt shot from 17 ft,,6-12,,
5:44.0,,,6-12,,Defensive rebound by J. Richardson
5:37.0,,,6-15,3,H. Whiteside makes 3-pt shot from 25 ft (assist by D. Waiters)
5:05.0,R. Lopez misses 2-pt shot from 9 ft,,6-15,,
5:03.0,,,6-15,,Defensive rebound by O. White
4:58.0,,,6-18,3,O. White makes 3-pt shot from 25 ft (assist by D. Waiters)
4:57.0,Chicago full timeout,,6-18,,
4:57.0,,,6-18,,T. Johnson enters the game for J. Richardson
4:57.0,D. Valentine enters the game for D. Nwaba,,6-18,,
4:57.0,K. Dunn enters the game for J. Grant,,6-18,,
4:41.0,L. Markkanen misses 3-pt shot from 24 ft,,6-18,,
4:38.0,,,6-18,,Defensive rebound by H. Whiteside
4:22.0,,,6-20,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
4:08.0,D. Valentine makes 3-pt shot from 25 ft (assist by J. Holiday),3,9-20,,
3:47.0,,,9-20,,D. Waiters misses 3-pt shot from 26 ft
3:43.0,Defensive rebound by L. Markkanen,,9-20,,
3:35.0,Turnover by K. Dunn (bad pass; steal by H. Whiteside),,9-20,,
3:29.0,,,9-20,,O. White misses 2-pt shot from 1 ft
3:25.0,Defensive rebound by L. Markkanen,,9-20,,
3:19.0,J. Holiday misses 3-pt shot from 23 ft,,9-20,,
3:16.0,,,9-20,,Defensive rebound by D. Waiters
2:57.0,,,9-22,2,G. Dragic makes 2-pt shot from 15 ft
2:33.0,L. Markkanen makes 2-pt shot from 19 ft (assist by R. Lopez),2,11-22,,
2:14.0,,,11-22,,T. Johnson misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by L. Markkanen,,11-22,,
2:06.0,D. Valentine misses 3-pt shot from 24 ft,,11-22,,
2:06.0,,,11-22,,Defensive rebound by T. Johnson
2:00.0,,,11-22,,Shooting foul by K. Dunn (drawn by D. Waiters)
2:00.0,,,11-23,1,D. Waiters makes free throw 1 of 2
2:00.0,,,11-23,,K. Olynyk enters the game for G. Dragic
2:00.0,,,11-23,,J. Winslow enters the game for O. White
2:00.0,,,11-23,,W. Ellington enters the game for H. Whiteside
2:00.0,P. Zipser enters the game for J. Holiday,,11-23,,
2:00.0,Q. Pondexter enters the game for L. Markkanen,,11-23,,
2:00.0,C. Felicio enters the game for R. Lopez,,11-23,,
2:00.0,,,11-24,1,D. Waiters makes free throw 2 of 2
1:50.0,,,11-24,,Personal block foul by T. Johnson (drawn by K. Dunn)
1:32.0,C. Felicio makes 2-pt shot from 1 ft (assist by P. Zipser),2,13-24,,
1:21.0,,,13-27,3,W. Ellington makes 3-pt shot from 26 ft (assist by D. Waiters)
1:07.0,K. Dunn makes 2-pt shot from 21 ft,2,15-27,,
0:50.0,,,15-27,,J. Richardson enters the game for D. Waiters
0:46.0,Jump ball: T. Johnson vs. K. Dunn (J. Winslow gains possession),,,,Jump ball: T. Johnson vs. K. Dunn (J. Winslow gains possession)
