time,Indiana,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. D. Sabonis (K. Love gains possession),,,,Jump ball: T. Thompson vs. D. Sabonis (K. Love gains possession)
11:50.0,,,0-2,2,L. James makes 2-pt shot at rim (assist by K. Love)
11:50.0,,,0-2,,Shooting foul by B. Bogdanovic (drawn by L. James)
11:50.0,,,0-2,,L. James misses free throw 1 of 1
11:43.0,Defensive rebound by D. Collison,,0-2,,
11:26.0,B. Bogdanovic makes 2-pt shot from 17 ft (assist by D. Collison),2,2-2,,
11:12.0,,,2-2,,L. James misses 3-pt shot from 26 ft
11:09.0,Defensive rebound by D. Sabonis,,2-2,,
10:56.0,D. Collison makes 2-pt shot at rim,2,4-2,,
10:38.0,Personal foul by T. Young (drawn by D. Rose),,4-2,,
10:33.0,,,4-2,,Turnover by J. Smith (bad pass)
10:12.0,T. Young makes 2-pt shot from 4 ft,2,6-2,,
10:02.0,,,6-4,2,D. Rose makes 2-pt shot from 1 ft
9:55.0,Offensive foul by D. Collison (drawn by D. Rose),,6-4,,
9:55.0,Turnover by D. Collison (offensive foul),,6-4,,
9:37.0,,,6-4,,L. James misses 2-pt shot from 1 ft
9:37.0,,,6-4,,Offensive rebound by T. Thompson
9:31.0,,,6-6,2,T. Thompson makes 2-pt shot from 1 ft
9:20.0,T. Young misses 3-pt shot from 25 ft,,6-6,,
9:16.0,,,6-6,,Defensive rebound by K. Love
9:09.0,,,6-8,2,D. Rose makes 2-pt shot from 19 ft
8:56.0,Offensive foul by D. Sabonis (drawn by J. Smith),,6-8,,
8:56.0,Turnover by D. Sabonis (offensive foul),,6-8,,
8:41.0,,,6-8,,K. Love misses 2-pt shot from 9 ft (block by D. Sabonis)
8:41.0,,,6-8,,Offensive rebound by K. Love
8:35.0,,,6-10,2,K. Love makes 2-pt shot from 14 ft
8:23.0,D. Sabonis misses 2-pt shot from 18 ft,,6-10,,
8:23.0,,,6-10,,Defensive rebound by K. Love
8:13.0,,,6-10,,Turnover by J. Smith (bad pass; steal by B. Bogdanovic)
8:08.0,D. Collison makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,8-10,,
