time,Memphis,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. D. Davis (T. Gibson gains possession),,,,Jump ball: K. Towns vs. D. Davis (T. Gibson gains possession)
11:46.0,,,0-2,2,K. Towns makes 2-pt shot at rim (assist by J. Teague)
11:23.0,D. Brooks misses 2-pt shot from 19 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by J. Teague
11:15.0,,,0-4,2,J. Teague makes 2-pt shot from 18 ft
10:53.0,B. McLemore misses 2-pt shot at rim,,0-4,,
10:52.0,Offensive rebound by Team,,0-4,,
10:51.0,B. McLemore makes 2-pt shot from 1 ft (assist by D. Brooks),2,2-4,,
10:34.0,,,2-4,,Turnover by T. Gibson (bad pass)
10:23.0,D. Davis makes 2-pt shot from 17 ft (assist by I. Rabb),2,4-4,,
10:04.0,,,4-4,,J. Teague misses 2-pt shot from 6 ft
10:02.0,,,4-4,,Offensive rebound by T. Gibson
10:00.0,,,4-4,,A. Wiggins misses 3-pt shot from 25 ft
9:57.0,,,4-4,,Offensive rebound by Team
9:51.0,,,4-6,2,A. Wiggins makes 2-pt shot at rim (assist by K. Towns)
9:38.0,D. Brooks misses 3-pt shot from 25 ft,,4-6,,
9:36.0,,,4-6,,Defensive rebound by T. Gibson
9:19.0,,,4-6,,J. Teague misses 3-pt shot from 25 ft
9:15.0,,,4-6,,Offensive rebound by J. Butler
9:15.0,,,4-6,,J. Butler misses 2-pt shot from 1 ft
9:11.0,,,4-6,,Offensive rebound by A. Wiggins
9:02.0,Personal foul by K. Simmons (drawn by J. Butler),,4-6,,
8:52.0,,,4-6,,K. Towns misses 2-pt shot from 7 ft
8:50.0,Defensive rebound by D. Davis,,4-6,,
8:45.0,B. McLemore makes 2-pt shot from 1 ft (assist by K. Simmons),2,6-6,,
8:34.0,,,6-6,,Shooting foul by D. Brooks (drawn by J. Butler)
8:34.0,,,6-6,,J. Butler misses free throw 1 of 2
8:34.0,,,6-6,,Offensive rebound by Team
8:34.0,,,6-7,1,J. Butler makes free throw 2 of 2
8:20.0,D. Davis makes 2-pt shot from 9 ft (assist by B. McLemore),2,8-7,,
8:01.0,,,8-7,,J. Teague misses 2-pt shot from 4 ft (block by D. Davis)
8:01.0,,,8-7,,Offensive rebound by T. Gibson
7:57.0,,,8-7,,T. Gibson misses 2-pt shot at rim
7:56.0,Defensive rebound by I. Rabb,,8-7,,
7:52.0,K. Simmons misses 2-pt shot from 2 ft (block by T. Gibson),,8-7,,
7:47.0,,,8-7,,Defensive rebound by K. Towns
7:36.0,,,8-7,,Shooting foul by D. Davis (drawn by K. Towns)
7:36.0,,,8-8,1,K. Towns makes free throw 1 of 2
7:36.0,,,8-8,,K. Towns misses free throw 2 of 2
7:34.0,Defensive rebound by I. Rabb,,8-8,,
7:20.0,Turnover by D. Brooks (bad pass),,8-8,,
7:02.0,,,8-10,2,J. Teague makes 2-pt shot from 15 ft
6:47.0,Turnover by D. Brooks (bad pass; steal by J. Teague),,8-10,,
6:43.0,,,8-10,,J. Butler misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by B. McLemore,,8-10,,
6:38.0,Memphis full timeout,,8-10,,
6:26.0,Shooting foul by A. Wiggins (drawn by B. McLemore),,8-10,,
6:26.0,B. McLemore makes free throw 1 of 2,1,9-10,,
6:26.0,O. Johnson enters the game for I. Rabb,,9-10,,
6:26.0,B. McLemore makes free throw 2 of 2,1,10-10,,
6:19.0,Personal foul by D. Davis (drawn by K. Towns),,10-10,,
6:19.0,,,10-10,,N. Bjelica enters the game for J. Butler
6:19.0,I. Rabb enters the game for D. Davis,,10-10,,
6:12.0,,,10-10,,K. Towns misses 2-pt shot from 6 ft
6:10.0,Defensive rebound by I. Rabb,,10-10,,
6:03.0,K. Simmons misses 2-pt shot from 18 ft,,10-10,,
6:03.0,Offensive rebound by Team,,10-10,,
6:03.0,,,10-10,,Loose ball foul by K. Towns (drawn by I. Rabb)
6:03.0,M. Brooks enters the game for B. McLemore,,10-10,,
5:59.0,D. Brooks misses 2-pt shot from 16 ft,,10-10,,
5:56.0,Offensive rebound by I. Rabb,,10-10,,
5:54.0,O. Johnson misses 3-pt shot from 24 ft,,10-10,,
5:49.0,,,10-10,,Defensive rebound by K. Towns
5:38.0,,,10-10,,T. Gibson misses 2-pt shot from 1 ft
5:36.0,Defensive rebound by D. Brooks,,10-10,,
5:31.0,M. Brooks misses 2-pt shot from 21 ft,,10-10,,
5:29.0,Offensive rebound by O. Johnson,,10-10,,
5:28.0,O. Johnson makes 2-pt shot at rim,2,12-10,,
5:10.0,,,12-10,,A. Wiggins misses 2-pt shot from 5 ft
5:06.0,,,12-10,,Offensive rebound by A. Wiggins
5:06.0,,,12-10,,A. Wiggins misses 2-pt shot at rim
5:05.0,Defensive rebound by O. Johnson,,12-10,,
5:04.0,Turnover by K. Simmons (bad pass; steal by J. Teague),,12-10,,
4:58.0,,,12-12,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
4:42.0,D. Brooks misses 2-pt shot from 1 ft (block by N. Bjelica),,12-12,,
4:40.0,,,12-12,,Defensive rebound by K. Towns
4:36.0,,,12-14,2,T. Gibson makes 2-pt shot from 1 ft (assist by J. Teague)
4:15.0,D. Brooks misses 2-pt shot from 1 ft (block by K. Towns),,12-14,,
4:15.0,Offensive rebound by Team,,12-14,,
4:15.0,M. Chalmers enters the game for K. Simmons,,12-14,,
4:10.0,M. Brooks misses 3-pt shot from 26 ft,,12-14,,
4:07.0,,,12-14,,Defensive rebound by T. Gibson
4:06.0,,,12-14,,Turnover by T. Gibson (lost ball; steal by M. Chalmers)
4:03.0,D. Brooks makes 2-pt shot from 1 ft (assist by M. Chalmers),2,14-14,,
3:46.0,,,14-14,,Turnover by K. Towns (bad pass)
3:46.0,,,14-14,,G. Dieng enters the game for K. Towns
3:40.0,M. Chalmers makes 2-pt shot at rim,2,16-14,,
3:40.0,Shooting foul by G. Dieng (drawn by M. Chalmers),,16-14,,
3:40.0,,,16-14,,J. Crawford enters the game for T. Gibson
3:40.0,M. Chalmers makes free throw 1 of 1,1,17-14,,
3:26.0,,,17-14,,J. Teague misses 2-pt shot from 4 ft (block by M. Chalmers)
3:23.0,,,17-14,,Offensive rebound by G. Dieng
3:19.0,,,17-14,,J. Teague misses 3-pt shot from 22 ft
3:15.0,Defensive rebound by D. Brooks,,17-14,,
2:54.0,M. Chalmers misses 3-pt shot from 25 ft,,17-14,,
2:51.0,,,17-14,,Defensive rebound by J. Teague
2:45.0,,,17-14,,J. Teague misses 2-pt shot from 1 ft
2:43.0,Defensive rebound by M. Chalmers,,17-14,,
2:38.0,M. Brooks makes 3-pt shot from 23 ft (assist by D. Brooks),3,20-14,,
2:30.0,,,20-14,,A. Wiggins misses 2-pt shot from 2 ft (block by I. Rabb)
2:27.0,Defensive rebound by I. Rabb,,20-14,,
2:23.0,D. Brooks makes 2-pt shot at rim (assist by M. Chalmers),2,22-14,,
2:16.0,,,22-14,,Minnesota full timeout
2:16.0,,,22-14,,T. Jones enters the game for J. Teague
2:16.0,M. Henry enters the game for I. Rabb,,22-14,,
2:16.0,B. McLemore enters the game for D. Brooks,,22-14,,
2:02.0,,,22-14,,T. Jones misses 3-pt shot from 22 ft
1:59.0,Defensive rebound by M. Brooks,,22-14,,
1:50.0,O. Johnson makes 2-pt shot at rim (assist by M. Brooks),2,24-14,,
1:36.0,,,24-16,2,J. Crawford makes 2-pt shot from 20 ft
1:11.0,M. Henry misses 2-pt shot from 1 ft,,24-16,,
1:08.0,Offensive rebound by Team,,24-16,,
1:06.0,M. Henry misses 2-pt shot from 1 ft (block by N. Bjelica),,24-16,,
1:02.0,,,24-16,,Defensive rebound by G. Dieng
0:55.0,Personal foul by M. Henry (drawn by G. Dieng),,24-16,,
0:55.0,,,24-17,1,G. Dieng makes free throw 1 of 2
0:55.0,,,24-17,,G. Dieng misses free throw 2 of 2
0:53.0,,,24-17,,Offensive rebound by G. Dieng
0:49.0,,,24-20,3,G. Dieng makes 3-pt shot from 22 ft (assist by T. Jones)
0:30.0,M. Henry misses 3-pt shot from 25 ft,,24-20,,
0:26.0,,,24-20,,Defensive rebound by G. Dieng
0:06.0,,,24-20,,Turnover by N. Bjelica (lost ball; steal by M. Brooks)
0:02.0,Shooting foul by T. Jones (drawn by M. Brooks),,24-20,,
0:02.0,M. Brooks makes free throw 1 of 2,1,25-20,,
0:02.0,K. Simmons enters the game for M. Henry,,25-20,,
0:02.0,M. Brooks makes free throw 2 of 2,1,26-20,,
0:00.0,,,26-20,,T. Jones misses 3-pt shot from 42 ft
0:00.0,,,26-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,O. Johnson misses 2-pt shot from 19 ft,,26-20,,
11:42.0,Offensive rebound by M. Henry,,26-20,,
11:33.0,K. Simmons misses 3-pt shot from 25 ft,,26-20,,
11:31.0,,,26-20,,Defensive rebound by K. Towns
11:26.0,,,26-20,,Shooting foul by M. Brooks (drawn by D. Rose)
11:26.0,,,26-21,1,D. Rose makes free throw 1 of 2
11:26.0,,,26-22,1,D. Rose makes free throw 2 of 2
11:12.0,M. Henry makes 3-pt shot from 23 ft (assist by M. Brooks),3,29-22,,
11:01.0,,,29-22,,J. Crawford misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by B. McLemore,,29-22,,
10:50.0,B. McLemore makes 2-pt shot from 18 ft,2,31-22,,
10:32.0,,,31-22,,Shooting foul by K. Simmons (drawn by J. Butler)
10:32.0,,,31-22,,J. Butler misses free throw 1 of 2
10:32.0,,,31-22,,Offensive rebound by Team
10:32.0,,,31-23,1,J. Butler makes free throw 2 of 2
10:21.0,B. McLemore makes 2-pt shot from 19 ft (assist by O. Johnson),2,33-23,,
10:03.0,,,33-26,3,D. Rose makes 3-pt shot from 22 ft (assist by J. Butler)
9:49.0,B. McLemore misses 3-pt shot from 24 ft,,33-26,,
9:46.0,,,33-26,,Defensive rebound by J. Crawford
9:28.0,,,33-26,,Turnover by J. Crawford (bad pass; steal by M. Henry)
9:25.0,Shooting foul by T. Jones (drawn by M. Brooks),,33-26,,
9:25.0,M. Brooks makes free throw 1 of 2,1,34-26,,
9:25.0,I. Rabb enters the game for O. Johnson,,34-26,,
9:25.0,M. Brooks makes free throw 2 of 2,1,35-26,,
9:16.0,,,35-28,2,T. Jones makes 2-pt shot from 7 ft
9:02.0,Shooting foul by K. Towns (drawn by I. Rabb),,35-28,,
9:02.0,I. Rabb makes free throw 1 of 2,1,36-28,,
9:02.0,I. Rabb makes free throw 2 of 2,1,37-28,,
8:39.0,,,37-28,,J. Butler misses 2-pt shot from 2 ft
8:35.0,,,37-28,,Offensive rebound by K. Towns
8:35.0,,,37-30,2,K. Towns makes 2-pt shot at rim
8:22.0,M. Henry misses 3-pt shot from 23 ft,,37-30,,
8:19.0,,,37-30,,Defensive rebound by K. Towns
8:14.0,,,37-32,2,J. Butler makes 2-pt shot from 1 ft (assist by T. Jones)
8:04.0,Offensive charge foul by M. Brooks (drawn by J. Butler),,37-32,,
8:04.0,Turnover by M. Brooks (offensive foul),,37-32,,
8:04.0,D. Brooks enters the game for M. Henry,,37-32,,
7:54.0,,,37-34,2,K. Towns makes 2-pt shot from 1 ft (assist by J. Butler)
7:53.0,Memphis full timeout,,37-34,,
7:36.0,M. Brooks misses 2-pt shot from 5 ft,,37-34,,
7:34.0,,,37-34,,Defensive rebound by K. Towns
7:29.0,,,37-34,,J. Crawford misses 2-pt shot from 21 ft
7:28.0,Defensive rebound by I. Rabb,,37-34,,
7:21.0,I. Rabb misses 2-pt shot from 16 ft,,37-34,,
7:17.0,,,37-34,,Defensive rebound by T. Jones
7:09.0,,,37-36,2,K. Towns makes 2-pt shot from 8 ft (assist by J. Crawford)
6:49.0,D. Brooks misses 2-pt shot from 15 ft,,37-36,,
6:46.0,,,37-36,,Defensive rebound by K. Towns
6:37.0,,,37-38,2,J. Butler makes 2-pt shot from 6 ft
6:16.0,Turnover by I. Rabb (bad pass; steal by J. Butler),,37-38,,
6:13.0,,,37-40,2,D. Rose makes 2-pt shot at rim (assist by T. Jones)
5:54.0,,,37-40,,A. Wiggins enters the game for T. Jones
5:54.0,,,37-40,,J. Teague enters the game for J. Crawford
5:54.0,M. Henry enters the game for K. Simmons,,37-40,,
5:54.0,M. Chalmers enters the game for M. Brooks,,37-40,,
5:54.0,D. Davis enters the game for I. Rabb,,37-40,,
5:54.0,,,37-41,1,J. Butler makes technical free throw
5:54.0,,,37-41,,T. Jones enters the game for J. Butler
5:48.0,M. Henry misses 3-pt shot from 26 ft,,37-41,,
5:45.0,,,37-41,,Defensive rebound by K. Towns
5:36.0,,,37-41,,A. Wiggins misses 2-pt shot from 2 ft (block by M. Henry)
5:33.0,,,37-41,,Offensive rebound by K. Towns
5:32.0,,,37-43,2,K. Towns makes 2-pt shot from 1 ft
5:26.0,Shooting foul by K. Towns (drawn by D. Brooks),,37-43,,
5:26.0,D. Brooks makes free throw 1 of 2,1,38-43,,
5:26.0,,,38-43,,G. Dieng enters the game for K. Towns
5:26.0,D. Brooks makes free throw 2 of 2,1,39-43,,
5:03.0,,,39-43,,T. Jones misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by D. Davis,,39-43,,
4:54.0,D. Brooks misses 3-pt shot from 26 ft,,39-43,,
4:52.0,,,39-43,,Defensive rebound by D. Rose
4:46.0,,,39-43,,D. Rose misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by M. Chalmers,,39-43,,
4:39.0,Turnover by M. Chalmers (bad pass; steal by T. Jones),,39-43,,
4:34.0,,,39-43,,D. Rose misses 2-pt shot from 2 ft (block by M. Chalmers)
4:34.0,,,39-43,,Offensive rebound by Team
4:19.0,,,39-43,,A. Wiggins misses 2-pt shot from 5 ft
4:16.0,Defensive rebound by B. McLemore,,39-43,,
4:13.0,B. McLemore misses 2-pt shot at rim,,39-43,,
4:11.0,,,39-43,,Defensive rebound by G. Dieng
4:05.0,,,39-43,,Turnover by T. Jones (bad pass; steal by M. Chalmers)
4:01.0,,,39-43,,Shooting block foul by G. Dieng (drawn by M. Chalmers)
4:01.0,M. Chalmers makes free throw 1 of 2,1,40-43,,
4:01.0,M. Chalmers makes free throw 2 of 2,1,41-43,,
3:54.0,,,41-45,2,J. Teague makes 2-pt shot from 1 ft
3:47.0,,,41-45,,Personal foul by T. Jones (drawn by M. Chalmers)
3:47.0,M. Chalmers makes free throw 1 of 2,1,42-45,,
3:47.0,M. Chalmers makes free throw 2 of 2,1,43-45,,
3:38.0,,,43-47,2,D. Rose makes 2-pt shot from 2 ft (assist by J. Teague)
3:29.0,Memphis full timeout,,43-47,,
3:19.0,M. Henry makes 3-pt shot from 26 ft (assist by D. Brooks),3,46-47,,
3:03.0,,,46-50,3,T. Jones makes 3-pt shot from 23 ft (assist by J. Teague)
2:49.0,D. Brooks makes 2-pt shot from 8 ft,2,48-50,,
2:41.0,,,48-50,,Turnover by J. Teague (bad pass; steal by M. Chalmers)
2:21.0,B. McLemore makes 2-pt shot from 1 ft,2,50-50,,
2:02.0,,,50-50,,G. Dieng misses 2-pt shot from 15 ft
2:02.0,,,50-50,,Offensive rebound by A. Wiggins
2:02.0,,,50-52,2,A. Wiggins makes 2-pt shot from 1 ft
2:02.0,,,50-52,,Shooting foul by D. Brooks (drawn by A. Wiggins)
2:02.0,M. Brooks enters the game for D. Brooks,,50-52,,
2:02.0,,,50-53,1,A. Wiggins makes free throw 1 of 1
1:44.0,D. Davis makes 2-pt shot from 1 ft (assist by M. Chalmers),2,52-53,,
1:31.0,,,52-53,,A. Wiggins misses 3-pt shot from 24 ft
1:29.0,Defensive rebound by M. Chalmers,,52-53,,
1:25.0,Turnover by M. Brooks (lost ball; steal by A. Wiggins),,52-53,,
1:15.0,Personal foul by D. Davis (drawn by J. Teague),,52-53,,
1:15.0,D. Brooks enters the game for M. Henry,,52-53,,
1:15.0,I. Rabb enters the game for D. Davis,,52-53,,
1:00.0,,,52-53,,Turnover by Team (shot clock)
0:53.0,Offensive foul by M. Chalmers (drawn by T. Jones),,52-53,,
0:53.0,Turnover by M. Chalmers (offensive foul),,52-53,,
0:42.0,,,52-53,,J. Teague misses 2-pt shot from 4 ft
0:40.0,Defensive rebound by M. Chalmers,,52-53,,
0:23.0,M. Brooks misses 2-pt shot from 2 ft (block by G. Dieng),,52-53,,
0:22.0,Offensive rebound by Team,,52-53,,
0:21.0,D. Brooks misses 2-pt shot from 13 ft,,52-53,,
0:17.0,,,52-53,,Defensive rebound by A. Wiggins
0:06.0,,,52-56,3,T. Jones makes 3-pt shot from 22 ft (assist by A. Wiggins)
0:00.0,,,52-56,,Personal foul by G. Dieng (drawn by M. Chalmers)
0:00.0,M. Chalmers makes free throw 1 of 2,1,53-56,,
0:00.0,M. Chalmers misses free throw 2 of 2,,53-56,,
0:00.0,,,53-56,,Defensive rebound by T. Jones
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,I. Rabb makes 2-pt shot from 20 ft,2,55-56,,
11:16.0,,,55-56,,J. Butler misses 2-pt shot from 21 ft
11:13.0,Defensive rebound by B. McLemore,,55-56,,
11:05.0,Turnover by K. Simmons (traveling),,55-56,,
10:55.0,,,55-56,,J. Butler misses 2-pt shot from 12 ft
10:54.0,Defensive rebound by I. Rabb,,55-56,,
10:50.0,,,55-56,,Personal take foul by N. Bjelica (drawn by D. Brooks)
10:29.0,K. Simmons misses 2-pt shot from 14 ft (block by J. Teague),,55-56,,
10:29.0,,,55-56,,Defensive rebound by J. Teague
10:23.0,,,55-56,,J. Teague misses 3-pt shot from 24 ft
10:22.0,,,55-56,,Offensive rebound by Team
10:17.0,,,55-59,3,J. Teague makes 3-pt shot from 25 ft (assist by N. Bjelica)
10:17.0,,,55-59,,Shooting foul by K. Simmons (drawn by J. Teague)
10:17.0,,,55-60,1,J. Teague makes free throw 1 of 1
9:53.0,Shooting foul by A. Wiggins (drawn by D. Brooks),,55-60,,
9:53.0,D. Brooks makes free throw 1 of 2,1,56-60,,
9:53.0,D. Brooks makes free throw 2 of 2,1,57-60,,
9:48.0,,,57-60,,Shooting foul by K. Simmons (drawn by J. Butler)
9:48.0,,,57-61,1,J. Butler makes free throw 1 of 2
9:48.0,M. Chalmers enters the game for K. Simmons,,57-61,,
9:48.0,,,57-62,1,J. Butler makes free throw 2 of 2
9:34.0,,,57-62,,Personal foul by A. Wiggins (drawn by D. Brooks)
9:20.0,Turnover by D. Brooks (lost ball; steal by A. Wiggins),,57-62,,
9:17.0,,,57-62,,Shooting foul by D. Davis (drawn by J. Butler)
9:17.0,,,57-63,1,J. Butler makes free throw 1 of 2
9:17.0,M. Brooks enters the game for D. Davis,,57-63,,
9:17.0,,,57-64,1,J. Butler makes free throw 2 of 2
8:55.0,M. Chalmers misses 2-pt shot from 7 ft,,57-64,,
8:52.0,,,57-64,,Defensive rebound by N. Bjelica
8:51.0,Personal foul by M. Chalmers (drawn by J. Teague),,57-64,,
8:41.0,,,57-64,,Offensive charge foul by J. Teague (drawn by M. Chalmers)
8:41.0,,,57-64,,Turnover by J. Teague (offensive foul)
8:28.0,Turnover by I. Rabb (lost ball; steal by J. Teague),,57-64,,
8:21.0,Personal foul by M. Chalmers (drawn by J. Teague),,57-64,,
8:21.0,,,57-65,1,J. Teague makes free throw 1 of 2
8:21.0,,,57-66,1,J. Teague makes free throw 2 of 2
8:11.0,B. McLemore misses 3-pt shot from 25 ft,,57-66,,
8:07.0,,,57-66,,Defensive rebound by K. Towns
7:55.0,,,57-66,,Turnover by J. Butler (bad pass; steal by D. Brooks)
7:55.0,,,57-66,,Personal foul by K. Towns (drawn by D. Brooks)
7:55.0,,,57-66,,G. Dieng enters the game for K. Towns
7:43.0,M. Brooks misses 2-pt shot from 5 ft,,57-66,,
7:38.0,Offensive rebound by I. Rabb,,57-66,,
7:38.0,I. Rabb makes 2-pt shot at rim,2,59-66,,
7:33.0,Personal foul by M. Brooks (drawn by J. Teague),,59-66,,
7:33.0,,,59-67,1,J. Teague makes free throw 1 of 2
7:33.0,,,59-68,1,J. Teague makes free throw 2 of 2
7:24.0,B. McLemore makes 2-pt shot from 2 ft (assist by M. Chalmers),2,61-68,,
7:04.0,,,61-70,2,A. Wiggins makes 2-pt shot at rim (assist by J. Teague)
6:46.0,D. Brooks makes 2-pt shot from 21 ft,2,63-70,,
6:29.0,,,63-70,,Turnover by J. Teague (lost ball; steal by M. Chalmers)
6:24.0,M. Chalmers misses 2-pt shot from 1 ft,,63-70,,
6:22.0,Offensive rebound by D. Brooks,,63-70,,
6:10.0,I. Rabb misses 2-pt shot from 20 ft,,63-70,,
6:09.0,,,63-70,,Defensive rebound by Team
6:09.0,,,63-70,,Minnesota full timeout
6:09.0,,,63-70,,D. Rose enters the game for J. Butler
6:09.0,M. Henry enters the game for M. Chalmers,,63-70,,
6:09.0,O. Johnson enters the game for B. McLemore,,63-70,,
5:57.0,,,63-72,2,J. Teague makes 2-pt shot at rim
5:40.0,M. Brooks misses 2-pt shot from 13 ft,,63-72,,
5:37.0,,,63-72,,Defensive rebound by G. Dieng
5:27.0,,,63-75,3,G. Dieng makes 3-pt shot from 22 ft (assist by D. Rose)
5:05.0,I. Rabb makes 2-pt shot from 1 ft (assist by M. Henry),2,65-75,,
4:49.0,,,65-75,,Turnover by J. Teague (bad pass)
4:37.0,M. Brooks makes 2-pt shot from 7 ft,2,67-75,,
4:22.0,Personal foul by M. Henry (drawn by G. Dieng),,67-75,,
4:22.0,,,67-76,1,G. Dieng makes free throw 1 of 2
4:22.0,,,67-77,1,G. Dieng makes free throw 2 of 2
4:06.0,D. Brooks misses 2-pt shot from 22 ft,,67-77,,
4:05.0,Offensive rebound by O. Johnson,,67-77,,
4:05.0,Turnover by O. Johnson (bad pass),,67-77,,
3:55.0,,,67-77,,Turnover by D. Rose (bad pass; steal by D. Brooks)
3:49.0,M. Brooks makes 2-pt shot from 1 ft (assist by D. Brooks),2,69-77,,
3:41.0,,,69-79,2,J. Teague makes 2-pt shot at rim
3:32.0,I. Rabb makes 2-pt shot from 1 ft (assist by M. Brooks),2,71-79,,
3:31.0,,,71-79,,Minnesota full timeout
3:31.0,B. McLemore enters the game for D. Brooks,,71-79,,
3:18.0,,,71-81,2,G. Dieng makes 2-pt shot at rim (assist by N. Bjelica)
2:58.0,M. Brooks misses 2-pt shot from 5 ft (block by A. Wiggins),,71-81,,
2:56.0,,,71-81,,Defensive rebound by A. Wiggins
2:47.0,,,71-81,,D. Rose misses 3-pt shot from 22 ft
2:44.0,Defensive rebound by B. McLemore,,71-81,,
2:30.0,B. McLemore makes 2-pt shot from 2 ft (assist by M. Brooks),2,73-81,,
2:11.0,,,73-83,2,D. Rose makes 2-pt shot from 7 ft (assist by J. Teague)
1:44.0,I. Rabb makes 2-pt shot from 18 ft (assist by M. Henry),2,75-83,,
1:30.0,,,75-83,,N. Bjelica misses 3-pt shot from 26 ft
1:28.0,,,75-83,,Offensive rebound by N. Bjelica
1:23.0,,,75-83,,A. Wiggins misses 2-pt shot from 16 ft
1:20.0,Defensive rebound by B. McLemore,,75-83,,
1:14.0,Turnover by M. Brooks (bad pass),,75-83,,
1:14.0,,,75-83,,J. Crawford enters the game for J. Teague
1:14.0,,,75-83,,T. Jones enters the game for D. Rose
1:14.0,D. Brooks enters the game for I. Rabb,,75-83,,
1:02.0,,,75-83,,Turnover by A. Wiggins (lost ball; steal by M. Henry)
0:52.0,M. Henry misses 2-pt shot from 2 ft,,75-83,,
0:51.0,,,75-83,,Defensive rebound by N. Bjelica
0:34.0,,,75-83,,T. Jones misses 3-pt shot from 22 ft
0:31.0,Defensive rebound by M. Henry,,75-83,,
0:13.0,M. Brooks misses 2-pt shot from 7 ft,,75-83,,
0:11.0,,,75-83,,Defensive rebound by N. Bjelica
0:02.0,,,75-83,,A. Wiggins misses 3-pt shot from 25 ft
0:00.0,,,75-83,,Offensive rebound by N. Bjelica
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
