time,Memphis,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Gasol (J. Martin gains possession),,,,Jump ball: N. Noel vs. M. Gasol (J. Martin gains possession)
11:48.0,,,0-0,,Personal foul by W. Matthews (drawn by M. Gasol)
11:38.0,M. Conley misses 2-pt shot from 18 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by H. Barnes
11:24.0,Personal foul by A. Harrison (drawn by W. Matthews),,0-0,,
11:11.0,,,0-0,,D. Nowitzki misses 3-pt shot from 25 ft
11:07.0,Defensive rebound by J. Ennis,,0-0,,
10:57.0,M. Gasol misses 2-pt shot from 5 ft,,0-0,,
10:54.0,,,0-0,,Defensive rebound by D. Nowitzki
10:44.0,,,0-3,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Smith)
10:20.0,M. Conley makes 3-pt shot from 26 ft (assist by A. Harrison),3,3-3,,
10:01.0,,,3-3,,W. Matthews misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by J. Ennis,,3-3,,
9:41.0,M. Gasol misses 3-pt shot from 24 ft,,3-3,,
9:37.0,,,3-3,,Defensive rebound by W. Matthews
9:27.0,,,3-6,3,D. Smith makes 3-pt shot from 25 ft (assist by N. Noel)
9:10.0,M. Gasol makes 2-pt shot from 8 ft,2,5-6,,
8:50.0,,,5-6,,Turnover by H. Barnes (lost ball; steal by J. Ennis)
8:46.0,J. Ennis makes 2-pt shot from 1 ft (assist by J. Martin),2,7-6,,
8:30.0,,,7-8,2,N. Noel makes 2-pt shot from 5 ft (assist by H. Barnes)
8:16.0,J. Ennis misses 2-pt shot from 18 ft,,7-8,,
8:14.0,,,7-8,,Defensive rebound by H. Barnes
8:08.0,,,7-8,,D. Smith misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by M. Conley,,7-8,,
7:58.0,M. Conley misses 2-pt shot from 4 ft,,7-8,,
7:56.0,,,7-8,,Defensive rebound by D. Nowitzki
7:44.0,,,7-8,,Shooting foul by M. Conley (drawn by W. Matthews)
7:44.0,,,7-9,1,W. Matthews makes free throw 1 of 2
7:44.0,,,7-10,1,W. Matthews makes free throw 2 of 2
7:30.0,A. Harrison misses 3-pt shot from 22 ft,,7-10,,
7:28.0,,,7-10,,Defensive rebound by Team
7:12.0,,,7-10,,W. Matthews misses 2-pt shot from 20 ft
7:10.0,,,7-10,,Offensive rebound by D. Nowitzki
7:10.0,,,7-12,2,D. Nowitzki makes 2-pt shot from 1 ft
7:10.0,,,7-12,,Shooting foul by A. Harrison (drawn by D. Nowitzki)
7:10.0,M. Chalmers enters the game for A. Harrison,,7-12,,
7:10.0,,,7-13,1,D. Nowitzki makes free throw 1 of 1
6:59.0,Turnover by J. Martin (bad pass; steal by N. Noel),,7-13,,
6:54.0,,,7-15,2,W. Matthews makes 2-pt shot from 2 ft
6:45.0,Turnover by M. Chalmers (bad pass; steal by W. Matthews),,7-15,,
6:38.0,,,7-17,2,D. Smith makes 2-pt shot from 1 ft
6:32.0,Memphis full timeout,,7-17,,
6:32.0,,,7-17,,D. Harris enters the game for D. Smith
6:32.0,,,7-17,,Y. Ferrell enters the game for D. Nowitzki
6:32.0,D. Brooks enters the game for J. Ennis,,7-17,,
6:16.0,J. Martin misses 2-pt shot from 3 ft (block by N. Noel),,7-17,,
6:13.0,,,7-17,,Defensive rebound by W. Matthews
6:05.0,Def 3 sec tech foul by M. Gasol,,7-17,,
6:05.0,,,7-17,,H. Barnes misses technical free throw
6:05.0,,,7-17,,Offensive rebound by Team
5:51.0,,,7-19,2,D. Harris makes 2-pt shot from 1 ft
5:40.0,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol),3,10-19,,
5:22.0,,,10-19,,D. Harris misses 2-pt shot from 8 ft
5:21.0,Defensive rebound by M. Conley,,10-19,,
5:13.0,M. Gasol misses 3-pt shot from 25 ft,,10-19,,
5:12.0,,,10-19,,Defensive rebound by Team
4:50.0,,,10-19,,Shooting foul by D. Brooks (drawn by W. Matthews)
4:50.0,,,10-19,,W. Matthews misses free throw 1 of 2
4:50.0,,,10-19,,Offensive rebound by Team
4:50.0,T. Evans enters the game for J. Martin,,10-19,,
4:50.0,,,10-20,1,W. Matthews makes free throw 2 of 2
4:37.0,M. Chalmers misses 3-pt shot from 23 ft,,10-20,,
4:33.0,M. Gasol makes 2-pt shot at rim,2,12-20,,
4:31.0,Offensive rebound by M. Gasol,,12-20,,
4:12.0,,,12-22,2,W. Matthews makes 2-pt shot from 11 ft
4:03.0,Turnover by D. Brooks (traveling),,12-22,,
4:03.0,J. Ennis enters the game for M. Conley,,12-22,,
3:48.0,,,12-22,,D. Harris misses 2-pt shot from 7 ft
3:45.0,Defensive rebound by T. Evans,,12-22,,
3:38.0,M. Chalmers misses 2-pt shot from 2 ft,,12-22,,
3:35.0,,,12-22,,Defensive rebound by Y. Ferrell
3:27.0,,,12-22,,D. Harris misses 3-pt shot from 23 ft
3:24.0,,,12-22,,Offensive rebound by N. Noel
3:24.0,Personal foul by D. Brooks (drawn by N. Noel),,12-22,,
3:24.0,,,12-23,1,N. Noel makes free throw 1 of 2
3:24.0,,,12-23,,Dallas full timeout
3:24.0,,,12-24,1,N. Noel makes free throw 2 of 2
3:07.0,,,12-24,,Shooting block foul by D. Harris (drawn by M. Gasol)
3:07.0,M. Gasol misses free throw 1 of 2,,12-24,,
3:07.0,Offensive rebound by Team,,12-24,,
3:07.0,,,12-24,,D. Powell enters the game for N. Noel
3:07.0,M. Gasol misses free throw 2 of 2,,12-24,,
3:04.0,,,12-24,,Defensive rebound by H. Barnes
2:50.0,,,12-24,,D. Harris misses 2-pt shot from 20 ft
2:47.0,Defensive rebound by M. Chalmers,,12-24,,
2:45.0,Shooting foul by D. Harris (drawn by J. Ennis),,12-24,,
2:45.0,J. Ennis makes free throw 1 of 2,1,13-24,,
2:45.0,J. Ennis makes free throw 2 of 2,1,14-24,,
2:27.0,,,14-24,,Shooting foul by T. Evans (drawn by D. Harris)
2:27.0,,,14-25,1,D. Harris makes free throw 1 of 2
2:27.0,,,14-25,,D. Harris misses free throw 2 of 2
2:25.0,Defensive rebound by T. Evans,,14-25,,
2:10.0,M. Gasol makes 2-pt shot from 9 ft,2,16-25,,
1:57.0,,,16-25,,H. Barnes misses 2-pt shot from 15 ft
1:54.0,Defensive rebound by M. Chalmers,,16-25,,
1:49.0,Turnover by D. Brooks (bad pass; steal by Y. Ferrell),,16-25,,
1:45.0,,,16-27,2,Y. Ferrell makes 2-pt shot from 5 ft
1:45.0,,,16-27,,Shooting foul by M. Chalmers (drawn by Y. Ferrell)
1:45.0,,,16-27,,J. Barea enters the game for W. Matthews
1:45.0,,,16-27,,D. Nowitzki enters the game for H. Barnes
1:45.0,,,16-28,1,Y. Ferrell makes free throw 1 of 1
1:31.0,Loose ball foul by M. Gasol (drawn by J. Barea),,16-28,,
1:31.0,Turnover by M. Gasol (turnover),,16-28,,
1:31.0,,,16-29,1,J. Barea makes free throw 2 of 2
1:31.0,,,16-29,,J. Barea misses free throw 1 of 2
1:31.0,,,16-29,,Offensive rebound by Team
1:31.0,B. Wright enters the game for M. Gasol,,16-29,,
1:17.0,T. Evans makes 2-pt shot from 6 ft,2,18-29,,
1:07.0,,,18-29,,Shooting foul by T. Evans (drawn by D. Harris)
1:07.0,,,18-29,,D. Harris misses free throw 1 of 2
1:07.0,,,18-29,,Offensive rebound by Team
1:07.0,,,18-30,1,D. Harris makes free throw 2 of 2
0:46.0,B. Wright misses 2-pt shot from 11 ft,,18-30,,
0:44.0,,,18-30,,Defensive rebound by J. Barea
0:33.0,,,18-32,2,D. Nowitzki makes 2-pt shot from 14 ft (assist by J. Barea)
0:15.0,T. Evans misses 2-pt shot from 5 ft,,18-32,,
0:15.0,Offensive rebound by B. Wright,,18-32,,
0:15.0,B. Wright misses 2-pt shot at rim,,18-32,,
0:15.0,Offensive rebound by B. Wright,,18-32,,
0:15.0,,,18-32,,Personal foul by J. Barea (drawn by B. Wright)
0:15.0,,,18-32,,D. Finney-Smith enters the game for D. Nowitzki
0:01.0,Turnover by J. Ennis (bad pass; steal by J. Barea),,18-32,,
0:00.0,,,18-32,,J. Barea misses 3-pt shot from 58 ft
0:00.0,,,18-32,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,18-34,2,D. Nowitzki makes 2-pt shot from 14 ft
11:33.0,Offensive foul by M. Chalmers (drawn by J. Barea),,18-34,,
11:33.0,Turnover by M. Chalmers (offensive foul),,18-34,,
