time,Atlanta,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Plumlee (D. Schroder gains possession),,,,Jump ball: T. Chandler vs. M. Plumlee (D. Schroder gains possession)
11:46.0,Turnover by K. Bazemore (bad pass),,0-0,,
11:25.0,,,0-0,,Shooting foul by M. Plumlee (drawn by M. Chriss)
11:25.0,,,0-1,1,M. Chriss makes free throw 1 of 2
11:25.0,,,0-1,,M. Chriss misses free throw 2 of 2
11:23.0,Defensive rebound by E. Ilyasova,,0-1,,
11:07.0,D. Schroder makes 2-pt shot from 19 ft,2,2-1,,
10:55.0,,,2-1,,Turnover by D. Booker (bad pass)
10:41.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by K. Bazemore),2,4-1,,
10:28.0,,,4-1,,D. Booker misses 2-pt shot from 18 ft
10:26.0,Defensive rebound by K. Bazemore,,4-1,,
10:19.0,D. Schroder makes 2-pt shot from 12 ft,2,6-1,,
9:58.0,,,6-3,2,T. Warren makes 2-pt shot from 1 ft (assist by T. Ulis)
9:50.0,T. Waller-Prince misses 3-pt shot from 26 ft,,6-3,,
9:47.0,,,6-3,,Defensive rebound by M. Chriss
9:37.0,,,6-5,2,D. Booker makes 2-pt shot from 1 ft
9:24.0,K. Bazemore makes 3-pt shot from 25 ft (assist by D. Schroder),3,9-5,,
9:06.0,,,9-5,,M. Chriss misses 2-pt shot from 11 ft
9:04.0,Defensive rebound by T. Waller-Prince,,9-5,,
8:53.0,T. Waller-Prince misses 3-pt shot from 26 ft,,9-5,,
8:48.0,,,9-5,,Defensive rebound by T. Chandler
8:46.0,,,9-5,,Turnover by T. Ulis (bad pass)
8:34.0,E. Ilyasova misses 3-pt shot from 26 ft,,9-5,,
8:31.0,,,9-5,,Defensive rebound by T. Chandler
8:26.0,,,9-5,,Shooting foul by K. Bazemore (drawn by D. Booker)
8:26.0,,,9-6,1,D. Booker makes free throw 1 of 2
8:26.0,,,9-7,1,D. Booker makes free throw 2 of 2
8:13.0,D. Schroder misses 3-pt shot from 26 ft,,9-7,,
8:12.0,,,9-7,,Defensive rebound by T. Chandler
8:04.0,,,9-9,2,T. Warren makes 2-pt shot from 7 ft
7:50.0,T. Waller-Prince misses 2-pt shot from 17 ft,,9-9,,
7:46.0,Offensive rebound by M. Plumlee,,9-9,,
7:40.0,K. Bazemore makes 2-pt shot from 13 ft,2,11-9,,
7:29.0,,,11-9,,T. Chandler misses 2-pt shot from 1 ft
7:29.0,Defensive rebound by M. Plumlee,,11-9,,
