time,Memphis,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Davis (C. Anthony gains possession),,,,Jump ball: S. Adams vs. D. Davis (C. Anthony gains possession)
11:47.0,,,0-0,,Shooting foul by D. Brooks (drawn by S. Adams)
11:47.0,,,0-1,1,S. Adams makes free throw 1 of 2
11:47.0,,,0-1,,S. Adams misses free throw 2 of 2
11:43.0,Defensive rebound by D. Davis,,0-1,,
11:31.0,B. McLemore makes 2-pt shot from 20 ft (assist by I. Rabb),2,2-1,,
11:18.0,,,2-1,,R. Westbrook misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by I. Rabb,,2-1,,
11:07.0,D. Brooks makes 2-pt shot from 1 ft,2,4-1,,
10:56.0,,,4-3,2,P. George makes 2-pt shot from 12 ft
10:41.0,Turnover by D. Davis (bad pass; steal by R. Westbrook),,4-3,,
10:40.0,Personal foul by B. McLemore (drawn by R. Westbrook),,4-3,,
10:27.0,,,4-3,,C. Anthony misses 2-pt shot from 12 ft
10:25.0,Defensive rebound by I. Rabb,,4-3,,
10:14.0,D. Brooks makes 3-pt shot from 24 ft (assist by K. Simmons),3,7-3,,
10:14.0,Shooting foul by P. George (drawn by D. Brooks),,7-3,,
10:14.0,D. Brooks makes free throw 1 of 1,1,8-3,,
9:57.0,,,8-5,2,P. George makes 2-pt shot from 1 ft
9:39.0,I. Rabb misses 2-pt shot from 20 ft,,8-5,,
9:35.0,Offensive rebound by D. Davis,,8-5,,
9:34.0,K. Simmons misses 3-pt shot from 22 ft,,8-5,,
9:30.0,,,8-5,,Defensive rebound by R. Westbrook
9:27.0,,,8-8,3,C. Anthony makes 3-pt shot from 25 ft (assist by R. Westbrook)
9:07.0,B. McLemore makes 2-pt shot from 6 ft (assist by I. Rabb),2,10-8,,
8:56.0,,,10-8,,Shooting foul by D. Davis (drawn by C. Brewer)
8:56.0,,,10-9,1,C. Brewer makes free throw 1 of 2
8:56.0,,,10-9,,C. Brewer misses free throw 2 of 2
8:54.0,Defensive rebound by I. Rabb,,10-9,,
8:40.0,D. Brooks misses 2-pt shot from 2 ft,,10-9,,
8:38.0,Offensive rebound by D. Brooks,,10-9,,
8:38.0,D. Brooks makes 2-pt shot from 1 ft,2,12-9,,
8:20.0,,,12-9,,C. Anthony misses 3-pt shot from 25 ft
8:19.0,,,12-9,,Offensive rebound by R. Westbrook
8:16.0,,,12-9,,C. Brewer misses 3-pt shot from 23 ft
8:12.0,Defensive rebound by D. Davis,,12-9,,
8:06.0,,,12-9,,Personal foul by C. Anthony (drawn by I. Rabb)
7:49.0,B. McLemore makes 3-pt shot from 25 ft (assist by K. Simmons),3,15-9,,
7:40.0,,,15-11,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
7:22.0,I. Rabb makes 2-pt shot from 6 ft (assist by B. McLemore),2,17-11,,
7:08.0,,,17-11,,Turnover by P. George (traveling)
6:59.0,B. McLemore misses 3-pt shot from 25 ft,,17-11,,
6:57.0,,,17-11,,Defensive rebound by P. George
6:44.0,,,17-11,,S. Adams misses 2-pt shot from 6 ft
6:40.0,Defensive rebound by D. Brooks,,17-11,,
6:36.0,D. Brooks misses 2-pt shot from 12 ft,,17-11,,
6:36.0,,,17-11,,Defensive rebound by P. George
6:31.0,,,17-11,,Oklahoma City full timeout
6:31.0,O. Johnson enters the game for I. Rabb,,17-11,,
6:18.0,,,17-14,3,P. George makes 3-pt shot from 24 ft (assist by R. Westbrook)
5:56.0,D. Brooks misses 3-pt shot from 22 ft,,17-14,,
5:53.0,,,17-14,,Defensive rebound by R. Westbrook
5:48.0,,,17-14,,C. Brewer misses 2-pt shot from 1 ft (block by D. Davis)
5:45.0,,,17-14,,Offensive rebound by C. Brewer
5:44.0,,,17-17,3,P. George makes 3-pt shot from 24 ft (assist by C. Brewer)
5:31.0,D. Brooks misses 2-pt shot from 3 ft,,17-17,,
5:29.0,,,17-17,,Defensive rebound by C. Anthony
5:27.0,,,17-19,2,C. Brewer makes 2-pt shot at rim (assist by C. Anthony)
5:17.0,Memphis full timeout,,17-19,,
5:17.0,M. Brooks enters the game for D. Brooks,,17-19,,
5:12.0,,,17-19,,Personal foul by C. Brewer (drawn by B. McLemore)
5:00.0,Turnover by M. Brooks (bad pass),,17-19,,
4:52.0,,,17-21,2,C. Brewer makes 2-pt shot from 2 ft (assist by R. Westbrook)
4:40.0,D. Davis makes 2-pt shot from 13 ft (assist by M. Brooks),2,19-21,,
4:27.0,,,19-24,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
4:04.0,K. Simmons makes 2-pt shot at rim,2,21-24,,
3:56.0,,,21-24,,Shooting foul by K. Simmons (drawn by R. Westbrook)
3:56.0,,,21-24,,R. Westbrook misses free throw 1 of 2
3:56.0,,,21-24,,Offensive rebound by Team
3:56.0,,,21-24,,T. Ferguson enters the game for P. George
3:56.0,I. Rabb enters the game for D. Davis,,21-24,,
3:56.0,,,21-25,1,R. Westbrook makes free throw 2 of 2
3:46.0,K. Simmons misses 3-pt shot from 24 ft,,21-25,,
3:42.0,Offensive rebound by M. Brooks,,21-25,,
3:41.0,M. Brooks makes 2-pt shot from 9 ft,2,23-25,,
3:29.0,,,23-25,,Shooting foul by I. Rabb (drawn by S. Adams)
3:29.0,,,23-26,1,S. Adams makes free throw 1 of 2
3:29.0,,,23-27,1,S. Adams makes free throw 2 of 2
3:13.0,Turnover by K. Simmons (bad pass; steal by R. Westbrook),,23-27,,
3:08.0,,,23-29,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
2:49.0,M. Brooks misses 2-pt shot from 23 ft,,23-29,,
2:47.0,,,23-29,,Defensive rebound by R. Westbrook
2:45.0,,,23-31,2,C. Brewer makes 2-pt shot at rim (assist by R. Westbrook)
2:30.0,Turnover by K. Simmons (bad pass; steal by C. Brewer),,23-31,,
2:25.0,,,23-31,,Shooting foul by O. Johnson (drawn by S. Adams)
2:25.0,,,23-32,1,S. Adams makes free throw 1 of 2
2:25.0,,,23-32,,R. Felton enters the game for R. Westbrook
2:25.0,M. Chalmers enters the game for K. Simmons,,23-32,,
2:25.0,,,23-33,1,S. Adams makes free throw 2 of 2
2:25.0,D. Brooks enters the game for B. McLemore,,23-33,,
2:12.0,O. Johnson makes 2-pt shot from 8 ft,2,25-33,,
1:47.0,,,25-35,2,C. Anthony makes 2-pt shot from 12 ft
1:29.0,M. Brooks misses 2-pt shot from 21 ft,,25-35,,
1:27.0,,,25-35,,Defensive rebound by S. Adams
1:13.0,,,25-37,2,S. Adams makes 2-pt shot from 1 ft
0:58.0,M. Chalmers misses 3-pt shot from 25 ft,,25-37,,
0:56.0,,,25-37,,Defensive rebound by S. Adams
0:51.0,,,25-37,,Turnover by C. Brewer (bad pass; steal by O. Johnson)
0:47.0,D. Brooks makes 2-pt shot from 13 ft,2,27-37,,
