time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. A. Drummond (T. Harris gains possession),,,,Jump ball: T. Thompson vs. A. Drummond (T. Harris gains possession)
11:41.0,T. Harris makes 2-pt shot from 6 ft (assist by I. Smith),2,2-0,,
11:17.0,,,2-2,2,L. James makes 2-pt shot at rim
11:00.0,,,2-2,,Shooting block foul by T. Thompson (drawn by A. Drummond)
11:00.0,A. Drummond makes free throw 1 of 2,1,3-2,,
11:00.0,A. Drummond makes free throw 2 of 2,1,4-2,,
10:52.0,,,4-2,,Turnover by L. James (bad pass)
10:39.0,A. Tolliver makes 3-pt shot from 23 ft (assist by T. Harris),3,7-2,,
10:25.0,,,7-4,2,K. Love makes 2-pt shot from 17 ft
10:10.0,A. Tolliver makes 3-pt shot from 26 ft (assist by A. Drummond),3,10-4,,
9:59.0,,,10-4,,J. Smith misses 3-pt shot from 23 ft
9:57.0,Defensive rebound by T. Harris,,10-4,,
9:51.0,R. Bullock misses 3-pt shot from 22 ft,,10-4,,
9:48.0,,,10-4,,Defensive rebound by J. Smith
9:42.0,,,10-6,2,K. Love makes 2-pt shot at rim (assist by L. James)
9:21.0,A. Tolliver misses 3-pt shot from 25 ft,,10-6,,
9:18.0,,,10-6,,Defensive rebound by T. Thompson
9:08.0,,,10-8,2,I. Thomas makes 2-pt shot from 19 ft
8:55.0,Turnover by I. Smith (bad pass),,10-8,,
8:35.0,,,10-11,3,K. Love makes 3-pt shot from 24 ft (assist by I. Thomas)
8:13.0,T. Harris misses 3-pt shot from 25 ft,,10-11,,
8:09.0,,,10-11,,Defensive rebound by L. James
8:06.0,,,10-13,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
7:57.0,Detroit full timeout,,10-13,,
7:45.0,T. Harris makes 2-pt shot from 8 ft,2,12-13,,
7:22.0,,,12-15,2,T. Thompson makes 2-pt shot from 1 ft (assist by I. Thomas)
7:08.0,T. Harris misses 3-pt shot from 27 ft,,12-15,,
7:05.0,,,12-15,,Defensive rebound by K. Love
7:03.0,,,12-15,,Shooting foul by T. Harris (drawn by L. James)
7:03.0,,,12-16,1,L. James makes free throw 1 of 2
7:03.0,,,12-17,1,L. James makes free throw 2 of 2
6:50.0,R. Bullock misses 2-pt shot from 14 ft,,12-17,,
6:47.0,,,12-17,,Defensive rebound by K. Love
6:38.0,,,12-19,2,K. Love makes 2-pt shot from 11 ft (assist by I. Thomas)
6:26.0,A. Tolliver makes 3-pt shot from 27 ft (assist by R. Bullock),3,15-19,,
6:09.0,,,15-19,,K. Love misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by A. Drummond,,15-19,,
5:57.0,Turnover by I. Smith (bad pass),,15-19,,
5:57.0,,,15-19,,D. Rose enters the game for I. Thomas
5:44.0,,,15-22,3,J. Smith makes 3-pt shot from 22 ft (assist by K. Love)
5:18.0,I. Smith misses 2-pt shot from 14 ft,,15-22,,
5:16.0,,,15-22,,Defensive rebound by K. Love
5:11.0,,,15-22,,L. James misses 2-pt shot from 10 ft
5:08.0,Defensive rebound by A. Drummond,,15-22,,
5:03.0,I. Smith misses 2-pt shot from 1 ft,,15-22,,
4:59.0,,,15-22,,Defensive rebound by K. Love
4:57.0,,,15-24,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
4:57.0,,,15-24,,Shooting foul by A. Tolliver (drawn by T. Thompson)
4:57.0,S. Johnson enters the game for A. Tolliver,,15-24,,
4:57.0,,,15-25,1,T. Thompson makes free throw 1 of 1
4:50.0,I. Smith makes 2-pt shot from 1 ft,2,17-25,,
4:50.0,Shooting foul by T. Thompson (drawn by I. Smith),,17-25,,
4:50.0,I. Smith makes free throw 1 of 1,1,18-25,,
4:37.0,,,18-25,,L. James misses 2-pt shot from 5 ft
4:34.0,Defensive rebound by I. Smith,,18-25,,
4:32.0,Turnover by I. Smith (bad pass),,18-25,,
4:32.0,,,18-25,,C. Frye enters the game for T. Thompson
4:17.0,,,18-25,,Turnover by J. Smith (lost ball; steal by R. Bullock)
4:11.0,T. Harris makes 2-pt shot at rim,2,20-25,,
4:02.0,,,20-25,,Shooting foul by T. Harris (drawn by D. Rose)
4:02.0,,,20-26,1,D. Rose makes free throw 1 of 2
4:02.0,A. Tolliver enters the game for I. Smith,,20-26,,
4:02.0,L. Kennard enters the game for R. Bullock,,20-26,,
4:02.0,D. Buycks enters the game for T. Harris,,20-26,,
4:02.0,,,20-27,1,D. Rose makes free throw 2 of 2
3:42.0,D. Buycks misses 2-pt shot from 6 ft,,20-27,,
3:36.0,Offensive rebound by A. Drummond,,20-27,,
3:36.0,A. Drummond makes 2-pt shot at rim,2,22-27,,
3:26.0,,,22-30,3,C. Frye makes 3-pt shot from 23 ft (assist by J. Smith)
3:11.0,A. Drummond misses 2-pt shot from 9 ft,,22-30,,
3:08.0,,,22-30,,Defensive rebound by C. Frye
3:04.0,,,22-30,,L. James misses 2-pt shot from 1 ft
2:59.0,,,22-30,,Offensive rebound by L. James
2:59.0,,,22-30,,L. James misses 2-pt shot at rim
2:57.0,Defensive rebound by L. Kennard,,22-30,,
2:53.0,S. Johnson makes 3-pt shot from 25 ft (assist by D. Buycks),3,25-30,,
2:28.0,,,25-30,,K. Love misses 2-pt shot from 6 ft (block by S. Johnson)
2:27.0,Defensive rebound by D. Buycks,,25-30,,
2:27.0,,,25-30,,Personal foul by C. Frye (drawn by D. Buycks)
