time,Phoenix,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Dedmon vs. T. Chandler (D. Schroder gains possession),,,,Jump ball: D. Dedmon vs. T. Chandler (D. Schroder gains possession)
11:46.0,,,0-0,,D. Schroder misses 2-pt shot from 13 ft
11:42.0,Defensive rebound by T. Warren,,0-0,,
11:22.0,E. Payton misses 2-pt shot from 19 ft,,0-0,,
11:16.0,Offensive rebound by Team,,0-0,,
11:08.0,D. Bender misses 3-pt shot from 25 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by T. Dorsey
10:54.0,,,0-3,3,T. Waller-Prince makes 3-pt shot from 25 ft (assist by J. Collins)
10:39.0,Turnover by D. Booker (bad pass; steal by J. Collins),,0-3,,
10:29.0,,,0-3,,Turnover by T. Dorsey (bad pass; steal by T. Chandler)
10:24.0,E. Payton makes 2-pt shot from 1 ft (assist by D. Booker),2,2-3,,
10:05.0,,,2-3,,Turnover by T. Waller-Prince (lost ball; steal by D. Booker)
10:01.0,Turnover by D. Booker (out of bounds lost ball),,2-3,,
9:48.0,,,2-3,,D. Schroder misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by T. Chandler,,2-3,,
9:32.0,E. Payton makes 2-pt shot from 1 ft,2,4-3,,
9:32.0,Shooting foul by J. Collins (drawn by E. Payton),,4-3,,
9:32.0,E. Payton makes free throw 1 of 1,1,5-3,,
9:16.0,,,5-3,,T. Dorsey misses 3-pt shot from 24 ft
9:10.0,,,5-3,,Offensive rebound by D. Dedmon
9:05.0,,,5-3,,T. Waller-Prince misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by D. Bender,,5-3,,
9:00.0,Offensive charge foul by D. Booker (drawn by T. Dorsey),,5-3,,
9:00.0,Turnover by D. Booker (offensive foul),,5-3,,
8:47.0,,,5-5,2,D. Schroder makes 2-pt shot from 11 ft
8:37.0,Turnover by E. Payton (bad pass; steal by J. Collins),,5-5,,
8:36.0,,,5-5,,Turnover by J. Collins (bad pass)
8:27.0,D. Bender misses 3-pt shot from 25 ft,,5-5,,
8:23.0,,,5-5,,Defensive rebound by J. Collins
8:17.0,,,5-7,2,D. Schroder makes 2-pt shot from 12 ft
8:02.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,7-7,,
7:53.0,,,7-7,,Turnover by D. Schroder (bad pass; steal by E. Payton)
7:50.0,T. Warren makes 2-pt shot from 1 ft (assist by E. Payton),2,9-7,,
7:50.0,,,9-7,,Violation by D. Dedmon (def goaltending)
7:35.0,,,9-10,3,D. Schroder makes 3-pt shot from 26 ft (assist by J. Collins)
7:21.0,D. Booker makes 2-pt shot from 16 ft (assist by E. Payton),2,11-10,,
7:12.0,,,11-13,3,T. Waller-Prince makes 3-pt shot from 26 ft (assist by D. Schroder)
6:50.0,E. Payton misses 2-pt shot from 6 ft,,11-13,,
6:47.0,,,11-13,,Defensive rebound by D. Schroder
6:40.0,,,11-13,,T. Dorsey misses 2-pt shot from 16 ft (block by E. Payton)
6:36.0,Defensive rebound by T. Chandler,,11-13,,
6:33.0,T. Warren misses 2-pt shot from 3 ft (block by D. Dedmon),,11-13,,
6:30.0,,,11-13,,Defensive rebound by D. Schroder
6:27.0,,,11-15,2,D. Dedmon makes 2-pt shot at rim (assist by T. Waller-Prince)
6:27.0,Phoenix full timeout,,11-15,,
6:14.0,D. Booker misses 2-pt shot from 20 ft,,11-15,,
6:09.0,,,11-15,,Defensive rebound by D. Schroder
5:53.0,,,11-15,,D. Dedmon misses 2-pt shot from 17 ft
5:51.0,Defensive rebound by D. Bender,,11-15,,
5:34.0,D. Bender misses 2-pt shot from 6 ft,,11-15,,
5:32.0,Offensive rebound by T. Chandler,,11-15,,
5:26.0,T. Warren misses 2-pt shot from 18 ft,,11-15,,
5:24.0,,,11-15,,Defensive rebound by T. Waller-Prince
5:22.0,,,11-18,3,D. Dedmon makes 3-pt shot from 23 ft (assist by D. Schroder)
5:06.0,D. Booker makes 2-pt shot from 18 ft,2,13-18,,
4:40.0,,,13-18,,Turnover by D. Schroder (bad pass; steal by T. Chandler)
4:32.0,T. Warren makes 2-pt shot from 15 ft (assist by E. Payton),2,15-18,,
4:32.0,,,15-18,,Atlanta full timeout
4:32.0,,,15-18,,M. Plumlee enters the game for T. Waller-Prince
4:32.0,,,15-18,,M. Muscala enters the game for J. Collins
4:32.0,,,15-18,,M. Delaney enters the game for D. Dedmon
4:32.0,,,15-18,,J. Morris enters the game for T. Dorsey
4:32.0,J. Jackson enters the game for D. Booker,,15-18,,
4:32.0,M. Chriss enters the game for T. Chandler,,15-18,,
4:20.0,,,15-18,,Offensive foul by M. Plumlee (drawn by D. Bender)
4:20.0,,,15-18,,Turnover by M. Plumlee (offensive foul)
4:06.0,T. Warren misses 2-pt shot from 13 ft,,15-18,,
4:03.0,,,15-18,,Defensive rebound by M. Plumlee
3:55.0,,,15-18,,D. Schroder misses 2-pt shot from 1 ft (block by M. Chriss)
3:52.0,,,15-18,,Offensive rebound by D. Schroder
3:44.0,,,15-18,,D. Schroder misses 2-pt shot from 1 ft (block by M. Chriss)
3:41.0,Defensive rebound by E. Payton,,15-18,,
3:38.0,J. Jackson makes 2-pt shot at rim (assist by E. Payton),2,17-18,,
3:24.0,,,17-18,,Turnover by J. Morris (bad pass)
3:24.0,,,17-18,,I. Taylor enters the game for D. Schroder
3:08.0,M. Chriss misses 2-pt shot from 2 ft,,17-18,,
3:05.0,,,17-18,,Defensive rebound by M. Plumlee
2:53.0,,,17-21,3,M. Delaney makes 3-pt shot from 24 ft (assist by I. Taylor)
2:35.0,D. Bender misses 3-pt shot from 24 ft,,17-21,,
2:32.0,,,17-21,,Defensive rebound by M. Delaney
2:20.0,,,17-21,,M. Delaney misses 3-pt shot from 25 ft
2:16.0,Defensive rebound by E. Payton,,17-21,,
2:11.0,,,17-21,,Personal foul by M. Delaney (drawn by T. Warren)
2:11.0,D. Booker enters the game for E. Payton,,17-21,,
2:11.0,T. Daniels enters the game for T. Warren,,17-21,,
2:05.0,M. Chriss makes 3-pt shot from 26 ft (assist by D. Booker),3,20-21,,
1:50.0,,,20-24,3,M. Muscala makes 3-pt shot from 22 ft (assist by M. Delaney)
1:38.0,Shooting foul by M. Plumlee (drawn by M. Chriss),,20-24,,
1:38.0,M. Chriss misses free throw 1 of 2,,20-24,,
1:38.0,Offensive rebound by Team,,20-24,,
1:38.0,M. Chriss makes free throw 2 of 2,1,21-24,,
1:15.0,,,21-24,,I. Taylor misses 2-pt shot from 21 ft
1:10.0,Defensive rebound by T. Daniels,,21-24,,
1:05.0,J. Jackson makes 2-pt shot from 2 ft,2,23-24,,
0:51.0,,,23-26,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Delaney)
0:51.0,,,23-26,,Shooting foul by D. Bender (drawn by M. Plumlee)
0:51.0,A. Len enters the game for D. Bender,,23-26,,
