time,Miami,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Adebayo (K. Irving gains possession),,,,Jump ball: A. Horford vs. B. Adebayo (K. Irving gains possession)
11:39.0,,,0-0,,J. Brown misses 2-pt shot from 16 ft
11:38.0,Defensive rebound by K. Olynyk,,0-0,,
11:23.0,K. Olynyk misses 3-pt shot from 26 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by J. Tatum
11:06.0,,,0-0,,A. Horford misses 2-pt shot from 1 ft
11:04.0,,,0-0,,Offensive rebound by A. Horford
11:04.0,,,0-2,2,A. Horford makes 2-pt shot at rim
10:51.0,Shooting foul by A. Horford (drawn by T. Johnson),,0-2,,
10:51.0,T. Johnson makes free throw 1 of 2,1,1-2,,
10:51.0,T. Johnson misses free throw 2 of 2,,1-2,,
10:49.0,,,1-2,,Defensive rebound by J. Brown
10:34.0,,,1-2,,Turnover by K. Irving (bad pass; steal by T. Johnson)
10:29.0,T. Johnson misses 3-pt shot from 26 ft,,1-2,,
10:25.0,,,1-2,,Defensive rebound by A. Horford
10:09.0,,,1-2,,A. Baynes misses 3-pt shot from 22 ft
10:05.0,Defensive rebound by J. Richardson,,1-2,,
9:55.0,J. Richardson misses 2-pt shot from 14 ft,,1-2,,
9:51.0,,,1-2,,Defensive rebound by K. Irving
9:46.0,,,1-2,,J. Brown misses 2-pt shot at rim
9:46.0,,,1-2,,Offensive rebound by Team
9:37.0,,,1-4,2,J. Tatum makes 2-pt shot at rim
9:23.0,Turnover by D. Waiters (bad pass; steal by J. Brown),,1-4,,
9:19.0,,,1-6,2,J. Brown makes 2-pt shot at rim
9:06.0,,,1-6,,Personal take foul by J. Brown (drawn by D. Waiters)
9:06.0,,,1-6,,M. Smart enters the game for J. Tatum
8:58.0,B. Adebayo makes 2-pt shot from 3 ft (assist by J. Richardson),2,3-6,,
8:41.0,,,3-6,,Turnover by J. Brown (bad pass; steal by T. Johnson)
8:35.0,J. Richardson misses 2-pt shot from 20 ft,,3-6,,
8:32.0,,,3-6,,Defensive rebound by A. Horford
8:22.0,,,3-6,,Turnover by K. Irving (bad pass)
8:09.0,D. Waiters makes 2-pt shot from 4 ft,2,5-6,,
7:52.0,,,5-8,2,K. Irving makes 2-pt shot from 14 ft
7:30.0,B. Adebayo misses 2-pt shot from 13 ft,,5-8,,
7:27.0,,,5-8,,Defensive rebound by A. Horford
7:18.0,,,5-11,3,J. Brown makes 3-pt shot from 22 ft (assist by K. Irving)
7:03.0,J. Richardson misses 3-pt shot from 23 ft,,5-11,,
7:00.0,,,5-11,,Defensive rebound by A. Baynes
6:48.0,,,5-11,,A. Horford misses 2-pt shot from 1 ft
6:44.0,Defensive rebound by B. Adebayo,,5-11,,
6:30.0,D. Waiters misses 3-pt shot from 26 ft,,5-11,,
6:27.0,,,5-11,,Defensive rebound by J. Brown
6:24.0,,,5-14,3,K. Irving makes 3-pt shot from 28 ft
6:15.0,Miami full timeout,,5-14,,
6:15.0,W. Ellington enters the game for T. Johnson,,5-14,,
6:03.0,W. Ellington misses 3-pt shot from 27 ft,,5-14,,
6:00.0,,,5-14,,Defensive rebound by K. Irving
5:49.0,Personal foul by W. Ellington (drawn by A. Horford),,5-14,,
5:46.0,,,5-14,,K. Irving misses 3-pt shot from 25 ft
5:42.0,Defensive rebound by W. Ellington,,5-14,,
5:30.0,Turnover by J. Richardson (bad pass),,5-14,,
5:07.0,,,5-14,,A. Baynes misses 2-pt shot from 19 ft
5:06.0,,,5-14,,Offensive rebound by Team
5:06.0,,,5-14,,S. Ojeleye enters the game for A. Horford
4:48.0,,,5-14,,K. Irving misses 2-pt shot from 12 ft
4:46.0,Defensive rebound by W. Ellington,,5-14,,
4:32.0,B. Adebayo misses 2-pt shot from 4 ft (block by K. Irving),,5-14,,
4:32.0,Offensive rebound by Team,,5-14,,
4:27.0,K. Olynyk makes 2-pt shot from 6 ft,2,7-14,,
4:14.0,,,7-16,2,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart)
3:57.0,B. Adebayo makes 2-pt shot from 2 ft (assist by K. Olynyk),2,9-16,,
3:57.0,Shooting foul by M. Smart (drawn by B. Adebayo),,9-16,,
3:57.0,J. Mickey enters the game for K. Olynyk,,9-16,,
3:57.0,B. Adebayo misses free throw 1 of 1,,9-16,,
3:54.0,,,9-16,,Defensive rebound by A. Baynes
3:45.0,,,9-16,,A. Baynes misses 2-pt shot from 2 ft
3:42.0,Defensive rebound by D. Waiters,,9-16,,
3:36.0,W. Ellington makes 2-pt shot from 2 ft (assist by D. Waiters),2,11-16,,
3:19.0,,,11-16,,K. Irving misses 3-pt shot from 24 ft
3:16.0,Defensive rebound by B. Adebayo,,11-16,,
2:51.0,Turnover by D. Waiters (bad pass; steal by K. Irving),,11-16,,
2:47.0,,,11-18,2,J. Brown makes 2-pt shot from 2 ft (assist by K. Irving)
2:27.0,B. Adebayo misses 2-pt shot from 16 ft,,11-18,,
2:24.0,,,11-18,,Defensive rebound by M. Smart
2:19.0,,,11-18,,S. Ojeleye misses 3-pt shot from 24 ft
2:17.0,Defensive rebound by B. Adebayo,,11-18,,
1:55.0,J. Richardson misses 2-pt shot from 7 ft,,11-18,,
1:50.0,,,11-18,,Defensive rebound by K. Irving
1:47.0,,,11-21,3,J. Brown makes 3-pt shot from 25 ft (assist by K. Irving)
1:19.0,D. Waiters misses 3-pt shot from 26 ft,,11-21,,
1:18.0,,,11-21,,Defensive rebound by Team
1:18.0,,,11-21,,Boston full timeout
1:18.0,,,11-21,,T. Rozier enters the game for J. Brown
1:18.0,,,11-21,,D. Theis enters the game for K. Irving
1:18.0,,,11-21,,A. Horford enters the game for A. Baynes
1:18.0,T. Johnson enters the game for J. Richardson,,11-21,,
1:18.0,D. Walton enters the game for D. Waiters,,11-21,,
1:18.0,K. Olynyk enters the game for B. Adebayo,,11-21,,
1:05.0,,,11-21,,M. Smart misses 2-pt shot from 5 ft
1:03.0,,,11-21,,Offensive rebound by S. Ojeleye
0:55.0,,,11-21,,A. Horford misses 2-pt shot from 14 ft
0:52.0,Defensive rebound by W. Ellington,,11-21,,
0:41.0,K. Olynyk makes 2-pt shot from 1 ft (assist by D. Walton),2,13-21,,
0:41.0,Shooting foul by A. Horford (drawn by K. Olynyk),,13-21,,
0:41.0,K. Olynyk misses free throw 1 of 1,,13-21,,
0:39.0,,,13-21,,Defensive rebound by D. Theis
0:24.0,,,13-21,,M. Smart misses 3-pt shot from 24 ft
0:21.0,Defensive rebound by D. Walton,,13-21,,
0:04.0,T. Johnson makes 2-pt shot from 1 ft (assist by K. Olynyk),2,15-21,,
0:00.0,,,15-24,3,M. Smart makes 3-pt shot from 28 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Turnover by J. Mickey (bad pass; steal by D. Theis),,15-24,,
11:31.0,,,15-24,,Turnover by S. Larkin (lost ball; steal by T. Johnson)
11:22.0,W. Ellington misses 3-pt shot from 28 ft,,15-24,,
11:18.0,,,15-24,,Defensive rebound by D. Theis
11:09.0,,,15-26,2,A. Horford makes 2-pt shot from 1 ft (assist by T. Rozier)
11:09.0,,,15-26,,Shooting foul by K. Olynyk (drawn by A. Horford)
11:09.0,,,15-27,1,A. Horford makes free throw 1 of 1
10:50.0,J. Mickey misses 3-pt shot from 23 ft,,15-27,,
10:50.0,Offensive rebound by Team,,15-27,,
10:50.0,,,15-27,,Loose ball foul by S. Larkin (drawn by K. Olynyk)
10:35.0,Turnover by Team (shot clock),,15-27,,
10:18.0,,,15-27,,Shooting foul by K. Olynyk (drawn by A. Horford)
10:18.0,,,15-27,,A. Horford misses free throw 1 of 2
10:18.0,,,15-27,,Offensive rebound by Team
10:18.0,,,15-27,,A. Horford misses free throw 2 of 2
10:15.0,Defensive rebound by K. Olynyk,,15-27,,
