time,Denver,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Bell vs. M. Plumlee (K. Thompson gains possession),,,,Jump ball: J. Bell vs. M. Plumlee (K. Thompson gains possession)
11:39.0,,,0-3,3,D. Green makes 3-pt shot from 25 ft (assist by J. Bell)
11:21.0,N. Jokic makes 2-pt shot from 13 ft (assist by G. Harris),2,2-3,,
10:55.0,,,2-3,,K. Thompson misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by W. Chandler,,2-3,,
10:45.0,N. Jokic misses 3-pt shot from 25 ft,,2-3,,
10:44.0,,,2-3,,Defensive rebound by Team
10:44.0,Loose ball foul by J. Murray (drawn by D. Green),,2-3,,
10:34.0,,,2-3,,K. Thompson misses 3-pt shot from 27 ft
10:32.0,Defensive rebound by M. Plumlee,,2-3,,
10:25.0,N. Jokic misses 2-pt shot from 7 ft,,2-3,,
10:23.0,,,2-3,,Defensive rebound by P. McCaw
10:17.0,,,2-3,,K. Durant misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by W. Chandler,,2-3,,
9:56.0,G. Harris misses 3-pt shot from 25 ft,,2-3,,
9:53.0,,,2-3,,Defensive rebound by J. Bell
9:47.0,,,2-3,,Turnover by J. Bell (traveling)
9:47.0,Denver full timeout,,2-3,,
9:35.0,J. Murray makes 2-pt shot from 19 ft (assist by M. Plumlee),2,4-3,,
9:15.0,,,4-3,,Turnover by K. Durant (lost ball; steal by J. Murray)
9:09.0,W. Chandler misses 2-pt shot from 1 ft (block by D. Green),,4-3,,
9:08.0,,,4-3,,Defensive rebound by Team
9:08.0,Loose ball foul by W. Chandler (drawn by D. Green),,4-3,,
8:53.0,,,4-3,,K. Thompson misses 2-pt shot from 13 ft
8:50.0,Defensive rebound by J. Murray,,4-3,,
8:34.0,W. Chandler makes 3-pt shot from 26 ft,3,7-3,,
8:13.0,,,7-3,,D. Green misses 3-pt shot from 22 ft
8:10.0,Defensive rebound by J. Murray,,7-3,,
8:02.0,Turnover by M. Plumlee (bad pass; steal by K. Thompson),,7-3,,
7:57.0,,,7-3,,K. Durant misses 3-pt shot from 26 ft
7:53.0,Defensive rebound by J. Murray,,7-3,,
7:48.0,W. Chandler misses 3-pt shot from 22 ft,,7-3,,
7:42.0,,,7-3,,Defensive rebound by D. Green
7:36.0,,,7-3,,K. Durant misses 2-pt shot from 14 ft
7:32.0,Defensive rebound by W. Chandler,,7-3,,
7:26.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray),2,9-3,,
7:16.0,,,9-3,,Golden State full timeout
7:03.0,,,9-5,2,J. Bell makes 2-pt shot from 13 ft
6:44.0,Turnover by M. Plumlee (bad pass; steal by D. Green),,9-5,,
6:39.0,,,9-7,2,J. Bell makes 2-pt shot at rim (assist by D. Green)
6:22.0,Turnover by G. Harris (bad pass; steal by D. Green),,9-7,,
6:13.0,,,9-9,2,P. McCaw makes 2-pt shot from 3 ft (assist by K. Thompson)
5:47.0,N. Jokic misses 2-pt shot from 12 ft,,9-9,,
5:42.0,,,9-9,,Defensive rebound by K. Durant
5:34.0,,,9-9,,Shooting foul by W. Chandler (drawn by K. Durant)
5:34.0,,,9-10,1,K. Durant makes free throw 1 of 2
5:34.0,W. Barton enters the game for W. Chandler,,9-10,,
5:34.0,,,9-11,1,K. Durant makes free throw 2 of 2
5:12.0,Shooting foul by P. McCaw (drawn by J. Murray),,9-11,,
5:12.0,J. Murray misses free throw 1 of 2,,9-11,,
5:12.0,Offensive rebound by Team,,9-11,,
5:12.0,,,9-11,,A. Iguodala enters the game for D. Green
5:12.0,T. Lyles enters the game for N. Jokic,,9-11,,
5:12.0,J. Murray makes free throw 2 of 2,1,10-11,,
5:02.0,,,10-11,,J. Bell misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by T. Lyles,,10-11,,
4:50.0,M. Plumlee misses 2-pt shot from 2 ft (block by J. Bell),,10-11,,
4:43.0,,,10-11,,Defensive rebound by J. Bell
4:42.0,,,10-11,,Turnover by J. Bell (lost ball; steal by M. Plumlee)
4:40.0,G. Harris misses 2-pt shot from 7 ft,,10-11,,
4:40.0,Offensive rebound by M. Plumlee,,10-11,,
4:36.0,W. Barton misses 3-pt shot from 25 ft,,10-11,,
4:33.0,,,10-11,,Defensive rebound by J. Bell
4:30.0,,,10-11,,K. Thompson misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by J. Murray,,10-11,,
4:14.0,T. Lyles misses 2-pt shot from 8 ft (block by K. Durant),,10-11,,
4:14.0,Offensive rebound by Team,,10-11,,
4:14.0,,,10-11,,N. Young enters the game for K. Thompson
4:14.0,T. Craig enters the game for J. Murray,,10-11,,
4:10.0,T. Lyles makes 3-pt shot from 26 ft (assist by W. Barton),3,13-11,,
3:56.0,,,13-13,2,K. Durant makes 2-pt shot from 16 ft (assist by A. Iguodala)
3:35.0,Turnover by G. Harris (step out of bounds),,13-13,,
3:16.0,,,13-13,,N. Young misses 3-pt shot from 26 ft
3:13.0,,,13-13,,Offensive rebound by J. Bell
3:07.0,,,13-15,2,N. Young makes 2-pt shot from 2 ft (assist by A. Iguodala)
2:46.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,16-15,,
2:38.0,,,16-15,,Shooting foul by T. Craig (drawn by K. Durant)
2:38.0,,,16-16,1,K. Durant makes free throw 1 of 2
2:38.0,,,16-16,,K. Looney enters the game for P. McCaw
2:38.0,,,16-16,,O. Casspi enters the game for J. Bell
2:38.0,M. Beasley enters the game for G. Harris,,16-16,,
2:38.0,N. Jokic enters the game for M. Plumlee,,16-16,,
2:38.0,,,16-17,1,K. Durant makes free throw 2 of 2
2:22.0,N. Jokic makes 2-pt shot from 7 ft,2,18-17,,
2:12.0,,,18-17,,N. Young misses 2-pt shot from 16 ft
2:08.0,Defensive rebound by N. Jokic,,18-17,,
1:59.0,T. Craig misses 3-pt shot from 22 ft,,18-17,,
1:58.0,Offensive rebound by Team,,18-17,,
1:58.0,,,18-17,,Loose ball foul by O. Casspi (drawn by N. Jokic)
1:50.0,N. Jokic misses 3-pt shot from 24 ft,,18-17,,
1:46.0,,,18-17,,Defensive rebound by O. Casspi
1:41.0,,,18-17,,K. Durant misses 2-pt shot from 8 ft
1:36.0,Defensive rebound by T. Lyles,,18-17,,
1:34.0,T. Craig misses 3-pt shot from 26 ft,,18-17,,
1:29.0,,,18-17,,Defensive rebound by K. Durant
1:20.0,Def 3 sec tech foul by T. Craig,,18-17,,
1:20.0,,,18-18,1,K. Durant makes technical free throw
