time,LA Lakers,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Turner vs. B. Lopez (L. Ball gains possession),,,,Jump ball: M. Turner vs. B. Lopez (L. Ball gains possession)
11:42.0,B. Lopez makes 2-pt shot from 5 ft (assist by L. Ball),2,2-0,,
11:23.0,,,2-2,2,M. Turner makes 2-pt shot from 14 ft (assist by D. Collison)
11:05.0,J. Randle makes 2-pt shot from 6 ft (assist by L. Ball),2,4-2,,
10:45.0,,,4-5,3,M. Turner makes 3-pt shot from 25 ft (assist by D. Collison)
10:30.0,B. Lopez makes 2-pt shot from 5 ft,2,6-5,,
10:13.0,,,6-5,,M. Turner misses 2-pt shot from 10 ft
10:10.0,Defensive rebound by K. Kuzma,,6-5,,
10:08.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,6-5,,
10:05.0,Offensive rebound by K. Kuzma,,6-5,,
10:04.0,K. Kuzma makes 2-pt shot from 18 ft,2,8-5,,
9:47.0,,,8-5,,Shooting foul by J. Randle (drawn by M. Turner)
9:47.0,,,8-6,1,M. Turner makes free throw 1 of 2
9:47.0,,,8-7,1,M. Turner makes free throw 2 of 2
9:28.0,J. Randle misses 2-pt shot from 3 ft,,8-7,,
9:26.0,,,8-7,,Defensive rebound by T. Young
9:18.0,,,8-7,,M. Turner misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by J. Randle,,8-7,,
9:04.0,B. Lopez misses 3-pt shot from 30 ft,,8-7,,
9:02.0,,,8-7,,Defensive rebound by B. Bogdanovic
8:56.0,,,8-9,2,V. Oladipo makes 2-pt shot from 16 ft
8:46.0,B. Lopez makes 2-pt shot from 1 ft (assist by L. Ball),2,10-9,,
8:34.0,,,10-9,,B. Bogdanovic misses 3-pt shot from 29 ft
8:30.0,,,10-9,,Offensive rebound by T. Young
8:28.0,,,10-11,2,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young)
8:28.0,Violation by K. Kuzma (def goaltending),,10-11,,
8:19.0,B. Lopez makes 3-pt shot from 26 ft (assist by K. Kuzma),3,13-11,,
8:01.0,,,13-13,2,T. Young makes 2-pt shot from 9 ft (assist by B. Bogdanovic)
7:51.0,K. Kuzma makes 3-pt shot from 25 ft (assist by J. Randle),3,16-13,,
7:34.0,,,16-13,,D. Collison misses 2-pt shot at rim
7:32.0,Defensive rebound by B. Lopez,,16-13,,
7:28.0,J. Randle makes 2-pt shot from 1 ft (assist by L. Ball),2,18-13,,
7:19.0,,,18-13,,Indiana full timeout
7:12.0,,,18-15,2,T. Young makes 2-pt shot from 8 ft (assist by D. Collison)
6:51.0,K. Kuzma misses 3-pt shot from 27 ft,,18-15,,
6:49.0,,,18-15,,Defensive rebound by Team
6:49.0,Loose ball foul by L. Ball (drawn by T. Young),,18-15,,
6:31.0,,,18-17,2,M. Turner makes 2-pt shot at rim (assist by D. Collison)
6:09.0,J. Randle makes 2-pt shot from 6 ft,2,20-17,,
6:09.0,Shooting foul by M. Turner (drawn by J. Randle),,20-17,,
6:09.0,J. Randle misses free throw 1 of 1,,20-17,,
6:09.0,,,20-17,,Defensive rebound by B. Bogdanovic
5:51.0,,,20-17,,T. Young misses 2-pt shot from 6 ft
5:48.0,Defensive rebound by J. Randle,,20-17,,
5:40.0,Turnover by J. Randle (lost ball; steal by D. Collison),,20-17,,
5:26.0,,,20-19,2,T. Young makes 2-pt shot from 6 ft (assist by B. Bogdanovic)
5:25.0,LA Lakers full timeout,,20-19,,
5:25.0,,,20-19,,A. Jefferson enters the game for M. Turner
5:11.0,J. Randle makes 2-pt shot from 2 ft (assist by L. Ball),2,22-19,,
4:54.0,,,22-19,,V. Oladipo misses 2-pt shot from 6 ft
4:52.0,Defensive rebound by K. Kuzma,,22-19,,
4:45.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by J. Randle),3,25-19,,
4:27.0,,,25-19,,B. Bogdanovic misses 3-pt shot from 28 ft
4:24.0,Defensive rebound by L. Ball,,25-19,,
4:19.0,K. Kuzma makes 3-pt shot from 25 ft (assist by L. Ball),3,28-19,,
4:01.0,,,28-21,2,B. Bogdanovic makes 2-pt shot at rim (assist by T. Young)
3:46.0,Turnover by L. Ball (bad pass; steal by A. Jefferson),,28-21,,
3:41.0,,,28-21,,Shooting foul by J. Randle (drawn by B. Bogdanovic)
3:41.0,,,28-22,1,B. Bogdanovic makes free throw 1 of 2
3:41.0,,,28-22,,C. Joseph enters the game for D. Collison
3:41.0,,,28-22,,T. Booker enters the game for T. Young
3:41.0,I. Thomas enters the game for B. Lopez,,28-22,,
3:41.0,,,28-23,1,B. Bogdanovic makes free throw 2 of 2
3:26.0,I. Thomas misses 3-pt shot from 30 ft,,28-23,,
3:23.0,,,28-23,,Defensive rebound by T. Booker
3:17.0,,,28-23,,V. Oladipo misses 2-pt shot from 20 ft
3:13.0,Defensive rebound by Team,,28-23,,
3:13.0,B. Lopez enters the game for J. Randle,,28-23,,
