time,Chicago,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. C. Felicio (M. Beasley gains possession),,,,Jump ball: E. Kanter vs. C. Felicio (M. Beasley gains possession)
11:40.0,,,0-0,,M. Beasley misses 2-pt shot from 2 ft
11:38.0,Defensive rebound by D. Valentine,,0-0,,
11:22.0,J. Holiday misses 3-pt shot from 25 ft,,0-0,,
11:20.0,,,0-0,,Defensive rebound by M. Beasley
11:06.0,,,0-2,2,M. Beasley makes 2-pt shot from 8 ft
11:06.0,,,0-2,,Shooting foul by P. Zipser (drawn by M. Beasley)
11:06.0,,,0-3,1,M. Beasley makes free throw 1 of 1
10:51.0,C. Felicio makes 2-pt shot from 1 ft (assist by C. Payne),2,2-3,,
10:37.0,,,2-3,,C. Lee misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by P. Zipser,,2-3,,
10:28.0,Shooting foul by M. Beasley (drawn by P. Zipser),,2-3,,
10:28.0,P. Zipser makes free throw 1 of 2,1,3-3,,
10:28.0,P. Zipser makes free throw 2 of 2,1,4-3,,
10:11.0,,,4-3,,E. Kanter misses 2-pt shot from 1 ft (block by P. Zipser)
10:09.0,Defensive rebound by J. Holiday,,4-3,,
10:03.0,C. Payne makes 2-pt shot from 1 ft,2,6-3,,
9:47.0,,,6-3,,Turnover by M. Beasley (bad pass; steal by J. Holiday)
9:36.0,J. Holiday misses 3-pt shot from 27 ft,,6-3,,
9:34.0,,,6-3,,Defensive rebound by M. Beasley
9:22.0,,,6-3,,C. Lee misses 2-pt shot from 21 ft
9:20.0,Defensive rebound by P. Zipser,,6-3,,
9:10.0,Turnover by P. Zipser (bad pass),,6-3,,
8:54.0,,,6-3,,E. Mudiay misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by D. Valentine,,6-3,,
8:48.0,Turnover by J. Holiday (step out of bounds),,6-3,,
8:33.0,,,6-3,,Turnover by M. Beasley (bad pass)
8:14.0,J. Holiday misses 2-pt shot from 4 ft (block by C. Lee),,6-3,,
8:12.0,Offensive rebound by C. Felicio,,6-3,,
8:10.0,D. Valentine misses 2-pt shot from 19 ft,,6-3,,
8:08.0,,,6-3,,Defensive rebound by E. Kanter
7:51.0,,,6-3,,T. Hardaway misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by C. Felicio,,6-3,,
7:38.0,J. Holiday misses 3-pt shot from 25 ft,,6-3,,
7:36.0,,,6-3,,Defensive rebound by E. Mudiay
7:33.0,,,6-3,,Turnover by E. Mudiay (bad pass)
7:23.0,P. Zipser misses 3-pt shot from 25 ft,,6-3,,
7:21.0,,,6-3,,Defensive rebound by E. Kanter
7:12.0,,,6-5,2,E. Kanter makes 2-pt shot from 16 ft
6:47.0,Turnover by J. Holiday (lost ball; steal by M. Beasley),,6-5,,
6:42.0,,,6-5,,E. Mudiay misses 2-pt shot from 2 ft (block by C. Payne)
6:40.0,,,6-5,,Offensive rebound by E. Kanter
6:40.0,,,6-7,2,E. Kanter makes 2-pt shot at rim
6:23.0,P. Zipser makes 2-pt shot from 4 ft (assist by C. Payne),2,8-7,,
6:10.0,,,8-7,,C. Lee misses 2-pt shot from 12 ft
6:08.0,,,8-7,,Offensive rebound by M. Beasley
6:08.0,,,8-9,2,M. Beasley makes 2-pt shot at rim
5:59.0,D. Valentine misses 3-pt shot from 22 ft,,8-9,,
5:58.0,,,8-9,,Defensive rebound by E. Kanter
5:52.0,,,8-12,3,T. Hardaway makes 3-pt shot from 25 ft (assist by E. Kanter)
5:49.0,Chicago full timeout,,8-12,,
5:49.0,B. Portis enters the game for P. Zipser,,8-12,,
5:39.0,C. Payne misses 2-pt shot from 6 ft (block by E. Mudiay),,8-12,,
5:37.0,Offensive rebound by C. Payne,,8-12,,
5:33.0,C. Payne makes 2-pt shot at rim,2,10-12,,
5:23.0,,,10-12,,Turnover by T. Hardaway (lost ball; steal by J. Holiday)
5:13.0,D. Valentine misses 2-pt shot from 15 ft,,10-12,,
5:08.0,,,10-12,,Defensive rebound by C. Lee
5:02.0,,,10-12,,T. Hardaway misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by C. Felicio,,10-12,,
4:39.0,D. Valentine misses 3-pt shot from 24 ft,,10-12,,
4:37.0,,,10-12,,Defensive rebound by E. Kanter
4:30.0,,,10-12,,M. Beasley misses 3-pt shot from 26 ft
4:28.0,Defensive rebound by C. Payne,,10-12,,
4:22.0,Turnover by C. Payne (bad pass; steal by E. Mudiay),,10-12,,
4:20.0,,,10-12,,E. Mudiay misses 2-pt shot from 1 ft (block by C. Felicio)
4:19.0,,,10-12,,Offensive rebound by Team
4:19.0,,,10-12,,I. Hicks enters the game for M. Beasley
