time,Minnesota,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Towns (T. Gibson gains possession),,,,Jump ball: T. Chandler vs. K. Towns (T. Gibson gains possession)
11:46.0,Turnover by J. Teague (lost ball; steal by T. Ulis),,0-0,,
11:22.0,,,0-0,,T. Warren misses 2-pt shot from 21 ft
11:18.0,Defensive rebound by K. Towns,,0-0,,
11:16.0,Turnover by J. Teague (bad pass),,0-0,,
11:04.0,,,0-0,,T. Warren misses 3-pt shot from 23 ft
11:00.0,Defensive rebound by J. Teague,,0-0,,
10:52.0,Offensive foul by K. Towns (drawn by M. Chriss),,0-0,,
10:52.0,Turnover by K. Towns (offensive foul),,0-0,,
10:39.0,,,0-0,,J. Jackson misses 2-pt shot from 4 ft
10:37.0,Defensive rebound by Team,,0-0,,
10:37.0,,,0-0,,Loose ball foul by J. Jackson (drawn by K. Towns)
10:24.0,J. Butler misses 2-pt shot from 19 ft,,0-0,,
10:20.0,,,0-0,,Defensive rebound by T. Chandler
10:09.0,,,0-0,,T. Warren misses 2-pt shot from 13 ft
10:06.0,Defensive rebound by K. Towns,,0-0,,
10:03.0,Offensive charge foul by A. Wiggins (drawn by J. Jackson),,0-0,,
10:03.0,Turnover by A. Wiggins (offensive foul),,0-0,,
9:47.0,,,0-0,,T. Ulis misses 2-pt shot from 15 ft
9:44.0,Defensive rebound by J. Teague,,0-0,,
9:39.0,A. Wiggins makes 3-pt shot from 24 ft (assist by J. Teague),3,3-0,,
9:19.0,,,3-0,,M. Chriss misses 3-pt shot from 24 ft
9:17.0,Defensive rebound by K. Towns,,3-0,,
9:08.0,Shooting foul by J. Jackson (drawn by T. Gibson),,3-0,,
9:08.0,T. Gibson makes free throw 2 of 2,1,4-0,,
9:08.0,T. Gibson misses free throw 1 of 2,,4-0,,
9:08.0,Offensive rebound by Team,,4-0,,
8:58.0,,,4-0,,Shooting foul by T. Gibson (drawn by M. Chriss)
8:58.0,,,4-1,1,M. Chriss makes free throw 1 of 2
8:58.0,,,4-1,,M. Chriss misses free throw 2 of 2
8:54.0,Defensive rebound by K. Towns,,4-1,,
8:44.0,J. Teague makes 2-pt shot from 16 ft,2,6-1,,
8:37.0,,,6-1,,Turnover by M. Chriss (traveling)
8:25.0,Turnover by J. Teague (bad pass),,6-1,,
8:08.0,,,6-1,,J. Jackson misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by J. Butler,,6-1,,
8:01.0,K. Towns makes 2-pt shot at rim (assist by J. Butler),2,8-1,,
7:49.0,,,8-1,,T. Warren misses 2-pt shot from 19 ft
7:49.0,Defensive rebound by A. Wiggins,,8-1,,
7:36.0,J. Teague makes 2-pt shot from 11 ft,2,10-1,,
7:35.0,,,10-1,,Phoenix full timeout
7:35.0,,,10-1,,I. Canaan enters the game for J. Jackson
7:35.0,,,10-1,,T. Daniels enters the game for T. Ulis
7:22.0,,,10-1,,Shooting foul by T. Gibson (drawn by M. Chriss)
7:22.0,,,10-1,,M. Chriss misses free throw 1 of 2
7:22.0,,,10-1,,Offensive rebound by Team
7:22.0,,,10-2,1,M. Chriss makes free throw 2 of 2
7:13.0,A. Wiggins makes 2-pt shot from 19 ft,2,12-2,,
6:50.0,,,12-4,2,M. Chriss makes 2-pt shot at rim (assist by I. Canaan)
6:35.0,A. Wiggins misses 2-pt shot from 1 ft,,12-4,,
6:33.0,,,12-4,,Defensive rebound by T. Chandler
6:29.0,,,12-4,,T. Warren misses 2-pt shot from 11 ft
6:26.0,Defensive rebound by J. Teague,,12-4,,
6:13.0,Shooting foul by T. Daniels (drawn by J. Butler),,12-4,,
6:13.0,J. Butler makes free throw 1 of 2,1,13-4,,
6:13.0,,,13-4,,A. Len enters the game for M. Chriss
6:13.0,,,13-4,,D. Bender enters the game for T. Chandler
6:13.0,J. Butler makes free throw 2 of 2,1,14-4,,
5:53.0,,,14-6,2,T. Warren makes 2-pt shot from 1 ft (assist by I. Canaan)
5:43.0,J. Butler makes 2-pt shot at rim (assist by J. Teague),2,16-6,,
5:33.0,,,16-6,,Turnover by T. Warren (step out of bounds)
5:19.0,A. Wiggins misses 2-pt shot from 20 ft,,16-6,,
5:16.0,,,16-6,,Defensive rebound by A. Len
5:12.0,,,16-6,,Turnover by I. Canaan (bad pass)
4:58.0,J. Butler makes 2-pt shot from 1 ft (assist by K. Towns),2,18-6,,
4:33.0,,,18-6,,T. Daniels misses 2-pt shot from 12 ft (block by K. Towns)
4:33.0,Defensive rebound by Team,,18-6,,
4:33.0,,,18-6,,Loose ball foul by T. Daniels (drawn by K. Towns)
4:33.0,,,18-6,,D. House enters the game for T. Warren
4:33.0,G. Dieng enters the game for K. Towns,,18-6,,
4:17.0,,,18-6,,Personal foul by D. Bender (drawn by J. Butler)
4:17.0,J. Butler makes free throw 1 of 2,1,19-6,,
4:17.0,J. Butler makes free throw 2 of 2,1,20-6,,
