time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. J. Embiid (B. Simmons gains possession),,,,Jump ball: E. Kanter vs. J. Embiid (B. Simmons gains possession)
11:46.0,J. Embiid makes 2-pt shot at rim (assist by J. Redick),2,2-0,,
11:27.0,,,2-2,2,C. Lee makes 2-pt shot from 20 ft
11:14.0,J. Redick misses 2-pt shot from 21 ft,,2-2,,
11:11.0,,,2-2,,Defensive rebound by T. Hardaway
11:07.0,,,2-4,2,E. Mudiay makes 2-pt shot at rim (assist by M. Beasley)
11:07.0,,,2-4,,Shooting foul by J. Embiid (drawn by E. Mudiay)
11:07.0,,,2-5,1,E. Mudiay makes free throw 1 of 1
10:53.0,J. Embiid misses 2-pt shot from 13 ft,,2-5,,
10:50.0,,,2-5,,Defensive rebound by T. Hardaway
10:38.0,,,2-5,,E. Kanter misses 2-pt shot from 2 ft
10:34.0,,,2-5,,Offensive rebound by E. Kanter
10:34.0,,,2-5,,E. Kanter misses 2-pt shot at rim
10:33.0,Defensive rebound by R. Covington,,2-5,,
10:29.0,B. Simmons makes 2-pt shot from 6 ft,2,4-5,,
10:16.0,,,4-5,,E. Mudiay misses 2-pt shot from 15 ft
10:14.0,Defensive rebound by D. Saric,,4-5,,
10:07.0,J. Embiid misses 3-pt shot from 25 ft,,4-5,,
9:59.0,Offensive rebound by R. Covington,,4-5,,
9:52.0,J. Redick makes 2-pt shot from 2 ft,2,6-5,,
9:27.0,,,6-5,,Turnover by M. Beasley (lost ball; steal by B. Simmons)
9:25.0,,,6-5,,Violation by E. Mudiay (kicked ball)
9:22.0,Shooting foul by T. Hardaway (drawn by B. Simmons),,6-5,,
9:22.0,B. Simmons makes free throw 1 of 2,1,7-5,,
9:22.0,B. Simmons makes free throw 2 of 2,1,8-5,,
9:09.0,,,8-5,,T. Hardaway misses 3-pt shot from 25 ft
9:06.0,Defensive rebound by R. Covington,,8-5,,
8:57.0,D. Saric misses 3-pt shot from 23 ft,,8-5,,
8:54.0,,,8-5,,Defensive rebound by E. Kanter
8:46.0,,,8-7,2,M. Beasley makes 2-pt shot from 15 ft
8:30.0,J. Embiid makes 3-pt shot from 24 ft,3,11-7,,
8:19.0,,,11-7,,T. Hardaway misses 2-pt shot from 21 ft
8:16.0,,,11-7,,Offensive rebound by E. Kanter
8:11.0,,,11-10,3,M. Beasley makes 3-pt shot from 23 ft (assist by T. Hardaway)
8:11.0,Philadelphia full timeout,,11-10,,
7:49.0,J. Embiid makes 2-pt shot at rim (assist by B. Simmons),2,13-10,,
7:32.0,,,13-12,2,M. Beasley makes 2-pt shot from 12 ft (assist by T. Hardaway)
7:23.0,D. Saric makes 3-pt shot from 24 ft (assist by B. Simmons),3,16-12,,
7:06.0,,,16-12,,E. Mudiay misses 2-pt shot from 11 ft
7:04.0,,,16-12,,Offensive rebound by M. Beasley
7:02.0,,,16-12,,T. Hardaway misses 3-pt shot from 25 ft
6:58.0,,,16-12,,Offensive rebound by E. Kanter
6:57.0,,,16-14,2,E. Kanter makes 2-pt shot from 1 ft
6:48.0,D. Saric makes 2-pt shot from 1 ft,2,18-14,,
6:29.0,,,18-16,2,C. Lee makes 2-pt shot from 14 ft (assist by E. Kanter)
6:17.0,J. Embiid makes 3-pt shot from 23 ft (assist by B. Simmons),3,21-16,,
6:01.0,,,21-16,,T. Hardaway misses 3-pt shot from 25 ft
5:58.0,Defensive rebound by B. Simmons,,21-16,,
5:46.0,Shooting foul by E. Kanter (drawn by J. Embiid),,21-16,,
5:46.0,J. Embiid makes free throw 1 of 2,1,22-16,,
5:46.0,M. Belinelli enters the game for J. Redick,,22-16,,
5:46.0,J. Embiid makes free throw 2 of 2,1,23-16,,
5:32.0,,,23-18,2,E. Mudiay makes 2-pt shot from 1 ft
5:26.0,,,23-18,,Personal foul by E. Kanter (drawn by J. Embiid)
5:26.0,A. Johnson enters the game for J. Embiid,,23-18,,
5:17.0,Turnover by D. Saric (bad pass; steal by C. Lee),,23-18,,
5:07.0,,,23-18,,Turnover by E. Kanter (bad pass; steal by M. Belinelli)
5:03.0,D. Saric makes 2-pt shot at rim (assist by B. Simmons),2,25-18,,
4:56.0,,,25-18,,C. Lee misses 2-pt shot at rim
4:56.0,,,25-18,,Offensive rebound by Team
4:55.0,Loose ball foul by D. Saric (drawn by E. Kanter),,25-18,,
4:55.0,,,25-18,,T. Burke enters the game for C. Lee
4:55.0,T. McConnell enters the game for R. Covington,,25-18,,
4:50.0,,,25-20,2,E. Mudiay makes 2-pt shot from 1 ft
4:50.0,,,25-20,,Shooting foul by B. Simmons (drawn by E. Mudiay)
4:50.0,,,25-21,1,E. Mudiay makes free throw 1 of 1
4:34.0,Turnover by B. Simmons (lost ball; steal by E. Mudiay),,25-21,,
4:19.0,,,25-21,,E. Mudiay misses 2-pt shot from 18 ft
4:16.0,Defensive rebound by B. Simmons,,25-21,,
4:08.0,A. Johnson misses 2-pt shot from 10 ft,,25-21,,
4:06.0,,,25-21,,Defensive rebound by M. Beasley
4:03.0,,,25-23,2,E. Kanter makes 2-pt shot at rim (assist by M. Beasley)
3:48.0,D. Saric misses 3-pt shot from 25 ft,,25-23,,
3:46.0,,,25-23,,Defensive rebound by E. Kanter
3:39.0,,,25-25,2,M. Beasley makes 2-pt shot from 1 ft (assist by E. Mudiay)
3:21.0,Shooting foul by M. Beasley (drawn by D. Saric),,25-25,,
3:21.0,D. Saric makes free throw 1 of 2,1,26-25,,
3:21.0,D. Saric makes free throw 2 of 2,1,27-25,,
3:15.0,,,27-25,,New York full timeout
3:15.0,J. Redick enters the game for D. Saric,,27-25,,
3:15.0,E. Ilyasova enters the game for B. Simmons,,27-25,,
3:05.0,,,27-25,,M. Beasley misses 2-pt shot from 1 ft
3:05.0,,,27-25,,Offensive rebound by E. Kanter
3:05.0,,,27-25,,Shooting foul by E. Ilyasova (drawn by E. Kanter)
3:05.0,,,27-26,1,E. Kanter makes free throw 1 of 2
3:05.0,,,27-27,1,E. Kanter makes free throw 2 of 2
2:49.0,J. Redick misses 3-pt shot from 24 ft,,27-27,,
2:44.0,Offensive rebound by A. Johnson,,27-27,,
2:42.0,M. Belinelli misses 3-pt shot from 25 ft,,27-27,,
2:42.0,,,27-27,,Defensive rebound by E. Kanter
2:42.0,Personal foul by A. Johnson (drawn by E. Kanter),,27-27,,
2:42.0,,,27-28,1,E. Kanter makes free throw 1 of 2
2:42.0,,,27-28,,E. Kanter misses free throw 2 of 2
2:40.0,Defensive rebound by J. Redick,,27-28,,
2:32.0,J. Redick makes 2-pt shot from 22 ft (assist by A. Johnson),2,29-28,,
2:18.0,,,29-28,,Turnover by T. Burke (bad pass; steal by M. Belinelli)
2:13.0,Shooting foul by E. Kanter (drawn by M. Belinelli),,29-28,,
2:13.0,,,29-28,,K. O'Quinn enters the game for E. Kanter
2:13.0,J. Embiid enters the game for A. Johnson,,29-28,,
2:13.0,M. Belinelli makes free throw 1 of 2,1,30-28,,
2:13.0,M. Belinelli makes free throw 2 of 2,1,31-28,,
1:58.0,,,31-28,,K. O'Quinn misses 2-pt shot from 17 ft
1:55.0,Defensive rebound by J. Embiid,,31-28,,
1:47.0,J. Redick misses 3-pt shot from 22 ft,,31-28,,
1:43.0,,,31-28,,Defensive rebound by M. Beasley
1:39.0,,,31-30,2,E. Mudiay makes 2-pt shot from 12 ft
1:29.0,J. Embiid misses 3-pt shot from 25 ft,,31-30,,
1:26.0,,,31-30,,Defensive rebound by M. Beasley
1:15.0,,,31-30,,Turnover by K. O'Quinn (bad pass; steal by T. McConnell)
1:09.0,J. Redick misses 3-pt shot from 22 ft,,31-30,,
1:06.0,,,31-30,,Defensive rebound by T. Hardaway
1:03.0,,,31-32,2,T. Hardaway makes 2-pt shot from 1 ft (assist by T. Burke)
0:52.0,Turnover by E. Ilyasova (bad pass; steal by K. O'Quinn),,31-32,,
0:48.0,,,31-32,,T. Hardaway misses 3-pt shot from 25 ft
0:45.0,,,31-32,,Offensive rebound by M. Beasley
0:35.0,,,31-32,,Offensive foul by K. O'Quinn (drawn by T. McConnell)
0:35.0,,,31-32,,Turnover by K. O'Quinn (offensive foul)
0:35.0,,,31-32,,I. Hicks enters the game for M. Beasley
0:20.0,,,31-32,,Personal foul by K. O'Quinn (drawn by J. Embiid)
0:20.0,,,31-32,,C. Lee enters the game for I. Hicks
