time,Atlanta,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. M. Plumlee (J. Evans gains possession),,,,Jump ball: D. Jordan vs. M. Plumlee (J. Evans gains possession)
11:46.0,,,0-3,3,W. Johnson makes 3-pt shot from 23 ft (assist by J. Evans)
11:28.0,E. Ilyasova misses 2-pt shot from 1 ft (block by W. Johnson),,0-3,,
11:24.0,Offensive rebound by E. Ilyasova,,0-3,,
11:22.0,E. Ilyasova makes 2-pt shot at rim,2,2-3,,
11:14.0,,,2-5,2,C. Williams makes 2-pt shot from 8 ft
10:57.0,Turnover by E. Ilyasova (lost ball; steal by C. Williams),,2-5,,
10:45.0,,,2-5,,L. Williams misses 2-pt shot from 13 ft
10:41.0,Defensive rebound by E. Ilyasova,,2-5,,
10:29.0,D. Schroder misses 3-pt shot from 25 ft,,2-5,,
10:22.0,,,2-5,,Defensive rebound by D. Jordan
10:20.0,,,2-5,,W. Johnson misses 2-pt shot at rim
10:16.0,Defensive rebound by E. Ilyasova,,2-5,,
10:05.0,K. Bazemore misses 2-pt shot from 15 ft,,2-5,,
10:00.0,Offensive rebound by M. Plumlee,,2-5,,
9:54.0,D. Schroder makes 2-pt shot from 1 ft,2,4-5,,
9:43.0,Personal foul by T. Waller-Prince (drawn by J. Evans),,4-5,,
9:36.0,,,4-7,2,J. Evans makes 2-pt shot from 1 ft
9:22.0,D. Schroder misses 2-pt shot from 16 ft (block by J. Evans),,4-7,,
9:20.0,Offensive rebound by D. Schroder,,4-7,,
9:16.0,E. Ilyasova misses 3-pt shot from 25 ft,,4-7,,
9:13.0,,,4-7,,Defensive rebound by D. Jordan
9:11.0,,,4-7,,Shooting foul by E. Ilyasova (drawn by C. Williams)
9:11.0,,,4-8,1,C. Williams makes free throw 1 of 2
9:11.0,,,4-9,1,C. Williams makes free throw 2 of 2
8:56.0,K. Bazemore misses 2-pt shot from 16 ft,,4-9,,
8:52.0,Offensive rebound by K. Bazemore,,4-9,,
8:47.0,T. Waller-Prince misses 3-pt shot from 23 ft,,4-9,,
8:42.0,,,4-9,,Defensive rebound by D. Jordan
8:36.0,,,4-9,,L. Williams misses 2-pt shot from 13 ft
8:33.0,Defensive rebound by K. Bazemore,,4-9,,
8:19.0,E. Ilyasova makes 3-pt shot from 22 ft (assist by K. Bazemore),3,7-9,,
7:58.0,Personal foul by M. Plumlee (drawn by D. Jordan),,7-9,,
7:48.0,,,7-9,,W. Johnson misses 2-pt shot from 3 ft
7:42.0,,,7-9,,Offensive rebound by D. Jordan
7:42.0,,,7-11,2,D. Jordan makes 2-pt shot at rim
7:35.0,K. Bazemore makes 2-pt shot at rim (assist by T. Waller-Prince),2,9-11,,
7:24.0,,,9-13,2,L. Williams makes 2-pt shot from 10 ft
7:05.0,K. Bazemore misses 3-pt shot from 23 ft,,9-13,,
7:02.0,,,9-13,,Defensive rebound by W. Johnson
6:57.0,,,9-13,,L. Williams misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by K. Bazemore,,9-13,,
6:51.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by K. Bazemore),3,12-13,,
6:32.0,,,12-13,,LA Clippers full timeout
6:32.0,D. Dedmon enters the game for M. Plumlee,,12-13,,
6:22.0,,,12-16,3,J. Evans makes 3-pt shot from 27 ft (assist by L. Williams)
5:57.0,K. Bazemore misses 3-pt shot from 25 ft,,12-16,,
5:54.0,,,12-16,,Defensive rebound by J. Evans
5:45.0,,,12-19,3,C. Williams makes 3-pt shot from 24 ft
5:28.0,D. Dedmon makes 2-pt shot from 2 ft (assist by K. Bazemore),2,14-19,,
5:09.0,,,14-19,,Turnover by D. Jordan (bad pass; steal by K. Bazemore)
5:05.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by K. Bazemore),2,16-19,,
4:48.0,,,16-21,2,W. Johnson makes 2-pt shot from 16 ft (assist by C. Williams)
4:48.0,,,16-21,,Loose ball foul by D. Jordan (drawn by D. Schroder)
4:48.0,M. Belinelli enters the game for E. Ilyasova,,16-21,,
4:48.0,J. Collins enters the game for K. Bazemore,,16-21,,
