time,Golden State,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. Z. Pachulia (M. Conley gains possession),,,,Jump ball: M. Gasol vs. Z. Pachulia (M. Conley gains possession)
11:36.0,,,0-3,3,A. Harrison makes 3-pt shot from 25 ft (assist by M. Gasol)
11:16.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,3-3,,
10:59.0,,,3-3,,M. Conley misses 3-pt shot from 24 ft
10:56.0,Defensive rebound by K. Durant,,3-3,,
10:35.0,K. Durant makes 3-pt shot from 25 ft (assist by D. Green),3,6-3,,
10:18.0,,,6-3,,M. Gasol misses 2-pt shot from 12 ft
10:16.0,Defensive rebound by Z. Pachulia,,6-3,,
10:12.0,K. Durant misses 2-pt shot from 20 ft,,6-3,,
10:08.0,,,6-3,,Defensive rebound by M. Gasol
10:06.0,,,6-3,,Shooting foul by K. Thompson (drawn by J. Ennis)
10:06.0,,,6-3,,J. Ennis misses free throw 1 of 2
10:06.0,,,6-3,,Offensive rebound by Team
10:06.0,,,6-4,1,J. Ennis makes free throw 2 of 2
9:52.0,K. Thompson misses 2-pt shot from 10 ft,,6-4,,
9:48.0,,,6-4,,Defensive rebound by M. Gasol
9:41.0,,,6-4,,M. Conley misses 2-pt shot from 4 ft
9:39.0,Defensive rebound by D. Green,,6-4,,
9:36.0,Z. Pachulia misses 2-pt shot from 17 ft,,6-4,,
9:36.0,Offensive rebound by Team,,6-4,,
9:36.0,,,6-4,,Loose ball foul by A. Harrison (drawn by K. Durant)
9:33.0,K. Thompson makes 2-pt shot from 14 ft (assist by K. Durant),2,8-4,,
9:14.0,,,8-4,,J. Martin misses 2-pt shot from 2 ft (block by D. Green)
9:14.0,,,8-4,,Offensive rebound by Team
9:10.0,,,8-4,,Shooting foul by S. Curry (drawn by M. Gasol)
9:10.0,,,8-4,,M. Gasol misses free throw 1 of 2
9:10.0,,,8-4,,Offensive rebound by Team
9:10.0,,,8-5,1,M. Gasol makes free throw 2 of 2
8:52.0,K. Thompson misses 2-pt shot from 15 ft,,8-5,,
8:49.0,,,8-5,,Defensive rebound by J. Martin
8:39.0,,,8-5,,M. Conley misses 3-pt shot from 25 ft
8:33.0,Defensive rebound by S. Curry,,8-5,,
8:25.0,Turnover by Z. Pachulia (lost ball; steal by J. Ennis),,8-5,,
8:15.0,,,8-5,,Shooting foul by K. Durant (drawn by M. Conley)
8:15.0,,,8-6,1,M. Conley makes free throw 1 of 2
8:15.0,,,8-6,,M. Conley misses free throw 2 of 2
8:13.0,Defensive rebound by Z. Pachulia,,8-6,,
8:02.0,S. Curry misses 2-pt shot from 11 ft,,8-6,,
7:59.0,,,8-6,,Defensive rebound by J. Ennis
7:54.0,,,8-8,2,J. Ennis makes 2-pt shot from 7 ft
7:48.0,,,8-8,,Personal foul by J. Ennis (drawn by K. Durant)
7:44.0,,,8-8,,Personal foul by M. Conley (drawn by S. Curry)
7:28.0,K. Durant misses 3-pt shot from 23 ft,,8-8,,
7:26.0,Offensive rebound by D. Green,,8-8,,
7:19.0,K. Durant makes 2-pt shot from 11 ft (assist by D. Green),2,10-8,,
6:56.0,,,10-8,,M. Gasol misses 2-pt shot from 22 ft
6:53.0,Defensive rebound by Z. Pachulia,,10-8,,
6:46.0,S. Curry makes 3-pt shot from 26 ft,3,13-8,,
6:30.0,,,13-8,,Turnover by M. Gasol (lost ball; steal by Z. Pachulia)
6:22.0,K. Durant misses 2-pt shot from 3 ft (block by M. Gasol),,13-8,,
6:18.0,Offensive rebound by Z. Pachulia,,13-8,,
6:17.0,Z. Pachulia misses 2-pt shot at rim,,13-8,,
6:17.0,,,13-8,,Defensive rebound by J. Martin
6:13.0,,,13-8,,Shooting foul by D. Green (drawn by J. Martin)
6:13.0,,,13-8,,Memphis full timeout
6:13.0,J. Bell enters the game for D. Green,,13-8,,
6:13.0,,,13-9,1,J. Martin makes free throw 1 of 2
6:13.0,,,13-10,1,J. Martin makes free throw 2 of 2
5:58.0,K. Durant misses 2-pt shot from 18 ft,,13-10,,
5:55.0,,,13-10,,Defensive rebound by M. Gasol
5:35.0,,,13-10,,J. Martin misses 2-pt shot from 18 ft
5:30.0,Defensive rebound by J. Bell,,13-10,,
5:25.0,S. Curry makes 2-pt shot from 17 ft,2,15-10,,
5:10.0,,,15-10,,M. Gasol misses 3-pt shot from 25 ft
5:07.0,Defensive rebound by K. Thompson,,15-10,,
5:02.0,S. Curry misses 3-pt shot from 26 ft,,15-10,,
4:57.0,,,15-10,,Defensive rebound by M. Gasol
4:43.0,,,15-12,2,M. Gasol makes 2-pt shot from 6 ft (assist by J. Ennis)
4:27.0,,,15-12,,Personal foul by J. Ennis (drawn by K. Durant)
4:27.0,,,15-12,,M. Chalmers enters the game for A. Harrison
4:27.0,,,15-12,,D. Brooks enters the game for J. Ennis
4:27.0,,,15-12,,T. Evans enters the game for M. Conley
4:27.0,J. McGee enters the game for Z. Pachulia,,15-12,,
4:27.0,D. Green enters the game for K. Durant,,15-12,,
4:27.0,A. Iguodala enters the game for J. Bell,,15-12,,
4:20.0,D. Green misses 3-pt shot from 22 ft,,15-12,,
4:17.0,,,15-12,,Defensive rebound by M. Gasol
4:11.0,P. McCaw enters the game for K. Thompson,,15-12,,
3:58.0,,,15-14,2,M. Gasol makes 2-pt shot from 6 ft
3:50.0,Shooting foul by J. Martin (drawn by J. McGee),,15-14,,
3:50.0,J. McGee makes free throw 1 of 2,1,16-14,,
3:50.0,,,16-14,,C. Parsons enters the game for J. Martin
3:50.0,J. McGee makes free throw 2 of 2,1,17-14,,
3:32.0,,,17-16,2,D. Brooks makes 2-pt shot from 7 ft (assist by C. Parsons)
3:19.0,Turnover by S. Curry (lost ball; steal by M. Gasol),,17-16,,
3:13.0,,,17-18,2,T. Evans makes 2-pt shot at rim (assist by D. Brooks)
3:12.0,Golden State full timeout,,17-18,,
2:56.0,A. Iguodala misses 3-pt shot from 23 ft,,17-18,,
2:53.0,,,17-18,,Defensive rebound by M. Gasol
2:40.0,,,17-18,,M. Gasol misses 3-pt shot from 25 ft
2:37.0,,,17-18,,Offensive rebound by T. Evans
2:30.0,,,17-18,,C. Parsons misses 2-pt shot from 17 ft
2:27.0,Defensive rebound by S. Curry,,17-18,,
2:10.0,A. Iguodala misses 2-pt shot from 1 ft (block by D. Brooks),,17-18,,
2:08.0,Offensive rebound by A. Iguodala,,17-18,,
2:08.0,A. Iguodala misses 2-pt shot at rim,,17-18,,
2:08.0,,,17-18,,Defensive rebound by Team
2:08.0,,,17-18,,B. Wright enters the game for M. Gasol
1:57.0,,,17-18,,T. Evans misses 2-pt shot from 2 ft (block by A. Iguodala)
1:54.0,Defensive rebound by S. Curry,,17-18,,
1:44.0,J. McGee makes 2-pt shot at rim (assist by A. Iguodala),2,19-18,,
1:29.0,,,19-20,2,C. Parsons makes 2-pt shot at rim (assist by M. Chalmers)
1:22.0,Shooting foul by D. Brooks (drawn by S. Curry),,19-20,,
1:22.0,S. Curry makes free throw 1 of 2,1,20-20,,
1:22.0,S. Curry makes free throw 2 of 2,1,21-20,,
1:13.0,,,21-23,3,T. Evans makes 3-pt shot from 25 ft (assist by M. Chalmers)
1:01.0,Shooting foul by M. Chalmers (drawn by S. Curry),,21-23,,
1:01.0,S. Curry makes free throw 1 of 3,1,22-23,,
1:01.0,S. Curry makes free throw 2 of 3,1,23-23,,
1:01.0,S. Curry makes free throw 3 of 3,1,24-23,,
0:50.0,,,24-26,3,M. Chalmers makes 3-pt shot from 25 ft (assist by T. Evans)
0:45.0,Offensive foul by S. Curry (drawn by M. Chalmers),,24-26,,
0:45.0,Turnover by S. Curry (offensive foul),,24-26,,
0:45.0,S. Livingston enters the game for S. Curry,,24-26,,
0:35.0,,,24-28,2,T. Evans makes 2-pt shot from 2 ft
0:13.0,S. Livingston makes 2-pt shot at rim (assist by P. McCaw),2,26-28,,
0:00.0,,,26-31,3,C. Parsons makes 3-pt shot from 24 ft (assist by T. Evans)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Turnover by D. West (turnover),,26-31,,
11:31.0,,,26-33,2,T. Evans makes 2-pt shot from 1 ft
11:31.0,,,26-33,,Shooting foul by D. West (drawn by T. Evans)
11:31.0,,,26-33,,T. Evans misses free throw 1 of 1
11:29.0,Defensive rebound by K. Durant,,26-33,,
11:12.0,Shooting foul by C. Parsons (drawn by K. Durant),,26-33,,
11:12.0,K. Durant misses free throw 1 of 2,,26-33,,
11:12.0,Offensive rebound by Team,,26-33,,
11:12.0,K. Durant misses free throw 2 of 2,,26-33,,
11:10.0,,,26-33,,Defensive rebound by C. Parsons
10:59.0,,,26-33,,Turnover by D. Brooks (out of bounds lost ball)
10:47.0,K. Durant misses 2-pt shot from 14 ft,,26-33,,
10:42.0,,,26-33,,Defensive rebound by B. Wright
10:31.0,,,26-33,,T. Evans misses 2-pt shot from 21 ft
10:28.0,Defensive rebound by K. Thompson,,26-33,,
10:20.0,K. Durant makes 2-pt shot from 1 ft (assist by D. West),2,28-33,,
10:00.0,,,28-35,2,D. Brooks makes 2-pt shot at rim (assist by M. Chalmers)
10:00.0,,,28-35,,Shooting foul by S. Livingston (drawn by D. Brooks)
