time,San Antonio,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. L. Aldridge (R. Gay gains possession),,,,Jump ball: T. Chandler vs. L. Aldridge (R. Gay gains possession)
11:41.0,B. Paul misses 2-pt shot from 19 ft,,0-0,,
11:37.0,Offensive rebound by L. Aldridge,,0-0,,
11:26.0,Shooting foul by T. Warren (drawn by L. Aldridge),,0-0,,
11:26.0,L. Aldridge makes free throw 1 of 2,1,1-0,,
11:26.0,L. Aldridge makes free throw 2 of 2,1,2-0,,
11:10.0,,,2-0,,Offensive foul by J. Jackson (drawn by B. Paul)
11:10.0,,,2-0,,Turnover by J. Jackson (offensive foul)
10:49.0,B. Forbes misses 3-pt shot from 25 ft,,2-0,,
10:46.0,,,2-0,,Defensive rebound by T. Chandler
10:42.0,,,2-0,,Shooting foul by B. Forbes (drawn by J. Jackson)
10:42.0,,,2-1,1,J. Jackson makes free throw 1 of 2
10:42.0,,,2-2,1,J. Jackson makes free throw 2 of 2
10:26.0,B. Paul misses 3-pt shot from 26 ft,,2-2,,
10:24.0,Offensive rebound by Team,,2-2,,
10:11.0,Shooting foul by M. Chriss (drawn by B. Paul),,2-2,,
10:11.0,B. Paul makes free throw 1 of 2,1,3-2,,
10:11.0,B. Paul makes free throw 2 of 2,1,4-2,,
9:57.0,,,4-2,,T. Warren misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by R. Gay,,4-2,,
9:45.0,B. Forbes makes 2-pt shot from 17 ft,2,6-2,,
9:23.0,,,6-2,,J. Jackson misses 2-pt shot from 3 ft
9:21.0,,,6-2,,Offensive rebound by J. Jackson
9:20.0,,,6-2,,M. Chriss misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by L. Aldridge,,6-2,,
9:06.0,R. Gay misses 2-pt shot from 21 ft,,6-2,,
9:04.0,Offensive rebound by D. Murray,,6-2,,
8:57.0,B. Forbes misses 3-pt shot from 24 ft,,6-2,,
8:54.0,Offensive rebound by L. Aldridge,,6-2,,
8:52.0,L. Aldridge makes 2-pt shot from 1 ft,2,8-2,,
8:35.0,,,8-2,,T. Ulis misses 3-pt shot from 24 ft
8:32.0,Defensive rebound by L. Aldridge,,8-2,,
8:24.0,L. Aldridge misses 2-pt shot from 21 ft,,8-2,,
8:21.0,,,8-2,,Defensive rebound by T. Chandler
8:15.0,,,8-2,,Turnover by T. Ulis (out of bounds lost ball)
7:59.0,L. Aldridge misses 2-pt shot from 4 ft,,8-2,,
7:59.0,,,8-2,,Defensive rebound by T. Chandler
7:50.0,Personal foul by D. Murray (drawn by T. Ulis),,8-2,,
7:39.0,,,8-2,,Turnover by T. Warren (lost ball; steal by B. Paul)
7:38.0,,,8-2,,Loose ball foul by T. Warren (drawn by B. Paul)
7:38.0,,,8-2,,T. Daniels enters the game for T. Warren
7:17.0,B. Forbes misses 3-pt shot from 24 ft,,8-2,,
7:14.0,Offensive rebound by R. Gay,,8-2,,
7:01.0,D. Murray misses 2-pt shot from 16 ft,,8-2,,
7:00.0,,,8-2,,Defensive rebound by M. Chriss
6:58.0,,,8-2,,Turnover by J. Jackson (lost ball; steal by B. Paul)
6:51.0,B. Forbes misses 2-pt shot from 1 ft,,8-2,,
6:49.0,Offensive rebound by R. Gay,,8-2,,
6:49.0,R. Gay makes 2-pt shot at rim,2,10-2,,
6:49.0,,,10-2,,Phoenix full timeout
6:36.0,,,10-2,,T. Ulis misses 2-pt shot from 13 ft (block by L. Aldridge)
6:35.0,,,10-2,,Offensive rebound by M. Chriss
6:34.0,,,10-4,2,M. Chriss makes 2-pt shot at rim
6:25.0,,,10-4,,Personal block foul by J. Jackson (drawn by B. Paul)
6:25.0,,,10-4,,D. House enters the game for J. Jackson
6:12.0,L. Aldridge makes 2-pt shot from 11 ft,2,12-4,,
5:56.0,,,12-7,3,T. Daniels makes 3-pt shot from 24 ft (assist by T. Chandler)
5:37.0,,,12-7,,Personal foul by T. Daniels (drawn by B. Forbes)
5:37.0,B. Forbes misses free throw 1 of 2,,12-7,,
5:37.0,Offensive rebound by Team,,12-7,,
5:37.0,,,12-7,,D. Bender enters the game for M. Chriss
5:37.0,D. Bertans enters the game for D. Murray,,12-7,,
5:37.0,P. Mills enters the game for R. Gay,,12-7,,
5:37.0,B. Forbes misses free throw 2 of 2,,12-7,,
5:32.0,,,12-7,,Defensive rebound by D. Bender
5:16.0,,,12-9,2,T. Daniels makes 2-pt shot from 11 ft
5:14.0,San Antonio full timeout,,12-9,,
5:14.0,D. Hilliard enters the game for B. Forbes,,12-9,,
4:58.0,D. Bertans makes 2-pt shot from 12 ft (assist by D. Hilliard),2,14-9,,
4:43.0,,,14-9,,T. Chandler misses 2-pt shot from 1 ft
4:41.0,Defensive rebound by D. Bertans,,14-9,,
4:28.0,P. Mills makes 2-pt shot from 22 ft,2,16-9,,
4:10.0,,,16-9,,D. Bender misses 3-pt shot from 26 ft
4:09.0,Defensive rebound by B. Paul,,16-9,,
4:01.0,,,16-9,,G. Monroe enters the game for T. Chandler
4:01.0,J. Lauvergne enters the game for L. Aldridge,,16-9,,
4:01.0,,,16-9,,M. James enters the game for T. Ulis
3:48.0,D. Bertans makes 3-pt shot from 28 ft (assist by B. Paul),3,19-9,,
3:30.0,Personal block foul by B. Paul (drawn by T. Daniels),,19-9,,
3:20.0,,,19-9,,D. House misses 3-pt shot from 26 ft
3:18.0,Defensive rebound by D. Bertans,,19-9,,
3:09.0,D. Bertans misses 2-pt shot from 8 ft,,19-9,,
3:04.0,,,19-9,,Defensive rebound by G. Monroe
2:51.0,,,19-9,,G. Monroe misses 2-pt shot from 15 ft
2:51.0,Defensive rebound by D. Hilliard,,19-9,,
2:49.0,,,19-9,,Personal foul by G. Monroe (drawn by D. Hilliard)
2:49.0,D. Hilliard makes free throw 1 of 2,1,20-9,,
2:49.0,D. White enters the game for B. Paul,,20-9,,
2:49.0,D. Hilliard misses free throw 2 of 2,,20-9,,
2:47.0,,,20-9,,Defensive rebound by G. Monroe
2:28.0,,,20-9,,G. Monroe misses 2-pt shot from 4 ft
2:25.0,Defensive rebound by D. Bertans,,20-9,,
2:19.0,D. Bertans makes 3-pt shot from 27 ft (assist by D. Hilliard),3,23-9,,
2:07.0,,,23-9,,M. James misses 2-pt shot from 9 ft
2:03.0,,,23-9,,Offensive rebound by G. Monroe
2:03.0,,,23-11,2,G. Monroe makes 2-pt shot at rim
1:55.0,,,23-11,,Personal foul by M. James (drawn by P. Mills)
1:55.0,P. Mills makes free throw 1 of 2,1,24-11,,
1:55.0,P. Mills misses free throw 2 of 2,,24-11,,
1:53.0,,,24-11,,Defensive rebound by D. Bender
1:38.0,,,24-13,2,M. James makes 2-pt shot from 1 ft
1:15.0,P. Mills makes 2-pt shot from 18 ft,2,26-13,,
1:00.0,,,26-15,2,G. Monroe makes 2-pt shot at rim
0:51.0,Turnover by D. White (bad pass),,26-15,,
0:43.0,,,26-15,,T. Daniels misses 3-pt shot from 27 ft
0:40.0,Defensive rebound by D. White,,26-15,,
0:33.0,Turnover by D. White (bad pass; steal by M. James),,26-15,,
0:30.0,,,26-15,,Shooting foul by D. Bertans (drawn by M. James)
0:30.0,,,26-16,1,M. James makes free throw 1 of 2
0:30.0,,,26-17,1,M. James makes free throw 2 of 2
0:13.0,P. Mills misses 2-pt shot from 19 ft,,26-17,,
0:11.0,Offensive rebound by D. Bertans,,26-17,,
0:02.0,J. Lauvergne makes 2-pt shot from 15 ft (assist by D. Bertans),2,28-17,,
0:00.0,,,28-17,,M. James misses 3-pt shot from 45 ft
0:00.0,,,28-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
