time,Boston,pts.away,score,pts.home,Philadelphia
3:45.0,,,17-21,,B. Simmons misses 2-pt shot from 3 ft
3:43.0,Defensive rebound by K. Irving,,17-21,,
3:37.0,J. Brown misses 3-pt shot from 25 ft,,17-21,,
3:37.0,,,17-21,,Defensive rebound by R. Holmes
3:31.0,,,17-21,,Philadelphia full timeout
3:31.0,,,17-21,,T. Booker enters the game for R. Covington
3:31.0,,,17-21,,J. Embiid enters the game for R. Holmes
3:31.0,T. Rozier enters the game for J. Brown,,17-21,,
3:27.0,,,17-23,2,B. Simmons makes 2-pt shot from 3 ft
3:10.0,K. Irving misses 3-pt shot from 25 ft,,17-23,,
3:07.0,,,17-23,,Defensive rebound by J. Embiid
2:49.0,Personal foul by A. Horford (drawn by J. Embiid),,17-23,,
2:49.0,,,17-23,,J. Redick enters the game for B. Simmons
2:41.0,,,17-23,,Offensive foul by J. Embiid (drawn by M. Morris)
2:41.0,,,17-23,,Turnover by J. Embiid (offensive foul)
2:26.0,A. Horford makes 2-pt shot from 12 ft,2,19-23,,
2:10.0,,,19-23,,J. Bayless misses 2-pt shot from 11 ft
2:07.0,Defensive rebound by T. Rozier,,19-23,,
1:58.0,M. Morris makes 2-pt shot from 13 ft,2,21-23,,
1:45.0,,,21-25,2,T. Booker makes 2-pt shot from 1 ft (assist by J. Redick)
1:36.0,K. Irving misses 2-pt shot from 2 ft (block by J. Embiid),,21-25,,
1:34.0,,,21-25,,Defensive rebound by T. McConnell
1:30.0,,,21-28,3,J. Redick makes 3-pt shot from 24 ft (assist by T. McConnell)
1:06.0,A. Horford misses 2-pt shot from 8 ft,,21-28,,
1:03.0,,,21-28,,Defensive rebound by J. Redick
0:47.0,,,21-28,,J. Embiid misses 2-pt shot from 15 ft
0:44.0,Defensive rebound by M. Morris,,21-28,,
0:33.0,M. Smart misses 2-pt shot from 13 ft,,21-28,,
0:29.0,,,21-28,,Defensive rebound by T. Booker
0:09.0,,,21-28,,J. Embiid misses 2-pt shot from 7 ft
0:07.0,Defensive rebound by M. Morris,,21-28,,
0:02.0,M. Morris makes 2-pt shot from 12 ft (assist by K. Irving),2,23-28,,
0:00.0,,,23-28,,T. McConnell misses 2-pt shot from 15 ft
0:00.0,,,23-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,M. Morris misses 3-pt shot from 25 ft,,23-28,,
11:33.0,Offensive rebound by D. Theis,,23-28,,
11:30.0,T. Rozier misses 3-pt shot from 26 ft,,23-28,,
11:26.0,,,23-28,,Defensive rebound by T. McConnell
11:22.0,,,23-30,2,T. McConnell makes 2-pt shot from 15 ft
11:04.0,Offensive charge foul by M. Smart (drawn by J. Redick),,23-30,,
11:04.0,Turnover by M. Smart (offensive foul),,23-30,,
10:52.0,,,23-32,2,J. Embiid makes 2-pt shot from 4 ft
10:52.0,,,23-32,,Shooting foul by D. Theis (drawn by J. Embiid)
10:52.0,A. Baynes enters the game for D. Theis,,23-32,,
10:52.0,,,23-33,1,J. Embiid makes free throw 1 of 1
10:39.0,A. Baynes misses 2-pt shot from 20 ft,,23-33,,
10:37.0,,,23-33,,Defensive rebound by J. Embiid
10:34.0,,,23-36,3,J. Redick makes 3-pt shot from 26 ft (assist by T. McConnell)
10:19.0,J. Tatum makes 2-pt shot from 17 ft,2,25-36,,
10:03.0,,,25-38,2,T. McConnell makes 2-pt shot from 8 ft
9:39.0,T. Rozier makes 2-pt shot from 3 ft,2,27-38,,
9:30.0,,,27-40,2,T. McConnell makes 2-pt shot from 5 ft
9:19.0,Turnover by M. Smart (traveling),,27-40,,
9:04.0,,,27-42,2,J. Embiid makes 2-pt shot from 8 ft
8:52.0,M. Morris misses 3-pt shot from 25 ft,,27-42,,
8:48.0,,,27-42,,Defensive rebound by J. Redick
8:41.0,Personal foul by A. Baynes (drawn by J. Embiid),,27-42,,
8:41.0,,,27-42,,J. Bayless enters the game for T. Luwawu-Cabarrot
8:41.0,,,27-42,,R. Covington enters the game for D. Saric
8:41.0,,,27-42,,R. Holmes enters the game for T. McConnell
8:41.0,,,27-42,,B. Simmons enters the game for J. Embiid
8:41.0,S. Larkin enters the game for M. Smart,,27-42,,
8:28.0,,,27-45,3,R. Covington makes 3-pt shot from 25 ft (assist by B. Simmons)
8:28.0,Boston full timeout,,27-45,,
8:28.0,,,27-45,,D. Saric enters the game for J. Redick
8:19.0,T. Rozier misses 3-pt shot from 24 ft,,27-45,,
8:16.0,Offensive rebound by M. Morris,,27-45,,
8:12.0,,,27-45,,Personal foul by R. Covington (drawn by J. Tatum)
8:05.0,Turnover by S. Larkin (bad pass; steal by R. Holmes),,27-45,,
7:50.0,,,27-47,2,R. Covington makes 2-pt shot from 2 ft
7:34.0,M. Morris misses 3-pt shot from 26 ft,,27-47,,
7:33.0,Offensive rebound by Team,,27-47,,
7:33.0,D. Theis enters the game for M. Morris,,27-47,,
7:33.0,J. Brown enters the game for A. Baynes,,27-47,,
7:23.0,J. Tatum misses 2-pt shot at rim,,27-47,,
7:19.0,,,27-47,,Defensive rebound by R. Holmes
7:18.0,,,27-47,,Turnover by R. Holmes (bad pass; steal by D. Theis)
7:17.0,Turnover by J. Tatum (bad pass),,27-47,,
7:09.0,Personal foul by S. Larkin (drawn by J. Bayless),,27-47,,
6:56.0,,,27-49,2,B. Simmons makes 2-pt shot from 17 ft
6:41.0,T. Rozier misses 2-pt shot from 3 ft,,27-49,,
6:38.0,,,27-49,,Defensive rebound by R. Holmes
6:38.0,K. Irving enters the game for J. Tatum,,27-49,,
6:38.0,A. Horford enters the game for T. Rozier,,27-49,,
6:32.0,,,27-49,,R. Covington misses 3-pt shot from 25 ft
6:28.0,Defensive rebound by K. Irving,,27-49,,
6:16.0,Shooting foul by R. Holmes (drawn by J. Brown),,27-49,,
6:16.0,J. Brown makes free throw 1 of 2,1,28-49,,
6:16.0,J. Brown misses free throw 2 of 2,,28-49,,
6:14.0,Offensive rebound by D. Theis,,28-49,,
6:03.0,J. Brown makes 3-pt shot from 22 ft (assist by K. Irving),3,31-49,,
5:44.0,,,31-49,,Turnover by R. Covington (bad pass; steal by J. Brown)
5:37.0,K. Irving misses 2-pt shot from 11 ft,,31-49,,
5:33.0,,,31-49,,Defensive rebound by B. Simmons
5:22.0,,,31-51,2,B. Simmons makes 2-pt shot from 11 ft
4:56.0,K. Irving makes 2-pt shot from 5 ft,2,33-51,,
4:37.0,,,33-54,3,D. Saric makes 3-pt shot from 26 ft (assist by B. Simmons)
4:23.0,K. Irving misses 3-pt shot from 24 ft (block by B. Simmons),,33-54,,
4:20.0,,,33-54,,Defensive rebound by J. Bayless
4:06.0,,,33-54,,D. Saric misses 2-pt shot from 14 ft
4:03.0,Defensive rebound by K. Irving,,33-54,,
4:00.0,D. Theis makes 2-pt shot from 2 ft (assist by K. Irving),2,35-54,,
4:00.0,Shooting foul by J. Bayless (drawn by D. Theis),,35-54,,
4:00.0,,,35-54,,J. Embiid enters the game for J. Bayless
4:00.0,,,35-54,,J. Redick enters the game for R. Holmes
4:00.0,D. Theis misses free throw 1 of 1,,35-54,,
3:58.0,,,35-54,,Defensive rebound by J. Embiid
3:43.0,,,35-54,,D. Saric misses 2-pt shot from 1 ft
3:41.0,Defensive rebound by D. Theis,,35-54,,
3:36.0,A. Horford misses 2-pt shot from 12 ft,,35-54,,
3:33.0,,,35-54,,Defensive rebound by J. Embiid
3:24.0,,,35-54,,Turnover by R. Covington (traveling)
3:24.0,,,35-54,,T. Booker enters the game for D. Saric
3:06.0,A. Horford misses 3-pt shot from 25 ft,,35-54,,
3:05.0,Offensive rebound by J. Brown,,35-54,,
3:04.0,J. Brown makes 2-pt shot from 1 ft,2,37-54,,
3:03.0,,,37-54,,Philadelphia full timeout
2:50.0,,,37-54,,Turnover by R. Covington (bad pass)
2:44.0,,,37-54,,Violation by T. Booker (kicked ball)
2:37.0,K. Irving makes 3-pt shot from 27 ft (assist by A. Horford),3,40-54,,
2:25.0,,,40-54,,Shooting foul by D. Theis (drawn by J. Redick)
2:25.0,,,40-55,1,J. Redick makes free throw 1 of 2
2:25.0,,,40-56,1,J. Redick makes free throw 2 of 2
2:12.0,K. Irving makes 2-pt shot from 12 ft,2,42-56,,
1:53.0,,,42-56,,Turnover by J. Redick (lost ball; steal by D. Theis)
1:49.0,J. Brown makes 2-pt shot from 2 ft (assist by K. Irving),2,44-56,,
1:34.0,Personal foul by J. Brown (drawn by J. Embiid),,44-56,,
1:34.0,,,44-56,,J. Embiid misses free throw 1 of 2
1:34.0,,,44-56,,Offensive rebound by Team
1:34.0,,,44-57,1,J. Embiid makes free throw 2 of 2
1:18.0,K. Irving misses 2-pt shot from 2 ft,,44-57,,
1:16.0,Offensive rebound by K. Irving,,44-57,,
1:16.0,K. Irving misses 2-pt shot from 3 ft (block by B. Simmons),,44-57,,
1:14.0,,,44-57,,Defensive rebound by B. Simmons
1:07.0,,,44-57,,T. Booker misses 2-pt shot from 3 ft
1:05.0,Defensive rebound by A. Horford,,44-57,,
0:59.0,A. Horford misses 3-pt shot from 25 ft,,44-57,,
0:58.0,Offensive rebound by Team,,44-57,,
0:58.0,,,44-57,,Loose ball foul by T. Booker (drawn by D. Theis)
0:58.0,M. Smart enters the game for S. Larkin,,44-57,,
0:50.0,D. Theis makes 2-pt shot from 1 ft (assist by J. Brown),2,46-57,,
0:36.0,,,46-57,,J. Embiid misses 2-pt shot from 9 ft
0:33.0,Defensive rebound by A. Horford,,46-57,,
0:29.0,Turnover by K. Irving (bad pass),,46-57,,
0:29.0,,,46-57,,D. Saric enters the game for T. Booker
0:29.0,A. Baynes enters the game for D. Theis,,46-57,,
0:15.0,,,46-57,,Turnover by J. Embiid (lost ball; steal by M. Smart)
0:11.0,M. Smart misses 2-pt shot from 1 ft,,46-57,,
0:07.0,Offensive rebound by J. Brown,,46-57,,
0:07.0,J. Brown makes 2-pt shot at rim,2,48-57,,
0:05.0,,,48-57,,J. Redick misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by A. Baynes,,48-57,,
0:04.0,Boston full timeout,,48-57,,
0:04.0,,,48-57,,T. McConnell enters the game for D. Saric
0:04.0,J. Tatum enters the game for A. Baynes,,48-57,,
0:00.0,K. Irving misses 3-pt shot from 25 ft,,48-57,,
0:00.0,Offensive rebound by Team,,48-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,K. Irving misses 3-pt shot from 25 ft,,48-57,,
11:45.0,,,48-57,,Defensive rebound by J. Redick
11:30.0,,,48-57,,J. Embiid misses 2-pt shot from 13 ft
11:27.0,Defensive rebound by A. Baynes,,48-57,,
11:23.0,J. Tatum makes 3-pt shot from 24 ft,3,51-57,,
11:21.0,,,51-57,,Philadelphia full timeout
11:04.0,,,51-59,2,J. Embiid makes 2-pt shot at rim (assist by J. Redick)
10:49.0,Turnover by K. Irving (bad pass; steal by B. Simmons),,51-59,,
10:39.0,,,51-62,3,J. Redick makes 3-pt shot from 26 ft (assist by D. Saric)
10:23.0,J. Tatum makes 2-pt shot from 2 ft (assist by A. Baynes),2,53-62,,
10:12.0,,,53-64,2,B. Simmons makes 2-pt shot at rim
9:52.0,J. Brown makes 2-pt shot from 17 ft,2,55-64,,
9:40.0,,,55-64,,J. Redick misses 3-pt shot from 22 ft
9:36.0,Defensive rebound by K. Irving,,55-64,,
9:29.0,K. Irving makes 3-pt shot from 27 ft (assist by J. Tatum),3,58-64,,
9:07.0,,,58-64,,R. Covington misses 2-pt shot from 19 ft
9:05.0,,,58-64,,Offensive rebound by R. Covington
9:05.0,,,58-64,,Offensive charge foul by J. Embiid (drawn by A. Baynes)
9:05.0,,,58-64,,Turnover by J. Embiid (offensive foul)
8:49.0,J. Brown misses 3-pt shot from 24 ft,,58-64,,
8:45.0,,,58-64,,Defensive rebound by J. Redick
8:36.0,,,58-64,,Turnover by D. Saric (traveling)
8:24.0,K. Irving makes 3-pt shot from 22 ft (assist by A. Horford),3,61-64,,
8:14.0,,,61-66,2,B. Simmons makes 2-pt shot from 2 ft
7:52.0,J. Tatum makes 2-pt shot from 15 ft,2,63-66,,
7:35.0,,,63-66,,D. Saric misses 3-pt shot from 25 ft
7:33.0,Defensive rebound by A. Horford,,63-66,,
7:25.0,J. Tatum makes 2-pt shot from 12 ft,2,65-66,,
7:11.0,,,65-66,,Turnover by B. Simmons (out of bounds lost ball)
7:11.0,,,65-66,,T. McConnell enters the game for J. Redick
7:11.0,,,65-66,,R. Holmes enters the game for J. Embiid
6:55.0,Turnover by K. Irving (bad pass; steal by D. Saric),,65-66,,
6:53.0,D. Theis enters the game for A. Baynes,,65-66,,
6:39.0,,,65-66,,Shooting foul by D. Theis (drawn by D. Saric)
6:39.0,,,65-67,1,D. Saric makes free throw 1 of 2
6:39.0,,,65-68,1,D. Saric makes free throw 2 of 2
6:29.0,J. Tatum makes 2-pt shot from 12 ft (assist by K. Irving),2,67-68,,
6:10.0,,,67-68,,T. McConnell misses 2-pt shot from 13 ft
6:07.0,Defensive rebound by D. Theis,,67-68,,
6:00.0,D. Theis makes 2-pt shot from 2 ft (assist by A. Horford),2,69-68,,
5:40.0,,,69-68,,Turnover by B. Simmons (lost ball; steal by J. Brown)
5:38.0,Turnover by J. Brown (out of bounds lost ball),,69-68,,
5:38.0,,,69-68,,J. Bayless enters the game for D. Saric
5:38.0,M. Morris enters the game for A. Horford,,69-68,,
5:14.0,,,69-68,,T. McConnell misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by D. Theis,,69-68,,
5:03.0,J. Brown misses 2-pt shot from 3 ft,,69-68,,
4:59.0,Offensive rebound by M. Morris,,69-68,,
4:53.0,J. Tatum misses 3-pt shot from 26 ft,,69-68,,
4:50.0,Offensive rebound by J. Brown,,69-68,,
4:48.0,J. Brown makes 2-pt shot from 2 ft,2,71-68,,
4:48.0,Shooting foul by R. Covington (drawn by J. Brown),,71-68,,
4:48.0,J. Brown makes free throw 1 of 1,1,72-68,,
4:42.0,,,72-68,,Turnover by B. Simmons (out of bounds lost ball)
4:42.0,,,72-68,,T. Luwawu-Cabarrot enters the game for R. Covington
4:42.0,M. Smart enters the game for J. Brown,,72-68,,
4:30.0,M. Morris makes 2-pt shot from 8 ft (assist by K. Irving),2,74-68,,
4:29.0,,,74-68,,Philadelphia full timeout
4:29.0,,,74-68,,J. Embiid enters the game for J. Bayless
4:29.0,,,74-68,,J. Redick enters the game for R. Holmes
4:29.0,,,74-68,,D. Saric enters the game for B. Simmons
4:11.0,,,74-68,,J. Embiid misses 2-pt shot from 10 ft
4:07.0,Defensive rebound by J. Tatum,,74-68,,
3:57.0,K. Irving misses 2-pt shot from 19 ft,,74-68,,
3:53.0,,,74-68,,Defensive rebound by J. Embiid
3:49.0,,,74-68,,D. Saric misses 2-pt shot from 17 ft
3:46.0,Defensive rebound by D. Theis,,74-68,,
3:36.0,J. Tatum misses 2-pt shot from 19 ft,,74-68,,
3:32.0,,,74-68,,Defensive rebound by J. Redick
3:26.0,,,74-68,,Shooting foul by K. Irving (drawn by T. Luwawu-Cabarrot)
3:26.0,,,74-69,1,T. Luwawu-Cabarrot makes free throw 1 of 2
3:26.0,,,74-70,1,T. Luwawu-Cabarrot makes free throw 2 of 2
3:16.0,M. Morris makes 3-pt shot from 24 ft (assist by K. Irving),3,77-70,,
3:05.0,,,77-70,,J. Redick misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by J. Tatum,,77-70,,
2:57.0,J. Tatum misses 2-pt shot from 1 ft,,77-70,,
2:56.0,Offensive rebound by J. Tatum,,77-70,,
2:54.0,J. Tatum misses 2-pt shot at rim (block by J. Redick),,77-70,,
2:54.0,,,77-70,,Defensive rebound by J. Redick
2:49.0,,,77-72,2,J. Embiid makes 2-pt shot from 2 ft (assist by T. McConnell)
2:28.0,K. Irving misses 3-pt shot from 24 ft,,77-72,,
2:28.0,,,77-72,,Defensive rebound by J. Embiid
2:21.0,,,77-72,,Shooting foul by K. Irving (drawn by D. Saric)
2:21.0,,,77-73,1,D. Saric makes free throw 1 of 2
2:21.0,T. Rozier enters the game for K. Irving,,77-73,,
2:21.0,A. Horford enters the game for D. Theis,,77-73,,
2:21.0,,,77-74,1,D. Saric makes free throw 2 of 2
2:14.0,,,77-74,,Personal foul by T. Luwawu-Cabarrot (drawn by M. Morris)
2:08.0,A. Horford misses 2-pt shot from 18 ft,,77-74,,
2:05.0,,,77-74,,Defensive rebound by J. Embiid
1:57.0,,,77-74,,J. Embiid misses 3-pt shot from 26 ft
1:55.0,,,77-74,,Offensive rebound by Team
1:46.0,,,77-74,,Turnover by J. Redick (bad pass; steal by T. Rozier)
1:36.0,A. Horford makes 2-pt shot from 5 ft (assist by M. Morris),2,79-74,,
1:20.0,,,79-76,2,D. Saric makes 2-pt shot from 6 ft (assist by J. Embiid)
1:20.0,,,79-76,,Shooting foul by J. Tatum (drawn by D. Saric)
1:20.0,J. Brown enters the game for J. Tatum,,79-76,,
1:20.0,,,79-77,1,D. Saric makes free throw 1 of 1
1:02.0,T. Rozier makes 3-pt shot from 25 ft (assist by J. Brown),3,82-77,,
0:45.0,,,82-79,2,D. Saric makes 2-pt shot from 2 ft (assist by J. Embiid)
0:37.0,A. Horford makes 3-pt shot from 25 ft (assist by M. Smart),3,85-79,,
0:32.0,,,85-79,,J. Embiid misses 3-pt shot from 26 ft
0:27.0,Defensive rebound by T. Rozier,,85-79,,
0:26.0,,,85-79,,Personal foul by D. Saric (drawn by M. Smart)
0:02.0,Turnover by A. Horford (bad pass; steal by T. McConnell),,85-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,85-79,,J. Redick misses 2-pt shot from 1 ft
11:36.0,Defensive rebound by M. Smart,,85-79,,
11:31.0,Turnover by M. Smart (bad pass; steal by J. Embiid),,85-79,,
11:22.0,,,85-81,2,T. McConnell makes 2-pt shot at rim
11:04.0,,,85-81,,Personal foul by J. Bayless (drawn by M. Smart)
10:53.0,J. Brown misses 2-pt shot at rim,,85-81,,
10:52.0,,,85-81,,Defensive rebound by D. Saric
10:49.0,,,85-81,,D. Saric misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by A. Horford,,85-81,,
10:39.0,Shooting foul by J. Bayless (drawn by M. Smart),,85-81,,
10:39.0,M. Smart makes free throw 1 of 2,1,86-81,,
10:39.0,M. Smart makes free throw 2 of 2,1,87-81,,
10:21.0,,,87-83,2,T. McConnell makes 2-pt shot from 3 ft (assist by D. Saric)
10:07.0,Shooting foul by D. Saric (drawn by A. Horford),,87-83,,
10:07.0,A. Horford makes free throw 1 of 2,1,88-83,,
10:07.0,A. Horford makes free throw 2 of 2,1,89-83,,
9:52.0,,,89-83,,Turnover by J. Embiid (bad pass; steal by M. Morris)
9:43.0,T. Rozier makes 3-pt shot from 25 ft (assist by M. Morris),3,92-83,,
9:40.0,,,92-83,,Philadelphia full timeout
9:40.0,,,92-83,,R. Holmes enters the game for J. Redick
9:40.0,,,92-83,,R. Covington enters the game for J. Embiid
9:29.0,,,92-83,,Turnover by J. Bayless (bad pass; steal by M. Smart)
9:07.0,J. Brown misses 2-pt shot from 9 ft,,92-83,,
9:04.0,,,92-83,,Defensive rebound by T. McConnell
8:59.0,,,92-83,,Turnover by T. McConnell (bad pass; steal by M. Smart)
8:55.0,J. Brown makes 2-pt shot from 1 ft (assist by M. Smart),2,94-83,,
8:44.0,,,94-83,,R. Holmes misses 2-pt shot from 3 ft
8:41.0,Defensive rebound by A. Horford,,94-83,,
8:37.0,M. Morris makes 3-pt shot from 24 ft (assist by T. Rozier),3,97-83,,
8:23.0,,,97-83,,D. Saric misses 3-pt shot from 25 ft
8:23.0,Defensive rebound by T. Rozier,,97-83,,
8:06.0,M. Smart misses 3-pt shot from 24 ft,,97-83,,
8:03.0,,,97-83,,Defensive rebound by D. Saric
7:47.0,,,97-85,2,D. Saric makes 2-pt shot at rim (assist by R. Covington)
7:30.0,T. Rozier misses 3-pt shot from 25 ft,,97-85,,
7:27.0,Offensive rebound by M. Morris,,97-85,,
7:23.0,M. Morris makes 2-pt shot from 8 ft,2,99-85,,
7:11.0,,,99-85,,T. McConnell misses 2-pt shot from 9 ft
7:08.0,Defensive rebound by A. Horford,,99-85,,
7:01.0,M. Smart makes 3-pt shot from 25 ft,3,102-85,,
6:59.0,,,102-85,,Philadelphia full timeout
6:59.0,,,102-85,,B. Simmons enters the game for J. Bayless
6:59.0,,,102-85,,J. Redick enters the game for T. McConnell
6:59.0,,,102-85,,J. Embiid enters the game for R. Holmes
6:59.0,D. Theis enters the game for J. Brown,,102-85,,
6:59.0,K. Irving enters the game for A. Horford,,102-85,,
6:45.0,,,102-88,3,J. Embiid makes 3-pt shot from 25 ft
6:22.0,M. Morris misses 2-pt shot from 16 ft,,102-88,,
6:21.0,,,102-88,,Defensive rebound by J. Embiid
6:14.0,,,102-88,,J. Embiid misses 3-pt shot from 25 ft
6:10.0,Defensive rebound by M. Morris,,102-88,,
6:04.0,M. Morris misses 3-pt shot from 25 ft,,102-88,,
6:02.0,,,102-88,,Defensive rebound by J. Embiid
5:56.0,,,102-88,,B. Simmons misses 2-pt shot from 8 ft
5:54.0,Defensive rebound by D. Theis,,102-88,,
5:42.0,K. Irving makes 2-pt shot from 2 ft,2,104-88,,
5:42.0,Shooting foul by D. Saric (drawn by K. Irving),,104-88,,
5:42.0,K. Irving makes free throw 1 of 1,1,105-88,,
5:27.0,,,105-90,2,J. Embiid makes 2-pt shot from 2 ft (assist by J. Redick)
5:06.0,Offensive foul by M. Smart (drawn by R. Covington),,105-90,,
5:06.0,Turnover by M. Smart (offensive foul),,105-90,,
5:06.0,J. Tatum enters the game for M. Smart,,105-90,,
5:00.0,,,105-90,,J. Redick misses 3-pt shot from 28 ft
4:59.0,,,105-90,,Offensive rebound by Team
4:59.0,Loose ball foul by J. Tatum (drawn by D. Saric),,105-90,,
4:57.0,,,105-90,,R. Covington misses 3-pt shot from 25 ft
4:55.0,Defensive rebound by Team,,105-90,,
4:48.0,,,105-90,,Personal foul by B. Simmons (drawn by M. Morris)
4:48.0,Technical foul by M. Morris,,105-90,,
4:48.0,,,105-91,1,J. Redick makes technical free throw
4:48.0,M. Morris makes free throw 1 of 2,1,106-91,,
4:48.0,M. Morris makes free throw 2 of 2,1,107-91,,
4:34.0,,,107-91,,J. Embiid misses 2-pt shot from 1 ft (block by D. Theis)
4:29.0,,,107-91,,Offensive rebound by D. Saric
4:27.0,,,107-91,,R. Covington misses 3-pt shot from 26 ft
4:27.0,Defensive rebound by Team,,107-91,,
4:27.0,,,107-91,,Loose ball foul by D. Saric (drawn by J. Tatum)
4:27.0,J. Tatum makes free throw 1 of 2,1,108-91,,
4:27.0,A. Horford enters the game for M. Morris,,108-91,,
4:27.0,J. Tatum misses free throw 2 of 2,,108-91,,
4:24.0,,,108-91,,Defensive rebound by J. Embiid
