time,Oklahoma City,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Jokic vs. S. Adams (W. Chandler gains possession),,,,Jump ball: N. Jokic vs. S. Adams (W. Chandler gains possession)
11:48.0,,,0-0,,J. Murray misses 2-pt shot from 2 ft (block by R. Westbrook)
11:45.0,Defensive rebound by S. Adams,,0-0,,
11:40.0,Turnover by R. Westbrook (lost ball; steal by G. Harris),,0-0,,
11:36.0,,,0-3,3,G. Harris makes 3-pt shot from 24 ft
11:16.0,P. George misses 3-pt shot from 22 ft,,0-3,,
11:14.0,,,0-3,,Defensive rebound by Team
11:03.0,,,0-3,,N. Jokic misses 2-pt shot from 3 ft
10:59.0,Defensive rebound by P. George,,0-3,,
10:46.0,S. Adams misses 2-pt shot from 2 ft,,0-3,,
10:45.0,Offensive rebound by P. George,,0-3,,
10:42.0,P. George makes 2-pt shot from 1 ft,2,2-3,,
10:29.0,,,2-5,2,G. Harris makes 2-pt shot from 16 ft (assist by N. Jokic)
10:06.0,R. Westbrook misses 2-pt shot from 1 ft (block by N. Jokic),,2-5,,
10:04.0,,,2-5,,Defensive rebound by G. Harris
10:01.0,,,2-8,3,W. Barton makes 3-pt shot from 24 ft (assist by G. Harris)
9:42.0,C. Anthony makes 2-pt shot from 10 ft (assist by P. George),2,4-8,,
9:25.0,,,4-10,2,J. Murray makes 2-pt shot from 17 ft (assist by N. Jokic)
9:15.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,6-10,,
9:03.0,,,6-10,,J. Murray misses 3-pt shot from 24 ft
9:02.0,Defensive rebound by R. Westbrook,,6-10,,
8:42.0,C. Anthony makes 2-pt shot from 5 ft (assist by R. Westbrook),2,8-10,,
8:28.0,,,8-12,2,N. Jokic makes 2-pt shot from 10 ft (assist by W. Barton)
8:17.0,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook),2,10-12,,
8:05.0,,,10-15,3,N. Jokic makes 3-pt shot from 24 ft (assist by G. Harris)
7:50.0,P. George makes 2-pt shot from 4 ft (assist by R. Westbrook),2,12-15,,
7:48.0,,,12-15,,Denver full timeout
7:48.0,A. Abrines enters the game for T. Ferguson,,12-15,,
7:32.0,,,12-17,2,G. Harris makes 2-pt shot from 18 ft
7:17.0,Turnover by S. Adams (bad pass),,12-17,,
7:10.0,,,12-19,2,G. Harris makes 2-pt shot from 23 ft (assist by N. Jokic)
7:03.0,A. Abrines misses 3-pt shot from 22 ft,,12-19,,
7:00.0,Offensive rebound by S. Adams,,12-19,,
6:59.0,S. Adams misses 2-pt shot from 2 ft,,12-19,,
6:59.0,,,12-19,,Defensive rebound by N. Jokic
6:50.0,,,12-19,,G. Harris misses 3-pt shot from 22 ft
6:47.0,Defensive rebound by R. Westbrook,,12-19,,
6:42.0,R. Westbrook misses 2-pt shot from 2 ft,,12-19,,
6:40.0,,,12-19,,Defensive rebound by N. Jokic
6:36.0,,,12-19,,W. Barton misses 3-pt shot from 22 ft
6:31.0,Defensive rebound by C. Anthony,,12-19,,
6:25.0,C. Anthony misses 3-pt shot from 24 ft,,12-19,,
6:22.0,,,12-19,,Defensive rebound by W. Barton
6:18.0,,,12-21,2,W. Barton makes 2-pt shot from 12 ft
6:03.0,Offensive foul by C. Anthony (drawn by W. Barton),,12-21,,
6:03.0,Turnover by C. Anthony (offensive foul),,12-21,,
5:53.0,,,12-23,2,N. Jokic makes 2-pt shot from 2 ft (assist by J. Murray)
5:52.0,Oklahoma City full timeout,,12-23,,
5:52.0,,,12-23,,T. Craig enters the game for W. Barton
5:36.0,R. Westbrook makes 2-pt shot from 11 ft,2,14-23,,
5:15.0,,,14-23,,N. Jokic misses 3-pt shot from 25 ft
5:12.0,Defensive rebound by R. Westbrook,,14-23,,
5:08.0,R. Westbrook misses 2-pt shot from 2 ft (block by W. Chandler),,14-23,,
5:05.0,Offensive rebound by S. Adams,,14-23,,
