time,Charlotte,pts.away,score,pts.home,Sacramento
1:45.0,J. O'Bryant misses 3-pt shot from 24 ft,,126-108,,
1:40.0,,,126-108,,Defensive rebound by M. Richardson
1:22.0,,,126-110,2,G. Papagiannis makes 2-pt shot from 19 ft (assist by J. Jackson)
1:10.0,D. Bacon misses 2-pt shot from 12 ft,,126-110,,
1:10.0,Offensive rebound by J. O'Bryant,,126-110,,
1:10.0,J. O'Bryant makes 2-pt shot at rim,2,128-110,,
0:50.0,,,128-110,,Shooting foul by J. Stone (drawn by D. Fox)
0:50.0,,,128-111,1,D. Fox makes free throw 1 of 2
0:50.0,,,128-111,,D. Fox misses free throw 2 of 2
0:44.0,Defensive rebound by T. Graham,,128-111,,
0:37.0,M. Monk makes 3-pt shot from 24 ft,3,131-111,,
0:16.0,,,131-111,,S. Labissiere misses 2-pt shot from 17 ft
0:12.0,Defensive rebound by D. Bacon,,131-111,,
