time,Charlotte,pts.away,score,pts.home,Sacramento
0:02.0,,,32-25,,K. Koufos misses 2-pt shot from 3 ft (block by M. Carter-Williams)
0:02.0,Defensive rebound by T. Graham,,32-25,,
0:00.0,T. Graham misses 3-pt shot from 39 ft,,32-25,,
0:00.0,Offensive rebound by Team,,32-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,32-27,2,K. Koufos makes 2-pt shot at rim (assist by W. Cauley-Stein)
11:15.0,T. Graham makes 3-pt shot from 25 ft (assist by J. Lamb),3,35-27,,
11:03.0,,,35-27,,G. Hill misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by F. Kaminsky,,35-27,,
10:44.0,J. Lamb misses 2-pt shot from 19 ft,,35-27,,
10:41.0,,,35-27,,Defensive rebound by W. Cauley-Stein
10:28.0,,,35-29,2,W. Cauley-Stein makes 2-pt shot at rim (assist by B. Hield)
10:09.0,J. O'Bryant makes 2-pt shot from 14 ft,2,37-29,,
9:48.0,,,37-31,2,B. Bogdanovic makes 2-pt shot from 10 ft
9:27.0,F. Kaminsky misses 2-pt shot from 16 ft (block by W. Cauley-Stein),,37-31,,
9:23.0,,,37-31,,Defensive rebound by B. Bogdanovic
9:20.0,,,37-34,3,G. Hill makes 3-pt shot from 24 ft (assist by B. Bogdanovic)
8:53.0,M. Carter-Williams misses 3-pt shot from 28 ft,,37-34,,
8:50.0,,,37-34,,Defensive rebound by W. Cauley-Stein
8:45.0,Violation by J. Lamb (kicked ball),,37-34,,
8:35.0,,,37-36,2,B. Bogdanovic makes 2-pt shot from 18 ft
8:20.0,Shooting foul by B. Hield (drawn by M. Carter-Williams),,37-36,,
8:20.0,M. Carter-Williams makes free throw 1 of 2,1,38-36,,
8:20.0,M. Carter-Williams makes free throw 2 of 2,1,39-36,,
8:04.0,,,39-36,,Shooting foul by F. Kaminsky (drawn by W. Cauley-Stein)
8:04.0,,,39-37,1,W. Cauley-Stein makes free throw 1 of 2
8:04.0,K. Walker enters the game for M. Carter-Williams,,39-37,,
8:04.0,,,39-38,1,W. Cauley-Stein makes free throw 2 of 2
7:53.0,J. O'Bryant makes 3-pt shot from 25 ft (assist by J. Lamb),3,42-38,,
7:39.0,,,42-38,,Turnover by G. Hill (bad pass; steal by J. Lamb)
7:36.0,J. Lamb misses 2-pt shot from 1 ft (block by G. Hill),,42-38,,
7:36.0,Offensive rebound by Team,,42-38,,
7:22.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by K. Walker),3,45-38,,
7:07.0,,,45-40,2,W. Cauley-Stein makes 2-pt shot from 2 ft
7:00.0,,,45-40,,Personal foul by B. Bogdanovic (drawn by T. Graham)
7:00.0,,,45-40,,S. Labissiere enters the game for K. Koufos
6:52.0,T. Graham misses 3-pt shot from 23 ft,,45-40,,
6:48.0,,,45-40,,Defensive rebound by G. Hill
6:45.0,,,45-40,,B. Bogdanovic misses 3-pt shot from 25 ft
6:43.0,,,45-40,,Offensive rebound by S. Labissiere
6:34.0,,,45-40,,Turnover by W. Cauley-Stein (bad pass; steal by T. Graham)
6:30.0,T. Graham makes 2-pt shot at rim,2,47-40,,
6:25.0,,,47-40,,Sacramento full timeout
6:25.0,,,47-40,,D. Fox enters the game for B. Bogdanovic
6:15.0,,,47-40,,W. Cauley-Stein misses 2-pt shot from 8 ft
6:12.0,Defensive rebound by J. Lamb,,47-40,,
5:59.0,T. Graham misses 2-pt shot from 2 ft,,47-40,,
5:57.0,,,47-40,,Defensive rebound by W. Cauley-Stein
5:51.0,,,47-40,,Turnover by B. Hield (step out of bounds)
5:51.0,N. Batum enters the game for J. O'Bryant,,47-40,,
5:51.0,D. Howard enters the game for T. Graham,,47-40,,
5:41.0,K. Walker misses 3-pt shot from 25 ft,,47-40,,
5:38.0,Offensive rebound by K. Walker,,47-40,,
5:28.0,,,47-40,,Personal foul by B. Hield (drawn by J. Lamb)
5:25.0,J. Lamb makes 3-pt shot from 25 ft (assist by F. Kaminsky),3,50-40,,
5:11.0,,,50-43,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Fox)
4:55.0,N. Batum makes 3-pt shot from 23 ft (assist by K. Walker),3,53-43,,
4:38.0,,,53-43,,Turnover by W. Cauley-Stein (lost ball; steal by D. Howard)
4:32.0,D. Howard makes 2-pt shot from 2 ft (assist by J. Lamb),2,55-43,,
4:16.0,,,55-43,,Turnover by G. Hill (bad pass; steal by K. Walker)
4:16.0,,,55-43,,Personal foul by G. Hill (drawn by K. Walker)
4:16.0,M. Kidd-Gilchrist enters the game for J. Lamb,,55-43,,
4:16.0,M. Williams enters the game for F. Kaminsky,,55-43,,
4:00.0,D. Howard makes 2-pt shot from 7 ft,2,57-43,,
3:55.0,,,57-43,,Sacramento full timeout
3:55.0,,,57-43,,Z. Randolph enters the game for W. Cauley-Stein
3:50.0,,,57-43,,Turnover by G. Hill (out of bounds lost ball)
3:35.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,57-43,,
3:32.0,,,57-43,,Defensive rebound by S. Labissiere
3:21.0,,,57-46,3,B. Hield makes 3-pt shot from 25 ft (assist by D. Fox)
3:07.0,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker),3,60-46,,
2:55.0,,,60-46,,Shooting foul by D. Howard (drawn by D. Fox)
2:55.0,,,60-47,1,D. Fox makes free throw 1 of 2
2:55.0,,,60-47,,G. Temple enters the game for G. Hill
2:55.0,,,60-48,1,D. Fox makes free throw 2 of 2
2:45.0,K. Walker makes 2-pt shot from 11 ft,2,62-48,,
2:45.0,Shooting foul by D. Fox (drawn by K. Walker),,62-48,,
2:45.0,K. Walker makes free throw 1 of 1,1,63-48,,
2:28.0,,,63-48,,S. Labissiere misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by M. Kidd-Gilchrist,,63-48,,
2:19.0,M. Kidd-Gilchrist misses 2-pt shot from 9 ft,,63-48,,
2:15.0,Offensive rebound by M. Kidd-Gilchrist,,63-48,,
2:14.0,M. Williams makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,66-48,,
1:56.0,,,66-48,,Sacramento full timeout
1:51.0,,,66-50,2,Z. Randolph makes 2-pt shot from 8 ft
1:27.0,Shooting foul by S. Labissiere (drawn by M. Williams),,66-50,,
1:27.0,M. Williams makes free throw 1 of 2,1,67-50,,
1:27.0,M. Williams makes free throw 2 of 2,1,68-50,,
1:11.0,,,68-50,,Z. Randolph misses 2-pt shot from 10 ft (block by M. Williams)
1:07.0,,,68-50,,Offensive rebound by Z. Randolph
1:03.0,,,68-52,2,Z. Randolph makes 2-pt shot from 7 ft
0:57.0,K. Walker misses 3-pt shot from 25 ft,,68-52,,
0:53.0,,,68-52,,Defensive rebound by Z. Randolph
0:46.0,,,68-52,,S. Labissiere misses 2-pt shot from 10 ft
0:40.0,Defensive rebound by N. Batum,,68-52,,
0:39.0,K. Walker makes 2-pt shot from 7 ft,2,70-52,,
0:27.0,Personal foul by N. Batum (drawn by G. Temple),,70-52,,
0:23.0,,,70-52,,D. Fox misses 2-pt shot from 10 ft
0:19.0,Defensive rebound by K. Walker,,70-52,,
0:01.0,N. Batum makes 2-pt shot from 12 ft (assist by K. Walker),2,72-52,,
0:00.0,,,72-52,,D. Fox misses 3-pt shot from 69 ft
0:00.0,,,72-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,,,72-52,,Z. Randolph misses 2-pt shot from 6 ft
11:34.0,,,72-52,,Offensive rebound by Z. Randolph
11:34.0,,,72-54,2,Z. Randolph makes 2-pt shot at rim
11:22.0,D. Howard misses 2-pt shot from 6 ft,,72-54,,
11:19.0,,,72-54,,Defensive rebound by Z. Randolph
11:04.0,,,72-54,,Shooting foul by D. Howard (drawn by Z. Randolph)
11:04.0,,,72-55,1,Z. Randolph makes free throw 1 of 2
11:04.0,,,72-56,1,Z. Randolph makes free throw 2 of 2
10:48.0,N. Batum makes 2-pt shot from 18 ft,2,74-56,,
10:32.0,,,74-58,2,S. Labissiere makes 2-pt shot from 16 ft (assist by G. Hill)
10:16.0,M. Williams misses 2-pt shot from 4 ft,,74-58,,
10:11.0,,,74-58,,Defensive rebound by S. Labissiere
9:58.0,,,74-61,3,D. Fox makes 3-pt shot from 23 ft (assist by G. Temple)
9:34.0,N. Batum misses 2-pt shot from 18 ft,,74-61,,
9:32.0,Offensive rebound by D. Howard,,74-61,,
9:32.0,Shooting foul by Z. Randolph (drawn by D. Howard),,74-61,,
9:32.0,D. Howard misses free throw 1 of 2,,74-61,,
9:32.0,Offensive rebound by Team,,74-61,,
9:32.0,D. Howard misses free throw 2 of 2,,74-61,,
9:28.0,,,74-61,,Defensive rebound by S. Labissiere
9:12.0,,,74-63,2,G. Temple makes 2-pt shot from 17 ft
8:55.0,N. Batum makes 2-pt shot from 21 ft,2,76-63,,
8:39.0,,,76-63,,Z. Randolph misses 2-pt shot from 18 ft
8:35.0,Defensive rebound by D. Howard,,76-63,,
8:32.0,K. Walker misses 3-pt shot from 24 ft,,76-63,,
8:32.0,,,76-63,,Defensive rebound by Team
8:32.0,Loose ball foul by D. Howard (drawn by S. Labissiere),,76-63,,
8:17.0,,,76-63,,G. Temple misses 2-pt shot from 19 ft
8:17.0,Defensive rebound by D. Howard,,76-63,,
8:07.0,K. Walker misses 2-pt shot from 17 ft,,76-63,,
8:07.0,,,76-63,,Defensive rebound by S. Labissiere
7:45.0,,,76-65,2,Z. Randolph makes 2-pt shot from 12 ft
7:31.0,,,76-65,,B. Bogdanovic enters the game for G. Hill
7:18.0,M. Kidd-Gilchrist makes 2-pt shot from 9 ft,2,78-65,,
7:05.0,,,78-65,,D. Fox misses 3-pt shot from 25 ft
7:02.0,,,78-65,,Offensive rebound by S. Labissiere
7:00.0,,,78-67,2,S. Labissiere makes 2-pt shot from 7 ft
6:39.0,K. Walker misses 2-pt shot from 12 ft,,78-67,,
6:35.0,Offensive rebound by D. Howard,,78-67,,
6:34.0,D. Howard makes 2-pt shot from 4 ft,2,80-67,,
6:29.0,,,80-67,,Offensive foul by S. Labissiere (drawn by K. Walker)
6:29.0,,,80-67,,Turnover by S. Labissiere (offensive foul)
6:29.0,,,80-67,,Sacramento full timeout
6:18.0,N. Batum misses 3-pt shot from 25 ft,,80-67,,
6:15.0,,,80-67,,Defensive rebound by D. Fox
6:05.0,,,80-69,2,Z. Randolph makes 2-pt shot from 10 ft (assist by D. Fox)
5:41.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by K. Walker),2,82-69,,
5:25.0,,,82-71,2,S. Labissiere makes 2-pt shot from 16 ft (assist by B. Bogdanovic)
5:11.0,Shooting foul by D. Fox (drawn by K. Walker),,82-71,,
5:11.0,K. Walker makes free throw 1 of 2,1,83-71,,
5:11.0,K. Walker makes free throw 2 of 2,1,84-71,,
4:59.0,,,84-71,,S. Labissiere misses 2-pt shot from 17 ft
4:55.0,Defensive rebound by M. Williams,,84-71,,
4:45.0,M. Kidd-Gilchrist makes 2-pt shot from 14 ft,2,86-71,,
4:28.0,,,86-71,,S. Labissiere misses 2-pt shot from 12 ft
4:26.0,Defensive rebound by K. Walker,,86-71,,
4:22.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker),2,88-71,,
4:07.0,Personal foul by M. Kidd-Gilchrist (drawn by B. Bogdanovic),,88-71,,
4:07.0,,,88-71,,W. Cauley-Stein enters the game for S. Labissiere
4:07.0,,,88-71,,B. Hield enters the game for G. Temple
4:07.0,F. Kaminsky enters the game for M. Williams,,88-71,,
3:58.0,,,88-71,,W. Cauley-Stein misses 2-pt shot from 11 ft
3:56.0,Defensive rebound by Team,,88-71,,
3:37.0,F. Kaminsky misses 3-pt shot from 26 ft,,88-71,,
3:37.0,,,88-71,,Defensive rebound by B. Hield
3:27.0,,,88-71,,Z. Randolph misses 3-pt shot from 26 ft
3:23.0,,,88-71,,Offensive rebound by W. Cauley-Stein
3:21.0,,,88-71,,Z. Randolph misses 2-pt shot from 4 ft
3:21.0,,,88-71,,Offensive rebound by Z. Randolph
3:21.0,,,88-73,2,Z. Randolph makes 2-pt shot from 4 ft
3:21.0,Violation by D. Howard (def goaltending),,88-73,,
3:10.0,N. Batum makes 2-pt shot from 12 ft,2,90-73,,
2:54.0,,,90-73,,Z. Randolph misses 3-pt shot from 26 ft
