time,Houston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. C. Capela (L. Markkanen gains possession),,,,Jump ball: R. Lopez vs. C. Capela (L. Markkanen gains possession)
11:39.0,,,0-3,3,L. Markkanen makes 3-pt shot from 25 ft (assist by J. Holiday)
11:22.0,E. Gordon misses 3-pt shot from 24 ft,,0-3,,
11:18.0,,,0-3,,Defensive rebound by L. Markkanen
11:04.0,,,0-3,,R. Lopez misses 2-pt shot from 6 ft
11:02.0,Defensive rebound by C. Capela,,0-3,,
10:53.0,E. Gordon makes 2-pt shot from 1 ft (assist by C. Capela),2,2-3,,
10:39.0,,,2-3,,L. Markkanen misses 2-pt shot from 4 ft
10:39.0,,,2-3,,Offensive rebound by Team
10:39.0,Loose ball foul by C. Capela (drawn by R. Lopez),,2-3,,
10:29.0,,,2-3,,K. Dunn misses 2-pt shot from 13 ft
10:26.0,Defensive rebound by C. Paul,,2-3,,
10:20.0,T. Ariza makes 3-pt shot from 23 ft (assist by C. Paul),3,5-3,,
9:58.0,,,5-3,,R. Lopez misses 2-pt shot from 7 ft
9:56.0,Defensive rebound by C. Capela,,5-3,,
9:52.0,T. Ariza makes 3-pt shot from 24 ft (assist by E. Gordon),3,8-3,,
9:24.0,,,8-3,,R. Lopez misses 2-pt shot from 4 ft (block by C. Capela)
9:21.0,Defensive rebound by C. Capela,,8-3,,
9:18.0,C. Capela misses 2-pt shot from 1 ft (block by R. Lopez),,8-3,,
9:18.0,,,8-3,,Defensive rebound by L. Markkanen
9:12.0,,,8-6,3,J. Holiday makes 3-pt shot from 22 ft (assist by L. Markkanen)
8:55.0,Shooting foul by L. Markkanen (drawn by R. Anderson),,8-6,,
8:55.0,R. Anderson makes free throw 1 of 2,1,9-6,,
8:55.0,R. Anderson misses free throw 2 of 2,,9-6,,
8:52.0,,,9-6,,Defensive rebound by K. Dunn
8:45.0,,,9-6,,K. Dunn misses 2-pt shot from 1 ft (block by T. Ariza)
8:42.0,Defensive rebound by T. Ariza,,9-6,,
8:40.0,T. Ariza makes 3-pt shot from 27 ft (assist by C. Paul),3,12-6,,
8:20.0,,,12-6,,Turnover by L. Markkanen (out of bounds lost ball)
8:11.0,C. Capela misses 2-pt shot from 3 ft,,12-6,,
8:08.0,,,12-6,,Defensive rebound by R. Lopez
8:05.0,,,12-6,,Turnover by J. Holiday (step out of bounds)
7:59.0,C. Paul misses 2-pt shot from 17 ft,,12-6,,
7:58.0,Offensive rebound by C. Paul,,12-6,,
7:56.0,Shooting foul by R. Lopez (drawn by C. Capela),,12-6,,
7:56.0,C. Capela misses free throw 1 of 2,,12-6,,
7:56.0,Offensive rebound by Team,,12-6,,
7:56.0,C. Capela makes free throw 2 of 2,1,13-6,,
7:44.0,,,13-6,,Turnover by R. Lopez (turnover)
7:23.0,E. Gordon makes 2-pt shot from 1 ft (assist by C. Paul),2,15-6,,
7:19.0,,,15-6,,Chicago full timeout
7:12.0,,,15-9,3,J. Holiday makes 3-pt shot from 25 ft (assist by K. Dunn)
6:54.0,,,15-9,,Def 3 sec tech foul by R. Lopez
6:54.0,C. Paul makes technical free throw,1,16-9,,
6:49.0,Turnover by C. Paul (bad pass),,16-9,,
6:29.0,,,16-9,,D. Valentine misses 2-pt shot from 17 ft
6:25.0,Defensive rebound by C. Capela,,16-9,,
6:19.0,E. Gordon makes 3-pt shot from 23 ft (assist by C. Paul),3,19-9,,
6:02.0,,,19-9,,K. Dunn misses 2-pt shot from 7 ft
6:00.0,Defensive rebound by C. Capela,,19-9,,
5:42.0,Turnover by C. Capela (step out of bounds),,19-9,,
5:42.0,P. Tucker enters the game for C. Paul,,19-9,,
5:42.0,G. Green enters the game for R. Anderson,,19-9,,
5:30.0,,,19-11,2,L. Markkanen makes 2-pt shot from 13 ft (assist by D. Valentine)
5:23.0,T. Ariza misses 3-pt shot from 26 ft,,19-11,,
5:23.0,,,19-11,,Defensive rebound by L. Markkanen
5:11.0,,,19-11,,K. Dunn misses 2-pt shot from 2 ft
5:09.0,Defensive rebound by C. Capela,,19-11,,
5:06.0,G. Green makes 3-pt shot from 22 ft (assist by T. Ariza),3,22-11,,
4:52.0,,,22-11,,Turnover by K. Dunn (bad pass; steal by T. Ariza)
4:47.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Ariza),3,25-11,,
4:46.0,,,25-11,,Chicago full timeout
4:46.0,,,25-11,,B. Portis enters the game for K. Dunn
4:46.0,,,25-11,,J. Grant enters the game for R. Lopez
4:46.0,,,25-11,,D. Nwaba enters the game for D. Valentine
4:46.0,T. Black enters the game for C. Capela,,25-11,,
4:25.0,,,25-13,2,B. Portis makes 2-pt shot from 11 ft
4:09.0,G. Green makes 2-pt shot at rim,2,27-13,,
3:54.0,,,27-13,,B. Portis misses 2-pt shot from 10 ft
3:52.0,Defensive rebound by E. Gordon,,27-13,,
3:44.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Ariza),3,30-13,,
3:15.0,,,30-13,,J. Holiday misses 3-pt shot from 24 ft
3:15.0,,,30-13,,Offensive rebound by Team
3:15.0,,,30-13,,Turnover by Team (shot clock)
3:04.0,Turnover by E. Gordon (bad pass),,30-13,,
2:51.0,,,30-13,,J. Grant misses 3-pt shot from 26 ft
2:49.0,Defensive rebound by P. Tucker,,30-13,,
2:33.0,T. Black misses 2-pt shot from 5 ft (block by L. Markkanen),,30-13,,
2:31.0,,,30-13,,Defensive rebound by L. Markkanen
2:31.0,Violation by E. Gordon (kicked ball),,30-13,,
