time,San Antonio,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. P. Gasol (L. Aldridge gains possession),,,,Jump ball: S. Adams vs. P. Gasol (L. Aldridge gains possession)
11:36.0,L. Aldridge misses 3-pt shot from 25 ft,,0-0,,
11:32.0,,,0-0,,Defensive rebound by C. Anthony
11:13.0,,,0-0,,R. Westbrook misses 2-pt shot from 2 ft
11:13.0,Defensive rebound by Team,,0-0,,
11:13.0,,,0-0,,Loose ball foul by S. Adams (drawn by P. Gasol)
10:59.0,P. Gasol misses 2-pt shot from 8 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by C. Brewer
10:44.0,,,0-2,2,S. Adams makes 2-pt shot at rim
10:34.0,Turnover by P. Mills (traveling),,0-2,,
10:28.0,,,0-2,,Offensive foul by P. George (drawn by K. Anderson)
10:28.0,,,0-2,,Turnover by P. George (offensive foul)
10:15.0,P. Mills misses 2-pt shot from 19 ft,,0-2,,
10:13.0,,,0-2,,Defensive rebound by R. Westbrook
10:06.0,,,0-4,2,C. Brewer makes 2-pt shot at rim
9:54.0,L. Aldridge misses 2-pt shot from 1 ft,,0-4,,
9:51.0,,,0-4,,Defensive rebound by C. Brewer
9:47.0,,,0-4,,C. Anthony misses 3-pt shot from 24 ft
9:44.0,Defensive rebound by D. Murray,,0-4,,
9:39.0,P. Gasol makes 3-pt shot from 24 ft (assist by K. Anderson),3,3-4,,
9:19.0,,,3-4,,Turnover by P. George (lost ball; steal by K. Anderson)
9:15.0,P. Mills misses 3-pt shot from 25 ft,,3-4,,
9:11.0,,,3-4,,Defensive rebound by P. George
9:07.0,Personal foul by P. Gasol (drawn by S. Adams),,3-4,,
9:01.0,,,3-4,,Turnover by R. Westbrook (lost ball; steal by L. Aldridge)
8:47.0,Turnover by L. Aldridge (bad pass; steal by R. Westbrook),,3-4,,
8:41.0,,,3-4,,P. George misses 2-pt shot at rim
8:39.0,Defensive rebound by L. Aldridge,,3-4,,
8:15.0,K. Anderson misses 2-pt shot from 13 ft,,3-4,,
8:13.0,,,3-4,,Defensive rebound by C. Anthony
8:01.0,,,3-4,,C. Anthony misses 2-pt shot at rim (block by K. Anderson)
7:58.0,,,3-4,,Offensive rebound by P. George
7:54.0,,,3-7,3,C. Brewer makes 3-pt shot from 23 ft (assist by P. George)
7:52.0,San Antonio full timeout,,3-7,,
7:38.0,P. Mills makes 3-pt shot from 25 ft,3,6-7,,
7:24.0,,,6-10,3,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook)
7:11.0,K. Anderson makes 2-pt shot at rim (assist by P. Gasol),2,8-10,,
6:56.0,,,8-12,2,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook)
6:46.0,,,8-12,,Violation by C. Brewer (kicked ball)
6:38.0,D. Murray makes 2-pt shot from 6 ft,2,10-12,,
6:25.0,,,10-12,,Turnover by R. Westbrook (bad pass; steal by D. Murray)
6:06.0,P. Gasol misses 2-pt shot from 1 ft,,10-12,,
6:06.0,,,10-12,,Defensive rebound by Team
5:47.0,,,10-12,,Turnover by C. Anthony (traveling)
5:47.0,R. Gay enters the game for P. Gasol,,10-12,,
5:28.0,R. Gay makes 2-pt shot from 17 ft (assist by P. Mills),2,12-12,,
5:17.0,,,12-12,,R. Westbrook misses 2-pt shot from 12 ft
5:15.0,Defensive rebound by K. Anderson,,12-12,,
5:05.0,Turnover by K. Anderson (step out of bounds),,12-12,,
5:05.0,T. Parker enters the game for D. Murray,,12-12,,
4:55.0,,,12-12,,Shooting foul by L. Aldridge (drawn by R. Westbrook)
4:55.0,,,12-12,,R. Westbrook misses free throw 1 of 2
4:55.0,,,12-12,,Offensive rebound by Team
4:55.0,,,12-13,1,R. Westbrook makes free throw 2 of 2
4:34.0,T. Parker makes 2-pt shot from 6 ft,2,14-13,,
4:24.0,,,14-15,2,S. Adams makes 2-pt shot from 12 ft (assist by R. Westbrook)
4:01.0,Turnover by K. Anderson (bad pass; steal by S. Adams),,14-15,,
3:58.0,,,14-15,,Shooting foul by P. Mills (drawn by R. Westbrook)
3:58.0,,,14-16,1,R. Westbrook makes free throw 1 of 2
3:58.0,M. Ginobili enters the game for K. Anderson,,14-16,,
3:58.0,,,14-16,,R. Westbrook misses free throw 2 of 2
3:56.0,Defensive rebound by R. Gay,,14-16,,
3:46.0,Offensive foul by M. Ginobili (drawn by P. George),,14-16,,
3:46.0,Turnover by M. Ginobili (offensive foul),,14-16,,
3:35.0,,,14-16,,R. Westbrook misses 2-pt shot from 15 ft
3:33.0,Defensive rebound by R. Gay,,14-16,,
3:23.0,P. Mills misses 2-pt shot from 5 ft,,14-16,,
3:21.0,Offensive rebound by L. Aldridge,,14-16,,
3:21.0,Shooting foul by S. Adams (drawn by L. Aldridge),,14-16,,
3:21.0,L. Aldridge makes free throw 1 of 2,1,15-16,,
3:21.0,,,15-16,,J. Grant enters the game for S. Adams
3:21.0,D. Green enters the game for P. Mills,,15-16,,
3:21.0,L. Aldridge misses free throw 2 of 2,,15-16,,
3:19.0,,,15-16,,Defensive rebound by C. Anthony
3:06.0,,,15-16,,Turnover by P. George (lost ball; steal by M. Ginobili)
2:46.0,T. Parker makes 2-pt shot from 13 ft,2,17-16,,
2:33.0,,,17-16,,Oklahoma City full timeout
2:33.0,,,17-16,,R. Felton enters the game for R. Westbrook
2:33.0,P. Gasol enters the game for L. Aldridge,,17-16,,
2:33.0,,,17-16,,P. Patterson enters the game for C. Anthony
2:26.0,,,17-16,,P. Patterson misses 2-pt shot from 12 ft
2:22.0,,,17-16,,Offensive rebound by P. Patterson
2:22.0,,,17-18,2,P. Patterson makes 2-pt shot from 4 ft
2:00.0,T. Parker misses 2-pt shot from 15 ft,,17-18,,
1:57.0,,,17-18,,Defensive rebound by P. George
1:48.0,,,17-18,,P. Patterson misses 3-pt shot from 23 ft
1:45.0,Defensive rebound by P. Gasol,,17-18,,
1:37.0,R. Gay misses 2-pt shot from 15 ft,,17-18,,
1:34.0,,,17-18,,Defensive rebound by P. Patterson
1:27.0,,,17-20,2,P. George makes 2-pt shot at rim
1:11.0,Turnover by M. Ginobili (lost ball; steal by C. Brewer),,17-20,,
1:07.0,,,17-20,,C. Brewer misses 2-pt shot at rim
1:04.0,,,17-20,,Offensive rebound by J. Grant
1:04.0,,,17-22,2,J. Grant makes 2-pt shot at rim
0:38.0,P. Gasol makes 2-pt shot from 13 ft (assist by D. Green),2,19-22,,
0:33.0,,,19-22,,P. George misses 3-pt shot from 25 ft
0:30.0,Defensive rebound by T. Parker,,19-22,,
0:25.0,T. Parker misses 2-pt shot from 2 ft,,19-22,,
0:23.0,,,19-22,,Defensive rebound by P. George
0:02.0,,,19-24,2,P. George makes 2-pt shot from 10 ft
0:00.0,Turnover by D. Green (bad pass; steal by R. Felton),,19-24,,
0:00.0,,,19-24,,R. Felton misses 3-pt shot from 42 ft
0:00.0,,,19-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
