time,Toronto,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. J. Valanciunas (K. Walker gains possession),,,,Jump ball: D. Howard vs. J. Valanciunas (K. Walker gains possession)
11:40.0,,,0-0,,D. Howard misses 2-pt shot from 7 ft
11:38.0,Defensive rebound by S. Ibaka,,0-0,,
11:18.0,S. Ibaka misses 2-pt shot from 19 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by K. Walker
11:00.0,,,0-0,,D. Howard misses 2-pt shot from 3 ft (block by J. Valanciunas)
10:57.0,Defensive rebound by D. DeRozan,,0-0,,
10:50.0,S. Ibaka misses 2-pt shot from 1 ft,,0-0,,
10:48.0,,,0-0,,Defensive rebound by M. Williams
10:42.0,,,0-2,2,K. Walker makes 2-pt shot from 1 ft
10:30.0,D. DeRozan misses 2-pt shot from 22 ft,,0-2,,
10:26.0,Offensive rebound by J. Valanciunas,,0-2,,
10:15.0,J. Valanciunas misses 2-pt shot from 10 ft,,0-2,,
10:12.0,,,0-2,,Defensive rebound by D. Howard
10:06.0,,,0-2,,K. Walker misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by J. Valanciunas,,0-2,,
9:56.0,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan),2,2-2,,
9:39.0,,,2-2,,Turnover by K. Walker (bad pass; steal by J. Valanciunas)
9:34.0,K. Lowry makes 3-pt shot from 26 ft,3,5-2,,
9:08.0,,,5-4,2,M. Williams makes 2-pt shot from 1 ft
8:57.0,O. Anunoby makes 2-pt shot from 2 ft (assist by K. Lowry),2,7-4,,
8:57.0,Shooting foul by N. Batum (drawn by O. Anunoby),,7-4,,
8:57.0,O. Anunoby misses free throw 1 of 1,,7-4,,
8:54.0,,,7-4,,Defensive rebound by D. Howard
8:46.0,,,7-4,,N. Batum misses 3-pt shot from 26 ft
8:42.0,Defensive rebound by S. Ibaka,,7-4,,
8:25.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry),2,9-4,,
8:08.0,,,9-4,,D. Howard misses 2-pt shot from 2 ft
8:06.0,Defensive rebound by S. Ibaka,,9-4,,
7:59.0,D. DeRozan makes 2-pt shot at rim,2,11-4,,
7:43.0,,,11-7,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
7:21.0,Turnover by D. DeRozan (bad pass; steal by K. Walker),,11-7,,
7:16.0,,,11-7,,K. Walker misses 2-pt shot from 2 ft
