time,Cleveland,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Barnes vs. K. Love (I. Shumpert gains possession),,,,Jump ball: H. Barnes vs. K. Love (I. Shumpert gains possession)
11:47.0,K. Love misses 2-pt shot from 5 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by D. Nowitzki
11:32.0,,,0-2,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by Y. Ferrell)
11:16.0,J. Smith makes 2-pt shot from 13 ft,2,2-2,,
11:03.0,,,2-4,2,H. Barnes makes 2-pt shot from 14 ft (assist by W. Matthews)
10:43.0,I. Shumpert makes 2-pt shot from 19 ft (assist by J. Crowder),2,4-4,,
10:31.0,,,4-4,,W. Matthews misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by Team,,4-4,,
10:22.0,J. Crowder misses 3-pt shot from 25 ft,,4-4,,
10:19.0,,,4-4,,Defensive rebound by D. Smith
10:12.0,,,4-4,,Turnover by D. Smith (lost ball; steal by I. Shumpert)
10:04.0,J. Smith misses 3-pt shot from 24 ft,,4-4,,
10:00.0,,,4-4,,Defensive rebound by D. Smith
9:53.0,,,4-4,,H. Barnes misses 2-pt shot from 5 ft
9:50.0,Defensive rebound by L. James,,4-4,,
9:47.0,K. Love misses 3-pt shot from 25 ft,,4-4,,
9:47.0,,,4-4,,Defensive rebound by D. Nowitzki
9:25.0,,,4-4,,Y. Ferrell misses 3-pt shot from 24 ft
9:22.0,,,4-4,,Offensive rebound by D. Nowitzki
9:21.0,,,4-6,2,D. Nowitzki makes 2-pt shot from 17 ft
9:00.0,J. Crowder misses 2-pt shot from 17 ft,,4-6,,
8:57.0,,,4-6,,Defensive rebound by D. Smith
8:52.0,,,4-9,3,D. Smith makes 3-pt shot from 29 ft (assist by W. Matthews)
8:33.0,K. Love makes 2-pt shot from 7 ft (assist by J. Smith),2,6-9,,
8:20.0,Violation by J. Smith (kicked ball),,6-9,,
8:07.0,,,6-11,2,Y. Ferrell makes 2-pt shot from 1 ft
8:01.0,J. Smith misses 2-pt shot from 18 ft,,6-11,,
7:59.0,Offensive rebound by J. Crowder,,6-11,,
7:57.0,J. Crowder misses 3-pt shot from 25 ft,,6-11,,
7:57.0,,,6-11,,Defensive rebound by Y. Ferrell
7:48.0,,,6-14,3,Y. Ferrell makes 3-pt shot from 25 ft
7:47.0,Cleveland full timeout,,6-14,,
7:23.0,L. James misses 2-pt shot from 1 ft,,6-14,,
7:20.0,,,6-14,,Defensive rebound by D. Nowitzki
7:07.0,,,6-14,,D. Smith misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by J. Crowder,,6-14,,
6:57.0,Turnover by I. Shumpert (lost ball; steal by D. Smith),,6-14,,
6:50.0,,,6-16,2,D. Smith makes 2-pt shot from 1 ft
6:30.0,J. Smith makes 2-pt shot from 2 ft,2,8-16,,
6:08.0,,,8-16,,H. Barnes misses 2-pt shot from 12 ft
6:08.0,Defensive rebound by K. Love,,8-16,,
5:56.0,J. Smith makes 3-pt shot from 25 ft,3,11-16,,
5:35.0,,,11-16,,Turnover by H. Barnes (traveling)
5:35.0,,,11-16,,D. Powell enters the game for D. Nowitzki
5:24.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,14-16,,
5:21.0,,,14-16,,Dallas full timeout
5:05.0,,,14-16,,H. Barnes misses 2-pt shot from 3 ft
5:03.0,Defensive rebound by J. Crowder,,14-16,,
4:50.0,K. Love makes 3-pt shot from 24 ft (assist by J. Smith),3,17-16,,
4:27.0,,,17-16,,D. Harris enters the game for D. Smith
4:27.0,,,17-16,,J. Barea enters the game for Y. Ferrell
4:25.0,,,17-16,,Turnover by D. Harris (bad pass; steal by J. Smith)
4:13.0,Turnover by L. James (lost ball; steal by W. Matthews),,17-16,,
4:13.0,Personal take foul by J. Smith (drawn by H. Barnes),,17-16,,
4:13.0,D. Wade enters the game for I. Shumpert,,17-16,,
4:02.0,,,17-16,,W. Matthews misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by K. Love,,17-16,,
3:55.0,J. Crowder misses 2-pt shot from 3 ft,,17-16,,
3:55.0,Offensive rebound by L. James,,17-16,,
3:53.0,L. James makes 2-pt shot at rim,2,19-16,,
3:37.0,,,19-16,,D. Harris misses 3-pt shot from 25 ft
3:33.0,Defensive rebound by D. Wade,,19-16,,
3:33.0,Turnover by D. Wade (bad pass),,19-16,,
3:13.0,,,19-18,2,H. Barnes makes 2-pt shot from 5 ft
2:54.0,K. Love makes 2-pt shot from 2 ft (assist by D. Wade),2,21-18,,
2:39.0,,,21-18,,H. Barnes misses 3-pt shot from 26 ft
2:36.0,Defensive rebound by K. Love,,21-18,,
2:31.0,J. Green enters the game for K. Love,,21-18,,
2:31.0,K. Korver enters the game for J. Crowder,,21-18,,
2:31.0,,,21-18,,D. Finney-Smith enters the game for W. Matthews
2:29.0,,,21-18,,Personal foul by D. Finney-Smith (drawn by L. James)
2:23.0,J. Smith makes 3-pt shot from 22 ft (assist by D. Wade),3,24-18,,
2:05.0,,,24-21,3,J. Barea makes 3-pt shot from 25 ft
1:54.0,D. Wade misses 2-pt shot from 9 ft,,24-21,,
1:54.0,,,24-21,,Defensive rebound by D. Powell
1:46.0,,,24-21,,Turnover by J. Barea (lost ball; steal by J. Green)
1:43.0,,,24-21,,Personal foul by D. Finney-Smith (drawn by L. James)
1:43.0,I. Shumpert enters the game for J. Smith,,24-21,,
1:43.0,,,24-21,,W. Matthews enters the game for D. Finney-Smith
1:39.0,Offensive foul by L. James (drawn by W. Matthews),,24-21,,
1:39.0,Turnover by L. James (offensive foul),,24-21,,
1:16.0,,,24-21,,J. Barea misses 3-pt shot from 28 ft
1:11.0,Defensive rebound by D. Wade,,24-21,,
1:06.0,J. Green misses 2-pt shot from 3 ft,,24-21,,
1:06.0,,,24-21,,Defensive rebound by D. Powell
0:56.0,,,24-23,2,D. Harris makes 2-pt shot from 2 ft (assist by J. Barea)
0:46.0,Shooting foul by D. Powell (drawn by D. Wade),,24-23,,
0:46.0,D. Wade misses free throw 1 of 2,,24-23,,
0:46.0,Offensive rebound by Team,,24-23,,
0:46.0,,,24-23,,D. Nowitzki enters the game for H. Barnes
0:46.0,D. Wade makes free throw 2 of 2,1,25-23,,
0:29.0,,,25-23,,D. Harris misses 2-pt shot from 5 ft
0:26.0,Defensive rebound by L. James,,25-23,,
0:13.0,Shooting foul by D. Harris (drawn by D. Wade),,25-23,,
0:13.0,D. Wade makes free throw 1 of 2,1,26-23,,
0:13.0,J. Crowder enters the game for L. James,,26-23,,
0:13.0,J. Smith enters the game for K. Korver,,26-23,,
0:13.0,D. Wade makes free throw 2 of 2,1,27-23,,
0:06.0,,,27-23,,J. Barea misses 2-pt shot from 1 ft
0:04.0,Defensive rebound by I. Shumpert,,27-23,,
0:01.0,J. Green makes 2-pt shot from 22 ft (assist by J. Crowder),2,29-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,29-23,,D. Harris misses 2-pt shot from 5 ft (block by D. Wade)
11:43.0,,,29-23,,Offensive rebound by D. Harris
11:42.0,,,29-23,,Turnover by D. Harris (bad pass; steal by J. Green)
11:38.0,Turnover by J. Green (lost ball; steal by D. Nowitzki),,29-23,,
11:32.0,,,29-25,2,D. Harris makes 2-pt shot from 1 ft (assist by D. Finney-Smith)
11:21.0,K. Korver misses 3-pt shot from 24 ft,,29-25,,
11:21.0,,,29-25,,Defensive rebound by D. Powell
11:02.0,,,29-25,,D. Powell misses 2-pt shot from 20 ft
11:02.0,Defensive rebound by D. Wade,,29-25,,
10:52.0,Turnover by D. Wade (bad pass; steal by D. Powell),,29-25,,
10:34.0,Personal foul by K. Korver (drawn by D. Powell),,29-25,,
10:27.0,,,29-25,,D. Harris misses 2-pt shot from 17 ft
10:24.0,Defensive rebound by D. Wade,,29-25,,
10:21.0,Shooting foul by D. Powell (drawn by J. Green),,29-25,,
10:21.0,J. Green makes free throw 1 of 2,1,30-25,,
10:21.0,,,30-25,,M. Kleber enters the game for D. Powell
10:21.0,J. Green makes free throw 2 of 2,1,31-25,,
10:03.0,,,31-25,,D. Nowitzki misses 2-pt shot from 18 ft
10:00.0,Defensive rebound by C. Frye,,31-25,,
9:52.0,D. Wade misses 2-pt shot from 14 ft,,31-25,,
9:50.0,,,31-25,,Defensive rebound by J. Barea
9:46.0,,,31-25,,Shooting foul by C. Frye (drawn by D. Harris)
