time,Houston,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Thompson vs. C. Capela (R. Anderson gains possession),,,,Jump ball: T. Thompson vs. C. Capela (R. Anderson gains possession)
11:38.0,C. Capela makes 2-pt shot from 1 ft (assist by L. Mbah a Moute),2,2-0,,
11:26.0,,,2-0,,Turnover by L. James (lost ball; steal by J. Harden)
11:21.0,L. Mbah a Moute misses 2-pt shot from 3 ft,,2-0,,
11:18.0,,,2-0,,Defensive rebound by I. Thomas
11:08.0,,,2-2,2,I. Thomas makes 2-pt shot at rim
11:01.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by C. Paul),2,4-2,,
10:43.0,,,4-4,2,T. Thompson makes 2-pt shot from 1 ft
10:29.0,L. Mbah a Moute misses 3-pt shot from 22 ft,,4-4,,
10:26.0,,,4-4,,Defensive rebound by T. Thompson
10:16.0,,,4-4,,L. James misses 2-pt shot from 14 ft
10:14.0,Defensive rebound by R. Anderson,,4-4,,
9:52.0,J. Harden misses 3-pt shot from 26 ft,,4-4,,
9:48.0,,,4-4,,Defensive rebound by J. Smith
9:35.0,,,4-4,,T. Thompson misses 2-pt shot from 9 ft
9:33.0,,,4-4,,Offensive rebound by T. Thompson
9:31.0,,,4-4,,I. Thomas misses 3-pt shot from 25 ft
9:28.0,Defensive rebound by C. Capela,,4-4,,
9:10.0,C. Paul makes 3-pt shot from 22 ft,3,7-4,,
8:58.0,,,7-4,,I. Thomas misses 2-pt shot from 1 ft
8:56.0,Defensive rebound by C. Capela,,7-4,,
8:49.0,R. Anderson misses 3-pt shot from 30 ft,,7-4,,
8:45.0,,,7-4,,Defensive rebound by L. James
8:44.0,Personal foul by R. Anderson (drawn by I. Thomas),,7-4,,
8:38.0,,,7-4,,J. Smith misses 2-pt shot from 20 ft
8:36.0,Defensive rebound by R. Anderson,,7-4,,
8:16.0,J. Harden makes 2-pt shot from 1 ft,2,9-4,,
8:16.0,Shooting foul by J. Crowder (drawn by J. Harden),,9-4,,
