time,Milwaukee,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: H. Whiteside vs. J. Henson (G. Antetokounmpo gains possession),,,,Jump ball: H. Whiteside vs. J. Henson (G. Antetokounmpo gains possession)
11:41.0,G. Antetokounmpo misses 2-pt shot from 9 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by H. Whiteside
11:19.0,,,0-0,,J. Richardson misses 2-pt shot from 3 ft
11:15.0,Defensive rebound by T. Snell,,0-0,,
11:12.0,K. Middleton makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,3-0,,
10:52.0,,,3-0,,J. Winslow misses 2-pt shot from 2 ft (block by E. Bledsoe)
10:52.0,,,3-0,,Offensive rebound by Team
10:46.0,,,3-0,,J. Richardson misses 3-pt shot from 25 ft
10:43.0,Defensive rebound by J. Henson,,3-0,,
10:28.0,T. Snell misses 3-pt shot from 24 ft,,3-0,,
10:25.0,,,3-0,,Defensive rebound by H. Whiteside
10:20.0,,,3-0,,J. Winslow misses 2-pt shot from 1 ft
10:17.0,Defensive rebound by J. Henson,,3-0,,
10:10.0,G. Antetokounmpo misses 2-pt shot from 1 ft (block by H. Whiteside),,3-0,,
10:06.0,,,3-0,,Defensive rebound by J. Winslow
10:04.0,,,3-0,,Turnover by T. Johnson (bad pass)
9:53.0,E. Bledsoe makes 2-pt shot from 1 ft,2,5-0,,
9:39.0,,,5-0,,T. Johnson misses 3-pt shot from 25 ft
9:37.0,Defensive rebound by G. Antetokounmpo,,5-0,,
9:27.0,E. Bledsoe makes 2-pt shot at rim,2,7-0,,
9:05.0,,,7-0,,G. Dragic misses 2-pt shot from 13 ft (block by T. Snell)
9:02.0,Defensive rebound by G. Antetokounmpo,,7-0,,
8:57.0,,,7-0,,Personal foul by J. Richardson (drawn by K. Middleton)
8:47.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by J. Henson),2,9-0,,
8:45.0,,,9-0,,Miami full timeout
8:34.0,,,9-0,,G. Dragic misses 2-pt shot from 4 ft (block by E. Bledsoe)
8:33.0,,,9-0,,Offensive rebound by H. Whiteside
8:32.0,Personal foul by J. Henson (drawn by H. Whiteside),,9-0,,
8:16.0,,,9-3,3,J. Richardson makes 3-pt shot from 25 ft (assist by G. Dragic)
7:58.0,K. Middleton makes 2-pt shot from 8 ft (assist by G. Antetokounmpo),2,11-3,,
7:37.0,,,11-3,,J. Winslow misses 2-pt shot from 7 ft
7:34.0,Defensive rebound by J. Henson,,11-3,,
7:26.0,Turnover by G. Antetokounmpo (step out of bounds),,11-3,,
7:05.0,,,11-3,,J. Richardson misses 2-pt shot from 1 ft
7:01.0,,,11-3,,Offensive rebound by J. Winslow
7:01.0,,,11-3,,J. Winslow misses 2-pt shot at rim
7:00.0,,,11-3,,Offensive rebound by T. Johnson
6:57.0,,,11-5,2,T. Johnson makes 2-pt shot from 1 ft
6:46.0,G. Antetokounmpo makes 2-pt shot from 2 ft (assist by K. Middleton),2,13-5,,
6:26.0,,,13-5,,T. Johnson misses 2-pt shot from 1 ft
6:26.0,,,13-5,,Offensive rebound by H. Whiteside
6:24.0,,,13-7,2,H. Whiteside makes 2-pt shot at rim
6:06.0,T. Snell misses 2-pt shot from 1 ft,,13-7,,
6:05.0,,,13-7,,Defensive rebound by Team
6:05.0,Technical foul by J. Henson,,13-7,,
6:05.0,,,13-8,1,G. Dragic makes technical free throw
