time,Oklahoma City,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. S. Adams (R. Westbrook gains possession),,,,Jump ball: A. Drummond vs. S. Adams (R. Westbrook gains possession)
11:37.0,Turnover by C. Anthony (traveling),,0-0,,
11:23.0,,,0-0,,Shooting foul by C. Anthony (drawn by A. Drummond)
11:23.0,,,0-0,,A. Drummond misses free throw 1 of 2
11:23.0,,,0-0,,Offensive rebound by Team
11:23.0,,,0-0,,A. Drummond misses free throw 2 of 2
11:19.0,,,0-0,,Offensive rebound by A. Drummond
11:18.0,,,0-0,,Turnover by A. Drummond (lost ball; steal by C. Anthony)
11:14.0,C. Anthony misses 3-pt shot from 25 ft,,0-0,,
11:12.0,Offensive rebound by P. George,,0-0,,
11:03.0,Turnover by C. Anthony (bad pass),,0-0,,
10:43.0,,,0-0,,S. Johnson misses 2-pt shot from 13 ft
10:40.0,Defensive rebound by R. Westbrook,,0-0,,
10:36.0,Turnover by R. Westbrook (bad pass; steal by A. Drummond),,0-0,,
10:29.0,,,0-0,,A. Bradley misses 3-pt shot from 22 ft
10:20.0,Defensive rebound by C. Anthony,,0-0,,
10:16.0,R. Westbrook makes 2-pt shot from 13 ft,2,2-0,,
10:01.0,,,2-0,,Turnover by A. Bradley (lost ball; steal by R. Westbrook)
9:58.0,Shooting foul by L. Galloway (drawn by R. Westbrook),,2-0,,
9:58.0,R. Westbrook misses free throw 1 of 2,,2-0,,
9:58.0,Offensive rebound by Team,,2-0,,
9:58.0,R. Westbrook misses free throw 2 of 2,,2-0,,
9:56.0,Offensive rebound by S. Adams,,2-0,,
9:53.0,S. Adams makes 2-pt shot at rim,2,4-0,,
9:35.0,,,4-2,2,A. Drummond makes 2-pt shot from 9 ft
9:18.0,P. George misses 3-pt shot from 25 ft,,4-2,,
9:14.0,,,4-2,,Defensive rebound by A. Bradley
9:06.0,,,4-5,3,T. Harris makes 3-pt shot from 25 ft (assist by L. Galloway)
8:55.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,7-5,,
8:42.0,,,7-8,3,L. Galloway makes 3-pt shot from 25 ft
8:24.0,P. George makes 2-pt shot from 1 ft,2,9-8,,
8:24.0,Shooting foul by L. Galloway (drawn by P. George),,9-8,,
8:24.0,P. George makes free throw 1 of 1,1,10-8,,
8:12.0,,,10-8,,Shooting foul by R. Westbrook (drawn by L. Galloway)
8:12.0,,,10-8,,L. Galloway misses free throw 1 of 3
8:12.0,,,10-8,,Offensive rebound by Team
8:12.0,Oklahoma City full timeout,,10-8,,
8:12.0,,,10-9,1,L. Galloway makes free throw 2 of 3
8:12.0,,,10-10,1,L. Galloway makes free throw 3 of 3
8:04.0,,,10-10,,Personal foul by A. Bradley (drawn by R. Westbrook)
8:04.0,,,10-10,,I. Smith enters the game for L. Galloway
7:58.0,R. Westbrook misses 2-pt shot from 3 ft,,10-10,,
7:56.0,,,10-10,,Defensive rebound by A. Drummond
7:44.0,,,10-10,,S. Johnson misses 3-pt shot from 26 ft
7:40.0,,,10-10,,Offensive rebound by A. Drummond
7:39.0,,,10-12,2,A. Drummond makes 2-pt shot at rim
7:25.0,,,10-12,,Personal foul by S. Johnson
7:25.0,,,10-12,,Technical foul by S. Johnson
7:25.0,C. Anthony makes technical free throw,1,11-12,,
7:17.0,R. Westbrook misses 2-pt shot from 17 ft,,11-12,,
7:15.0,Offensive rebound by R. Westbrook,,11-12,,
7:15.0,R. Westbrook misses 2-pt shot from 2 ft (block by A. Drummond),,11-12,,
7:13.0,,,11-12,,Defensive rebound by S. Johnson
7:07.0,,,11-12,,T. Harris misses 2-pt shot from 5 ft
7:06.0,Defensive rebound by P. George,,11-12,,
7:01.0,P. George makes 2-pt shot from 1 ft,2,13-12,,
6:38.0,,,13-12,,T. Harris misses 3-pt shot from 22 ft
6:35.0,Defensive rebound by C. Anthony,,13-12,,
6:17.0,C. Anthony makes 2-pt shot from 17 ft,2,15-12,,
6:09.0,,,15-12,,Turnover by I. Smith (turnover)
5:58.0,S. Adams makes 2-pt shot from 9 ft (assist by R. Westbrook),2,17-12,,
5:28.0,,,17-15,3,I. Smith makes 3-pt shot from 23 ft (assist by S. Johnson)
5:18.0,P. George makes 3-pt shot from 25 ft (assist by R. Westbrook),3,20-15,,
5:04.0,,,20-15,,Turnover by A. Bradley (turnover)
4:51.0,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook),2,22-15,,
4:43.0,,,22-15,,Detroit full timeout
4:43.0,,,22-15,,L. Kennard enters the game for S. Johnson
4:25.0,,,22-15,,A. Drummond misses 2-pt shot from 6 ft
4:23.0,Defensive rebound by A. Roberson,,22-15,,
4:18.0,R. Westbrook makes 2-pt shot from 1 ft (assist by A. Roberson),2,24-15,,
4:08.0,,,24-15,,Turnover by I. Smith (lost ball; steal by P. George)
4:04.0,R. Westbrook makes 2-pt shot from 1 ft,2,26-15,,
3:48.0,,,26-15,,Offensive charge foul by L. Kennard (drawn by R. Westbrook)
3:48.0,,,26-15,,Turnover by L. Kennard (offensive foul)
3:48.0,T. Ferguson enters the game for A. Roberson,,26-15,,
3:29.0,T. Ferguson misses 2-pt shot from 6 ft,,26-15,,
3:27.0,,,26-15,,Defensive rebound by A. Drummond
3:23.0,,,26-17,2,I. Smith makes 2-pt shot at rim
3:14.0,C. Anthony misses 2-pt shot from 2 ft (block by A. Drummond),,26-17,,
3:13.0,Offensive rebound by Team,,26-17,,
3:08.0,C. Anthony makes 3-pt shot from 24 ft (assist by R. Westbrook),3,29-17,,
2:49.0,,,29-17,,Shooting foul by S. Adams (drawn by T. Harris)
2:49.0,,,29-18,1,T. Harris makes free throw 1 of 2
2:49.0,,,29-19,1,T. Harris makes free throw 2 of 2
2:38.0,R. Westbrook makes 2-pt shot from 7 ft,2,31-19,,
2:19.0,,,31-19,,Turnover by I. Smith (bad pass)
2:19.0,R. Felton enters the game for R. Westbrook,,31-19,,
2:06.0,C. Anthony misses 2-pt shot from 19 ft,,31-19,,
2:04.0,,,31-19,,Defensive rebound by A. Drummond
1:53.0,,,31-21,2,A. Bradley makes 2-pt shot at rim (assist by A. Drummond)
1:30.0,C. Anthony misses 2-pt shot from 17 ft,,31-21,,
1:28.0,,,31-21,,Defensive rebound by A. Drummond
1:16.0,,,31-21,,Shooting foul by T. Ferguson (drawn by T. Harris)
1:16.0,,,31-21,,T. Harris misses free throw 1 of 2
1:16.0,,,31-21,,Offensive rebound by Team
1:16.0,,,31-21,,R. Bullock enters the game for A. Bradley
1:16.0,J. Grant enters the game for C. Anthony,,31-21,,
1:16.0,,,31-22,1,T. Harris makes free throw 2 of 2
1:09.0,Shooting foul by I. Smith (drawn by P. George),,31-22,,
1:09.0,P. George makes free throw 1 of 2,1,32-22,,
1:09.0,,,32-22,,B. Marjanovic enters the game for A. Drummond
1:09.0,P. Patterson enters the game for S. Adams,,32-22,,
1:09.0,P. George makes free throw 2 of 2,1,33-22,,
0:52.0,,,33-22,,I. Smith misses 2-pt shot from 14 ft
