time,Toronto,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. J. Valanciunas (T. Ulis gains possession),,,,Jump ball: M. Chriss vs. J. Valanciunas (T. Ulis gains possession)
11:44.0,,,0-0,,J. Jackson misses 2-pt shot from 1 ft
11:40.0,Defensive rebound by S. Ibaka,,0-0,,
11:22.0,D. DeRozan misses 2-pt shot from 17 ft,,0-0,,
11:19.0,,,0-0,,Defensive rebound by T. Warren
11:14.0,,,0-0,,J. Jackson misses 2-pt shot from 1 ft (block by S. Ibaka)
11:11.0,Defensive rebound by J. Valanciunas,,0-0,,
11:08.0,Turnover by D. DeRozan (traveling),,0-0,,
10:54.0,,,0-0,,M. Chriss misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by O. Anunoby,,0-0,,
10:46.0,S. Ibaka misses 2-pt shot from 3 ft,,0-0,,
10:44.0,,,0-0,,Defensive rebound by G. Monroe
10:33.0,,,0-2,2,G. Monroe makes 2-pt shot from 4 ft
10:18.0,Shooting foul by M. Chriss (drawn by D. DeRozan),,0-2,,
10:18.0,D. DeRozan makes free throw 1 of 2,1,1-2,,
10:18.0,D. DeRozan makes free throw 2 of 2,1,2-2,,
10:00.0,,,2-4,2,G. Monroe makes 2-pt shot from 3 ft (assist by T. Ulis)
9:45.0,O. Anunoby makes 3-pt shot from 24 ft (assist by K. Lowry),3,5-4,,
9:25.0,,,5-4,,J. Jackson misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by K. Lowry,,5-4,,
9:13.0,S. Ibaka makes 2-pt shot from 6 ft,2,7-4,,
8:51.0,,,7-6,2,T. Ulis makes 2-pt shot from 13 ft
8:33.0,J. Valanciunas misses 2-pt shot from 1 ft,,7-6,,
8:31.0,,,7-6,,Defensive rebound by G. Monroe
8:22.0,,,7-6,,G. Monroe misses 2-pt shot at rim
8:15.0,,,7-6,,Offensive rebound by T. Warren
8:15.0,,,7-8,2,T. Warren makes 2-pt shot at rim
7:59.0,J. Valanciunas makes 2-pt shot at rim,2,9-8,,
7:51.0,,,9-8,,T. Warren misses 2-pt shot from 18 ft
7:48.0,Defensive rebound by D. DeRozan,,9-8,,
7:41.0,S. Ibaka makes 3-pt shot from 24 ft (assist by K. Lowry),3,12-8,,
7:40.0,,,12-8,,Phoenix full timeout
7:30.0,,,12-8,,T. Warren misses 2-pt shot from 8 ft
7:27.0,Defensive rebound by J. Valanciunas,,12-8,,
7:20.0,Shooting foul by J. Jackson (drawn by J. Valanciunas),,12-8,,
7:20.0,J. Valanciunas misses free throw 1 of 2,,12-8,,
7:20.0,Offensive rebound by Team,,12-8,,
7:20.0,J. Valanciunas makes free throw 2 of 2,1,13-8,,
7:00.0,,,13-8,,G. Monroe misses 2-pt shot from 1 ft
