time,Memphis,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Chriss vs. M. Gasol (T. Evans gains possession),,,,Jump ball: M. Chriss vs. M. Gasol (T. Evans gains possession)
11:40.0,T. Evans makes 2-pt shot at rim,2,2-0,,
11:16.0,,,2-2,2,G. Monroe makes 2-pt shot at rim (assist by T. Ulis)
11:01.0,T. Evans makes 2-pt shot at rim,2,4-2,,
10:53.0,,,4-2,,Shooting foul by M. Gasol (drawn by J. Jackson)
10:53.0,,,4-3,1,J. Jackson makes free throw 1 of 2
10:53.0,,,4-4,1,J. Jackson makes free throw 2 of 2
10:34.0,T. Evans makes 2-pt shot from 2 ft,2,6-4,,
10:13.0,,,6-4,,T. Ulis misses 2-pt shot at rim
10:10.0,Defensive rebound by J. Green,,6-4,,
10:03.0,,,6-4,,Personal foul by G. Monroe (drawn by M. Gasol)
9:55.0,,,6-4,,Personal foul by T. Ulis (drawn by A. Harrison)
9:49.0,D. Brooks misses 2-pt shot from 12 ft,,6-4,,
9:47.0,,,6-4,,Defensive rebound by T. Warren
9:43.0,,,6-7,3,T. Ulis makes 3-pt shot from 25 ft
9:30.0,A. Harrison makes 2-pt shot at rim,2,8-7,,
9:09.0,,,8-7,,T. Warren misses 2-pt shot from 11 ft
9:08.0,Defensive rebound by J. Green,,8-7,,
8:59.0,T. Evans misses 2-pt shot at rim,,8-7,,
8:57.0,,,8-7,,Defensive rebound by M. Chriss
8:54.0,,,8-7,,Turnover by T. Ulis (bad pass; steal by D. Brooks)
8:45.0,J. Green makes 2-pt shot at rim,2,10-7,,
8:45.0,,,10-7,,Phoenix full timeout
8:27.0,,,10-7,,T. Warren misses 2-pt shot from 14 ft
8:24.0,Defensive rebound by M. Gasol,,10-7,,
8:05.0,J. Green makes 2-pt shot at rim (assist by M. Gasol),2,12-7,,
7:39.0,,,12-7,,T. Ulis misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by D. Brooks,,12-7,,
7:23.0,M. Gasol misses 2-pt shot from 14 ft,,12-7,,
7:22.0,Offensive rebound by J. Green,,12-7,,
7:22.0,,,12-7,,Personal foul by M. Chriss (drawn by J. Green)
7:09.0,M. Gasol misses 2-pt shot from 21 ft,,12-7,,
7:06.0,,,12-7,,Defensive rebound by T. Ulis
6:56.0,,,12-9,2,T. Warren makes 2-pt shot from 5 ft (assist by G. Monroe)
6:37.0,D. Brooks misses 3-pt shot from 25 ft,,12-9,,
