time,Dallas,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Johnson vs. H. Barnes (P. George gains possession),,,,Jump ball: D. Johnson vs. H. Barnes (P. George gains possession)
11:42.0,,,0-0,,Turnover by A. Roberson (turnover)
11:27.0,H. Barnes makes 2-pt shot from 19 ft,2,2-0,,
11:10.0,,,2-0,,P. George misses 2-pt shot from 13 ft
11:09.0,Defensive rebound by D. Smith,,2-0,,
10:53.0,Y. Ferrell makes 2-pt shot from 15 ft (assist by H. Barnes),2,4-0,,
10:37.0,,,4-0,,J. Grant misses 3-pt shot from 23 ft
10:34.0,Defensive rebound by D. Smith,,4-0,,
10:24.0,Turnover by D. Smith (bad pass),,4-0,,
10:15.0,,,4-0,,Shooting foul by D. Smith (drawn by R. Westbrook)
10:15.0,,,4-1,1,R. Westbrook makes free throw 1 of 2
10:15.0,,,4-2,1,R. Westbrook makes free throw 2 of 2
9:58.0,W. Matthews misses 3-pt shot from 22 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by J. Grant
9:39.0,,,4-4,2,D. Johnson makes 2-pt shot from 3 ft
9:19.0,D. Smith makes 3-pt shot from 25 ft (assist by W. Matthews),3,7-4,,
9:07.0,,,7-7,3,P. George makes 3-pt shot from 24 ft (assist by J. Grant)
8:55.0,D. Nowitzki misses 3-pt shot from 25 ft,,7-7,,
8:53.0,,,7-7,,Defensive rebound by P. George
8:44.0,,,7-7,,R. Westbrook misses 2-pt shot from 13 ft
8:43.0,Defensive rebound by Team,,7-7,,
8:33.0,D. Nowitzki misses 3-pt shot from 24 ft,,7-7,,
8:30.0,,,7-7,,Defensive rebound by J. Grant
8:23.0,,,7-7,,Turnover by R. Westbrook (bad pass; steal by D. Smith)
8:17.0,D. Smith misses 3-pt shot from 24 ft,,7-7,,
8:14.0,,,7-7,,Defensive rebound by P. George
8:08.0,,,7-9,2,P. George makes 2-pt shot at rim
8:07.0,Dallas full timeout,,7-9,,
7:48.0,Turnover by Y. Ferrell (bad pass),,7-9,,
7:39.0,,,7-9,,R. Westbrook misses 2-pt shot from 14 ft
7:35.0,Defensive rebound by D. Smith,,7-9,,
7:29.0,Turnover by H. Barnes (bad pass; steal by A. Roberson),,7-9,,
7:16.0,,,7-9,,Shooting foul by D. Nowitzki (drawn by R. Westbrook)
7:16.0,,,7-10,1,R. Westbrook makes free throw 1 of 2
7:16.0,S. Mejri enters the game for D. Nowitzki,,7-10,,
7:16.0,,,7-11,1,R. Westbrook makes free throw 2 of 2
6:55.0,W. Matthews misses 2-pt shot from 2 ft (block by D. Johnson),,7-11,,
6:55.0,,,7-11,,Defensive rebound by R. Westbrook
6:46.0,,,7-11,,Shooting foul by S. Mejri (drawn by A. Roberson)
6:46.0,,,7-11,,A. Roberson misses free throw 1 of 2
6:46.0,,,7-11,,Offensive rebound by Team
