time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (T. Satoransky gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (T. Satoransky gains possession)
11:42.0,,,0-0,,M. Morris misses 2-pt shot from 14 ft
11:39.0,Defensive rebound by N. Powell,,0-0,,
11:18.0,N. Powell misses 3-pt shot from 26 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by M. Morris
11:04.0,,,0-2,2,M. Gortat makes 2-pt shot from 12 ft
11:04.0,,,0-2,,Shooting foul by J. Valanciunas (drawn by M. Gortat)
11:04.0,,,0-3,1,M. Gortat makes free throw 1 of 1
10:46.0,D. DeRozan misses 3-pt shot from 25 ft,,0-3,,
10:43.0,,,0-3,,Defensive rebound by T. Satoransky
10:36.0,,,0-6,3,B. Beal makes 3-pt shot from 25 ft (assist by M. Gortat)
10:17.0,S. Ibaka makes 2-pt shot from 2 ft (assist by N. Powell),2,2-6,,
10:03.0,,,2-8,2,M. Gortat makes 2-pt shot from 14 ft (assist by T. Satoransky)
9:51.0,Offensive charge foul by J. Valanciunas (drawn by M. Gortat),,2-8,,
9:51.0,Turnover by J. Valanciunas (offensive foul),,2-8,,
9:51.0,J. Poeltl enters the game for J. Valanciunas,,2-8,,
9:40.0,,,2-8,,Turnover by T. Satoransky (lost ball; steal by K. Lowry)
9:37.0,K. Lowry makes 2-pt shot from 1 ft,2,4-8,,
9:23.0,,,4-8,,M. Gortat misses 2-pt shot from 7 ft
9:18.0,,,4-8,,Offensive rebound by M. Morris
8:59.0,,,4-11,3,B. Beal makes 3-pt shot from 22 ft (assist by T. Satoransky)
8:37.0,S. Ibaka misses 3-pt shot from 25 ft,,4-11,,
8:34.0,,,4-11,,Defensive rebound by M. Gortat
8:24.0,,,4-11,,M. Morris misses 2-pt shot from 10 ft (block by J. Poeltl)
8:22.0,,,4-11,,Offensive rebound by O. Porter
8:21.0,,,4-13,2,O. Porter makes 2-pt shot at rim
8:11.0,Toronto full timeout,,4-13,,
7:53.0,K. Lowry misses 2-pt shot from 16 ft,,4-13,,
7:49.0,,,4-13,,Defensive rebound by M. Gortat
7:37.0,,,4-16,3,M. Morris makes 3-pt shot from 24 ft (assist by T. Satoransky)
7:19.0,D. DeRozan misses 2-pt shot from 19 ft,,4-16,,
7:14.0,,,4-16,,Defensive rebound by O. Porter
7:02.0,,,4-18,2,M. Morris makes 2-pt shot from 11 ft (assist by T. Satoransky)
6:40.0,D. DeRozan makes 2-pt shot from 1 ft,2,6-18,,
6:20.0,,,6-18,,T. Satoransky misses 2-pt shot from 15 ft
6:16.0,Defensive rebound by K. Lowry,,6-18,,
6:15.0,,,6-18,,Violation by T. Satoransky (kicked ball)
6:12.0,Turnover by J. Poeltl (bad pass),,6-18,,
5:52.0,,,6-18,,M. Gortat misses 2-pt shot from 12 ft
5:48.0,,,6-18,,Offensive rebound by B. Beal
5:47.0,,,6-18,,B. Beal misses 3-pt shot from 23 ft
5:47.0,Defensive rebound by K. Lowry,,6-18,,
5:36.0,,,6-18,,Def 3 sec tech foul by M. Morris
5:36.0,D. DeRozan misses technical free throw,,6-18,,
5:36.0,Offensive rebound by Team,,6-18,,
5:30.0,Shooting foul by M. Morris (drawn by S. Ibaka),,6-18,,
5:30.0,S. Ibaka misses free throw 1 of 2,,6-18,,
5:30.0,Offensive rebound by Team,,6-18,,
5:30.0,S. Ibaka makes free throw 2 of 2,1,7-18,,
5:09.0,,,7-21,3,T. Satoransky makes 3-pt shot from 24 ft (assist by B. Beal)
4:52.0,K. Lowry makes 2-pt shot from 2 ft,2,9-21,,
4:35.0,,,9-21,,B. Beal misses 2-pt shot from 10 ft
4:33.0,Defensive rebound by S. Ibaka,,9-21,,
4:28.0,S. Ibaka misses 3-pt shot from 27 ft,,9-21,,
4:24.0,,,9-21,,Defensive rebound by T. Satoransky
4:18.0,,,9-21,,Turnover by T. Satoransky (bad pass)
4:18.0,F. VanVleet enters the game for S. Ibaka,,9-21,,
4:18.0,P. Siakam enters the game for N. Powell,,9-21,,
4:04.0,J. Poeltl makes 2-pt shot from 2 ft (assist by P. Siakam),2,11-21,,
4:03.0,,,11-21,,Washington full timeout
4:03.0,,,11-21,,I. Mahinmi enters the game for M. Gortat
4:03.0,,,11-21,,T. Frazier enters the game for T. Satoransky
3:51.0,Personal foul by F. VanVleet (drawn by M. Morris),,11-21,,
3:40.0,,,11-21,,B. Beal misses 2-pt shot from 16 ft
3:36.0,,,11-21,,Offensive rebound by I. Mahinmi
3:36.0,,,11-21,,Shooting foul by J. Poeltl (drawn by I. Mahinmi)
3:36.0,,,11-22,1,I. Mahinmi makes free throw 1 of 2
3:36.0,,,11-22,,I. Mahinmi misses free throw 2 of 2
3:34.0,Defensive rebound by P. Siakam,,11-22,,
3:22.0,K. Lowry misses 3-pt shot from 28 ft,,11-22,,
3:19.0,,,11-22,,Defensive rebound by T. Frazier
3:05.0,,,11-24,2,M. Morris makes 2-pt shot from 7 ft
2:44.0,D. DeRozan makes 2-pt shot from 2 ft,2,13-24,,
2:24.0,,,13-24,,M. Morris misses 2-pt shot from 12 ft
2:20.0,Defensive rebound by K. Lowry,,13-24,,
2:17.0,P. Siakam misses 2-pt shot from 2 ft,,13-24,,
2:15.0,,,13-24,,Defensive rebound by T. Frazier
2:13.0,,,13-24,,Offensive charge foul by T. Frazier (drawn by K. Lowry)
2:13.0,,,13-24,,Turnover by T. Frazier (offensive foul)
2:13.0,,,13-24,,K. Oubre enters the game for M. Morris
2:13.0,L. Nogueira enters the game for K. Lowry,,13-24,,
2:13.0,C. Miles enters the game for J. Poeltl,,13-24,,
2:04.0,D. DeRozan misses 2-pt shot from 21 ft,,13-24,,
2:01.0,,,13-24,,Defensive rebound by B. Beal
1:57.0,Personal foul by P. Siakam (drawn by B. Beal),,13-24,,
1:57.0,,,13-24,,J. Meeks enters the game for B. Beal
1:52.0,,,13-24,,Turnover by I. Mahinmi (bad pass; steal by D. DeRozan)
1:51.0,,,13-24,,Personal foul by I. Mahinmi (drawn by D. DeRozan)
1:42.0,F. VanVleet makes 2-pt shot from 2 ft,2,15-24,,
1:28.0,,,15-24,,Shooting foul by C. Miles (drawn by I. Mahinmi)
1:28.0,,,15-24,,I. Mahinmi misses free throw 1 of 2
1:28.0,,,15-24,,Offensive rebound by Team
1:28.0,,,15-25,1,I. Mahinmi makes free throw 2 of 2
1:14.0,Shooting foul by I. Mahinmi (drawn by D. DeRozan),,15-25,,
1:14.0,D. DeRozan makes free throw 1 of 2,1,16-25,,
1:14.0,D. DeRozan makes free throw 2 of 2,1,17-25,,
1:07.0,,,17-25,,Turnover by T. Frazier (lost ball; steal by P. Siakam)
1:01.0,P. Siakam misses 2-pt shot from 1 ft,,17-25,,
1:00.0,Offensive rebound by Team,,17-25,,
0:54.0,F. VanVleet misses 3-pt shot from 25 ft,,17-25,,
0:51.0,,,17-25,,Defensive rebound by T. Frazier
0:44.0,,,17-25,,K. Oubre misses 2-pt shot from 3 ft (block by C. Miles)
0:43.0,,,17-25,,Offensive rebound by I. Mahinmi
0:42.0,,,17-25,,I. Mahinmi misses 2-pt shot from 8 ft
0:38.0,,,17-25,,Offensive rebound by O. Porter
0:38.0,,,17-27,2,O. Porter makes 2-pt shot at rim
0:27.0,D. DeRozan misses 3-pt shot from 26 ft,,17-27,,
0:24.0,Offensive rebound by L. Nogueira,,17-27,,
0:04.0,D. DeRozan makes 2-pt shot from 22 ft,2,19-27,,
0:00.0,,,19-27,,T. Frazier misses 3-pt shot from 39 ft
0:00.0,Defensive rebound by Team,,19-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,F. VanVleet makes 3-pt shot from 26 ft (assist by D. Wright),3,22-27,,
11:25.0,,,22-27,,J. Meeks misses 2-pt shot from 5 ft
11:24.0,,,22-27,,Offensive rebound by I. Mahinmi
11:23.0,,,22-27,,I. Mahinmi misses 2-pt shot from 2 ft
11:23.0,Defensive rebound by L. Nogueira,,22-27,,
11:18.0,,,22-27,,Personal foul by K. Oubre (drawn by D. Wright)
11:12.0,P. Siakam makes 2-pt shot from 2 ft,2,24-27,,
11:12.0,Shooting foul by M. Scott (drawn by P. Siakam),,24-27,,
11:12.0,P. Siakam makes free throw 1 of 1,1,25-27,,
10:54.0,Personal foul by C. Miles (drawn by J. Meeks),,25-27,,
10:45.0,,,25-30,3,K. Oubre makes 3-pt shot from 25 ft (assist by T. Frazier)
10:22.0,Shooting foul by I. Mahinmi (drawn by L. Nogueira),,25-30,,
10:22.0,L. Nogueira misses free throw 1 of 2,,25-30,,
10:22.0,Offensive rebound by Team,,25-30,,
10:22.0,,,25-30,,T. Satoransky enters the game for T. Frazier
10:22.0,,,25-30,,J. Smith enters the game for I. Mahinmi
10:22.0,L. Nogueira makes free throw 2 of 2,1,26-30,,
9:59.0,,,26-30,,M. Scott misses 2-pt shot from 5 ft
9:55.0,,,26-30,,Offensive rebound by T. Satoransky
9:53.0,,,26-30,,Turnover by K. Oubre (out of bounds lost ball)
9:43.0,C. Miles makes 3-pt shot from 29 ft (assist by D. Wright),3,29-30,,
9:41.0,,,29-30,,Washington full timeout
9:29.0,,,29-32,2,J. Smith makes 2-pt shot from 17 ft (assist by T. Satoransky)
9:14.0,L. Nogueira makes 2-pt shot from 6 ft (assist by C. Miles),2,31-32,,
9:14.0,Shooting foul by M. Scott (drawn by L. Nogueira),,31-32,,
9:14.0,L. Nogueira makes free throw 1 of 1,1,32-32,,
9:00.0,Personal foul by C. Miles (drawn by J. Meeks),,32-32,,
8:45.0,,,32-32,,T. Satoransky misses 3-pt shot from 24 ft
8:41.0,Defensive rebound by D. Wright,,32-32,,
8:38.0,Offensive foul by L. Nogueira (drawn by K. Oubre),,32-32,,
8:38.0,Turnover by L. Nogueira (offensive foul),,32-32,,
8:38.0,,,32-32,,O. Porter enters the game for J. Meeks
8:38.0,,,32-32,,B. Beal enters the game for M. Scott
8:38.0,M. Miller enters the game for C. Miles,,32-32,,
8:23.0,,,32-32,,Turnover by O. Porter (bad pass; steal by D. Wright)
8:10.0,P. Siakam misses 2-pt shot from 10 ft,,32-32,,
8:07.0,,,32-32,,Defensive rebound by O. Porter
8:01.0,,,32-32,,Turnover by T. Satoransky (bad pass)
7:50.0,M. Miller makes 3-pt shot from 26 ft (assist by F. VanVleet),3,35-32,,
7:30.0,,,35-32,,J. Smith misses 3-pt shot from 24 ft
7:28.0,,,35-32,,Offensive rebound by K. Oubre
7:26.0,,,35-34,2,K. Oubre makes 2-pt shot from 1 ft
7:16.0,Turnover by F. VanVleet (out of bounds lost ball),,35-34,,
7:00.0,,,35-34,,Turnover by T. Satoransky (bad pass; steal by F. VanVleet)
7:00.0,,,35-34,,Personal foul by T. Satoransky (drawn by F. VanVleet)
7:00.0,F. VanVleet makes free throw 1 of 2,1,36-34,,
7:00.0,,,36-34,,M. Morris enters the game for J. Smith
7:00.0,J. Valanciunas enters the game for L. Nogueira,,36-34,,
7:00.0,F. VanVleet makes free throw 2 of 2,1,37-34,,
6:47.0,,,37-36,2,B. Beal makes 2-pt shot from 16 ft (assist by K. Oubre)
6:27.0,Toronto full timeout,,37-36,,
6:27.0,K. Lowry enters the game for D. Wright,,37-36,,
6:22.0,F. VanVleet misses 2-pt shot from 7 ft,,37-36,,
6:19.0,Offensive rebound by J. Valanciunas,,37-36,,
6:19.0,J. Valanciunas makes 2-pt shot from 2 ft,2,39-36,,
5:59.0,,,39-36,,M. Morris misses 3-pt shot from 23 ft
5:55.0,Defensive rebound by P. Siakam,,39-36,,
5:32.0,K. Lowry makes 2-pt shot from 3 ft,2,41-36,,
5:09.0,,,41-36,,M. Morris misses 2-pt shot from 16 ft
5:06.0,,,41-36,,Offensive rebound by B. Beal
5:04.0,,,41-36,,K. Oubre misses 3-pt shot from 25 ft
5:02.0,,,41-36,,Offensive rebound by T. Satoransky
4:53.0,,,41-38,2,O. Porter makes 2-pt shot from 14 ft (assist by T. Satoransky)
4:37.0,J. Valanciunas makes 2-pt shot from 3 ft (assist by K. Lowry),2,43-38,,
4:28.0,,,43-40,2,B. Beal makes 2-pt shot from 15 ft
4:15.0,F. VanVleet misses 2-pt shot from 4 ft,,43-40,,
4:13.0,,,43-40,,Defensive rebound by T. Satoransky
4:10.0,,,43-40,,Turnover by O. Porter (step out of bounds)
4:10.0,,,43-40,,M. Gortat enters the game for K. Oubre
4:10.0,S. Ibaka enters the game for F. VanVleet,,43-40,,
4:10.0,D. DeRozan enters the game for P. Siakam,,43-40,,
3:57.0,J. Valanciunas makes 2-pt shot from 3 ft,2,45-40,,
3:44.0,,,45-40,,Turnover by T. Satoransky (bad pass; steal by D. DeRozan)
3:30.0,Turnover by J. Valanciunas (lost ball; steal by O. Porter),,45-40,,
3:26.0,,,45-43,3,B. Beal makes 3-pt shot from 25 ft (assist by O. Porter)
3:06.0,Shooting foul by O. Porter (drawn by D. DeRozan),,45-43,,
3:06.0,D. DeRozan makes free throw 1 of 2,1,46-43,,
3:06.0,D. DeRozan makes free throw 2 of 2,1,47-43,,
2:48.0,,,47-43,,B. Beal misses 2-pt shot from 14 ft
2:45.0,Defensive rebound by K. Lowry,,47-43,,
2:28.0,S. Ibaka misses 2-pt shot from 16 ft (block by M. Morris),,47-43,,
2:25.0,Offensive rebound by J. Valanciunas,,47-43,,
2:24.0,J. Valanciunas misses 2-pt shot from 7 ft,,47-43,,
2:24.0,Offensive rebound by S. Ibaka,,47-43,,
2:21.0,S. Ibaka makes 2-pt shot from 2 ft,2,49-43,,
1:58.0,,,49-43,,M. Morris misses 2-pt shot from 12 ft
1:58.0,Defensive rebound by Team,,49-43,,
1:58.0,,,49-43,,Personal foul by M. Gortat (drawn by J. Valanciunas)
1:58.0,J. Valanciunas misses free throw 1 of 2,,49-43,,
1:58.0,Offensive rebound by Team,,49-43,,
1:58.0,N. Powell enters the game for M. Miller,,49-43,,
1:58.0,J. Valanciunas misses free throw 2 of 2,,49-43,,
1:56.0,,,49-43,,Defensive rebound by M. Gortat
1:42.0,,,49-45,2,O. Porter makes 2-pt shot from 18 ft
1:15.0,N. Powell misses 2-pt shot from 15 ft,,49-45,,
1:11.0,,,49-45,,Defensive rebound by M. Morris
0:58.0,,,49-47,2,M. Gortat makes 2-pt shot from 13 ft (assist by T. Satoransky)
0:50.0,K. Lowry misses 3-pt shot from 28 ft,,49-47,,
0:47.0,,,49-47,,Defensive rebound by M. Gortat
0:38.0,Personal foul by N. Powell (drawn by B. Beal),,49-47,,
0:33.0,,,49-47,,B. Beal misses 2-pt shot from 17 ft
0:30.0,Defensive rebound by K. Lowry,,49-47,,
0:10.0,D. DeRozan makes 2-pt shot from 19 ft (assist by K. Lowry),2,51-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,J. Valanciunas makes 2-pt shot from 8 ft,2,53-47,,
11:24.0,Personal foul by N. Powell (drawn by B. Beal),,53-47,,
11:11.0,,,53-47,,O. Porter misses 2-pt shot from 19 ft
11:09.0,Defensive rebound by S. Ibaka,,53-47,,
10:58.0,D. DeRozan misses 3-pt shot from 24 ft,,53-47,,
10:55.0,,,53-47,,Defensive rebound by M. Morris
10:44.0,,,53-47,,Turnover by M. Morris (lost ball; steal by D. DeRozan)
10:30.0,,,53-47,,Personal foul by B. Beal (drawn by K. Lowry)
10:26.0,D. DeRozan makes 2-pt shot from 1 ft (assist by S. Ibaka),2,55-47,,
10:01.0,,,55-47,,Shooting foul by J. Valanciunas (drawn by M. Gortat)
10:01.0,,,55-47,,M. Gortat misses free throw 1 of 2
10:01.0,,,55-47,,Offensive rebound by Team
10:01.0,,,55-48,1,M. Gortat makes free throw 2 of 2
9:44.0,D. DeRozan makes 2-pt shot from 15 ft (assist by K. Lowry),2,57-48,,
9:42.0,,,57-48,,Washington full timeout
9:23.0,,,57-50,2,M. Morris makes 2-pt shot from 8 ft (assist by B. Beal)
9:07.0,,,57-50,,Personal foul by T. Satoransky (drawn by N. Powell)
9:01.0,D. DeRozan misses 2-pt shot from 14 ft,,57-50,,
8:58.0,,,57-50,,Defensive rebound by B. Beal
8:47.0,,,57-52,2,B. Beal makes 2-pt shot from 2 ft
8:40.0,,,57-52,,Personal foul by M. Morris (drawn by K. Lowry)
8:32.0,K. Lowry makes 3-pt shot from 26 ft,3,60-52,,
8:17.0,,,60-54,2,M. Morris makes 2-pt shot from 18 ft (assist by T. Satoransky)
8:08.0,J. Valanciunas makes 3-pt shot from 25 ft (assist by K. Lowry),3,63-54,,
7:55.0,,,63-54,,B. Beal misses 3-pt shot from 27 ft
7:53.0,Defensive rebound by J. Valanciunas,,63-54,,
7:45.0,Shooting foul by B. Beal (drawn by S. Ibaka),,63-54,,
7:45.0,S. Ibaka misses free throw 1 of 2,,63-54,,
